* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.4 dBFS, measurement signal peak level -33.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:56:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0202 ms (-6.9 mm, -0.27 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 27.3 ppm
* Measurement: B3Spring L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.220	56.4798
20.299999	106.285	55.5703
20.600000	106.350	54.7073
20.900000	106.419	53.8853
21.200001	106.495	53.0779
21.400000	106.548	52.5313
21.799999	106.653	51.3932
22.000000	106.702	50.8043
22.400000	106.784	49.6269
22.700001	106.834	48.7867
23.000000	106.878	48.0081
23.299999	106.921	47.2876
23.600000	106.965	46.6014
24.000000	107.026	45.6927
24.299999	107.068	45.0002
24.700001	107.113	44.0790
25.000000	107.139	43.4115
25.400000	107.170	42.5634
25.799999	107.202	41.7343
26.200001	107.232	40.8785
26.500000	107.250	40.2116
26.900000	107.263	39.3184
27.200001	107.266	38.6757
27.600000	107.267	37.8769
28.000000	107.275	37.1198
28.500000	107.295	36.1502
29.000000	107.312	35.1204
29.500000	107.317	34.1091
30.000000	107.320	33.1977
30.400000	107.334	32.5190
30.700001	107.351	32.0017
31.100000	107.374	31.2694
31.500000	107.391	30.4995
32.000000	107.395	29.5714
32.500000	107.390	28.7751
33.000000	107.392	28.1107
33.500000	107.411	27.4835
34.000000	107.439	26.8005
34.500000	107.462	26.0355
35.000000	107.471	25.2255
35.500000	107.464	24.4326
36.000000	107.446	23.7076
36.500000	107.424	23.0656
37.000000	107.406	22.4813
37.500000	107.395	21.9124
38.200001	107.385	21.0976
38.700001	107.378	20.5065
39.500000	107.367	19.5597
40.000000	107.359	18.9631
40.599998	107.343	18.2494
41.200001	107.322	17.5637
41.799999	107.301	16.9214
42.500000	107.278	16.2119
43.099998	107.259	15.6169
43.700001	107.239	15.0272
44.400002	107.215	14.3464
45.000000	107.191	13.7689
45.500000	107.168	13.2982
46.200001	107.131	12.6776
46.799999	107.100	12.1855
47.500000	107.068	11.6241
48.200001	107.035	11.0571
48.700001	107.009	10.6706
49.400002	106.975	10.1810
50.000000	106.952	9.7797
50.799999	106.927	9.1850
51.500000	106.895	8.6152
52.200001	106.849	8.0841
53.000000	106.796	7.5795
53.799999	106.755	7.1198
54.500000	106.724	6.6936
55.200001	106.687	6.2576
56.000000	106.641	5.7952
57.000000	106.587	5.2598
58.000000	106.532	4.7116
59.000000	106.470	4.1966
60.000000	106.412	3.7266
60.799999	106.366	3.3282
61.500000	106.322	2.9760
62.200001	106.276	2.6532
63.000000	106.228	2.3126
64.000000	106.171	1.8807
65.000000	106.111	1.4624
66.000000	106.050	1.0848
67.000000	105.988	0.7203
68.000000	105.922	0.3956
69.000000	105.859	0.0928
70.000000	105.795	-0.2220
71.000000	105.732	-0.5025
72.000000	105.675	-0.7961
73.000000	105.614	-1.1042
74.000000	105.552	-1.3705
75.000000	105.492	-1.6290
76.199997	105.415	-1.8876
77.500000	105.340	-2.1041
78.800003	105.266	-2.3758
80.000000	105.189	-2.6046
81.199997	105.115	-2.7991
82.500000	105.038	-3.0327
83.800003	104.956	-3.2668
85.000000	104.879	-3.4180
86.199997	104.806	-3.5082
87.500000	104.736	-3.5966
88.500000	104.682	-3.6852
90.000000	104.599	-3.8388
91.199997	104.523	-3.9721
92.500000	104.438	-4.0682
93.800003	104.356	-4.1400
95.000000	104.282	-4.1986
96.199997	104.207	-4.2386
97.500000	104.131	-4.2495
98.800003	104.058	-4.2954
100.000000	103.986	-4.3390
101.500000	103.897	-4.3704
103.000000	103.808	-4.3811
