* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.2 dBFS, measurement signal peak level -32.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:56:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0400 ms (14 mm, 0.54 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 26.2 ppm
* Measurement: B3Spring L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.280	54.5118
20.299999	106.413	53.6425
20.600000	106.535	52.6256
20.900000	106.631	51.5081
21.200001	106.693	50.3855
21.400000	106.716	49.6888
21.799999	106.735	48.5259
22.000000	106.741	48.0782
22.400000	106.774	47.3968
22.700001	106.827	46.9578
23.000000	106.905	46.4525
23.299999	106.997	45.7902
23.600000	107.087	44.9343
24.000000	107.174	43.5462
24.299999	107.202	42.4285
24.700001	107.191	41.0403
25.000000	107.161	40.1872
25.400000	107.125	39.3443
25.799999	107.128	38.6949
26.200001	107.177	37.9610
26.500000	107.224	37.2250
26.900000	107.264	36.0015
27.200001	107.258	35.0235
27.600000	107.204	33.8926
28.000000	107.132	33.1518
28.500000	107.097	32.6844
29.000000	107.157	32.1928
29.500000	107.250	31.2449
30.000000	107.299	29.9807
30.400000	107.300	29.0275
30.700001	107.293	28.4396
31.100000	107.296	27.7978
31.500000	107.325	27.1956
32.000000	107.380	26.3247
32.500000	107.428	25.3128
33.000000	107.456	24.2814
33.500000	107.472	23.3146
34.000000	107.484	22.4130
34.500000	107.495	21.5522
35.000000	107.504	20.6993
35.500000	107.510	19.8047
36.000000	107.499	18.8603
36.500000	107.459	17.9673
37.000000	107.403	17.2669
37.500000	107.366	16.7615
38.200001	107.378	15.9700
38.700001	107.395	15.0864
39.500000	107.337	13.4998
40.000000	107.266	12.8496
40.599998	107.230	12.4534
41.200001	107.276	11.9655
41.799999	107.338	11.0464
42.500000	107.339	9.7948
43.099998	107.302	9.0169
43.700001	107.279	8.4927
44.400002	107.266	7.9169
45.000000	107.242	7.4822
45.500000	107.225	7.2287
46.200001	107.231	6.8350
46.799999	107.236	6.2405
47.500000	107.196	5.4404
48.200001	107.146	4.8311
48.700001	107.140	4.3642
49.400002	107.138	3.3608
50.000000	107.091	2.3261
50.799999	106.980	1.2860
51.500000	106.908	0.7092
52.200001	106.858	0.2198
53.000000	106.824	-0.1910
53.799999	106.835	-0.6769
54.500000	106.824	-1.3585
55.200001	106.756	-1.8763
56.000000	106.698	-2.0464
57.000000	106.696	-2.5995
58.000000	106.620	-3.5718
59.000000	106.521	-4.2311
60.000000	106.458	-4.8400
60.799999	106.430	-5.4124
61.500000	106.408	-6.0594
62.200001	106.361	-6.7078
63.000000	106.296	-7.1941
64.000000	106.250	-7.6153
65.000000	106.211	-8.0968
66.000000	106.166	-8.6071
67.000000	106.095	-9.1631
68.000000	106.014	-9.5952
69.000000	105.944	-10.1037
70.000000	105.864	-10.5946
71.000000	105.807	-11.0141
72.000000	105.766	-11.5326
73.000000	105.720	-12.0884
74.000000	105.661	-12.5876
75.000000	105.597	-12.9480
76.199997	105.517	-13.3720
77.500000	105.419	-13.6797
78.800003	105.362	-14.1437
80.000000	105.290	-14.8622
81.199997	105.205	-15.4844
82.500000	105.112	-15.8602
83.800003	105.078	-15.7239
85.000000	105.117	-15.8768
86.199997	105.089	-16.6435
87.500000	104.931	-17.2515
88.500000	104.808	-17.3958
90.000000	104.678	-17.9061
91.199997	104.568	-18.4796
92.500000	104.490	-18.8186
93.800003	104.453	-19.1147
95.000000	104.434	-19.1786
96.199997	104.399	-19.3268
97.500000	104.301	-19.2935
98.800003	104.195	-19.0799
100.000000	104.111	-18.9312
101.500000	104.042	-19.0784
103.000000	103.971	-19.5075
104.400002	103.899	-19.8940
106.000000	103.800	-20.1158
107.500000	103.715	-20.2255
109.000000	103.612	-20.4241
110.599998	103.501	-20.5866
112.000000	103.421	-20.7603
113.800003	103.322	-21.0348
115.000000	103.250	-21.1085
117.199997	103.133	-20.9734
118.000000	103.096	-20.9851
120.599998	102.924	-21.1098
122.000000	102.816	-20.8990
124.099998	102.729	-20.3933
125.000000	102.700	-20.2563
126.500000	102.633	-20.0885
128.000000	102.528	-19.7172
131.500000	102.307	-18.1755
132.000000	102.287	-17.9110
134.000000	102.268	-16.9788
136.000000	102.340	-16.3073
138.000000	102.468	-16.2702
140.000000	102.569	-16.5763
143.000000	102.719	-17.4536
145.000000	102.752	-18.1120
147.500000	102.735	-18.3902
150.000000	102.679	-18.5628
152.500000	102.576	-18.8795
155.000000	102.493	-19.2456
157.500000	102.433	-19.5224
160.000000	102.377	-19.6495
162.500000	102.313	-19.7039
165.000000	102.250	-19.6753
167.500000	102.183	-19.7244
170.000000	102.091	-19.7953
172.500000	101.999	-19.7545
175.000000	101.922	-19.6399
177.500000	101.859	-19.4487
180.000000	101.806	-19.2920
182.500000	101.766	-19.2002
185.000000	101.736	-19.1641
187.500000	101.708	-19.0891
190.000000	101.687	-18.9812
192.500000	101.666	-18.8953
195.000000	101.635	-18.7878
197.500000	101.596	-18.6423
200.000000	101.559	-18.4943
203.000000	101.524	-18.3751
206.000000	101.489	-18.2416
209.000000	101.454	-18.0503
212.000000	101.422	-17.8777
214.000000	101.403	-17.7757
218.000000	101.371	-17.6019
220.000000	101.355	-17.5342
224.000000	101.323	-17.4180
227.000000	101.300	-17.2840
230.000000	101.278	-17.1282
233.000000	101.255	-16.9656
236.000000	101.234	-16.8255
240.000000	101.215	-16.6130
243.000000	101.206	-16.4453
247.000000	101.189	-16.2434
250.000000	101.176	-16.1070
254.000000	101.171	-15.9685
258.000000	101.178	-15.8591
262.000000	101.184	-15.7153
265.000000	101.187	-15.6257
269.000000	101.188	-15.5603
272.000000	101.187	-15.4764
276.000000	101.188	-15.3544
280.000000	101.189	-15.2982
285.000000	101.197	-15.2324
290.000000	101.201	-15.1853
295.000000	101.205	-15.1502
300.000000	101.213	-15.1026
304.000000	101.219	-15.0811
307.000000	101.224	-15.0822
311.000000	101.228	-15.0872
315.000000	101.229	-15.0806
320.000000	101.234	-15.0544
325.000000	101.243	-15.0258
330.000000	101.253	-15.0077
335.000000	101.265	-15.0076
340.000000	101.275	-15.0321
345.000000	101.285	-15.0744
350.000000	101.296	-15.1071
355.000000	101.304	-15.1491
360.000000	101.312	-15.2157
365.000000	101.320	-15.2909
370.000000	101.328	-15.3641
375.000000	101.336	-15.4214
382.000000	101.346	-15.5152
387.000000	101.353	-15.5838
395.000000	101.362	-15.7137
400.000000	101.368	-15.7818
406.000000	101.376	-15.8515
412.000000	101.384	-15.9404
418.000000	101.389	-16.0413
425.000000	101.396	-16.1510
431.000000	101.404	-16.2301
437.000000	101.412	-16.3140
444.000000	101.419	-16.4140
450.000000	101.426	-16.5002
455.000000	101.434	-16.5665
462.000000	101.446	-16.6572
468.000000	101.456	-16.7333
475.000000	101.467	-16.8306
482.000000	101.480	-16.9433
487.000000	101.490	-17.0247
494.000000	101.501	-17.1549
500.000000	101.510	-17.2796
508.000000	101.521	-17.4497
515.000000	101.529	-17.5802
522.000000	101.535	-17.7049
530.000000	101.544	-17.8522
538.000000	101.552	-17.9913
545.000000	101.560	-18.1029
552.000000	101.569	-18.2194
560.000000	101.578	-18.3546
570.000000	101.586	-18.5126
580.000000	101.596	-18.6549
590.000000	101.608	-18.7821
600.000000	101.620	-18.9195
608.000000	101.627	-19.0211
615.000000	101.633	-19.0986
622.000000	101.641	-19.1729
630.000000	101.651	-19.2699
640.000000	101.664	-19.3999
650.000000	101.675	-19.5097
660.000000	101.687	-19.5951
670.000000	101.701	-19.6794
680.000000	101.718	-19.7616
690.000000	101.736	-19.8386
700.000000	101.754	-19.9068
710.000000	101.772	-19.9645
720.000000	101.790	-20.0061
730.000000	101.810	-20.0548
740.000000	101.832	-20.1105
750.000000	101.854	-20.1433
762.000000	101.879	-20.1588
775.000000	101.909	-20.1740
788.000000	101.945	-20.1927
800.000000	101.982	-20.1905
812.000000	102.020	-20.1924
825.000000	102.063	-20.1872
838.000000	102.109	-20.1801
850.000000	102.157	-20.1726
862.000000	102.208	-20.1506
875.000000	102.265	-20.1266
885.000000	102.309	-20.1214
900.000000	102.379	-20.1174
912.000000	102.442	-20.1148
925.000000	102.512	-20.1179
938.000000	102.582	-20.1338
950.000000	102.636	-20.1754
962.000000	102.676	-20.2359
975.000000	102.727	-20.3197
988.000000	102.808	-20.4296
1000.000000	102.902	-20.5486
1015.000000	103.027	-20.7384
1030.000000	103.147	-20.9728
1044.000000	103.249	-21.2185
1060.000000	103.358	-21.5393
1075.000000	103.457	-21.8737
1090.000000	103.554	-22.2474
1106.000000	103.656	-22.6940
1120.000000	103.743	-23.1068
1138.000000	103.850	-23.6697
1150.000000	103.916	-24.0548
1172.000000	104.030	-24.7755
1180.000000	104.070	-25.0491
1206.000000	104.202	-25.9363
1220.000000	104.276	-26.4073
1241.000000	104.394	-27.1370
1250.000000	104.447	-27.4752
1265.000000	104.535	-28.0892
1280.000000	104.622	-28.7577
1315.000000	104.803	-30.4152
1320.000000	104.827	-30.6503
1340.000000	104.914	-31.5736
1360.000000	104.996	-32.4791
1380.000000	105.076	-33.3632
1400.000000	105.152	-34.2193
1430.000000	105.256	-35.4508
1450.000000	105.323	-36.2431
1475.000000	105.406	-37.2015
1500.000000	105.490	-38.1197
1525.000000	105.573	-39.0096
1550.000000	105.659	-39.8892
1575.000000	105.746	-40.7780
1600.000000	105.831	-41.6682
1625.000000	105.915	-42.5473
1650.000000	105.997	-43.4181
1675.000000	106.080	-44.2693
1700.000000	106.162	-45.0872
1725.000000	106.245	-45.8912
1750.000000	106.329	-46.6848
1775.000000	106.416	-47.4654
1800.000000	106.506	-48.2324
1825.000000	106.600	-48.9953
1850.000000	106.695	-49.7498
1875.000000	106.791	-50.4932
1900.000000	106.888	-51.2349
1925.000000	106.986	-51.9681
1950.000000	107.082	-52.6810
1975.000000	107.179	-53.3710
2000.000000	107.281	-54.0351
2030.000000	107.412	-54.8021
2060.000000	107.556	-55.5621
2090.000000	107.709	-56.3478
2120.000000	107.872	-57.2034
2140.000000	107.983	-57.8208
2180.000000	108.207	-59.1723
2200.000000	108.315	-59.8887
2240.000000	108.517	-61.3409
2270.000000	108.657	-62.4043
2300.000000	108.791	-63.3898
2330.000000	108.926	-64.2666
2360.000000	109.073	-65.0261
2400.000000	109.307	-65.8638
2430.000000	109.526	-66.4105
2470.000000	109.891	-67.2835
2500.000000	110.213	-68.2661
2540.000000	110.660	-70.2165
2580.000000	111.070	-72.8102
2620.000000	111.414	-75.7838
2650.000000	111.632	-78.1082
2690.000000	111.880	-81.2090
2720.000000	112.043	-83.5136
2760.000000	112.238	-86.5563
2800.000000	112.413	-89.5811
2850.000000	112.604	-93.3767
2900.000000	112.767	-97.1979
2950.000000	112.903	-101.0220
3000.000000	113.015	-104.8171
3040.000000	113.091	-107.8339
3070.000000	113.142	-110.1088
3110.000000	113.201	-113.1747
3150.000000	113.246	-116.2710
3200.000000	113.282	-120.1403
3250.000000	113.291	-123.9499
3300.000000	113.277	-127.6650
3350.000000	113.233	-131.2470
3400.000000	113.152	-134.6680
3450.000000	113.038	-137.9106
3500.000000	112.895	-140.9776
3550.000000	112.739	-143.8799
3600.000000	112.579	-146.6187
3650.000000	112.427	-149.1994
3700.000000	112.288	-151.6441
3750.000000	112.160	-153.9632
3820.000000	112.010	-157.0468
3870.000000	111.915	-159.1345
3950.000000	111.768	-162.3089
4000.000000	111.667	-164.2052
4060.000000	111.518	-166.3907
4120.000000	111.354	-168.5046
4180.000000	111.183	-170.5509
4250.000000	110.987	-172.8564
4310.000000	110.835	-174.7738
4370.000000	110.700	-176.6580
