* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -34.6 dBFS, measurement signal peak level -32.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:58:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0216 ms (7.4 mm, 0.29 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 12.7 ppm
* Measurement: B3Spring L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.806	57.9359
20.299999	104.936	57.9895
20.600000	105.166	57.1819
20.900000	105.368	55.4326
21.200001	105.439	53.2517
21.400000	105.401	51.9756
21.799999	105.228	50.8577
22.000000	105.196	51.1962
22.400000	105.488	52.7244
22.700001	106.035	52.9922
23.000000	106.677	51.4583
23.299999	107.200	48.2106
23.600000	107.457	44.0267
24.000000	107.297	38.9150
24.299999	106.878	36.9796
24.700001	106.329	38.5862
25.000000	106.338	42.2016
25.400000	107.102	45.8411
25.799999	108.147	44.7631
26.200001	108.824	39.7446
26.500000	108.922	34.9286
26.900000	108.488	29.1709
27.200001	107.820	26.6926
27.600000	106.788	27.4799
28.000000	106.171	32.6873
28.500000	106.463	39.4801
29.000000	107.246	41.1924
29.500000	107.800	39.1577
30.000000	108.054	36.0870
30.400000	108.159	33.6311
30.700001	108.223	31.7457
31.100000	108.282	28.9973
31.500000	108.271	25.9723
32.000000	108.094	22.2864
32.500000	107.751	19.6410
33.000000	107.383	18.8140
33.500000	107.199	19.5701
34.000000	107.282	20.6071
34.500000	107.502	20.8140
35.000000	107.675	20.2727
35.500000	107.748	19.7518
36.000000	107.801	19.6575
36.500000	107.902	19.5911
37.000000	108.003	18.9739
37.500000	107.992	17.8773
38.200001	107.753	16.8397
38.700001	107.570	16.9747
39.500000	107.494	17.2020
40.000000	107.490	16.4451
40.599998	107.392	15.0270
41.200001	107.242	13.9236
41.799999	107.180	13.1477
42.500000	107.229	11.7314
43.099998	107.237	10.0023
43.700001	107.150	8.6657
44.400002	107.075	8.5702
45.000000	107.215	9.1539
45.500000	107.462	9.0505
46.200001	107.743	7.3677
46.799999	107.745	5.4833
47.500000	107.543	4.4316
48.200001	107.370	4.6333
48.700001	107.299	4.8756
49.400002	107.197	5.1274
50.000000	107.126	5.5131
50.799999	107.157	5.7888
51.500000	107.242	5.1033
52.200001	107.281	3.6832
53.000000	107.242	1.7784
53.799999	107.134	0.2786
54.500000	107.072	-0.4240
55.200001	107.092	-0.9723
56.000000	107.150	-1.8807
57.000000	107.147	-3.3547
58.000000	106.972	-4.2516
59.000000	106.789	-3.7880
60.000000	106.691	-3.0394
60.799999	106.643	-2.2773
61.500000	106.674	-1.7423
62.200001	106.728	-1.6919
63.000000	106.768	-2.0073
64.000000	106.807	-2.9165
65.000000	106.731	-4.1842
66.000000	106.609	-4.8328
67.000000	106.557	-5.6231
68.000000	106.423	-6.8555
69.000000	106.236	-7.3648
70.000000	106.158	-7.8706
71.000000	106.031	-8.5225
72.000000	106.006	-8.4256
73.000000	106.084	-9.4950
74.000000	105.952	-10.5205
75.000000	105.902	-10.4177
