* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -30.4 dBFS, measurement signal peak level -29.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:54:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0052 ms (1.8 mm, 0.07 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -19.3 ppm
* Measurement: B3Spring R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.543	39.7375
20.299999	107.615	39.1318
20.600000	107.674	38.6177
20.900000	107.730	38.1266
21.200001	107.781	37.5671
21.400000	107.807	37.1227
21.799999	107.826	36.0596
22.000000	107.813	35.4754
22.400000	107.744	34.3434
22.700001	107.672	33.6116
23.000000	107.607	33.0028
23.299999	107.571	32.4461
23.600000	107.572	31.8058
24.000000	107.618	30.6006
24.299999	107.658	29.3758
24.700001	107.680	27.4515
25.000000	107.662	25.9863
25.400000	107.611	24.2930
25.799999	107.576	23.0211
26.200001	107.605	22.0045
26.500000	107.665	21.2157
26.900000	107.757	19.9851
27.200001	107.803	18.9901
27.600000	107.817	17.8303
28.000000	107.805	17.1163
28.500000	107.842	16.7719
29.000000	107.968	16.3472
29.500000	108.084	15.3407
30.000000	108.088	14.1101
30.400000	108.026	13.4132
30.700001	107.981	13.1359
31.100000	107.961	12.9014
31.500000	107.991	12.4825
32.000000	108.035	11.3969
32.500000	108.019	9.8547
33.000000	107.933	8.2380
33.500000	107.806	6.7936
34.000000	107.662	5.6784
34.500000	107.551	4.9752
35.000000	107.532	4.4028
35.500000	107.591	3.3785
36.000000	107.612	1.7591
36.500000	107.507	0.2463
37.000000	107.356	-0.3280
37.500000	107.338	-0.1461
38.200001	107.565	-0.8662
38.700001	107.646	-2.5513
39.500000	107.437	-4.5231
40.000000	107.336	-4.4096
40.599998	107.434	-4.3428
41.200001	107.558	-5.6189
41.799999	107.491	-7.4238
42.500000	107.264	-8.5442
43.099998	107.122	-8.7141
43.700001	107.046	-8.7876
44.400002	107.008	-8.9238
45.000000	107.044	-9.3157
45.500000	107.089	-10.1620
46.200001	107.047	-11.9458
46.799999	106.889	-13.1848
47.500000	106.715	-13.7125
48.200001	106.664	-13.9341
48.700001	106.670	-14.2704
49.400002	106.692	-14.8879
50.000000	106.737	-15.5510
50.799999	106.779	-16.9883
51.500000	106.686	-18.3369
52.200001	106.519	-18.8932
53.000000	106.421	-18.8812
53.799999	106.387	-19.3545
54.500000	106.291	-20.0408
55.200001	106.158	-20.4376
56.000000	106.049	-20.6308
57.000000	105.990	-21.1613
58.000000	105.945	-22.1609
59.000000	105.885	-23.2736
60.000000	105.818	-24.3610
60.799999	105.748	-25.0878
61.500000	105.693	-25.5632
62.200001	105.648	-26.0216
63.000000	105.581	-26.5510
64.000000	105.484	-26.9916
65.000000	105.412	-27.3906
66.000000	105.332	-28.0347
67.000000	105.205	-28.7278
68.000000	105.062	-29.1383
69.000000	104.955	-29.5752
70.000000	104.819	-30.2056
71.000000	104.673	-30.5171
72.000000	104.578	-30.7993
73.000000	104.495	-31.1856
74.000000	104.432	-31.6405
75.000000	104.339	-32.1734
76.199997	104.232	-32.2435
77.500000	104.181	-32.8422
78.800003	103.918	-33.5721
80.000000	103.656	-32.6072
81.199997	103.598	-31.4503
82.500000	103.614	-30.8629
83.800003	103.717	-30.3605
85.000000	103.897	-30.4102
86.199997	104.062	-31.1606
87.500000	104.126	-32.1942
88.500000	104.116	-32.8235
90.000000	104.040	-33.4387
91.199997	103.998	-33.8971
92.500000	103.926	-34.7628
93.800003	103.844	-35.5688
95.000000	103.770	-36.3937
96.199997	103.676	-37.0365
97.500000	103.584	-37.4635
98.800003	103.491	-37.8815
100.000000	103.388	-38.1722
101.500000	103.275	-38.5275
103.000000	103.159	-39.0509
