* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -34.4 dBFS, measurement signal peak level -34.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:52:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.4553 ms (-156 mm, -6.15 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -22.3 ppm
* Measurement: B3Spring R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.177	50.4771
20.299999	107.210	49.6240
20.600000	107.265	48.8924
20.900000	107.347	48.1555
21.200001	107.445	47.2941
21.400000	107.509	46.6254
21.799999	107.607	45.1223
22.000000	107.635	44.3534
22.400000	107.650	42.9676
22.700001	107.647	42.1555
23.000000	107.653	41.5350
23.299999	107.684	41.0189
23.600000	107.739	40.4878
24.000000	107.833	39.6026
24.299999	107.898	38.7840
24.700001	107.955	37.5801
25.000000	107.974	36.6884
25.400000	107.980	35.6160
25.799999	107.982	34.6956
26.200001	107.992	33.8675
26.500000	108.006	33.2585
26.900000	108.030	32.4185
27.200001	108.048	31.7559
27.600000	108.068	30.8303
28.000000	108.079	29.8733
28.500000	108.074	28.6875
29.000000	108.053	27.5967
29.500000	108.030	26.6469
30.000000	108.021	25.7856
30.400000	108.024	25.0893
30.700001	108.029	24.5384
31.100000	108.030	23.7708
31.500000	108.021	23.0004
32.000000	107.999	22.1039
32.500000	107.973	21.3284
33.000000	107.957	20.6586
33.500000	107.957	20.0201
34.000000	107.970	19.3225
34.500000	107.981	18.5216
35.000000	107.977	17.6591
35.500000	107.955	16.8279
36.000000	107.926	16.0843
36.500000	107.901	15.3985
37.000000	107.878	14.7080
37.500000	107.851	14.0038
38.200001	107.799	13.0999
38.700001	107.767	12.5458
39.500000	107.738	11.6589
40.000000	107.719	11.0376
40.599998	107.682	10.2942
41.200001	107.641	9.6391
41.799999	107.611	9.0326
42.500000	107.584	8.2579
43.099998	107.549	7.5501
43.700001	107.501	6.9024
44.400002	107.447	6.2649
45.000000	107.409	5.7555
45.500000	107.380	5.3210
46.200001	107.336	4.7029
46.799999	107.295	4.1805
47.500000	107.245	3.5870
48.200001	107.192	3.0258
48.700001	107.155	2.6482
49.400002	107.105	2.1370
50.000000	107.062	1.7104
50.799999	107.005	1.1793
51.500000	106.958	0.7360
52.200001	106.914	0.2646
53.000000	106.857	-0.3035
53.799999	106.791	-0.8130
54.500000	106.736	-1.1760
55.200001	106.690	-1.5282
56.000000	106.638	-1.9935
57.000000	106.556	-2.5713
58.000000	106.474	-3.0406
59.000000	106.400	-3.5003
60.000000	106.325	-3.9541
60.799999	106.267	-4.3181
61.500000	106.215	-4.6464
62.200001	106.161	-4.9678
63.000000	106.098	-5.3192
64.000000	106.014	-5.7203
65.000000	105.929	-6.0109
66.000000	105.860	-6.2493
67.000000	105.795	-6.5872
68.000000	105.712	-6.9379
69.000000	105.624	-7.2002
70.000000	105.542	-7.4368
71.000000	105.464	-7.6874
72.000000	105.384	-7.9508
73.000000	105.303	-8.1751
74.000000	105.228	-8.3501
75.000000	105.159	-8.5091
76.199997	105.083	-8.7184
77.500000	104.990	-8.9380
78.800003	104.895	-9.0781
80.000000	104.805	-9.1994
81.199997	104.716	-9.3013
82.500000	104.621	-9.4296
83.800003	104.527	-9.5726
85.000000	104.438	-9.6928
86.199997	104.352	-9.7675
87.500000	104.264	-9.8194
88.500000	104.198	-9.8538
90.000000	104.093	-9.9010
91.199997	104.007	-9.8767
92.500000	103.917	-9.8533
93.800003	103.827	-9.8193
95.000000	103.745	-9.7818
96.199997	103.662	-9.7350
97.500000	103.573	-9.6642
98.800003	103.486	-9.5639
100.000000	103.409	-9.5000
101.500000	103.305	-9.4302
103.000000	103.199	-9.2896
104.400002	103.106	-9.1477
106.000000	102.998	-8.9875
107.500000	102.896	-8.8119
109.000000	102.796	-8.5982
110.599998	102.689	-8.3727
112.000000	102.591	-8.1663
113.800003	102.459	-7.8124
115.000000	102.377	-7.5404
117.199997	102.232	-7.0608
118.000000	102.177	-6.8756
