* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -35.7 dBFS, measurement signal peak level -34.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:53:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0153 ms (-5.3 mm, -0.21 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -24.5 ppm
* Measurement: B3Spring R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.458	50.0031
20.299999	107.523	48.7600
20.600000	107.546	47.5057
20.900000	107.535	46.4301
21.200001	107.519	45.6436
21.400000	107.523	45.2614
21.799999	107.596	44.5967
22.000000	107.662	44.1766
22.400000	107.813	42.9386
22.700001	107.897	41.6904
23.000000	107.929	40.3535
23.299999	107.909	39.1578
23.600000	107.861	38.2803
24.000000	107.824	37.6461
24.299999	107.854	37.3750
24.700001	107.973	36.8293
25.000000	108.087	36.0685
25.400000	108.204	34.5908
25.799999	108.236	32.8999
26.200001	108.189	31.4137
26.500000	108.131	30.5876
26.900000	108.065	29.8591
27.200001	108.043	29.4770
27.600000	108.050	28.9892
28.000000	108.077	28.4091
28.500000	108.114	27.5692
29.000000	108.151	26.6943
29.500000	108.196	25.7734
30.000000	108.243	24.7292
30.400000	108.268	23.8085
30.700001	108.275	23.1049
31.100000	108.268	22.2037
31.500000	108.251	21.3832
32.000000	108.228	20.4702
32.500000	108.211	19.6309
33.000000	108.197	18.8124
33.500000	108.183	17.9955
34.000000	108.167	17.1845
34.500000	108.151	16.3851
35.000000	108.135	15.5892
35.500000	108.120	14.7788
36.000000	108.103	13.9460
36.500000	108.081	13.1097
37.000000	108.055	12.3019
37.500000	108.029	11.5377
38.200001	108.000	10.5101
38.700001	107.983	9.7834
39.500000	107.951	8.6725
40.000000	107.930	8.0364
40.599998	107.910	7.3038
41.200001	107.890	6.5614
41.799999	107.861	5.8241
42.500000	107.817	5.0432
43.099998	107.781	4.4442
43.700001	107.749	3.8492
44.400002	107.710	3.1135
45.000000	107.668	2.4762
45.500000	107.630	1.9679
46.200001	107.579	1.2903
46.799999	107.540	0.7103
47.500000	107.495	0.0159
48.200001	107.447	-0.6555
48.700001	107.414	-1.0951
49.400002	107.377	-1.6809
50.000000	107.351	-2.2094
50.799999	107.306	-2.9526
51.500000	107.253	-3.5599
52.200001	107.197	-4.1039
53.000000	107.132	-4.6897
53.799999	107.067	-5.2332
54.500000	107.015	-5.6781
55.200001	106.966	-6.1357
56.000000	106.910	-6.6841
57.000000	106.836	-7.3561
58.000000	106.764	-7.9888
59.000000	106.693	-8.5800
60.000000	106.625	-9.1432
60.799999	106.570	-9.6014
61.500000	106.518	-10.0137
62.200001	106.461	-10.4067
63.000000	106.394	-10.8032
64.000000	106.318	-11.2692
65.000000	106.247	-11.7644
66.000000	106.173	-12.2533
67.000000	106.100	-12.7112
68.000000	106.026	-13.1378
69.000000	105.952	-13.5278
70.000000	105.880	-13.8774
71.000000	105.813	-14.2183
72.000000	105.747	-14.5983
73.000000	105.673	-14.9901
74.000000	105.596	-15.3344
75.000000	105.525	-15.6569
76.199997	105.440	-16.0684
77.500000	105.343	-16.4772
78.800003	105.249	-16.7885
80.000000	105.170	-17.0664
81.199997	105.087	-17.3570
82.500000	104.994	-17.6439
83.800003	104.900	-17.9262
85.000000	104.813	-18.1766
86.199997	104.729	-18.4113
87.500000	104.644	-18.6475
