* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -34.1 dBFS, measurement signal peak level -32.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:54:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0137 ms (-4.7 mm, -0.18 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 31.0 ppm
* Measurement: B3Spring R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.634	52.8018
20.299999	107.891	52.2050
20.600000	108.113	50.7733
20.900000	108.213	48.8257
21.200001	108.157	46.9553
21.400000	108.051	46.0652
21.799999	107.807	45.5916
22.000000	107.746	45.9180
22.400000	107.858	46.6353
22.700001	108.083	46.2550
23.000000	108.283	44.7638
23.299999	108.333	42.5698
23.600000	108.186	40.4745
24.000000	107.791	39.2984
24.299999	107.563	40.0743
24.700001	107.672	41.9209
25.000000	108.045	42.1243
25.400000	108.556	39.5714
25.799999	108.683	34.9409
26.200001	108.262	30.9146
26.500000	107.705	30.1305
26.900000	107.161	33.3281
27.200001	107.318	37.2991
27.600000	108.223	39.7868
28.000000	109.199	37.0721
28.500000	109.694	29.3014
29.000000	109.163	21.7670
29.500000	107.929	19.6177
30.000000	107.039	25.2599
30.400000	107.240	31.4135
30.700001	107.763	33.9752
31.100000	108.502	34.1351
31.500000	109.021	31.9776
32.000000	109.329	28.2545
32.500000	109.387	24.6293
33.000000	109.304	21.3972
33.500000	109.115	18.6181
34.000000	108.854	16.4899
34.500000	108.592	15.1187
35.000000	108.392	14.2972
35.500000	108.267	13.6825
36.000000	108.192	13.0872
36.500000	108.142	12.5391
37.000000	108.112	12.1386
37.500000	108.115	11.9142
38.200001	108.182	11.7018
38.700001	108.249	11.4709
39.500000	108.324	11.0894
40.000000	108.354	10.9785
40.599998	108.386	10.8772
41.200001	108.393	10.6802
41.799999	108.353	10.5289
42.500000	108.291	10.5806
43.099998	108.265	10.5354
43.700001	108.236	10.1248
44.400002	108.147	9.3573
45.000000	108.040	8.7617
45.500000	107.959	8.3568
46.200001	107.881	7.7902
46.799999	107.844	7.1919
47.500000	107.810	6.3657
48.200001	107.773	5.5817
48.700001	107.751	5.1327
49.400002	107.741	4.5799
50.000000	107.731	4.0820
50.799999	107.686	3.5396
51.500000	107.644	3.2792
52.200001	107.618	2.9283
53.000000	107.548	2.2731
53.799999	107.427	1.7740
54.500000	107.339	1.5297
55.200001	107.280	1.1840
56.000000	107.214	0.6532
57.000000	107.146	0.0966
58.000000	107.127	-0.4391
59.000000	107.117	-1.0996
60.000000	107.075	-1.7548
60.799999	107.009	-2.1468
61.500000	106.936	-2.3151
62.200001	106.869	-2.3546
63.000000	106.810	-2.4125
64.000000	106.748	-2.6840
65.000000	106.689	-3.1746
66.000000	106.620	-3.8644
67.000000	106.532	-4.5067
68.000000	106.452	-4.9851
69.000000	106.378	-5.3581
70.000000	106.307	-5.6037
71.000000	106.239	-5.7528
72.000000	106.174	-5.8711
73.000000	106.108	-6.0156
74.000000	106.040	-6.1995
75.000000	105.975	-6.4303
76.199997	105.895	-6.7455
77.500000	105.813	-7.0211
78.800003	105.743	-7.2281
80.000000	105.679	-7.4231
81.199997	105.603	-7.5787
82.500000	105.517	-7.6907
83.800003	105.427	-7.8581
85.000000	105.339	-8.0239
86.199997	105.254	-8.1734
87.500000	105.171	-8.2991
88.500000	105.115	-8.3851
90.000000	105.029	-8.5137
91.199997	104.955	-8.5653
92.500000	104.873	-8.6014
93.800003	104.788	-8.6257
95.000000	104.714	-8.6422
96.199997	104.641	-8.6808
97.500000	104.563	-8.7128
98.800003	104.488	-8.7257
100.000000	104.420	-8.7120
101.500000	104.338	-8.7132
103.000000	104.247	-8.7239
104.400002	104.162	-8.6837
106.000000	104.072	-8.6287
107.500000	103.989	-8.5471
109.000000	103.911	-8.4346
110.599998	103.827	-8.3256
112.000000	103.751	-8.2065
113.800003	103.658	-8.0562
115.000000	103.599	-7.9570
117.199997	103.494	-7.7922
118.000000	103.455	-7.7256
120.599998	103.329	-7.4918
122.000000	103.261	-7.3230
124.099998	103.164	-7.0742
125.000000	103.121	-6.9514
126.500000	103.057	-6.7336
128.000000	102.996	-6.5458
131.500000	102.850	-6.0521
132.000000	102.829	-5.9659
134.000000	102.751	-5.6051
136.000000	102.672	-5.2973
138.000000	102.590	-5.0147
140.000000	102.508	-4.7366
143.000000	102.391	-4.2116
145.000000	102.314	-3.8309
147.500000	102.216	-3.3503
150.000000	102.125	-2.9181
152.500000	102.047	-2.4629
155.000000	101.980	-1.9778
157.500000	101.930	-1.3868
160.000000	101.884	-0.9167
162.500000	101.826	-0.3829
165.000000	101.783	0.2930
167.500000	101.750	0.8954
170.000000	101.711	1.3276
172.500000	101.622	1.4930
175.000000	101.491	1.8708
177.500000	101.398	2.5250
180.000000	101.356	3.1277
182.500000	101.330	3.5807
185.000000	101.310	4.1427
187.500000	101.305	4.7305
190.000000	101.293	5.3365
192.500000	101.263	5.9642
195.000000	101.222	6.6660
197.500000	101.197	7.4062
200.000000	101.205	8.0035
203.000000	101.222	8.4818
206.000000	101.249	9.0822
209.000000	101.298	9.4780
212.000000	101.325	9.6472
214.000000	101.328	9.7877
218.000000	101.314	10.1018
220.000000	101.304	10.2620
224.000000	101.286	10.6296
227.000000	101.266	10.9589
230.000000	101.239	11.2923
233.000000	101.216	11.6104
236.000000	101.197	11.9285
240.000000	101.176	12.4164
243.000000	101.164	12.8195
247.000000	101.147	13.3091
250.000000	101.137	13.6287
254.000000	101.127	14.1001
258.000000	101.121	14.5955
262.000000	101.117	15.0861
265.000000	101.114	15.4545
269.000000	101.109	15.8960
272.000000	101.109	16.2002
276.000000	101.108	16.6127
280.000000	101.107	17.0202
285.000000	101.112	17.5261
290.000000	101.121	18.0425
295.000000	101.129	18.5649
300.000000	101.134	19.0451
304.000000	101.142	19.3999
307.000000	101.149	19.7074
311.000000	101.157	20.1234
315.000000	101.165	20.4678
320.000000	101.177	20.8596
325.000000	101.191	21.2650
330.000000	101.204	21.6691
335.000000	101.213	22.0624
340.000000	101.226	22.4456
345.000000	101.242	22.8073
350.000000	101.258	23.1491
355.000000	101.272	23.4892
360.000000	101.286	23.8240
365.000000	101.300	24.1544
370.000000	101.317	24.4651
375.000000	101.328	24.7502
382.000000	101.339	25.1797
387.000000	101.345	25.5388
395.000000	101.364	26.1981
400.000000	101.377	26.5742
406.000000	101.381	26.8936
412.000000	101.386	27.0312
418.000000	101.416	27.2236
425.000000	101.449	27.6578
431.000000	101.464	27.9658
437.000000	101.482	28.2306
444.000000	101.501	28.5496
450.000000	101.515	28.8184
455.000000	101.526	29.0369
462.000000	101.542	29.3295
468.000000	101.555	29.5583
475.000000	101.567	29.8425
482.000000	101.577	30.1617
487.000000	101.582	30.3874
494.000000	101.591	30.6898
500.000000	101.600	30.9350
508.000000	101.613	31.2651
515.000000	101.623	31.5590
522.000000	101.632	31.8572
530.000000	101.643	32.1843
538.000000	101.651	32.5134
545.000000	101.660	32.8102
552.000000	101.669	33.1093
560.000000	101.679	33.4430
570.000000	101.691	33.8513
580.000000	101.705	34.2672
590.000000	101.717	34.7036
600.000000	101.729	35.1241
608.000000	101.740	35.4537
615.000000	101.750	35.7404
622.000000	101.759	36.0304
630.000000	101.767	36.3769
