* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.3 dBFS, measurement signal peak level -32.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:41:45
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0361 ms (12 mm, 0.49 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 36.8 ppm
* Measurement: B3TypeE L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.363	55.2105
20.299999	106.391	54.5141
20.600000	106.438	53.9298
20.900000	106.504	53.3237
21.200001	106.576	52.6085
21.400000	106.619	52.0662
21.799999	106.674	50.8839
22.000000	106.685	50.2997
22.400000	106.685	49.2731
22.700001	106.685	48.6649
23.000000	106.704	48.1474
23.299999	106.752	47.6116
23.600000	106.822	46.9371
24.000000	106.920	45.7117
24.299999	106.970	44.5917
24.700001	106.983	43.0612
25.000000	106.961	42.0705
25.400000	106.929	41.1076
25.799999	106.946	40.4366
26.200001	107.026	39.7061
26.500000	107.105	38.9420
26.900000	107.181	37.6494
27.200001	107.193	36.6463
27.600000	107.158	35.5984
28.000000	107.120	35.0845
28.500000	107.172	34.9057
29.000000	107.346	34.3721
29.500000	107.515	32.9580
30.000000	107.556	31.0666
30.400000	107.486	29.7667
30.700001	107.403	29.1303
31.100000	107.304	28.7580
31.500000	107.266	28.7142
32.000000	107.314	28.5856
32.500000	107.413	27.9731
33.000000	107.493	26.8854
33.500000	107.523	25.5944
34.000000	107.511	24.3562
34.500000	107.480	23.2884
35.000000	107.450	22.3795
35.500000	107.430	21.5634
36.000000	107.417	20.7897
36.500000	107.405	20.0517
37.000000	107.394	19.3632
37.500000	107.386	18.7198
38.200001	107.382	17.8343
38.700001	107.378	17.1862
39.500000	107.357	16.1757
40.000000	107.341	15.5763
40.599998	107.322	14.8410
41.200001	107.296	14.0720
41.799999	107.259	13.3447
42.500000	107.222	12.6057
43.099998	107.206	11.9749
43.700001	107.192	11.2827
44.400002	107.166	10.4804
45.000000	107.143	9.8670
45.500000	107.130	9.3866
46.200001	107.116	8.6898
46.799999	107.100	8.0457
47.500000	107.063	7.2983
48.200001	107.014	6.6726
48.700001	106.985	6.2925
49.400002	106.956	5.7216
50.000000	106.925	5.1737
50.799999	106.876	4.5005
51.500000	106.846	3.8757
52.200001	106.798	3.1580
53.000000	106.725	2.5821
53.799999	106.710	2.0914
54.500000	106.696	1.3531
55.200001	106.630	0.7608
56.000000	106.597	0.4449
57.000000	106.590	-0.6037
58.000000	106.432	-1.2626
59.000000	106.426	-1.3201
60.000000	106.387	-2.6365
60.799999	106.221	-3.0409
61.500000	106.190	-2.7602
62.200001	106.264	-3.1735
63.000000	106.248	-4.6207
64.000000	106.011	-5.5234
65.000000	105.910	-4.7938
66.000000	106.038	-4.7961
67.000000	106.084	-6.3114
68.000000	105.879	-7.6168
69.000000	105.634	-7.2463
70.000000	105.605	-6.2769
71.000000	105.729	-6.2787
72.000000	105.838	-7.4512
73.000000	105.825	-9.1253
74.000000	105.704	-10.4510
75.000000	105.547	-11.2020
76.199997	105.354	-11.4750
77.500000	105.177	-11.4202
78.800003	105.013	-11.4738
80.000000	104.888	-11.7105
81.199997	104.811	-12.3120
82.500000	104.773	-13.2023
83.800003	104.789	-13.9541
85.000000	104.833	-14.3585
86.199997	104.861	-14.3825
87.500000	104.857	-13.9889
88.500000	104.820	-13.6740
90.000000	104.679	-13.3751
91.199997	104.540	-13.3323
92.500000	104.400	-13.6635
93.800003	104.297	-14.2377
95.000000	104.224	-14.8870
96.199997	104.144	-15.2617
97.500000	104.069	-15.2020
98.800003	104.013	-14.9702
100.000000	103.953	-14.9059
101.500000	103.858	-14.9792
103.000000	103.772	-15.2047
104.400002	103.705	-15.4370
106.000000	103.641	-15.4861
107.500000	103.589	-15.2907
109.000000	103.537	-14.9920
110.599998	103.480	-14.7950
112.000000	103.428	-14.8283
113.800003	103.359	-15.0811
115.000000	103.316	-15.2493
117.199997	103.257	-15.5589
118.000000	103.233	-15.6864
120.599998	103.128	-16.0197
122.000000	103.062	-16.0867
124.099998	102.973	-16.0649
125.000000	102.943	-16.0511
126.500000	102.895	-16.0688
128.000000	102.846	-16.1022
131.500000	102.731	-16.0399
132.000000	102.714	-16.0179
134.000000	102.649	-15.9069
136.000000	102.589	-15.8305
138.000000	102.530	-15.8141
140.000000	102.470	-15.8191
143.000000	102.373	-15.8230
145.000000	102.305	-15.8445
147.500000	102.219	-15.8073
150.000000	102.149	-15.7040
152.500000	102.078	-15.6267
155.000000	102.007	-15.5263
157.500000	101.955	-15.4223
160.000000	101.911	-15.3046
162.500000	101.864	-15.1575
165.000000	101.802	-14.9974
167.500000	101.733	-14.8291
170.000000	101.657	-14.6896
172.500000	101.569	-14.4918
175.000000	101.483	-14.2624
177.500000	101.408	-14.0748
180.000000	101.349	-13.8917
182.500000	101.309	-13.7062
185.000000	101.281	-13.5156
187.500000	101.256	-13.3324
190.000000	101.225	-13.1270
192.500000	101.192	-12.8487
195.000000	101.163	-12.5883
197.500000	101.129	-12.3727
200.000000	101.085	-12.1227
203.000000	101.029	-11.7524
206.000000	100.975	-11.3620
209.000000	100.934	-10.9228
212.000000	100.908	-10.4628
214.000000	100.893	-10.1780
218.000000	100.866	-9.6146
220.000000	100.859	-9.3286
224.000000	100.856	-8.7309
227.000000	100.860	-8.2640
230.000000	100.868	-7.8067
233.000000	100.889	-7.4009
236.000000	100.922	-7.1200
240.000000	100.977	-6.8306
243.000000	101.029	-6.7314
247.000000	101.084	-6.7774
250.000000	101.112	-6.8555
254.000000	101.128	-7.0046
258.000000	101.129	-7.1190
262.000000	101.127	-7.1592
265.000000	101.123	-7.1573
269.000000	101.114	-7.1506
272.000000	101.104	-7.1582
276.000000	101.090	-7.1377
280.000000	101.081	-7.0426
285.000000	101.076	-6.9125
290.000000	101.070	-6.8048
