* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.0 dBFS, measurement signal peak level -31.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:43:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0743 ms (-25 mm, -1 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -50.8 ppm
* Measurement: B3TypeE L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.226	57.5344
20.299999	106.281	56.6135
20.600000	106.343	55.6209
20.900000	106.404	54.5469
21.200001	106.456	53.4145
21.400000	106.484	52.6524
21.799999	106.524	51.1912
22.000000	106.539	50.5215
22.400000	106.577	49.3260
22.700001	106.620	48.5194
23.000000	106.678	47.7267
23.299999	106.746	46.8939
23.600000	106.816	45.9975
24.000000	106.893	44.7388
24.299999	106.934	43.8103
24.700001	106.971	42.6831
25.000000	106.994	41.9443
25.400000	107.030	41.0716
25.799999	107.074	40.2604
26.200001	107.121	39.4654
26.500000	107.157	38.8779
26.900000	107.208	38.1037
27.200001	107.253	37.5027
27.600000	107.320	36.5981
28.000000	107.379	35.5099
28.500000	107.404	33.9565
29.000000	107.353	32.5153
29.500000	107.261	31.5627
30.000000	107.205	31.1264
30.400000	107.218	30.8996
30.700001	107.256	30.6483
31.100000	107.319	30.1240
31.500000	107.374	29.4243
32.000000	107.418	28.4730
32.500000	107.451	27.5434
33.000000	107.480	26.5958
33.500000	107.493	25.6000
34.000000	107.476	24.6615
34.500000	107.446	23.9033
35.000000	107.428	23.2902
35.500000	107.428	22.6626
36.000000	107.428	21.9371
36.500000	107.409	21.1953
37.000000	107.383	20.5461
37.500000	107.368	19.9720
38.200001	107.372	19.0845
38.700001	107.370	18.3579
39.500000	107.349	17.2510
40.000000	107.341	16.6099
40.599998	107.334	15.7882
41.200001	107.305	14.9684
41.799999	107.262	14.3522
42.500000	107.244	13.8937
43.099998	107.265	13.4515
43.700001	107.293	12.8252
44.400002	107.308	11.9140
45.000000	107.295	11.0065
45.500000	107.247	10.2494
46.200001	107.131	9.5687
46.799999	107.060	9.4534
47.500000	107.074	9.2046
48.200001	107.082	8.3239
48.700001	107.024	7.6954
49.400002	106.932	7.4410
50.000000	106.956	7.4327
50.799999	107.056	6.3893
51.500000	106.994	4.8519
52.200001	106.799	4.1491
53.000000	106.685	4.6027
53.799999	106.772	4.7138
54.500000	106.852	3.8937
55.200001	106.846	2.6917
56.000000	106.735	1.4672
57.000000	106.527	0.8887
58.000000	106.438	1.0723
59.000000	106.443	0.8066
60.000000	106.442	0.2417
60.799999	106.437	-0.3855
61.500000	106.401	-0.9452
62.200001	106.360	-1.3404
63.000000	106.335	-1.7903
64.000000	106.269	-2.4708
65.000000	106.181	-2.8132
66.000000	106.124	-3.0957
67.000000	106.060	-3.4930
68.000000	105.985	-3.9165
69.000000	105.895	-4.3151
70.000000	105.819	-4.6142
71.000000	105.764	-5.0558
72.000000	105.691	-5.6058
73.000000	105.605	-5.9400
74.000000	105.551	-6.0729
75.000000	105.531	-6.3043
76.199997	105.494	-6.8153
77.500000	105.403	-7.3879
78.800003	105.288	-7.6818
80.000000	105.200	-7.9160
81.199997	105.115	-8.1254
82.500000	105.054	-8.3054
83.800003	105.001	-8.4483
85.000000	104.963	-8.5543
86.199997	104.890	-8.6201
87.500000	104.810	-8.4655
88.500000	104.747	-8.6073
90.000000	104.585	-8.8733
91.199997	104.479	-9.0064
92.500000	104.376	-9.3253
93.800003	104.297	-9.2824
95.000000	104.293	-9.2207
96.199997	104.253	-9.4175
97.500000	104.137	-9.0892
