* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.0 dBFS, measurement signal peak level -32.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:42:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.4149 ms (-142 mm, -5.6 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -15.5 ppm
* Measurement: B3TypeE L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.576	58.0568
20.299999	106.597	56.9686
20.600000	106.603	56.0083
20.900000	106.608	55.1846
21.200001	106.625	54.4538
21.400000	106.645	53.9822
21.799999	106.703	52.9921
22.000000	106.736	52.4524
22.400000	106.799	51.2900
22.700001	106.839	50.3879
23.000000	106.873	49.5050
23.299999	106.904	48.6674
23.600000	106.936	47.8791
24.000000	106.987	46.8815
24.299999	107.031	46.1509
24.700001	107.091	45.1826
25.000000	107.136	44.4621
25.400000	107.192	43.5192
25.799999	107.244	42.6034
26.200001	107.290	41.7166
26.500000	107.320	41.0746
26.900000	107.353	40.2609
27.200001	107.374	39.6891
27.600000	107.402	38.9732
28.000000	107.432	38.2820
28.500000	107.472	37.3902
29.000000	107.505	36.4332
29.500000	107.521	35.4494
30.000000	107.525	34.5070
30.400000	107.526	33.8014
30.700001	107.529	33.2914
31.100000	107.537	32.6162
31.500000	107.547	31.9292
32.000000	107.560	31.0511
32.500000	107.570	30.1742
33.000000	107.577	29.3273
33.500000	107.584	28.5275
34.000000	107.591	27.7764
34.500000	107.601	27.0626
35.000000	107.613	26.3672
35.500000	107.624	25.6751
36.000000	107.630	24.9865
36.500000	107.629	24.3155
37.000000	107.622	23.6770
37.500000	107.612	23.0739
38.200001	107.598	22.2700
38.700001	107.590	21.7057
39.500000	107.577	20.7911
40.000000	107.568	20.2042
40.599998	107.552	19.4923
41.200001	107.532	18.7975
41.799999	107.512	18.1404
42.500000	107.492	17.4174
43.099998	107.477	16.8187
43.700001	107.464	16.2296
44.400002	107.449	15.5444
45.000000	107.432	14.9578
45.500000	107.413	14.4839
46.200001	107.381	13.8694
46.799999	107.354	13.3817
47.500000	107.323	12.8265
48.200001	107.292	12.2878
48.700001	107.272	11.9184
49.400002	107.248	11.3926
50.000000	107.227	10.9072
50.799999	107.187	10.2583
51.500000	107.145	9.7637
52.200001	107.107	9.3294
53.000000	107.072	8.8295
53.799999	107.040	8.2953
54.500000	107.008	7.8211
55.200001	106.971	7.3704
56.000000	106.928	6.8959
57.000000	106.879	6.3205
58.000000	106.827	5.7604
59.000000	106.775	5.2553
60.000000	106.723	4.7845
60.799999	106.680	4.4344
61.500000	106.644	4.1344
62.200001	106.607	3.8219
63.000000	106.560	3.4653
64.000000	106.497	3.0681
65.000000	106.439	2.6978
66.000000	106.383	2.3077
67.000000	106.324	1.9215
68.000000	106.264	1.5560
69.000000	106.200	1.2155
70.000000	106.134	0.9484
71.000000	106.076	0.7437
72.000000	106.026	0.5449
73.000000	105.981	0.3208
74.000000	105.934	0.0733
75.000000	105.887	-0.1744
76.199997	105.827	-0.4897
77.500000	105.755	-0.7607
78.800003	105.688	-0.9987
80.000000	105.619	-1.2053
81.199997	105.550	-1.3894
82.500000	105.468	-1.5833
83.800003	105.389	-1.7554
85.000000	105.316	-1.9391
86.199997	105.245	-2.0718
87.500000	105.180	-2.2048
88.500000	105.131	-2.3225
90.000000	105.051	-2.4580
91.199997	104.983	-2.5224
92.500000	104.908	-2.5610
93.800003	104.832	-2.6039
95.000000	104.764	-2.6248
96.199997	104.702	-2.6510
97.500000	104.637	-2.6946
98.800003	104.571	-2.7286
100.000000	104.506	-2.7227
101.500000	104.424	-2.6524
103.000000	104.343	-2.5653
104.400002	104.269	-2.4900
106.000000	104.187	-2.4158
107.500000	104.113	-2.3350
109.000000	104.041	-2.2310
110.599998	103.966	-2.0997
112.000000	103.899	-1.9923
113.800003	103.810	-1.8421
115.000000	103.752	-1.7220
117.199997	103.657	-1.4717
118.000000	103.623	-1.3800
120.599998	103.508	-1.0293
122.000000	103.445	-0.8086
124.099998	103.349	-0.4902
125.000000	103.308	-0.3450
126.500000	103.244	-0.0861
128.000000	103.182	0.1820
131.500000	103.040	0.9241
132.000000	103.019	1.0307
134.000000	102.935	1.5020
136.000000	102.860	2.0195
138.000000	102.789	2.5458
140.000000	102.723	3.1012
143.000000	102.628	3.9536
145.000000	102.578	4.5989
147.500000	102.540	5.3840
150.000000	102.515	6.0698
152.500000	102.496	6.6569
155.000000	102.486	7.1505
157.500000	102.480	7.5719
160.000000	102.470	7.9585
162.500000	102.450	8.3509
165.000000	102.415	8.7044
167.500000	102.359	9.1106
170.000000	102.286	9.5496
172.500000	102.203	10.0490
175.000000	102.122	10.5432
177.500000	102.051	11.0820
180.000000	102.000	11.6442
182.500000	101.965	12.1831
185.000000	101.935	12.7135
187.500000	101.910	13.2538
190.000000	101.887	13.8716
192.500000	101.866	14.4374
195.000000	101.837	15.0733
197.500000	101.815	15.6523
200.000000	101.776	16.2121
203.000000	101.743	17.0199
206.000000	101.708	17.6186
209.000000	101.661	18.3544
212.000000	101.647	19.1334
214.000000	101.642	19.5456
218.000000	101.604	20.3113
220.000000	101.573	20.7538
224.000000	101.514	21.7245
227.000000	101.480	22.4496
230.000000	101.457	23.1339
233.000000	101.442	23.7928
236.000000	101.435	24.4494
240.000000	101.439	25.4460
243.000000	101.431	26.3310
247.000000	101.392	27.3993
250.000000	101.371	28.0388
254.000000	101.362	28.9822
258.000000	101.349	30.0111
262.000000	101.341	31.0050
265.000000	101.340	31.7793
269.000000	101.343	32.8193
272.000000	101.351	33.5856
276.000000	101.369	34.5730
280.000000	101.392	35.5048
285.000000	101.426	36.5911
290.000000	101.460	37.5932
295.000000	101.488	38.5609
300.000000	101.510	39.5122
304.000000	101.524	40.2496
307.000000	101.533	40.8008
311.000000	101.545	41.5418
315.000000	101.558	42.2896
320.000000	101.577	43.2168
325.000000	101.596	44.1346
330.000000	101.614	45.0381
335.000000	101.631	45.9158
340.000000	101.645	46.7897
345.000000	101.655	47.6605
350.000000	101.663	48.5154
355.000000	101.670	49.3775
360.000000	101.675	50.2535
365.000000	101.681	51.1334
370.000000	101.686	52.0099
375.000000	101.690	52.8931
382.000000	101.697	54.1377
387.000000	101.702	55.0219
395.000000	101.709	56.4538
400.000000	101.714	57.3588
406.000000	101.722	58.4324
412.000000	101.729	59.4898
418.000000	101.735	60.5542
425.000000	101.742	61.8084
431.000000	101.751	62.8731
437.000000	101.759	63.9268
444.000000	101.768	65.1599
450.000000	101.775	66.2365
455.000000	101.782	67.1413
462.000000	101.791	68.3850
468.000000	101.799	69.4295
475.000000	101.810	70.6508
482.000000	101.819	71.9046
487.000000	101.824	72.8043
494.000000	101.829	74.0450
500.000000	101.836	75.0953
508.000000	101.845	76.4980
515.000000	101.852	77.7387
522.000000	101.859	78.9886
530.000000	101.868	80.4095
538.000000	101.878	81.8296
545.000000	101.887	83.0860
552.000000	101.896	84.3387
560.000000	101.904	85.7586
570.000000	101.914	87.5608
580.000000	101.925	89.3758
590.000000	101.935	91.1749
600.000000	101.947	92.9806
608.000000	101.957	94.4455
615.000000	101.965	95.7343
622.000000	101.972	97.0208
630.000000	101.982	98.4926
640.000000	101.993	100.3380
650.000000	102.006	102.1980
660.000000	102.022	104.0685
670.000000	102.039	105.9323
680.000000	102.056	107.8159
690.000000	102.071	109.7102
700.000000	102.087	111.6026
710.000000	102.106	113.5020
720.000000	102.126	115.4194
730.000000	102.148	117.3445
740.000000	102.170	119.2783
750.000000	102.193	121.2165
762.000000	102.223	123.5585
775.000000	102.257	126.1066
788.000000	102.294	128.6520
800.000000	102.332	131.0116
812.000000	102.372	133.3829
825.000000	102.418	135.9674
838.000000	102.469	138.5589
850.000000	102.520	140.9425
862.000000	102.574	143.3145
875.000000	102.633	145.8964
885.000000	102.678	147.8899
900.000000	102.751	150.8793
912.000000	102.817	153.2462
925.000000	102.895	155.7896
938.000000	102.973	158.3319
950.000000	103.031	160.6754
962.000000	103.074	162.9921
975.000000	103.131	165.4700
988.000000	103.221	167.9324
1000.000000	103.322	170.1888
1015.000000	103.454	172.9731
1030.000000	103.583	175.7155
1044.000000	103.694	178.2317
1060.000000	103.814	-178.9322
1075.000000	103.923	-176.3069
1090.000000	104.032	-173.7321
1106.000000	104.145	-171.0303
1120.000000	104.241	-168.6967
1138.000000	104.361	-165.7451
1150.000000	104.440	-163.8069
1172.000000	104.579	-160.3067
1180.000000	104.627	-159.0433
1206.000000	104.776	-154.9708
1220.000000	104.853	-152.8056
1241.000000	104.968	-149.5771
1250.000000	105.016	-148.1996
1265.000000	105.094	-145.9098
1280.000000	105.172	-143.6266
1315.000000	105.348	-138.3094
1320.000000	105.373	-137.5490
1340.000000	105.468	-134.5027
1360.000000	105.560	-131.4526
1380.000000	105.648	-128.3882
1400.000000	105.732	-125.3085
1430.000000	105.857	-120.6703
1450.000000	105.937	-117.5574
1475.000000	106.034	-113.6377
1500.000000	106.129	-109.6996
1525.000000	106.223	-105.7377
1550.000000	106.318	-101.7428
1575.000000	106.415	-97.7283
1600.000000	106.516	-93.7128
1625.000000	106.620	-89.6998
1650.000000	106.722	-85.6882
1675.000000	106.821	-81.6635
1700.000000	106.922	-77.6356
1725.000000	107.027	-73.6024
1750.000000	107.132	-69.5543
1775.000000	107.237	-65.4943
1800.000000	107.344	-61.4186
1825.000000	107.456	-57.3477
1850.000000	107.572	-53.2868
1875.000000	107.691	-49.2283
1900.000000	107.810	-45.1721
1925.000000	107.931	-41.1255
1950.000000	108.055	-37.0941
1975.000000	108.181	-33.0757
2000.000000	108.310	-29.0652
2030.000000	108.467	-24.2667
2060.000000	108.628	-19.4932
2090.000000	108.791	-14.7364
2120.000000	108.957	-9.9984
2140.000000	109.070	-6.8597
2180.000000	109.304	-0.6400
2200.000000	109.423	2.4508
2240.000000	109.660	8.5917
2270.000000	109.840	13.1530
2300.000000	110.022	17.6711
2330.000000	110.205	22.1400
2360.000000	110.391	26.5564
2400.000000	110.638	32.3743
2430.000000	110.822	36.6860
2470.000000	111.065	42.3489
2500.000000	111.247	46.5298
2540.000000	111.482	52.0165
2580.000000	111.708	57.4066
2620.000000	111.927	62.6848
2650.000000	112.086	66.5785
2690.000000	112.283	71.7076
2720.000000	112.420	75.5128
2760.000000	112.590	80.5377
2800.000000	112.743	85.5297
2850.000000	112.910	91.7595
2900.000000	113.063	98.0167
2950.000000	113.215	104.2867
3000.000000	113.367	110.4723
3040.000000	113.482	115.2778
3070.000000	113.561	118.7592
3110.000000	113.648	123.2528
3150.000000	113.707	127.6475
3200.000000	113.737	133.1275
3250.000000	113.726	138.7112
3300.000000	113.688	144.4520
3350.000000	113.627	150.3611
3400.000000	113.535	156.4312
3450.000000	113.415	162.6573
3500.000000	113.275	169.0306
3550.000000	113.127	175.5414
3600.000000	112.982	-177.8176
3650.000000	112.848	-171.0699
3700.000000	112.735	-164.2474
3750.000000	112.641	-157.3578
3820.000000	112.549	-147.6685
3870.000000	112.502	-140.7395
3950.000000	112.438	-129.6761
4000.000000	112.392	-122.7985
4060.000000	112.309	-114.5835
4120.000000	112.207	-106.4600
4180.000000	112.090	-98.4511
4250.000000	111.941	-89.2423
4310.000000	111.806	-81.4321
4370.000000	111.663	-73.6502
4440.000000	111.487	-64.5197
4500.000000	111.339	-56.6152
4550.000000	111.223	-49.9768
4620.000000	111.077	-40.6678
4680.000000	110.968	-32.7466
4750.000000	110.851	-23.6355
4820.000000	110.729	-14.6650
4870.000000	110.630	-8.3049
4940.000000	110.477	0.5901
5000.000000	110.332	8.2727
5080.000000	110.123	18.6964
5150.000000	109.934	28.0312
5220.000000	109.752	37.5446
5300.000000	109.566	48.5641
5380.000000	109.413	59.6564
5450.000000	109.315	69.3506
5520.000000	109.262	78.9517
5600.000000	109.265	89.6758
5700.000000	109.361	102.3980
5800.000000	109.493	113.9624
5900.000000	109.547	124.1757
6000.000000	109.398	133.4241
6080.000000	109.075	140.7603
6150.000000	108.652	147.5922
6220.000000	108.133	155.0930
6300.000000	107.479	164.6779
6400.000000	106.666	178.2192
6500.000000	105.965	-166.7653
6600.000000	105.448	-150.8447
6700.000000	105.133	-134.6257
6800.000000	104.993	-118.5518
6900.000000	104.989	-102.8064
7000.000000	105.094	-87.4546
7100.000000	105.291	-72.5074
7200.000000	105.572	-57.9719
7300.000000	105.937	-43.8002
7400.000000	106.412	-29.9988
7500.000000	107.013	-16.9731
7620.000000	107.847	-2.6158
7750.000000	108.900	11.2513
7880.000000	110.092	22.6387
8000.000000	111.227	30.1370
8120.000000	112.198	34.3068
8250.000000	112.760	35.6689
8380.000000	112.594	35.8580
8500.000000	111.823	37.3080
8620.000000	110.670	41.3569
8750.000000	109.272	48.8950
8850.000000	108.225	56.5463
9000.000000	106.820	70.0986
9120.000000	105.866	82.0911
9250.000000	105.000	95.7336
9380.000000	104.291	109.7201
9500.000000	103.765	122.7247
9620.000000	103.357	135.6600
