* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -27.1 dBFS, measurement signal peak level -32.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:45:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0031 ms (-1.1 mm, -0.04 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -10.2 ppm
* Measurement: B3TypeE R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.566	48.9950
20.299999	107.608	48.1805
20.600000	107.635	47.3641
20.900000	107.651	46.5709
21.200001	107.665	45.8073
21.400000	107.676	45.2994
21.799999	107.710	44.2117
22.000000	107.730	43.6010
22.400000	107.762	42.2281
22.700001	107.769	41.1188
23.000000	107.761	40.0255
23.299999	107.746	39.0156
23.600000	107.736	38.1124
24.000000	107.750	37.0110
24.299999	107.783	36.1755
24.700001	107.842	34.9581
25.000000	107.882	33.9767
25.400000	107.917	32.6809
25.799999	107.934	31.5305
26.200001	107.953	30.5809
26.500000	107.978	29.9633
26.900000	108.026	29.1702
27.200001	108.067	28.5470
27.600000	108.115	27.6596
28.000000	108.145	26.7429
28.500000	108.157	25.6347
29.000000	108.149	24.6116
29.500000	108.132	23.6582
30.000000	108.111	22.7395
30.400000	108.095	22.0090
30.700001	108.084	21.4545
31.100000	108.070	20.6954
31.500000	108.058	19.9061
32.000000	108.043	18.8807
32.500000	108.026	17.8401
33.000000	108.008	16.8286
33.500000	107.992	15.8778
34.000000	107.982	14.9898
34.500000	107.978	14.1494
35.000000	107.976	13.3498
35.500000	107.974	12.5945
36.000000	107.973	11.8771
36.500000	107.969	11.1760
37.000000	107.959	10.4784
37.500000	107.940	9.7950
38.200001	107.903	8.8862
38.700001	107.874	8.2599
39.500000	107.824	7.2646
40.000000	107.794	6.6375
40.599998	107.761	5.8492
41.200001	107.726	5.0056
41.799999	107.685	4.1649
42.500000	107.636	3.2650
43.099998	107.602	2.5143
43.700001	107.562	1.7498
44.400002	107.498	0.9764
45.000000	107.448	0.4969
45.500000	107.425	0.1335
46.200001	107.406	-0.5278
46.799999	107.373	-1.2272
47.500000	107.310	-2.0038
48.200001	107.244	-2.6666
48.700001	107.205	-3.1126
49.400002	107.159	-3.7427
50.000000	107.127	-4.3108
50.799999	107.083	-5.1327
51.500000	107.029	-5.8329
52.200001	106.966	-6.4239
53.000000	106.888	-6.9743
53.799999	106.803	-7.2816
54.500000	106.758	-7.3129
55.200001	106.765	-7.5058
56.000000	106.759	-8.3085
57.000000	106.612	-9.4851
58.000000	106.417	-9.8210
59.000000	106.342	-9.7963
60.000000	106.354	-10.4635
60.799999	106.315	-11.4906
61.500000	106.220	-12.2692
62.200001	106.111	-12.6678
63.000000	106.025	-12.7425
64.000000	106.001	-12.7894
65.000000	106.011	-13.3163
66.000000	105.959	-14.0579
67.000000	105.887	-14.5387
68.000000	105.837	-15.1274
69.000000	105.745	-15.8609
70.000000	105.632	-16.2771
71.000000	105.557	-16.5553
72.000000	105.492	-16.9733
73.000000	105.413	-17.4064
74.000000	105.323	-17.7720
75.000000	105.230	-18.0548
76.199997	105.134	-18.3449
77.500000	105.035	-18.8124
78.800003	104.936	-19.1595
