* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -34.3 dBFS, measurement signal peak level -27.1 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:45:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0066 ms (2.3 mm, 0.09 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 32.3 ppm
* Measurement: B3TypeE R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.387	52.1022
20.299999	107.480	51.1922
20.600000	107.572	50.1021
20.900000	107.642	48.8755
21.200001	107.680	47.6263
21.400000	107.689	46.8478
21.799999	107.684	45.5431
22.000000	107.683	45.0309
22.400000	107.711	44.1984
22.700001	107.763	43.6073
23.000000	107.832	42.9325
23.299999	107.904	42.1346
23.600000	107.963	41.2394
24.000000	108.013	40.0121
24.299999	108.032	39.1491
24.700001	108.048	38.1247
25.000000	108.062	37.4280
25.400000	108.087	36.5244
25.799999	108.111	35.5996
26.200001	108.125	34.6647
26.500000	108.129	33.9880
26.900000	108.128	33.1489
27.200001	108.130	32.5643
27.600000	108.139	31.8112
28.000000	108.156	31.0451
28.500000	108.179	30.0350
29.000000	108.199	28.9762
29.500000	108.212	27.8958
30.000000	108.218	26.8193
30.400000	108.217	25.9841
30.700001	108.213	25.3856
31.100000	108.208	24.6301
31.500000	108.205	23.9121
32.000000	108.205	23.0331
32.500000	108.204	22.1591
33.000000	108.196	21.3182
33.500000	108.186	20.5387
34.000000	108.179	19.8031
34.500000	108.171	19.0791
35.000000	108.158	18.3782
35.500000	108.143	17.7357
36.000000	108.134	17.1354
36.500000	108.134	16.5004
37.000000	108.129	15.7870
37.500000	108.108	15.0520
38.200001	108.061	14.1545
38.700001	108.037	13.5997
39.500000	108.015	12.6287
40.000000	107.992	11.9356
40.599998	107.946	11.1265
41.200001	107.894	10.4299
41.799999	107.855	9.8154
42.500000	107.830	9.0520
43.099998	107.807	8.2805
43.700001	107.763	7.4789
44.400002	107.694	6.7180
45.000000	107.648	6.2544
45.500000	107.632	5.8842
46.200001	107.622	5.2052
46.799999	107.596	4.5038
47.500000	107.537	3.7515
48.200001	107.469	3.1815
48.700001	107.427	2.8541
49.400002	107.381	2.4250
50.000000	107.351	2.0237
50.799999	107.310	1.3755
51.500000	107.258	0.7479
52.200001	107.189	0.1927
53.000000	107.118	-0.3182
53.799999	107.062	-0.8052
54.500000	107.018	-1.2264
55.200001	106.978	-1.6237
56.000000	106.938	-2.0959
57.000000	106.882	-2.7417
58.000000	106.806	-3.3949
59.000000	106.705	-3.9526
60.000000	106.600	-4.3682
60.799999	106.522	-4.6729
61.500000	106.457	-4.9288
62.200001	106.402	-5.1855
63.000000	106.354	-5.5428
64.000000	106.295	-6.1319
65.000000	106.222	-6.7147
66.000000	106.153	-7.1359
67.000000	106.103	-7.5079
68.000000	106.053	-7.9124
69.000000	105.991	-8.3181
70.000000	105.915	-8.6833
71.000000	105.831	-8.9745
72.000000	105.749	-9.2134
73.000000	105.673	-9.4601
74.000000	105.603	-9.7543
75.000000	105.534	-10.0924
76.199997	105.447	-10.5061
77.500000	105.353	-10.8770
78.800003	105.262	-11.1798
80.000000	105.177	-11.4062
81.199997	105.092	-11.5924
82.500000	104.997	-11.8055
83.800003	104.895	-11.9970
85.000000	104.806	-12.1653
86.199997	104.721	-12.3947
87.500000	104.625	-12.6443
88.500000	104.552	-12.7968
90.000000	104.455	-12.9354
91.199997	104.383	-13.0811
92.500000	104.293	-13.2203
93.800003	104.194	-13.3347
95.000000	104.093	-13.3741
96.199997	103.998	-13.3624
97.500000	103.903	-13.3586
98.800003	103.817	-13.3602
100.000000	103.743	-13.3595
101.500000	103.655	-13.3331
103.000000	103.557	-13.2761
104.400002	103.464	-13.1151
106.000000	103.373	-12.9281
107.500000	103.294	-12.8738
109.000000	103.221	-12.8286
110.599998	103.143	-12.8470
112.000000	103.063	-12.7747
113.800003	102.965	-12.4626
115.000000	102.907	-12.2397
117.199997	102.810	-11.7578
118.000000	102.789	-11.5734
120.599998	102.743	-11.2225
122.000000	102.725	-11.1218
124.099998	102.686	-11.1558
125.000000	102.662	-11.1841
126.500000	102.620	-11.2748
128.000000	102.567	-11.3788
131.500000	102.436	-11.4524
132.000000	102.416	-11.4468
134.000000	102.330	-11.3851
136.000000	102.238	-11.2690
138.000000	102.148	-11.1175
140.000000	102.065	-10.9434
143.000000	101.936	-10.6960
145.000000	101.850	-10.4570
147.500000	101.748	-10.1615
150.000000	101.647	-9.8352
152.500000	101.548	-9.4807
155.000000	101.459	-9.0994
157.500000	101.391	-8.6790
160.000000	101.341	-8.1990
162.500000	101.298	-7.6956
165.000000	101.245	-7.2178
167.500000	101.180	-6.7208
170.000000	101.118	-6.1930
172.500000	101.058	-5.6995
175.000000	101.002	-5.2656
177.500000	100.961	-4.9415
180.000000	100.933	-4.7078
182.500000	100.915	-4.4657
185.000000	100.900	-4.1829
187.500000	100.881	-3.9027
190.000000	100.857	-3.6233
192.500000	100.832	-3.3369
195.000000	100.802	-3.0414
197.500000	100.764	-2.7460
200.000000	100.725	-2.4389
203.000000	100.683	-2.0389
206.000000	100.640	-1.6099
209.000000	100.596	-1.1911
212.000000	100.557	-0.7835
214.000000	100.533	-0.5019
218.000000	100.488	0.1171
220.000000	100.466	0.4314
224.000000	100.421	1.0897
227.000000	100.395	1.6138
230.000000	100.376	2.1297
233.000000	100.364	2.6932
236.000000	100.367	3.2136
240.000000	100.380	3.8358
243.000000	100.405	4.2830
247.000000	100.436	4.6886
250.000000	100.456	4.9622
254.000000	100.492	5.2838
258.000000	100.524	5.5570
262.000000	100.539	5.8295
265.000000	100.538	6.0269
269.000000	100.531	6.2343
272.000000	100.530	6.3978
276.000000	100.534	6.6454
280.000000	100.534	6.8998
285.000000	100.531	7.2454
290.000000	100.531	7.5476
295.000000	100.536	7.8817
300.000000	100.540	8.2300
304.000000	100.542	8.4842
307.000000	100.544	8.6801
311.000000	100.548	8.9337
315.000000	100.552	9.1821
320.000000	100.558	9.4961
325.000000	100.566	9.8110
330.000000	100.576	10.1030
335.000000	100.585	10.3528
340.000000	100.594	10.6122
345.000000	100.603	10.8784
350.000000	100.613	11.1396
355.000000	100.622	11.3770
360.000000	100.631	11.6006
365.000000	100.643	11.8177
370.000000	100.655	12.0378
375.000000	100.667	12.2621
382.000000	100.683	12.5519
387.000000	100.694	12.7393
395.000000	100.712	13.0480
400.000000	100.722	13.2460
406.000000	100.734	13.4728
412.000000	100.748	13.6868
418.000000	100.761	13.8859
425.000000	100.776	14.1051
431.000000	100.788	14.2903
437.000000	100.801	14.4819
444.000000	100.814	14.7030
450.000000	100.825	14.8810
455.000000	100.835	15.0167
462.000000	100.849	15.2021
468.000000	100.861	15.3649
475.000000	100.874	15.5647
482.000000	100.885	15.7623
487.000000	100.894	15.8907
494.000000	100.907	16.0612
500.000000	100.918	16.2100
508.000000	100.930	16.4203
515.000000	100.938	16.6028
522.000000	100.947	16.7841
530.000000	100.961	16.9985
538.000000	100.975	17.1899
545.000000	100.986	17.3402
552.000000	100.996	17.5093
560.000000	101.006	17.7343
570.000000	101.019	17.9968
580.000000	101.035	18.2100
590.000000	101.052	18.4373
600.000000	101.067	18.7078
608.000000	101.078	18.9294
615.000000	101.087	19.1158
622.000000	101.097	19.3002
630.000000	101.108	19.5087
640.000000	101.124	19.7646
650.000000	101.141	20.0249
660.000000	101.156	20.2916
670.000000	101.172	20.5754
680.000000	101.190	20.8518
690.000000	101.210	21.1232
700.000000	101.229	21.4113
710.000000	101.246	21.7178
720.000000	101.264	22.0171
730.000000	101.285	22.3064
740.000000	101.308	22.6064
750.000000	101.332	22.9155
762.000000	101.364	23.2856
775.000000	101.398	23.6920
788.000000	101.433	24.1091
800.000000	101.467	24.4998
812.000000	101.503	24.8959
825.000000	101.548	25.3286
838.000000	101.598	25.7605
850.000000	101.645	26.1571
862.000000	101.693	26.5537
875.000000	101.748	26.9840
885.000000	101.793	27.3015
900.000000	101.863	27.7643
912.000000	101.925	28.1328
925.000000	101.999	28.5219
938.000000	102.070	28.8909
950.000000	102.123	29.2169
962.000000	102.162	29.5200
975.000000	102.215	29.8158
988.000000	102.301	30.0800
1000.000000	102.398	30.3039
1015.000000	102.524	30.5523
