* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -34.1 dBFS, measurement signal peak level -34.1 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:47:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0148 ms (-5.1 mm, -0.2 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 25.4 ppm
* Measurement: B3TypeE R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.461	51.8335
20.299999	107.523	50.9287
20.600000	107.569	49.9234
20.900000	107.594	48.9439
21.200001	107.610	48.0870
21.400000	107.626	47.5901
21.799999	107.687	46.6740
22.000000	107.732	46.1891
22.400000	107.833	45.0514
22.700001	107.898	44.0611
23.000000	107.939	43.0387
23.299999	107.958	42.0844
23.600000	107.967	41.2655
24.000000	107.989	40.3788
24.299999	108.022	39.7865
24.700001	108.087	38.9476
25.000000	108.138	38.2308
25.400000	108.189	37.1851
25.799999	108.215	36.1368
26.200001	108.223	35.1799
26.500000	108.224	34.5378
26.900000	108.230	33.7536
27.200001	108.238	33.1889
27.600000	108.251	32.4334
28.000000	108.264	31.6632
28.500000	108.276	30.6928
29.000000	108.283	29.7431
29.500000	108.290	28.8297
30.000000	108.302	27.9353
30.400000	108.315	27.2108
30.700001	108.324	26.6572
31.100000	108.333	25.9158
31.500000	108.337	25.1918
32.000000	108.340	24.3326
32.500000	108.345	23.5063
33.000000	108.349	22.6763
33.500000	108.344	21.8486
34.000000	108.328	21.0754
34.500000	108.308	20.3871
35.000000	108.295	19.7438
35.500000	108.288	19.0737
36.000000	108.277	18.3468
36.500000	108.256	17.5928
37.000000	108.226	16.8544
37.500000	108.192	16.1460
38.200001	108.146	15.1930
38.700001	108.114	14.5432
39.500000	108.069	13.5698
40.000000	108.047	12.9832
40.599998	108.023	12.2793
41.200001	108.000	11.5845
41.799999	107.978	10.9130
42.500000	107.950	10.1544
43.099998	107.922	9.5264
43.700001	107.888	8.9357
44.400002	107.846	8.3050
45.000000	107.811	7.7969
45.500000	107.783	7.3713
46.200001	107.740	6.7408
46.799999	107.695	6.1928
47.500000	107.635	5.6279
48.200001	107.589	5.1282
48.700001	107.566	4.7300
49.400002	107.528	4.0778
50.000000	107.478	3.5353
50.799999	107.407	2.9945
51.500000	107.362	2.6050
52.200001	107.327	2.1515
53.000000	107.278	1.5673
53.799999	107.217	1.0105
54.500000	107.159	0.5903
55.200001	107.104	0.2291
56.000000	107.048	-0.1805
57.000000	106.975	-0.7095
58.000000	106.906	-1.1155
59.000000	106.863	-1.5698
60.000000	106.800	-2.1322
60.799999	106.738	-2.4273
61.500000	106.703	-2.6096
62.200001	106.682	-2.8985
63.000000	106.644	-3.4021
64.000000	106.554	-4.0043
65.000000	106.452	-4.3748
66.000000	106.366	-4.6373
67.000000	106.295	-4.9234
68.000000	106.227	-5.2843
69.000000	106.153	-5.6515
70.000000	106.084	-5.9786
71.000000	106.019	-6.3345
72.000000	105.947	-6.6713
73.000000	105.875	-6.9363
74.000000	105.807	-7.1709
75.000000	105.740	-7.3905
