* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -34.0 dBFS, measurement signal peak level -33.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:46:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1987 ms (-68 mm, -2.68 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 3.9 ppm
* Measurement: B3TypeE R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.503	54.7170
20.299999	107.579	53.6538
20.600000	107.652	52.3733
20.900000	107.709	50.9304
21.200001	107.741	49.4303
21.400000	107.749	48.4580
21.799999	107.747	46.6970
22.000000	107.746	45.9329
22.400000	107.763	44.6143
22.700001	107.796	43.7431
23.000000	107.844	42.9118
23.299999	107.899	42.0943
23.600000	107.952	41.2960
24.000000	108.017	40.3036
24.299999	108.060	39.6385
24.700001	108.117	38.8553
25.000000	108.161	38.3199
25.400000	108.221	37.6273
25.799999	108.276	36.9212
26.200001	108.321	36.1852
26.500000	108.348	35.6114
26.900000	108.373	34.8156
27.200001	108.384	34.1946
27.600000	108.389	33.3379
28.000000	108.382	32.4615
28.500000	108.360	31.3702
29.000000	108.331	30.3184
29.500000	108.306	29.3226
30.000000	108.294	28.3651
30.400000	108.297	27.5955
30.700001	108.303	26.9995
31.100000	108.313	26.1753
31.500000	108.317	25.3409
32.000000	108.310	24.3658
32.500000	108.298	23.5552
33.000000	108.299	22.9016
33.500000	108.322	22.2693
34.000000	108.352	21.5185
34.500000	108.360	20.6570
35.000000	108.335	19.8416
35.500000	108.296	19.2005
36.000000	108.273	18.6768
36.500000	108.268	18.0902
37.000000	108.259	17.3649
37.500000	108.227	16.6203
38.200001	108.178	15.7839
38.700001	108.170	15.2383
39.500000	108.173	14.1345
40.000000	108.153	13.4058
40.599998	108.125	12.6512
41.200001	108.112	11.8895
41.799999	108.082	11.0168
42.500000	107.993	10.2056
43.099998	107.926	9.8869
43.700001	107.911	9.5964
44.400002	107.903	8.9170
45.000000	107.852	8.2763
45.500000	107.798	7.9198
46.200001	107.759	7.5983
46.799999	107.763	7.1812
47.500000	107.764	6.3515
48.200001	107.712	5.3365
48.700001	107.638	4.7262
49.400002	107.519	4.2799
50.000000	107.456	4.1798
50.799999	107.438	3.8705
51.500000	107.411	3.2777
52.200001	107.349	2.7001
53.000000	107.278	2.2233
53.799999	107.225	1.7735
54.500000	107.182	1.3894
55.200001	107.146	1.0325
56.000000	107.109	0.5980
57.000000	107.050	0.1509
58.000000	107.014	-0.1175
59.000000	106.995	-0.6629
60.000000	106.898	-1.3473
60.799999	106.785	-1.4965
61.500000	106.721	-1.4076
62.200001	106.692	-1.4460
63.000000	106.658	-1.7244
64.000000	106.601	-2.1555
65.000000	106.541	-2.6868
66.000000	106.464	-3.2308
67.000000	106.387	-3.7291
68.000000	106.296	-4.1901
69.000000	106.203	-4.4695
70.000000	106.125	-4.6792
71.000000	106.053	-4.8023
72.000000	106.006	-4.9501
73.000000	105.948	-5.2515
74.000000	105.870	-5.3951
75.000000	105.819	-5.4889
76.199997	105.744	-5.8345
77.500000	105.638	-6.0494
78.800003	105.543	-6.2562
80.000000	105.449	-6.4219
81.199997	105.364	-6.5350
82.500000	105.281	-6.6825
83.800003	105.195	-6.8385
85.000000	105.111	-6.9386
86.199997	105.025	-6.9623
87.500000	104.943	-6.9203
88.500000	104.889	-6.9059
90.000000	104.815	-6.9910
91.199997	104.739	-7.1725
92.500000	104.629	-7.2803
93.800003	104.514	-7.2253
95.000000	104.410	-7.1162
96.199997	104.307	-7.0034
97.500000	104.196	-6.7532
98.800003	104.122	-6.3881
100.000000	104.075	-6.1931
101.500000	103.992	-5.9479
103.000000	103.895	-5.5765
104.400002	103.787	-5.2435
106.000000	103.667	-5.0543
107.500000	103.578	-5.3053
109.000000	103.494	-5.9160
110.599998	103.410	-6.4158
112.000000	103.362	-6.2426
113.800003	103.339	-5.5840
115.000000	103.318	-5.0399
117.199997	103.200	-4.3007
118.000000	103.145	-4.0813
120.599998	102.967	-3.6715
122.000000	102.902	-3.3784
124.099998	102.816	-2.8682
125.000000	102.775	-2.5376
126.500000	102.710	-2.0431
128.000000	102.613	-1.7863
131.500000	102.398	-0.6826
132.000000	102.381	-0.5838
134.000000	102.276	-0.2507
136.000000	102.163	0.9408
138.000000	102.140	2.0602
140.000000	102.144	2.4607
143.000000	101.977	3.6688
145.000000	101.956	4.8202
147.500000	102.098	6.5677
150.000000	102.147	6.3206
152.500000	102.187	6.8677
155.000000	102.123	6.2995
157.500000	102.014	7.2939
160.000000	101.995	7.7706
162.500000	101.872	7.8836
165.000000	101.743	8.5621
167.500000	101.691	9.3178
170.000000	101.651	9.8815
172.500000	101.569	10.3742
175.000000	101.468	10.9388
177.500000	101.381	11.5475
180.000000	101.316	12.3466
182.500000	101.275	13.2211
185.000000	101.233	14.0251
187.500000	101.190	14.7954
190.000000	101.164	15.5609
192.500000	101.152	16.2970
195.000000	101.132	16.9887
197.500000	101.094	17.6621
200.000000	101.050	18.3478
203.000000	101.006	19.2154
206.000000	100.970	20.1141
209.000000	100.937	21.0345
212.000000	100.905	21.9856
214.000000	100.880	22.6262
218.000000	100.823	23.8506
220.000000	100.800	24.4393
224.000000	100.763	25.6568
227.000000	100.734	26.6390
230.000000	100.707	27.6293
233.000000	100.686	28.6308
236.000000	100.671	29.6913
240.000000	100.669	31.1845
243.000000	100.683	32.2826
247.000000	100.728	33.6129
250.000000	100.773	34.4728
254.000000	100.834	35.4263
258.000000	100.881	36.2344
262.000000	100.904	37.0469
265.000000	100.910	37.6473
269.000000	100.910	38.4482
272.000000	100.909	39.0873
276.000000	100.904	39.9948
280.000000	100.899	40.9284
285.000000	100.897	42.1091
290.000000	100.901	43.2574
295.000000	100.901	44.4096
300.000000	100.902	45.5802
304.000000	100.906	46.5342
307.000000	100.911	47.2553
311.000000	100.918	48.1994
315.000000	100.924	49.1290
320.000000	100.935	50.2651
325.000000	100.949	51.3854
330.000000	100.960	52.5191
335.000000	100.969	53.6533
340.000000	100.979	54.7894
345.000000	100.990	55.9210
350.000000	101.001	57.0321
355.000000	101.011	58.1226
360.000000	101.021	59.2297
365.000000	101.033	60.3446
370.000000	101.044	61.4375
375.000000	101.053	62.5205
382.000000	101.068	64.0537
387.000000	101.081	65.1619
395.000000	101.098	66.9005
400.000000	101.105	67.9661
406.000000	101.117	69.2594
412.000000	101.129	70.5670
418.000000	101.141	71.8546
425.000000	101.157	73.3374
431.000000	101.170	74.6266
437.000000	101.182	75.9220
444.000000	101.194	77.4124
450.000000	101.204	78.6774
455.000000	101.213	79.7343
462.000000	101.227	81.2249
468.000000	101.238	82.4971
475.000000	101.249	83.9742
482.000000	101.262	85.4512
487.000000	101.271	86.5064
494.000000	101.282	87.9710
500.000000	101.290	89.2276
508.000000	101.302	90.8894
515.000000	101.312	92.3424
522.000000	101.322	93.8117
530.000000	101.335	95.4917
538.000000	101.348	97.1540
545.000000	101.358	98.5999
552.000000	101.368	100.0449
560.000000	101.379	101.6956
