* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -32.7 dBFS, measurement signal peak level -31.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:06:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0137 ms (-4.7 mm, -0.19 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 26.9 ppm
* Measurement: B3UC L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.000	53.7879
20.299999	106.083	52.6812
20.600000	106.190	51.8272
20.900000	106.325	51.0905
21.200001	106.476	50.3424
21.400000	106.575	49.8051
21.799999	106.743	48.6601
22.000000	106.807	48.0905
22.400000	106.892	47.0663
22.700001	106.929	46.4528
23.000000	106.955	45.9762
23.299999	106.979	45.5998
23.600000	107.006	45.2628
24.000000	107.053	44.7490
24.299999	107.093	44.2260
24.700001	107.137	43.2519
25.000000	107.150	42.3051
25.400000	107.120	40.8485
25.799999	107.029	39.3816
26.200001	106.899	38.1448
26.500000	106.805	37.4336
26.900000	106.718	36.6853
27.200001	106.692	36.1344
27.600000	106.690	35.2428
28.000000	106.686	34.1884
28.500000	106.644	33.0262
29.000000	106.615	32.4858
29.500000	106.705	32.3689
30.000000	106.921	31.8263
30.400000	107.095	30.7205
30.700001	107.171	29.5988
31.100000	107.166	28.0995
31.500000	107.061	27.0751
32.000000	106.909	26.8555
32.500000	106.879	27.3648
33.000000	106.986	27.5532
33.500000	107.109	26.8997
34.000000	107.146	25.7760
34.500000	107.113	24.7800
35.000000	107.092	24.0483
35.500000	107.121	23.2282
36.000000	107.158	22.0398
36.500000	107.144	20.6542
37.000000	107.080	19.4544
37.500000	107.015	18.6044
38.200001	106.968	17.6973
38.700001	106.934	17.1256
39.500000	106.871	16.7582
40.000000	106.890	16.8012
40.599998	106.978	16.4855
41.200001	107.024	15.5368
41.799999	106.955	14.5740
42.500000	106.838	14.2169
43.099998	106.834	14.1350
43.700001	106.885	13.5043
44.400002	106.874	12.1366
45.000000	106.784	11.0831
45.500000	106.695	10.5345
46.200001	106.609	10.1452
46.799999	106.585	9.9375
47.500000	106.608	9.6049
48.200001	106.658	8.9499
48.700001	106.679	8.2606
49.400002	106.658	7.1724
50.000000	106.595	6.3403
50.799999	106.481	5.5652
51.500000	106.388	5.1641
52.200001	106.316	4.8816
53.000000	106.250	4.5970
53.799999	106.187	4.3872
54.500000	106.134	4.3061
55.200001	106.084	4.2922
56.000000	106.022	4.2913
57.000000	105.930	4.3412
58.000000	105.868	4.3700
59.000000	105.845	3.7099
60.000000	105.764	2.3760
60.799999	105.664	1.3368
61.500000	105.592	0.5925
62.200001	105.557	-0.0386
63.000000	105.560	-0.7266
64.000000	105.580	-1.5870
65.000000	105.576	-2.1588
66.000000	105.558	-2.3707
67.000000	105.521	-2.4094
68.000000	105.464	-2.4616
69.000000	105.375	-2.7108
70.000000	105.257	-3.0102
71.000000	105.155	-3.3548
72.000000	105.075	-3.8328
73.000000	105.010	-4.3178
74.000000	104.962	-4.7426
75.000000	104.917	-5.0754
76.199997	104.859	-5.3439
77.500000	104.783	-5.5637
78.800003	104.685	-5.8303
80.000000	104.592	-6.0708
81.199997	104.514	-6.3600
82.500000	104.447	-6.7979
83.800003	104.359	-7.1236
85.000000	104.299	-7.2069
86.199997	104.239	-7.3154
87.500000	104.169	-7.4660
88.500000	104.096	-7.6582
90.000000	103.977	-7.8328
91.199997	103.887	-7.9921
92.500000	103.795	-8.1284
93.800003	103.707	-8.2636
95.000000	103.623	-8.2798
96.199997	103.555	-8.2429
97.500000	103.485	-8.3461
98.800003	103.394	-8.4976
100.000000	103.306	-8.5373
101.500000	103.207	-8.5898
103.000000	103.101	-8.6023
104.400002	103.005	-8.4968
106.000000	102.904	-8.2607
107.500000	102.830	-8.0185
109.000000	102.752	-7.8976
110.599998	102.651	-7.7095
112.000000	102.569	-7.4193
113.800003	102.487	-7.0248
115.000000	102.445	-6.7392
117.199997	102.400	-6.2034
118.000000	102.391	-6.0158
120.599998	102.377	-5.5169
122.000000	102.368	-5.3514
124.099998	102.347	-5.1576
125.000000	102.335	-5.0866
126.500000	102.310	-4.9146
128.000000	102.291	-4.7102
131.500000	102.237	-4.5598
132.000000	102.229	-4.5464
134.000000	102.207	-4.5277
136.000000	102.194	-4.6055
138.000000	102.162	-4.7197
140.000000	102.105	-4.7982
143.000000	102.002	-4.8863
145.000000	101.937	-4.9283
147.500000	101.857	-4.9124
150.000000	101.771	-4.8294
152.500000	101.686	-4.7041
155.000000	101.609	-4.5562
157.500000	101.549	-4.3424
160.000000	101.500	-4.0962
162.500000	101.452	-3.8442
165.000000	101.394	-3.5957
167.500000	101.320	-3.3287
170.000000	101.234	-3.0491
172.500000	101.146	-2.7657
175.000000	101.065	-2.4753
177.500000	100.995	-2.1632
180.000000	100.937	-1.8348
182.500000	100.895	-1.5147
185.000000	100.867	-1.1856
187.500000	100.848	-0.8504
190.000000	100.828	-0.5165
192.500000	100.803	-0.1980
195.000000	100.772	0.1101
197.500000	100.737	0.4275
200.000000	100.702	0.7562
203.000000	100.660	1.1463
206.000000	100.621	1.5326
209.000000	100.585	1.9070
212.000000	100.552	2.2760
214.000000	100.531	2.5226
218.000000	100.488	3.0242
220.000000	100.466	3.2870
224.000000	100.420	3.8115
227.000000	100.386	4.2095
230.000000	100.354	4.6104
233.000000	100.323	5.0343
236.000000	100.299	5.4825
240.000000	100.274	6.0538
243.000000	100.258	6.4781
247.000000	100.237	7.0559
250.000000	100.223	7.5217
254.000000	100.209	8.1408
258.000000	100.202	8.8104
262.000000	100.205	9.4911
265.000000	100.215	10.0463
269.000000	100.253	10.8160
272.000000	100.300	11.2868
276.000000	100.373	11.7310
280.000000	100.447	12.0394
285.000000	100.523	12.2213
290.000000	100.579	12.2547
295.000000	100.615	12.3393
300.000000	100.632	12.4736
304.000000	100.640	12.5750
307.000000	100.645	12.6462
311.000000	100.650	12.7649
315.000000	100.655	12.9326
320.000000	100.658	13.1523
325.000000	100.658	13.3522
330.000000	100.660	13.5351
335.000000	100.665	13.7097
340.000000	100.668	13.8824
345.000000	100.670	14.0791
350.000000	100.671	14.3067
355.000000	100.672	14.5434
360.000000	100.672	14.7675
365.000000	100.675	14.9655
370.000000	100.678	15.1568
375.000000	100.679	15.3738
382.000000	100.683	15.6964
387.000000	100.687	15.9073
395.000000	100.691	16.2342
400.000000	100.696	16.4349
406.000000	100.703	16.6791
412.000000	100.709	16.9315
418.000000	100.714	17.1838
425.000000	100.721	17.4529
431.000000	100.727	17.6799
437.000000	100.733	17.8948
444.000000	100.743	18.1435
450.000000	100.749	18.3850
455.000000	100.753	18.5904
462.000000	100.758	18.8495
468.000000	100.764	19.0441
475.000000	100.774	19.2756
482.000000	100.785	19.5225
487.000000	100.791	19.7025
494.000000	100.796	19.9606
500.000000	100.800	20.1834
508.000000	100.808	20.4491
515.000000	100.816	20.6648
522.000000	100.824	20.8981
530.000000	100.833	21.1789
538.000000	100.841	21.4545
545.000000	100.850	21.6895
552.000000	100.858	21.9250
560.000000	100.866	22.1954
570.000000	100.877	22.5307
580.000000	100.889	22.8660
590.000000	100.900	23.2141
600.000000	100.912	23.5602
608.000000	100.923	23.8212
615.000000	100.934	24.0421
622.000000	100.945	24.2706
630.000000	100.953	24.5572
640.000000	100.962	24.9381
650.000000	100.974	25.2984
660.000000	100.990	25.6343
670.000000	101.009	25.9821
680.000000	101.026	26.3491
690.000000	101.041	26.7308
700.000000	101.057	27.1056
710.000000	101.076	27.4814
720.000000	101.097	27.8549
730.000000	101.119	28.2285
740.000000	101.141	28.6172
750.000000	101.162	29.0202
762.000000	101.190	29.5137
775.000000	101.225	30.0439
788.000000	101.265	30.5621
800.000000	101.303	31.0333
812.000000	101.338	31.5271
825.000000	101.379	32.0754
838.000000	101.427	32.6156
850.000000	101.476	33.0972
862.000000	101.527	33.5790
875.000000	101.582	34.1034
885.000000	101.624	34.4962
900.000000	101.691	35.0863
912.000000	101.753	35.5437
925.000000	101.825	36.0126
938.000000	101.892	36.4692
950.000000	101.943	36.8775
962.000000	101.980	37.2630
975.000000	102.028	37.6586
988.000000	102.109	38.0332
1000.000000	102.203	38.3541
1015.000000	102.322	38.7209
1030.000000	102.434	39.0535
1044.000000	102.530	39.3317
1060.000000	102.635	39.5954
1075.000000	102.732	39.7917
1090.000000	102.826	39.9604
1106.000000	102.922	40.1105
1120.000000	103.003	40.2122
1138.000000	103.104	40.3003
1150.000000	103.170	40.3340
1172.000000	103.282	40.3489
1180.000000	103.321	40.3382
1206.000000	103.444	40.2758
1220.000000	103.509	40.2312
1241.000000	103.604	40.1424
1250.000000	103.644	40.0983
1265.000000	103.710	40.0198
1280.000000	103.773	39.9331
1315.000000	103.917	39.7350
1320.000000	103.938	39.7056
1340.000000	104.022	39.5812
1360.000000	104.106	39.4581
1380.000000	104.182	39.3594
1400.000000	104.251	39.2852
1430.000000	104.354	39.1672
1450.000000	104.428	39.0748
1475.000000	104.520	38.9717
1500.000000	104.605	38.9053
1525.000000	104.685	38.8688
1550.000000	104.766	38.8439
1575.000000	104.852	38.8336
1600.000000	104.940	38.8366
1625.000000	105.027	38.8521
1650.000000	105.112	38.8780
1675.000000	105.201	38.9175
1700.000000	105.296	38.9643
1725.000000	105.395	39.0073
1750.000000	105.494	39.0444
1775.000000	105.589	39.0698
1800.000000	105.683	39.0919
1825.000000	105.783	39.1134
1850.000000	105.888	39.1513
1875.000000	105.994	39.2244
1900.000000	106.105	39.3182
1925.000000	106.222	39.4228
1950.000000	106.347	39.5319
1975.000000	106.477	39.6251
2000.000000	106.612	39.6825
2030.000000	106.779	39.6756
2060.000000	106.954	39.5675
2090.000000	107.133	39.3724
2120.000000	107.310	39.1320
2140.000000	107.422	38.9693
2180.000000	107.633	38.6585
2200.000000	107.735	38.5183
2240.000000	107.943	38.2463
2270.000000	108.109	38.0442
2300.000000	108.282	37.8556
2330.000000	108.463	37.6753
2360.000000	108.652	37.4909
2400.000000	108.923	37.2006
2430.000000	109.142	36.9325
2470.000000	109.455	36.4642
2500.000000	109.704	35.9897
2540.000000	110.046	35.1266
2580.000000	110.386	33.9552
2620.000000	110.718	32.4607
2650.000000	110.953	31.1631
2690.000000	111.239	29.2842
2720.000000	111.429	27.8043
2760.000000	111.653	25.7737
2800.000000	111.851	23.7041
2850.000000	112.072	21.0778
2900.000000	112.267	18.4119
2950.000000	112.427	15.6903
3000.000000	112.551	12.8918
3040.000000	112.630	10.6160
3070.000000	112.680	8.8990
3110.000000	112.731	6.6257
3150.000000	112.760	4.3993
3200.000000	112.766	1.7055
3250.000000	112.749	-0.8697
3300.000000	112.721	-3.3195
3350.000000	112.680	-5.6354
3400.000000	112.611	-7.8125
3450.000000	112.510	-9.8409
3500.000000	112.382	-11.7218
3550.000000	112.242	-13.4595
3600.000000	112.105	-15.0557
3650.000000	111.976	-16.5129
3700.000000	111.855	-17.8383
3750.000000	111.743	-19.0297
3820.000000	111.621	-20.5223
3870.000000	111.554	-21.4775
3950.000000	111.462	-22.8399
4000.000000	111.401	-23.6114
4060.000000	111.305	-24.4692
4120.000000	111.201	-25.2974
4180.000000	111.097	-26.1165
4250.000000	110.983	-27.0747
4310.000000	110.898	-27.9158
4370.000000	110.825	-28.7803
4440.000000	110.756	-29.7992
4500.000000	110.713	-30.6853
4550.000000	110.687	-31.4311
4620.000000	110.657	-32.4927
4680.000000	110.638	-33.4266
4750.000000	110.622	-34.5491
4820.000000	110.610	-35.7066
4870.000000	110.600	-36.5355
4940.000000	110.587	-37.6849
5000.000000	110.571	-38.6267
5080.000000	110.544	-39.7577
5150.000000	110.521	-40.5902
5220.000000	110.503	-41.2657
5300.000000	110.502	-41.8735
5380.000000	110.531	-42.3540
5450.000000	110.597	-42.7313
5520.000000	110.719	-43.1494
5600.000000	110.937	-43.8097
5700.000000	111.322	-45.2222
5800.000000	111.779	-47.7496
5900.000000	112.218	-51.7314
6000.000000	112.502	-56.9680
6080.000000	112.535	-61.5136
6150.000000	112.420	-65.2983
6220.000000	112.202	-68.5878
6300.000000	111.888	-71.5000
6400.000000	111.510	-73.8198
6500.000000	111.267	-74.9874
6600.000000	111.244	-75.6990
6700.000000	111.460	-76.8434
6800.000000	111.871	-79.2708
6900.000000	112.380	-83.6174
7000.000000	112.843	-90.2048
7100.000000	113.088	-98.8697
7200.000000	112.965	-108.8807
7300.000000	112.404	-119.0535
7400.000000	111.454	-128.1209
7500.000000	110.251	-135.4587
7620.000000	108.617	-141.7666
7750.000000	106.793	-145.5952
7880.000000	105.065	-147.0330
8000.000000	103.620	-146.9238
8120.000000	102.339	-145.8830
8250.000000	101.126	-144.0265
8380.000000	100.078	-141.6415
8500.000000	99.234	-139.1183
8620.000000	98.494	-136.3697
8750.000000	97.801	-133.2298
8850.000000	97.340	-130.7525
9000.000000	96.756	-126.9876
9120.000000	96.371	-123.9759
9250.000000	96.028	-120.7675
9380.000000	95.755	-117.6423
9500.000000	95.565	-114.8416
9620.000000	95.437	-112.1542
9750.000000	95.367	-109.4160
9880.000000	95.371	-106.9033
10000.000000	95.437	-104.8215
10150.000000	95.601	-102.6307
10300.000000	95.851	-100.9909
10440.000000	96.153	-100.0827
10600.000000	96.564	-99.9552
10750.000000	96.977	-100.8039
10900.000000	97.375	-102.6271
11060.000000	97.732	-105.6167
11200.000000	97.952	-108.9756
11380.000000	98.076	-113.9195
11500.000000	98.052	-117.3556
11720.000000	97.791	-123.3895
11800.000000	97.636	-125.3549
12060.000000	97.010	-130.5168
12200.000000	96.647	-132.5142
12410.000000	96.138	-134.4659
12500.000000	95.952	-134.9306
12650.000000	95.703	-135.3065
12800.000000	95.548	-135.3250
13150.000000	95.625	-134.6452
13200.000000	95.696	-134.5386
13400.000000	96.153	-134.3254
13600.000000	96.933	-134.8066
13800.000000	98.177	-136.7082
14000.000000	100.081	-141.8087
14300.000000	103.425	-161.5575
14500.000000	104.609	176.6802
14750.000000	103.934	148.2252
15000.000000	101.691	127.7478
15250.000000	99.239	116.1147
15500.000000	97.227	109.5891
15750.000000	95.679	105.1231
16000.000000	94.504	100.9945
16250.000000	93.624	96.1817
16500.000000	93.267	90.0113
16750.000000	93.661	81.7986
17000.000000	94.482	70.8874
17250.000000	95.401	56.9731
17500.000000	96.227	40.0954
17750.000000	96.825	20.7402
18000.000000	97.156	-0.3615
18250.000000	97.265	-22.5334
18500.000000	97.259	-45.4629
18750.000000	97.283	-69.4086
19000.000000	97.422	-95.2474
19250.000000	97.665	-123.8803
19500.000000	97.947	-156.2402
19750.000000	98.125	167.5607
20000.000000	98.137	135.7706
