* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.5 dBFS, measurement signal peak level -33.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:03:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0377 ms (-13 mm, -0.51 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 25.1 ppm
* Measurement: B3UC L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.185	57.1382
20.299999	106.264	56.3694
20.600000	106.358	55.4774
20.900000	106.446	54.4318
21.200001	106.509	53.2995
21.400000	106.534	52.5579
21.799999	106.552	51.2580
22.000000	106.556	50.7380
22.400000	106.584	49.9260
22.700001	106.635	49.3966
23.000000	106.709	48.8039
23.299999	106.791	48.0739
23.600000	106.863	47.2073
24.000000	106.924	45.9590
24.299999	106.941	45.0716
24.700001	106.948	44.0727
25.000000	106.955	43.4645
25.400000	106.984	42.7476
25.799999	107.034	42.0040
26.200001	107.087	41.1581
26.500000	107.121	40.4690
26.900000	107.154	39.5330
27.200001	107.172	38.8495
27.600000	107.192	37.9767
28.000000	107.212	37.1346
28.500000	107.234	36.1076
29.000000	107.250	35.1265
29.500000	107.265	34.2190
30.000000	107.285	33.3745
30.400000	107.304	32.7204
30.700001	107.319	32.2344
31.100000	107.337	31.5929
31.500000	107.353	30.9637
32.000000	107.371	30.1949
32.500000	107.386	29.4360
33.000000	107.393	28.6873
33.500000	107.393	27.9714
34.000000	107.391	27.3070
34.500000	107.393	26.6702
35.000000	107.401	25.9970
35.500000	107.408	25.2408
36.000000	107.402	24.4260
36.500000	107.379	23.6365
37.000000	107.349	22.9396
37.500000	107.326	22.3271
38.200001	107.314	21.4883
38.700001	107.310	20.8530
39.500000	107.297	19.8395
40.000000	107.287	19.2444
40.599998	107.274	18.5558
41.200001	107.259	17.8861
41.799999	107.239	17.2607
42.500000	107.217	16.6048
43.099998	107.202	16.0709
43.700001	107.188	15.5218
44.400002	107.167	14.8533
45.000000	107.141	14.2920
45.500000	107.115	13.8607
46.200001	107.083	13.3106
46.799999	107.062	12.8381
47.500000	107.039	12.2372
48.200001	107.008	11.6286
48.700001	106.983	11.2274
49.400002	106.952	10.6980
50.000000	106.927	10.2354
50.799999	106.883	9.6328
51.500000	106.840	9.1826
52.200001	106.803	8.7747
53.000000	106.764	8.2873
53.799999	106.723	7.8081
54.500000	106.689	7.4109
55.200001	106.656	7.0016
56.000000	106.613	6.5275
57.000000	106.555	5.9621
58.000000	106.493	5.4188
59.000000	106.429	4.9500
60.000000	106.374	4.5066
60.799999	106.328	4.1255
61.500000	106.285	3.8065
62.200001	106.241	3.5200
63.000000	106.194	3.2175
64.000000	106.137	2.8607
65.000000	106.081	2.5247
66.000000	106.023	2.1864
67.000000	105.959	1.8760
68.000000	105.895	1.6147
69.000000	105.836	1.3679
70.000000	105.783	1.0801
71.000000	105.727	0.7374
72.000000	105.664	0.4239
73.000000	105.606	0.1716
74.000000	105.553	-0.0776
75.000000	105.498	-0.3152
76.199997	105.432	-0.5728
77.500000	105.354	-0.8246
78.800003	105.275	-1.0131
80.000000	105.204	-1.1940
81.199997	105.132	-1.3856
82.500000	105.052	-1.5564
83.800003	104.984	-1.6913
85.000000	104.921	-1.8478
86.199997	104.855	-1.9764
87.500000	104.782	-2.1002
88.500000	104.723	-2.1782
90.000000	104.635	-2.2589
91.199997	104.567	-2.3398
92.500000	104.491	-2.4205
93.800003	104.418	-2.4874
95.000000	104.351	-2.5569
96.199997	104.280	-2.5881
97.500000	104.208	-2.5807
98.800003	104.141	-2.5953
100.000000	104.076	-2.6339
101.500000	103.993	-2.5979
103.000000	103.919	-2.5258
104.400002	103.852	-2.4572
106.000000	103.770	-2.4122
107.500000	103.685	-2.3391
109.000000	103.603	-2.2543
110.599998	103.516	-2.1562
112.000000	103.446	-2.0244
113.800003	103.357	-1.8702
115.000000	103.296	-1.7246
117.199997	103.194	-1.4714
118.000000	103.156	-1.4148
120.599998	103.031	-1.1865
122.000000	102.970	-0.9871
124.099998	102.886	-0.6055
125.000000	102.851	-0.4291
126.500000	102.792	-0.1465
128.000000	102.729	0.0944
131.500000	102.566	0.6760
132.000000	102.545	0.7727
134.000000	102.463	1.1901
136.000000	102.389	1.6519
138.000000	102.313	2.0547
140.000000	102.228	2.4478
143.000000	102.104	2.9894
145.000000	102.022	3.4271
147.500000	101.928	4.2246
150.000000	101.832	5.1602
152.500000	101.740	6.2713
155.000000	101.706	7.4626
157.500000	101.746	8.5591
160.000000	101.837	9.4753
162.500000	101.944	10.0112
165.000000	102.025	10.1568
167.500000	102.055	10.1312
170.000000	102.033	10.0889
172.500000	101.974	10.1072
175.000000	101.904	10.1923
177.500000	101.839	10.3436
180.000000	101.782	10.5480
182.500000	101.739	10.7854
185.000000	101.707	11.0654
187.500000	101.680	11.4103
190.000000	101.653	11.7748
192.500000	101.622	12.1373
195.000000	101.589	12.5064
197.500000	101.553	12.8821
200.000000	101.514	13.2697
203.000000	101.471	13.7513
206.000000	101.432	14.2413
209.000000	101.397	14.7278
212.000000	101.363	15.2018
214.000000	101.341	15.5138
218.000000	101.303	16.1356
220.000000	101.286	16.4495
224.000000	101.250	17.0734
227.000000	101.221	17.5386
230.000000	101.196	18.0006
233.000000	101.174	18.4631
236.000000	101.153	18.9249
240.000000	101.126	19.5226
243.000000	101.107	19.9671
247.000000	101.087	20.5579
250.000000	101.072	20.9851
254.000000	101.053	21.5604
258.000000	101.037	22.1556
262.000000	101.028	22.7496
265.000000	101.022	23.1937
269.000000	101.012	23.7912
272.000000	101.005	24.2418
276.000000	101.000	24.8458
280.000000	100.999	25.4661
285.000000	101.007	26.2550
290.000000	101.029	26.9803
295.000000	101.062	27.6328
300.000000	101.095	28.2436
304.000000	101.120	28.7083
307.000000	101.139	29.0254
311.000000	101.163	29.3929
315.000000	101.183	29.7148
320.000000	101.206	30.0995
325.000000	101.225	30.5027
330.000000	101.240	30.9326
335.000000	101.254	31.3492
340.000000	101.267	31.7200
345.000000	101.279	32.0608
350.000000	101.290	32.4174
355.000000	101.299	32.8010
360.000000	101.306	33.1878
365.000000	101.311	33.5497
370.000000	101.315	33.9010
375.000000	101.320	34.2519
382.000000	101.327	34.7607
387.000000	101.330	35.1316
395.000000	101.337	35.7321
400.000000	101.342	36.1063
406.000000	101.351	36.5273
412.000000	101.359	36.9406
418.000000	101.365	37.3635
425.000000	101.373	37.8593
431.000000	101.381	38.2729
437.000000	101.388	38.6831
444.000000	101.395	39.1625
450.000000	101.401	39.5744
455.000000	101.406	39.9119
462.000000	101.412	40.3752
468.000000	101.419	40.7723
475.000000	101.427	41.2363
482.000000	101.436	41.7007
487.000000	101.440	42.0309
494.000000	101.446	42.4791
500.000000	101.451	42.8592
508.000000	101.459	43.3746
515.000000	101.467	43.8203
522.000000	101.474	44.2566
530.000000	101.482	44.7716
538.000000	101.491	45.2797
545.000000	101.498	45.7305
552.000000	101.505	46.1749
560.000000	101.514	46.6765
570.000000	101.525	47.3063
580.000000	101.535	47.9379
590.000000	101.544	48.5919
