* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -32.1 dBFS, measurement signal peak level -32.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:04:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0219 ms (-7.5 mm, -0.3 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.5 ppm
* Measurement: B3UC L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.294	55.3735
20.299999	106.342	54.6472
20.600000	106.410	54.0228
20.900000	106.494	53.4084
21.200001	106.586	52.7451
21.400000	106.645	52.2669
21.799999	106.752	51.2424
22.000000	106.798	50.7106
22.400000	106.876	49.6381
22.700001	106.922	48.8383
23.000000	106.960	48.0475
23.299999	106.990	47.2701
23.600000	107.014	46.5119
24.000000	107.038	45.5415
24.299999	107.054	44.8481
24.700001	107.077	43.9667
25.000000	107.099	43.3296
25.400000	107.140	42.4869
25.799999	107.195	41.6063
26.200001	107.261	40.6299
26.500000	107.310	39.8160
26.900000	107.362	38.6475
27.200001	107.386	37.7620
27.600000	107.397	36.6723
28.000000	107.400	35.7653
28.500000	107.421	34.8589
29.000000	107.474	33.9990
29.500000	107.535	33.0115
30.000000	107.570	31.9572
30.400000	107.577	31.1911
30.700001	107.578	30.6982
31.100000	107.586	30.1221
31.500000	107.604	29.5602
32.000000	107.633	28.7713
32.500000	107.650	27.8810
33.000000	107.646	26.9696
33.500000	107.629	26.1002
34.000000	107.605	25.2917
34.500000	107.579	24.5601
35.000000	107.559	23.9161
35.500000	107.557	23.3149
36.000000	107.575	22.6606
36.500000	107.599	21.8906
37.000000	107.612	21.0374
37.500000	107.610	20.1961
38.200001	107.595	19.1697
38.700001	107.590	18.5417
39.500000	107.599	17.5769
40.000000	107.607	16.9280
40.599998	107.601	16.1100
41.200001	107.574	15.3408
41.799999	107.539	14.7025
42.500000	107.510	14.0873
43.099998	107.500	13.5456
43.700001	107.494	12.9011
44.400002	107.472	12.0292
45.000000	107.431	11.2870
45.500000	107.387	10.7536
46.200001	107.331	10.1643
46.799999	107.303	9.7178
47.500000	107.286	9.1277
48.200001	107.266	8.4456
48.700001	107.242	7.9590
49.400002	107.202	7.3546
50.000000	107.169	6.9020
50.799999	107.129	6.2955
51.500000	107.084	5.7421
52.200001	107.029	5.2157
53.000000	106.967	4.6357
53.799999	106.909	4.0334
54.500000	106.863	3.4909
55.200001	106.826	2.9277
56.000000	106.795	2.2365
57.000000	106.768	1.3022
58.000000	106.739	0.4500
59.000000	106.727	-0.1897
60.000000	106.725	-0.7792
60.799999	106.709	-1.1835
61.500000	106.687	-1.4773
62.200001	106.653	-1.7421
63.000000	106.601	-1.9471
64.000000	106.552	-2.1345
65.000000	106.516	-2.6670
66.000000	106.429	-3.3848
67.000000	106.334	-3.8019
68.000000	106.291	-4.2202
69.000000	106.241	-4.8307
70.000000	106.174	-5.2170
71.000000	106.131	-5.4635
72.000000	106.092	-5.7782
73.000000	106.043	-6.1191
74.000000	105.986	-6.5098
75.000000	105.918	-6.9515
76.199997	105.817	-7.4076
77.500000	105.737	-7.5887
78.800003	105.714	-7.9424
80.000000	105.666	-8.5110
81.199997	105.582	-8.9142
82.500000	105.499	-9.2374
83.800003	105.403	-9.6074
85.000000	105.316	-9.8314
86.199997	105.246	-9.9850
87.500000	105.204	-10.1492
88.500000	105.178	-10.4329
90.000000	105.103	-10.8453
91.199997	105.032	-11.0564
92.500000	104.953	-11.2340
93.800003	104.880	-11.3729
95.000000	104.820	-11.5122
96.199997	104.764	-11.6906
97.500000	104.696	-11.8862
98.800003	104.628	-11.9982
100.000000	104.573	-12.1056
101.500000	104.498	-12.3106
103.000000	104.414	-12.4481
104.400002	104.344	-12.4905
106.000000	104.271	-12.5521
107.500000	104.196	-12.5951
109.000000	104.115	-12.5995
110.599998	104.032	-12.6041
112.000000	103.964	-12.6550
113.800003	103.884	-12.7746
115.000000	103.834	-12.8425
117.199997	103.746	-12.9174
118.000000	103.711	-12.9194
120.599998	103.593	-12.8172
122.000000	103.532	-12.7639
124.099998	103.447	-12.7299
125.000000	103.413	-12.7295
126.500000	103.355	-12.7073
128.000000	103.297	-12.6318
131.500000	103.154	-12.3753
132.000000	103.134	-12.3367
134.000000	103.060	-12.2347
136.000000	102.987	-12.1505
138.000000	102.923	-12.0319
140.000000	102.848	-11.9246
143.000000	102.727	-11.6210
145.000000	102.651	-11.4798
147.500000	102.554	-11.2184
150.000000	102.460	-10.8853
152.500000	102.362	-10.5753
155.000000	102.267	-10.2062
157.500000	102.187	-9.7034
160.000000	102.118	-9.1348
162.500000	102.030	-8.4849
165.000000	101.950	-7.5661
167.500000	101.905	-6.4911
170.000000	101.907	-5.4158
172.500000	101.961	-4.4918
175.000000	102.041	-4.1484
177.500000	102.094	-4.0540
180.000000	102.158	-3.9602
182.500000	102.211	-4.1240
185.000000	102.229	-4.3431
187.500000	102.228	-4.5176
190.000000	102.227	-4.6050
192.500000	102.222	-4.6667
195.000000	102.198	-4.7053
197.500000	102.162	-4.6876
200.000000	102.129	-4.6321
203.000000	102.089	-4.4336
206.000000	102.047	-4.0873
209.000000	102.004	-3.8019
212.000000	101.971	-3.6000
214.000000	101.954	-3.4863
218.000000	101.918	-3.1716
220.000000	101.900	-2.9669
224.000000	101.868	-2.5846
227.000000	101.842	-2.3403
230.000000	101.816	-2.1079
233.000000	101.791	-1.8635
236.000000	101.772	-1.5897
240.000000	101.751	-1.2408
243.000000	101.736	-0.9702
247.000000	101.718	-0.6180
250.000000	101.706	-0.3477
254.000000	101.691	0.0286
258.000000	101.684	0.3763
262.000000	101.681	0.6630
265.000000	101.676	0.8931
269.000000	101.670	1.2460
272.000000	101.666	1.5023
276.000000	101.654	1.8353
280.000000	101.645	2.1228
285.000000	101.645	2.4535
290.000000	101.648	2.7869
295.000000	101.646	3.1772
300.000000	101.646	3.5657
304.000000	101.646	3.8806
307.000000	101.647	4.0917
311.000000	101.642	4.3452
315.000000	101.646	4.5981
320.000000	101.666	4.8792
325.000000	101.683	5.1818
330.000000	101.684	5.5422
335.000000	101.682	5.8417
340.000000	101.688	6.1394
345.000000	101.688	6.5213
350.000000	101.685	6.8682
355.000000	101.691	7.1915
360.000000	101.702	7.5868
365.000000	101.710	7.9401
370.000000	101.737	8.2466
375.000000	101.774	8.6057
382.000000	101.823	8.9750
387.000000	101.856	9.1461
395.000000	101.896	9.3561
400.000000	101.913	9.4608
406.000000	101.932	9.5756
412.000000	101.943	9.7084
418.000000	101.951	9.8942
425.000000	101.963	10.0923
431.000000	101.967	10.2316
437.000000	101.978	10.3868
444.000000	101.968	10.5383
450.000000	101.952	10.8972
455.000000	101.951	11.2183
462.000000	101.963	11.4825
468.000000	101.976	11.5871
475.000000	101.991	11.7369
482.000000	102.005	12.0170
487.000000	102.007	12.2683
494.000000	102.007	12.5593
500.000000	102.013	12.7690
508.000000	102.025	13.0217
515.000000	102.033	13.2749
522.000000	102.036	13.5674
530.000000	102.040	13.9001
538.000000	102.047	14.2004
545.000000	102.055	14.4646
552.000000	102.063	14.7290
560.000000	102.072	15.0477
570.000000	102.080	15.4547
580.000000	102.087	15.8512
590.000000	102.097	16.2557
600.000000	102.108	16.6786
608.000000	102.118	17.0049
615.000000	102.127	17.2835
622.000000	102.135	17.5703
630.000000	102.142	17.9205
640.000000	102.149	18.3730
650.000000	102.159	18.8259
660.000000	102.174	19.2677
670.000000	102.192	19.7047
680.000000	102.208	20.1591
690.000000	102.223	20.6353
700.000000	102.237	21.1179
710.000000	102.253	21.5962
720.000000	102.271	22.0758
730.000000	102.291	22.5700
740.000000	102.311	23.0671
750.000000	102.331	23.5747
762.000000	102.360	24.1876
775.000000	102.395	24.8628
788.000000	102.431	25.5471
800.000000	102.466	26.1863
812.000000	102.503	26.8268
825.000000	102.547	27.5208
838.000000	102.596	28.2062
850.000000	102.643	28.8533
862.000000	102.692	29.5131
875.000000	102.751	30.2249
885.000000	102.800	30.7542
900.000000	102.876	31.5224
912.000000	102.937	32.1416
925.000000	103.002	32.8315
938.000000	103.071	33.5095
950.000000	103.132	34.0844
962.000000	103.184	34.6154
975.000000	103.248	35.1868
988.000000	103.336	35.7617
1000.000000	103.431	36.2746
1015.000000	103.557	36.8735
1030.000000	103.683	37.4145
1044.000000	103.796	37.8699
1060.000000	103.917	38.3532
1075.000000	104.026	38.7738
1090.000000	104.133	39.1440
1106.000000	104.245	39.4851
1120.000000	104.341	39.7509
1138.000000	104.460	40.0449
1150.000000	104.537	40.2156
1172.000000	104.674	40.4696
1180.000000	104.722	40.5437
1206.000000	104.871	40.7514
1220.000000	104.947	40.8422
1241.000000	105.060	40.9502
1250.000000	105.109	40.9818
1265.000000	105.190	41.0241
1280.000000	105.268	41.0636
1315.000000	105.440	41.1620
1320.000000	105.464	41.1744
1340.000000	105.559	41.2221
1360.000000	105.653	41.2589
1380.000000	105.742	41.2971
1400.000000	105.821	41.3666
1430.000000	105.931	41.5136
1450.000000	106.012	41.6042
1475.000000	106.120	41.7152
1500.000000	106.217	41.8597
1525.000000	106.299	42.0463
1550.000000	106.379	42.2484
1575.000000	106.470	42.4489
1600.000000	106.567	42.6585
1625.000000	106.663	42.8946
