* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -34.9 dBFS, measurement signal peak level -33.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:08:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0653 ms (22 mm, 0.88 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 41.8 ppm
* Measurement: B3UC R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.275	48.8727
20.299999	107.344	47.4580
20.600000	107.389	46.1328
20.900000	107.419	44.9711
21.200001	107.448	43.9906
21.400000	107.472	43.4179
21.799999	107.538	42.3705
22.000000	107.579	41.8539
22.400000	107.662	40.7766
22.700001	107.717	39.9329
23.000000	107.763	39.0880
23.299999	107.798	38.2711
23.600000	107.827	37.4979
24.000000	107.865	36.5255
24.299999	107.895	35.8127
24.700001	107.937	34.8360
25.000000	107.967	34.0618
25.400000	107.998	32.9741
25.799999	108.012	31.8659
26.200001	108.010	30.8093
26.500000	108.004	30.0866
26.900000	108.001	29.2228
27.200001	108.009	28.6217
27.600000	108.035	27.8137
28.000000	108.071	26.9366
28.500000	108.112	25.7360
29.000000	108.135	24.5178
29.500000	108.145	23.3818
30.000000	108.157	22.3242
30.400000	108.169	21.4910
30.700001	108.175	20.8615
31.100000	108.175	20.0275
31.500000	108.167	19.2241
32.000000	108.151	18.2816
32.500000	108.135	17.3809
33.000000	108.118	16.4835
33.500000	108.094	15.5907
34.000000	108.067	14.7268
34.500000	108.041	13.8889
35.000000	108.017	13.0489
35.500000	107.992	12.2063
36.000000	107.963	11.4040
36.500000	107.939	10.6698
37.000000	107.927	9.9657
37.500000	107.924	9.2242
38.200001	107.914	8.1172
38.700001	107.897	7.3605
39.500000	107.868	6.2557
40.000000	107.851	5.5597
40.599998	107.814	4.7128
41.200001	107.762	3.9566
41.799999	107.714	3.3193
42.500000	107.678	2.5702
43.099998	107.647	1.8422
43.700001	107.608	1.0954
44.400002	107.562	0.2499
45.000000	107.525	-0.4940
45.500000	107.487	-1.1120
46.200001	107.426	-1.8573
46.799999	107.388	-2.3733
47.500000	107.369	-3.0210
48.200001	107.344	-3.8284
48.700001	107.307	-4.4100
49.400002	107.238	-5.0658
50.000000	107.187	-5.4795
50.799999	107.145	-6.0371
51.500000	107.111	-6.6771
52.200001	107.059	-7.4048
53.000000	106.981	-8.1741
53.799999	106.907	-8.8558
54.500000	106.844	-9.4100
55.200001	106.783	-9.8621
56.000000	106.739	-10.3061
57.000000	106.706	-11.0635
58.000000	106.638	-11.8777
59.000000	106.562	-12.5471
60.000000	106.478	-13.1924
60.799999	106.413	-13.6412
61.500000	106.366	-14.0977
62.200001	106.311	-14.6526
63.000000	106.227	-15.2189
64.000000	106.144	-15.7241
65.000000	106.093	-16.3431
66.000000	106.020	-17.0316
67.000000	105.934	-17.4516
68.000000	105.879	-17.6971
69.000000	105.841	-18.0524
70.000000	105.790	-18.5413
71.000000	105.709	-19.1137
72.000000	105.598	-19.5575
73.000000	105.497	-19.8626
74.000000	105.411	-20.1605
75.000000	105.348	-20.4934
76.199997	105.274	-21.1209
77.500000	105.175	-21.6598
78.800003	105.088	-22.1576
80.000000	104.996	-22.5098
81.199997	104.918	-22.8101
82.500000	104.829	-23.2192
83.800003	104.737	-23.6013
85.000000	104.659	-23.9795
86.199997	104.579	-24.4111
87.500000	104.485	-24.8159
88.500000	104.418	-25.0586
90.000000	104.323	-25.4219
91.199997	104.243	-25.6926
92.500000	104.151	-25.9579
93.800003	104.056	-26.1668
95.000000	103.974	-26.3383
96.199997	103.895	-26.5260
97.500000	103.811	-26.7428
98.800003	103.730	-26.9657
100.000000	103.654	-27.1823
101.500000	103.554	-27.4109
103.000000	103.454	-27.5966
104.400002	103.361	-27.7739
106.000000	103.254	-27.9911
107.500000	103.159	-28.1680
109.000000	103.070	-28.3145
110.599998	102.978	-28.4054
112.000000	102.897	-28.4405
113.800003	102.787	-28.4486
115.000000	102.712	-28.4576
117.199997	102.577	-28.4827
118.000000	102.530	-28.4790
120.599998	102.395	-28.3758
122.000000	102.326	-28.2881
124.099998	102.220	-28.1047
125.000000	102.177	-28.0104
126.500000	102.113	-27.8560
128.000000	102.058	-27.7289
131.500000	101.939	-27.4909
132.000000	101.921	-27.4582
134.000000	101.849	-27.3302
136.000000	101.778	-27.2130
138.000000	101.709	-27.1025
140.000000	101.640	-26.9311
143.000000	101.545	-26.5245
145.000000	101.493	-26.2397
147.500000	101.444	-25.9399
150.000000	101.421	-25.6922
152.500000	101.417	-25.5927
155.000000	101.410	-25.6594
157.500000	101.389	-25.8515
160.000000	101.355	-25.9800
162.500000	101.319	-26.1022
165.000000	101.261	-26.2113
167.500000	101.180	-26.2326
170.000000	101.091	-26.1932
172.500000	101.000	-26.1471
175.000000	100.912	-26.0697
177.500000	100.837	-25.9538
180.000000	100.777	-25.8174
182.500000	100.733	-25.6931
185.000000	100.698	-25.5910
187.500000	100.666	-25.4849
190.000000	100.637	-25.3524
192.500000	100.609	-25.2124
195.000000	100.578	-25.0600
197.500000	100.541	-24.8962
200.000000	100.501	-24.7375
203.000000	100.456	-24.5541
206.000000	100.416	-24.3704
209.000000	100.382	-24.1684
212.000000	100.351	-23.9748
214.000000	100.329	-23.8641
218.000000	100.279	-23.6754
220.000000	100.257	-23.5767
224.000000	100.222	-23.3438
227.000000	100.198	-23.1517
230.000000	100.171	-22.9743
233.000000	100.144	-22.8250
236.000000	100.122	-22.6865
240.000000	100.095	-22.4746
243.000000	100.079	-22.2946
247.000000	100.057	-22.0689
250.000000	100.039	-21.9161
254.000000	100.015	-21.7099
258.000000	99.998	-21.4703
262.000000	99.982	-21.2007
265.000000	99.971	-20.9851
269.000000	99.958	-20.6996
272.000000	99.951	-20.4728
276.000000	99.949	-20.1158
280.000000	99.957	-19.7250
285.000000	99.989	-19.2139
290.000000	100.052	-18.7388
295.000000	100.142	-18.4118
300.000000	100.245	-18.3519
304.000000	100.317	-18.4892
307.000000	100.361	-18.6536
311.000000	100.407	-18.9236
315.000000	100.440	-19.2253
320.000000	100.467	-19.5685
325.000000	100.479	-19.8625
330.000000	100.486	-20.1286
335.000000	100.491	-20.3495
340.000000	100.495	-20.5022
345.000000	100.500	-20.6489
350.000000	100.506	-20.8270
355.000000	100.514	-21.0159
360.000000	100.523	-21.1766
365.000000	100.530	-21.2973
370.000000	100.537	-21.4025
375.000000	100.544	-21.5381
382.000000	100.554	-21.7754
387.000000	100.563	-21.9419
395.000000	100.576	-22.1724
400.000000	100.582	-22.3100
406.000000	100.590	-22.4955
412.000000	100.601	-22.6923
418.000000	100.614	-22.8764
425.000000	100.628	-23.0946
431.000000	100.638	-23.2862
437.000000	100.647	-23.4757
