* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -30.3 dBFS, measurement signal peak level -34.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:08:45
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1048 ms (-36 mm, -1.42 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 13.7 ppm
* Measurement: B3UC R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.303	51.3170
20.299999	107.398	50.6208
20.600000	107.501	49.7451
20.900000	107.590	48.7029
21.200001	107.648	47.5874
21.400000	107.670	46.8629
21.799999	107.686	45.5768
22.000000	107.689	45.0349
22.400000	107.709	44.1060
22.700001	107.741	43.4578
23.000000	107.783	42.7781
23.299999	107.826	42.0414
23.600000	107.864	41.2624
24.000000	107.904	40.2184
24.299999	107.929	39.4639
24.700001	107.965	38.4948
25.000000	107.995	37.7714
25.400000	108.035	36.7825
25.799999	108.067	35.7748
26.200001	108.090	34.7885
26.500000	108.104	34.0815
26.900000	108.121	33.1782
27.200001	108.135	32.5151
27.600000	108.150	31.6351
28.000000	108.159	30.7692
28.500000	108.161	29.7438
29.000000	108.163	28.7863
29.500000	108.167	27.8418
30.000000	108.169	26.8731
30.400000	108.164	26.0992
30.700001	108.158	25.5352
31.100000	108.149	24.8058
31.500000	108.142	24.0847
32.000000	108.135	23.1726
32.500000	108.123	22.2745
33.000000	108.111	21.4344
33.500000	108.111	20.6250
34.000000	108.118	19.7669
34.500000	108.117	18.8519
35.000000	108.097	17.9859
35.500000	108.071	17.2637
36.000000	108.058	16.6474
36.500000	108.058	16.0160
37.000000	108.054	15.3223
37.500000	108.036	14.6343
38.200001	108.004	13.7830
38.700001	107.987	13.1912
39.500000	107.946	12.1783
40.000000	107.905	11.6023
40.599998	107.860	11.0286
41.200001	107.839	10.4377
41.799999	107.820	9.6973
42.500000	107.770	8.7818
43.099998	107.711	8.1636
43.700001	107.670	7.6998
44.400002	107.656	7.1225
45.000000	107.647	6.4702
45.500000	107.623	5.8617
46.200001	107.561	5.0858
46.799999	107.496	4.5863
47.500000	107.433	4.1537
48.200001	107.388	3.7452
48.700001	107.362	3.4152
49.400002	107.324	2.9039
50.000000	107.287	2.4590
50.799999	107.240	1.8806
51.500000	107.201	1.3479
52.200001	107.158	0.7817
53.000000	107.102	0.1586
53.799999	107.049	-0.4138
54.500000	107.003	-0.8893
55.200001	106.955	-1.3336
56.000000	106.900	-1.8052
57.000000	106.824	-2.3460
58.000000	106.742	-2.7480
59.000000	106.673	-3.0434
60.000000	106.614	-3.3778
60.799999	106.565	-3.7046
61.500000	106.515	-4.0214
62.200001	106.457	-4.3322
63.000000	106.388	-4.6441
64.000000	106.308	-5.0069
65.000000	106.232	-5.4094
66.000000	106.150	-5.8014
67.000000	106.071	-6.1291
68.000000	106.000	-6.4275
69.000000	105.931	-6.7352
70.000000	105.859	-7.0335
71.000000	105.787	-7.3024
72.000000	105.716	-7.5613
73.000000	105.644	-7.8272
74.000000	105.569	-8.0763
75.000000	105.496	-8.2827
76.199997	105.415	-8.5308
77.500000	105.326	-8.7798
78.800003	105.236	-9.0002
80.000000	105.149	-9.1494
81.199997	105.063	-9.2876
82.500000	104.969	-9.4069
83.800003	104.881	-9.5452
85.000000	104.799	-9.6489
86.199997	104.721	-9.7609
87.500000	104.631	-9.8459
88.500000	104.566	-9.8579
90.000000	104.471	-9.9274
91.199997	104.386	-9.9827
92.500000	104.296	-9.9921
93.800003	104.210	-10.0182
95.000000	104.128	-10.0142
96.199997	104.052	-9.9584
97.500000	103.975	-9.9124
98.800003	103.895	-9.8846
100.000000	103.818	-9.8348
101.500000	103.723	-9.7386
103.000000	103.630	-9.6445
104.400002	103.541	-9.5424
106.000000	103.441	-9.3677
107.500000	103.354	-9.1862
109.000000	103.271	-9.0316
110.599998	103.179	-8.8755
112.000000	103.094	-8.7097
113.800003	102.983	-8.4263
115.000000	102.911	-8.2278
117.199997	102.780	-7.9128
118.000000	102.734	-7.8000
120.599998	102.603	-7.3337
122.000000	102.540	-7.0275
124.099998	102.435	-6.4665
125.000000	102.385	-6.2052
126.500000	102.299	-5.7899
128.000000	102.215	-5.4233
131.500000	102.061	-4.6754
132.000000	102.043	-4.5511
134.000000	101.971	-3.9769
136.000000	101.892	-3.3378
138.000000	101.806	-2.7406
140.000000	101.719	-2.1796
143.000000	101.600	-1.1960
145.000000	101.527	-0.4360
147.500000	101.441	0.5898
150.000000	101.383	1.6460
152.500000	101.367	2.6935
155.000000	101.391	3.5984
157.500000	101.432	4.2378
160.000000	101.469	4.6559
162.500000	101.481	4.9596
165.000000	101.459	5.2541
167.500000	101.404	5.5854
170.000000	101.324	5.9597
172.500000	101.230	6.4013
175.000000	101.141	6.8937
177.500000	101.065	7.4211
180.000000	101.003	8.0034
182.500000	100.957	8.6108
185.000000	100.922	9.2312
187.500000	100.894	9.8690
190.000000	100.868	10.5052
192.500000	100.838	11.1460
195.000000	100.805	11.8087
197.500000	100.768	12.4869
200.000000	100.730	13.1635
203.000000	100.686	13.9718
206.000000	100.647	14.7805
209.000000	100.612	15.5801
212.000000	100.579	16.3687
214.000000	100.557	16.8912
218.000000	100.518	17.9440
220.000000	100.498	18.4745
224.000000	100.459	19.5436
227.000000	100.435	20.3414
230.000000	100.413	21.1246
233.000000	100.390	21.8989
236.000000	100.370	22.6737
240.000000	100.349	23.7225
243.000000	100.335	24.5190
247.000000	100.318	25.5494
250.000000	100.307	26.3007
254.000000	100.297	27.2911
258.000000	100.286	28.3015
262.000000	100.276	29.3253
265.000000	100.269	30.0875
269.000000	100.260	31.0836
272.000000	100.256	31.8262
276.000000	100.251	32.8300
