* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.4 dBFS, measurement signal peak level -34.1 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:09:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1940 ms (-67 mm, -2.62 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -65.2 ppm
* Measurement: B3UC R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.405	51.8967
20.299999	107.549	51.4144
20.600000	107.699	50.6686
20.900000	107.829	49.7286
21.200001	107.931	48.7168
21.400000	107.985	48.0513
21.799999	108.077	46.7796
22.000000	108.120	46.1581
22.400000	108.199	44.8736
22.700001	108.242	43.8466
23.000000	108.263	42.7902
23.299999	108.258	41.7654
23.600000	108.232	40.8388
24.000000	108.182	39.8260
24.299999	108.149	39.2280
24.700001	108.132	38.5568
25.000000	108.144	38.0573
25.400000	108.189	37.2606
25.799999	108.251	36.2036
26.200001	108.303	34.8524
26.500000	108.317	33.6975
26.900000	108.289	32.1324
27.200001	108.232	31.0842
27.600000	108.133	30.0378
28.000000	108.049	29.4512
28.500000	108.027	29.1098
29.000000	108.100	28.6721
29.500000	108.199	27.8284
30.000000	108.260	26.7465
30.400000	108.275	25.9329
30.700001	108.278	25.4137
31.100000	108.282	24.8201
31.500000	108.288	24.2717
32.000000	108.290	23.5964
32.500000	108.280	22.9853
33.000000	108.274	22.4687
33.500000	108.291	21.9093
34.000000	108.318	21.1198
34.500000	108.321	20.0902
35.000000	108.282	19.0157
35.500000	108.222	18.0856
36.000000	108.174	17.3055
36.500000	108.149	16.5447
37.000000	108.134	15.7294
37.500000	108.119	14.9165
38.200001	108.114	13.8883
38.700001	108.134	13.1387
39.500000	108.155	11.7338
40.000000	108.129	10.8895
40.599998	108.071	10.1688
41.200001	108.028	9.7316
41.799999	108.008	9.3304
42.500000	107.974	8.8051
43.099998	107.931	8.4392
43.700001	107.906	8.1172
44.400002	107.898	7.5029
45.000000	107.869	6.6884
45.500000	107.812	5.9385
46.200001	107.696	5.0498
46.799999	107.597	4.5342
47.500000	107.524	4.0735
48.200001	107.494	3.4584
48.700001	107.472	2.8735
49.400002	107.413	2.0828
50.000000	107.359	1.6302
50.799999	107.334	1.1656
51.500000	107.331	0.5509
52.200001	107.288	-0.1851
53.000000	107.192	-0.7733
53.799999	107.103	-0.9335
54.500000	107.069	-0.9275
55.200001	107.070	-1.0967
56.000000	107.062	-1.6121
57.000000	107.012	-2.3782
58.000000	106.946	-3.1230
59.000000	106.881	-3.7509
60.000000	106.849	-4.5591
60.799999	106.780	-5.4093
61.500000	106.678	-5.8890
62.200001	106.592	-6.0585
63.000000	106.530	-6.1969
64.000000	106.454	-6.4410
65.000000	106.379	-6.5854
66.000000	106.324	-6.7986
67.000000	106.255	-7.2036
68.000000	106.167	-7.5558
69.000000	106.097	-7.9117
70.000000	106.017	-8.3698
71.000000	105.933	-8.6687
72.000000	105.873	-8.9438
73.000000	105.806	-9.2751
74.000000	105.727	-9.4791
75.000000	105.661	-9.5947
76.199997	105.586	-9.8881
77.500000	105.478	-10.1642
78.800003	105.396	-10.3888
80.000000	105.312	-10.7523
81.199997	105.219	-10.9541
82.500000	105.140	-11.1146
83.800003	105.056	-11.3347
85.000000	104.972	-11.4607
86.199997	104.896	-11.5775
87.500000	104.816	-11.7687
88.500000	104.751	-11.9336
90.000000	104.648	-12.1559
91.199997	104.564	-12.2633
92.500000	104.475	-12.3404
93.800003	104.387	-12.3923
95.000000	104.306	-12.4315
96.199997	104.228	-12.4501
97.500000	104.149	-12.4873
98.800003	104.068	-12.5215
100.000000	103.995	-12.4915
101.500000	103.910	-12.4221
103.000000	103.826	-12.3374
104.400002	103.748	-12.2567
106.000000	103.657	-12.1915
107.500000	103.568	-12.1222
109.000000	103.480	-12.0338
110.599998	103.389	-11.9222
112.000000	103.310	-11.8081
113.800003	103.210	-11.6444
115.000000	103.145	-11.5317
117.199997	103.025	-11.3043
118.000000	102.983	-11.2108
120.599998	102.849	-10.9230
122.000000	102.778	-10.7478
124.099998	102.675	-10.4617
125.000000	102.631	-10.3329
126.500000	102.559	-10.0990
128.000000	102.487	-9.8384
131.500000	102.324	-9.1951
132.000000	102.301	-9.1008
134.000000	102.209	-8.7042
136.000000	102.123	-8.2958
138.000000	102.040	-7.8941
140.000000	101.952	-7.5017
143.000000	101.815	-6.8377
145.000000	101.724	-6.3397
147.500000	101.617	-5.6450
150.000000	101.515	-4.8978
152.500000	101.419	-4.0214
155.000000	101.346	-2.9902
157.500000	101.312	-1.9066
160.000000	101.319	-0.7949
162.500000	101.370	0.2006
165.000000	101.434	0.9237
167.500000	101.483	1.2959
170.000000	101.493	1.3922
172.500000	101.460	1.4481
175.000000	101.399	1.5994
177.500000	101.341	1.7941
180.000000	101.290	2.0011
182.500000	101.243	2.2451
185.000000	101.209	2.6606
187.500000	101.179	3.0381
190.000000	101.152	3.4891
192.500000	101.127	3.8665
195.000000	101.088	4.2915
197.500000	101.052	4.8244
200.000000	101.023	5.2979
203.000000	100.977	5.8021
206.000000	100.923	6.3786
209.000000	100.882	7.0186
212.000000	100.851	7.6510
214.000000	100.831	8.0549
218.000000	100.794	8.8391
220.000000	100.776	9.2386
224.000000	100.740	10.0136
227.000000	100.715	10.5712
230.000000	100.693	11.1361
233.000000	100.672	11.7112
236.000000	100.659	12.2802
240.000000	100.645	13.0699
243.000000	100.629	13.6526
247.000000	100.607	14.3618
250.000000	100.599	14.9054
254.000000	100.592	15.6432
258.000000	100.582	16.3690
262.000000	100.576	17.0792
265.000000	100.574	17.5940
269.000000	100.572	18.2819
272.000000	100.570	18.8038
276.000000	100.569	19.4965
280.000000	100.568	20.1782
285.000000	100.566	21.0225
290.000000	100.567	21.8326
295.000000	100.568	22.6308
300.000000	100.573	23.4424
304.000000	100.574	24.1010
307.000000	100.574	24.6000
311.000000	100.575	25.2689
315.000000	100.579	25.9448
320.000000	100.587	26.8240
325.000000	100.602	27.7401
330.000000	100.632	28.6740
335.000000	100.681	29.5587
340.000000	100.738	30.3310
345.000000	100.794	30.9684
350.000000	100.844	31.5081
355.000000	100.883	31.9944
360.000000	100.912	32.4505
365.000000	100.933	32.9007
370.000000	100.949	33.3754
375.000000	100.963	33.8864
382.000000	100.980	34.6201
387.000000	100.990	35.1434
395.000000	101.008	35.9704
400.000000	101.016	36.5005
406.000000	101.025	37.1477
412.000000	101.037	37.7910
418.000000	101.047	38.4118
425.000000	101.056	39.1324
431.000000	101.065	39.7808
437.000000	101.074	40.4643
444.000000	101.086	41.2462
450.000000	101.096	41.8750
455.000000	101.104	42.3930
462.000000	101.113	43.1501
468.000000	101.120	43.8175
475.000000	101.130	44.5667
482.000000	101.142	45.2958
487.000000	101.149	45.8212
