* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.3 dBFS, measurement signal peak level -33.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:09:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0137 ms (-4.7 mm, -0.18 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -27.0 ppm
* Measurement: B3UC R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.534	51.3357
20.299999	107.596	50.1889
20.600000	107.639	49.0581
20.900000	107.668	48.0051
21.200001	107.694	47.0512
21.400000	107.713	46.4606
21.799999	107.761	45.3363
22.000000	107.789	44.7805
22.400000	107.848	43.6547
22.700001	107.891	42.8010
23.000000	107.932	41.9504
23.299999	107.970	41.1096
23.600000	108.007	40.2789
24.000000	108.053	39.1852
24.299999	108.083	38.3795
24.700001	108.118	37.3398
25.000000	108.141	36.5937
25.400000	108.173	35.6372
25.799999	108.205	34.6990
26.200001	108.236	33.7561
26.500000	108.256	33.0479
26.900000	108.275	32.1232
27.200001	108.286	31.4574
27.600000	108.302	30.6046
28.000000	108.321	29.7616
28.500000	108.347	28.6670
29.000000	108.361	27.5249
29.500000	108.358	26.4131
30.000000	108.347	25.4051
30.400000	108.343	24.6667
30.700001	108.346	24.1255
31.100000	108.353	23.3878
31.500000	108.358	22.6203
32.000000	108.357	21.6548
32.500000	108.347	20.7476
33.000000	108.337	19.9216
33.500000	108.336	19.1326
34.000000	108.337	18.3291
34.500000	108.333	17.5113
35.000000	108.321	16.7209
35.500000	108.306	15.9846
36.000000	108.293	15.2841
36.500000	108.283	14.5817
37.000000	108.270	13.8619
37.500000	108.252	13.1400
38.200001	108.222	12.1643
38.700001	108.199	11.4936
39.500000	108.164	10.4364
40.000000	108.139	9.7821
40.599998	108.107	9.0179
41.200001	108.073	8.2868
41.799999	108.044	7.5796
42.500000	108.012	6.7560
