* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.7 dBFS, measurement signal peak level -32.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:31:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0611 ms (21 mm, 0.83 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 41.0 ppm
* Measurement: B3Velvet L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.195	56.7870
20.299999	106.288	55.7141
20.600000	106.379	54.5207
20.900000	106.455	53.2510
21.200001	106.510	51.9899
21.400000	106.536	51.1961
21.799999	106.579	49.7814
22.000000	106.602	49.1590
22.400000	106.665	48.0128
22.700001	106.725	47.1620
23.000000	106.787	46.2739
23.299999	106.840	45.3589
23.600000	106.877	44.4683
24.000000	106.910	43.4281
24.299999	106.934	42.7976
24.700001	106.988	42.0967
25.000000	107.051	41.5720
25.400000	107.153	40.7201
25.799999	107.249	39.6351
26.200001	107.310	38.4012
26.500000	107.328	37.4778
26.900000	107.325	36.3669
27.200001	107.313	35.6640
27.600000	107.299	34.8978
28.000000	107.302	34.2734
28.500000	107.338	33.5580
29.000000	107.410	32.7270
29.500000	107.492	31.6303
30.000000	107.548	30.3010
30.400000	107.559	29.2155
30.700001	107.551	28.4718
31.100000	107.532	27.6182
31.500000	107.520	26.8919
32.000000	107.520	26.0430
32.500000	107.524	25.1850
33.000000	107.521	24.3598
33.500000	107.520	23.6091
34.000000	107.529	22.8782
34.500000	107.542	22.0956
35.000000	107.547	21.2758
35.500000	107.543	20.4789
36.000000	107.540	19.7120
36.500000	107.539	18.9344
37.000000	107.532	18.1424
37.500000	107.519	17.3807
38.200001	107.507	16.3763
38.700001	107.505	15.6338
39.500000	107.480	14.4238
40.000000	107.452	13.7791
40.599998	107.431	13.1425
41.200001	107.433	12.5035
41.799999	107.441	11.7576
42.500000	107.436	10.8225
43.099998	107.421	10.0405
43.700001	107.399	9.2860
44.400002	107.367	8.4675
45.000000	107.341	7.8318
45.500000	107.325	7.3062
46.200001	107.303	6.5154
46.799999	107.273	5.8318
47.500000	107.233	5.1128
48.200001	107.203	4.4295
48.700001	107.183	3.9176
49.400002	107.148	3.1983
50.000000	107.113	2.6327
50.799999	107.073	1.9298
51.500000	107.038	1.3071
52.200001	106.997	0.7035
53.000000	106.954	0.0723
53.799999	106.921	-0.5692
54.500000	106.889	-1.1652
55.200001	106.849	-1.7286
56.000000	106.805	-2.3090
57.000000	106.757	-3.0384
58.000000	106.705	-3.7628
59.000000	106.655	-4.4600
60.000000	106.602	-5.1664
60.799999	106.554	-5.7035
61.500000	106.513	-6.1495
62.200001	106.472	-6.5764
63.000000	106.427	-7.0436
64.000000	106.374	-7.6446
65.000000	106.311	-8.2641
66.000000	106.240	-8.7966
67.000000	106.179	-9.2723
68.000000	106.124	-9.8097
69.000000	106.060	-10.3696
70.000000	105.993	-10.8692
71.000000	105.933	-11.3085
72.000000	105.884	-11.7436
73.000000	105.836	-12.2211
74.000000	105.782	-12.6909
75.000000	105.726	-13.1181
76.199997	105.660	-13.6285
77.500000	105.583	-14.1598
78.800003	105.508	-14.6613
80.000000	105.440	-15.1368
81.199997	105.371	-15.5852
82.500000	105.298	-16.0412
83.800003	105.224	-16.4823
85.000000	105.153	-16.8489
86.199997	105.082	-17.1896
87.500000	105.005	-17.5448
88.500000	104.946	-17.8073
90.000000	104.863	-18.2001
91.199997	104.796	-18.5538
92.500000	104.718	-18.9063
93.800003	104.644	-19.2063
95.000000	104.582	-19.4679
96.199997	104.520	-19.7443
97.500000	104.448	-20.0209
98.800003	104.375	-20.2791
100.000000	104.306	-20.5066
101.500000	104.221	-20.7714
103.000000	104.139	-21.0350
104.400002	104.066	-21.2588
106.000000	103.985	-21.4866
107.500000	103.911	-21.6689
109.000000	103.837	-21.8189
110.599998	103.758	-21.9907
112.000000	103.685	-22.1502
113.800003	103.593	-22.3256
115.000000	103.536	-22.4490
117.199997	103.429	-22.6791
118.000000	103.390	-22.7282
120.599998	103.282	-22.8032
122.000000	103.229	-22.9015
124.099998	103.135	-23.0825
125.000000	103.090	-23.1296
126.500000	103.016	-23.1518
128.000000	102.951	-23.1544
131.500000	102.811	-23.2465
132.000000	102.790	-23.2502
134.000000	102.704	-23.2102
136.000000	102.616	-23.1843
138.000000	102.523	-23.1634
140.000000	102.446	-23.1336
143.000000	102.319	-23.0078
145.000000	102.229	-22.6747
147.500000	102.103	-22.3140
150.000000	101.997	-21.8190
152.500000	101.957	-21.2229
155.000000	101.972	-20.4497
157.500000	102.016	-19.7974
160.000000	102.090	-19.5720
162.500000	102.157	-19.9188
165.000000	102.174	-20.3139
167.500000	102.150	-20.6003
170.000000	102.090	-20.9311
172.500000	102.012	-21.2012
175.000000	101.938	-21.3468
177.500000	101.871	-21.3543
180.000000	101.813	-21.3186
182.500000	101.772	-21.3250
185.000000	101.741	-21.3788
187.500000	101.712	-21.3859
190.000000	101.683	-21.3271
192.500000	101.657	-21.2540
195.000000	101.631	-21.2014
197.500000	101.600	-21.1614
200.000000	101.563	-21.1187
203.000000	101.520	-21.0556
206.000000	101.484	-20.9614
209.000000	101.452	-20.8690
212.000000	101.417	-20.7783
214.000000	101.395	-20.7105
218.000000	101.357	-20.5582
220.000000	101.339	-20.4894
224.000000	101.305	-20.3871
227.000000	101.279	-20.3159
230.000000	101.255	-20.2389
233.000000	101.234	-20.1541
236.000000	101.218	-20.0695
240.000000	101.196	-19.9409
243.000000	101.181	-19.8409
247.000000	101.162	-19.7655
250.000000	101.150	-19.7363
254.000000	101.137	-19.6666
258.000000	101.127	-19.5797
262.000000	101.118	-19.5022
265.000000	101.111	-19.4475
269.000000	101.101	-19.3769
272.000000	101.095	-19.3236
276.000000	101.090	-19.2615
280.000000	101.085	-19.1965
285.000000	101.075	-19.1162
290.000000	101.071	-19.0461
295.000000	101.069	-18.9850
300.000000	101.069	-18.9452
304.000000	101.071	-18.9238
307.000000	101.073	-18.8874
311.000000	101.077	-18.8358
315.000000	101.081	-18.7865
320.000000	101.085	-18.6748
325.000000	101.097	-18.5547
330.000000	101.120	-18.4463
335.000000	101.156	-18.3953
340.000000	101.197	-18.4188
345.000000	101.235	-18.5409
350.000000	101.267	-18.7272
355.000000	101.291	-18.9426
360.000000	101.309	-19.1855
365.000000	101.322	-19.4148
370.000000	101.330	-19.6197
375.000000	101.336	-19.8007
382.000000	101.341	-20.0122
387.000000	101.344	-20.1622
395.000000	101.350	-20.4136
400.000000	101.354	-20.5809
406.000000	101.361	-20.7631
412.000000	101.369	-20.9208
418.000000	101.376	-21.0871
425.000000	101.383	-21.3073
431.000000	101.387	-21.4896
437.000000	101.392	-21.6591
444.000000	101.397	-21.8451
450.000000	101.402	-22.0138
455.000000	101.409	-22.1635
462.000000	101.418	-22.3716
468.000000	101.427	-22.5453
475.000000	101.438	-22.7514
482.000000	101.446	-22.9547
487.000000	101.451	-23.1003
494.000000	101.457	-23.2988
500.000000	101.462	-23.4701
508.000000	101.470	-23.7106
515.000000	101.477	-23.9177
522.000000	101.484	-24.1223
530.000000	101.493	-24.3465
538.000000	101.502	-24.5691
545.000000	101.510	-24.7685
552.000000	101.519	-24.9600
560.000000	101.529	-25.1784
570.000000	101.539	-25.4438
580.000000	101.548	-25.6952
590.000000	101.559	-25.9536
600.000000	101.569	-26.2066
608.000000	101.577	-26.3962
615.000000	101.584	-26.5722
622.000000	101.592	-26.7465
630.000000	101.604	-26.9329
640.000000	101.620	-27.1617
650.000000	101.633	-27.3853
660.000000	101.647	-27.5978
670.000000	101.661	-27.7943
680.000000	101.678	-27.9908
690.000000	101.694	-28.1896
700.000000	101.710	-28.3828
710.000000	101.727	-28.5556
720.000000	101.745	-28.7237
730.000000	101.765	-28.8926
740.000000	101.789	-29.0590
750.000000	101.814	-29.2124
762.000000	101.844	-29.3789
775.000000	101.878	-29.5388
788.000000	101.915	-29.6977
800.000000	101.952	-29.8361
812.000000	101.990	-29.9689
825.000000	102.034	-30.1084
838.000000	102.081	-30.2387
850.000000	102.129	-30.3644
862.000000	102.181	-30.4925
875.000000	102.240	-30.6305
885.000000	102.286	-30.7362
900.000000	102.359	-30.9000
912.000000	102.423	-31.0477
925.000000	102.498	-31.2185
938.000000	102.571	-31.3893
950.000000	102.629	-31.5660
962.000000	102.671	-31.7608
975.000000	102.726	-31.9900
988.000000	102.812	-32.2463
1000.000000	102.910	-32.5066
1015.000000	103.037	-32.8669
1030.000000	103.159	-33.2637
1044.000000	103.266	-33.6688
1060.000000	103.384	-34.1790
1075.000000	103.491	-34.7043
1090.000000	103.594	-35.2593
1106.000000	103.702	-35.8900
1120.000000	103.793	-36.4746
1138.000000	103.908	-37.2710
1150.000000	103.982	-37.8256
1172.000000	104.110	-38.8820
1180.000000	104.154	-39.2822
1206.000000	104.292	-40.6266
1220.000000	104.365	-41.3726
1241.000000	104.473	-42.5051
1250.000000	104.518	-42.9946
1265.000000	104.592	-43.8120
1280.000000	104.666	-44.6279
1315.000000	104.834	-46.5297
1320.000000	104.857	-46.8023
1340.000000	104.946	-47.8848
