* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.5 dBFS, measurement signal peak level -32.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:32:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1928 ms (-66 mm, -2.6 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -89.6 ppm
* Measurement: B3Velvet L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.465	59.0486
20.299999	106.531	58.2269
20.600000	106.599	57.3976
20.900000	106.667	56.5461
21.200001	106.732	55.6715
21.400000	106.771	55.0813
21.799999	106.840	53.9054
22.000000	106.870	53.3290
22.400000	106.926	52.2140
22.700001	106.965	51.4127
23.000000	107.003	50.6375
23.299999	107.042	49.8821
23.600000	107.081	49.1390
24.000000	107.134	48.1554
24.299999	107.173	47.4158
24.700001	107.221	46.4243
25.000000	107.254	45.6821
25.400000	107.290	44.7131
25.799999	107.320	43.7912
26.200001	107.346	42.9311
26.500000	107.367	42.3232
26.900000	107.399	41.5433
27.200001	107.426	40.9657
27.600000	107.463	40.1880
28.000000	107.499	39.3962
28.500000	107.538	38.3989
29.000000	107.569	37.4207
29.500000	107.594	36.4828
30.000000	107.618	35.5852
30.400000	107.639	34.8832
30.700001	107.655	34.3582
31.100000	107.674	33.6541
31.500000	107.691	32.9464
32.000000	107.708	32.0693
32.500000	107.720	31.2157
33.000000	107.729	30.3920
33.500000	107.736	29.5973
34.000000	107.742	28.8340
34.500000	107.747	28.1059
35.000000	107.754	27.4066
35.500000	107.762	26.7183
36.000000	107.771	26.0267
36.500000	107.775	25.3356
37.000000	107.775	24.6621
37.500000	107.771	24.0188
38.200001	107.767	23.1585
38.700001	107.764	22.5555
39.500000	107.755	21.6061
40.000000	107.746	21.0298
40.599998	107.734	20.3496
41.200001	107.720	19.6736
41.799999	107.703	19.0149
42.500000	107.684	18.2917
43.099998	107.671	17.6926
43.700001	107.660	17.0831
44.400002	107.644	16.3680
45.000000	107.628	15.7798
45.500000	107.613	15.3065
46.200001	107.592	14.6521
46.799999	107.568	14.1071
47.500000	107.537	13.5175
48.200001	107.506	12.9755
48.700001	107.485	12.6082
49.400002	107.459	12.1140
50.000000	107.441	11.6879
50.799999	107.417	11.0642
51.500000	107.386	10.4803
52.200001	107.344	9.9331
53.000000	107.296	9.3853
53.799999	107.256	8.8724
54.500000	107.224	8.4297
55.200001	107.193	7.9958
56.000000	107.159	7.4979
57.000000	107.111	6.8779
58.000000	107.061	6.3141
59.000000	107.014	5.7662
60.000000	106.962	5.2164
60.799999	106.917	4.8032
61.500000	106.877	4.4613
62.200001	106.837	4.1498
63.000000	106.798	3.8165
64.000000	106.755	3.3419
65.000000	106.700	2.8510
66.000000	106.641	2.4291
67.000000	106.582	2.0453
68.000000	106.526	1.7123
69.000000	106.474	1.3626
70.000000	106.416	1.0173
71.000000	106.360	0.7264
72.000000	106.309	0.4244
73.000000	106.256	0.1168
74.000000	106.201	-0.1738
75.000000	106.145	-0.4370
76.199997	106.082	-0.7435
77.500000	106.010	-1.0653
78.800003	105.939	-1.3378
80.000000	105.872	-1.5819
81.199997	105.805	-1.7822
82.500000	105.738	-1.9902
83.800003	105.671	-2.2427
85.000000	105.604	-2.4586
86.199997	105.537	-2.6239
87.500000	105.471	-2.7878
88.500000	105.420	-2.9125
90.000000	105.338	-3.0890
91.199997	105.268	-3.1862
92.500000	105.196	-3.2637
93.800003	105.126	-3.3573
95.000000	105.063	-3.4348
96.199997	105.002	-3.5226
97.500000	104.935	-3.6112
98.800003	104.870	-3.6714
100.000000	104.812	-3.7155
101.500000	104.737	-3.7434
103.000000	104.665	-3.7406
104.400002	104.598	-3.7443
106.000000	104.517	-3.7233
107.500000	104.443	-3.6759
109.000000	104.370	-3.6263
110.599998	104.293	-3.5488
112.000000	104.229	-3.4719
113.800003	104.152	-3.3972
115.000000	104.099	-3.3555
117.199997	104.003	-3.2245
118.000000	103.970	-3.1605
120.599998	103.865	-2.9117
122.000000	103.811	-2.7583
124.099998	103.730	-2.5340
125.000000	103.696	-2.4425
126.500000	103.638	-2.2777
128.000000	103.582	-2.1036
131.500000	103.454	-1.6595
132.000000	103.435	-1.5946
134.000000	103.358	-1.3334
136.000000	103.282	-1.0955
138.000000	103.209	-0.8408
140.000000	103.142	-0.5681
143.000000	103.043	-0.0602
145.000000	102.977	0.2806
147.500000	102.891	0.6971
150.000000	102.816	1.1088
152.500000	102.746	1.5291
155.000000	102.681	1.9910
157.500000	102.623	2.4630
160.000000	102.571	2.9484
162.500000	102.523	3.4410
165.000000	102.467	3.9304
167.500000	102.393	4.4376
170.000000	102.305	4.9568
172.500000	102.205	5.4907
175.000000	102.105	6.0510
177.500000	102.020	6.6671
180.000000	101.955	7.3431
182.500000	101.904	8.1164
185.000000	101.865	9.0236
187.500000	101.848	10.0396
190.000000	101.866	11.0964
192.500000	101.929	12.0360
195.000000	102.012	12.6902
197.500000	102.084	13.0580
200.000000	102.127	13.2433
203.000000	102.139	13.3741
206.000000	102.123	13.5535
209.000000	102.095	13.8083
212.000000	102.064	14.1610
214.000000	102.042	14.4309
218.000000	101.998	14.9927
220.000000	101.976	15.2915
224.000000	101.933	15.9484
227.000000	101.904	16.4709
230.000000	101.881	16.9961
233.000000	101.862	17.5195
236.000000	101.843	18.0427
240.000000	101.819	18.7269
243.000000	101.805	19.2362
247.000000	101.786	19.9209
250.000000	101.773	20.4425
254.000000	101.759	21.1300
258.000000	101.746	21.8048
262.000000	101.738	22.4752
265.000000	101.736	22.9800
269.000000	101.732	23.6564
272.000000	101.729	24.1564
276.000000	101.726	24.8050
280.000000	101.723	25.4468
285.000000	101.717	26.2413
290.000000	101.715	27.0103
295.000000	101.718	27.7623
300.000000	101.720	28.5282
304.000000	101.720	29.1278
307.000000	101.719	29.5864
311.000000	101.721	30.2168
315.000000	101.726	30.8115
320.000000	101.731	31.5147
325.000000	101.735	32.2203
330.000000	101.739	32.9436
335.000000	101.743	33.6710
