* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.3 dBFS, measurement signal peak level -32.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:32:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.8350 ms (-286 mm, -11.28 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 55.4 ppm
* Measurement: B3Velvet L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.493	59.3039
20.299999	106.566	58.3728
20.600000	106.632	57.4220
20.900000	106.688	56.4825
21.200001	106.735	55.5862
21.400000	106.764	55.0213
21.799999	106.823	53.9626
22.000000	106.855	53.4557
22.400000	106.926	52.4458
22.700001	106.980	51.6696
23.000000	107.032	50.8747
23.299999	107.079	50.0751
23.600000	107.120	49.2908
24.000000	107.169	48.2947
24.299999	107.205	47.5869
24.700001	107.257	46.6728
25.000000	107.298	45.9876
25.400000	107.352	45.0558
25.799999	107.398	44.1123
26.200001	107.434	43.1927
26.500000	107.456	42.5399
26.900000	107.485	41.7260
27.200001	107.509	41.1458
27.600000	107.545	40.3812
28.000000	107.581	39.5992
28.500000	107.620	38.5974
29.000000	107.646	37.6180
29.500000	107.667	36.7047
30.000000	107.691	35.8410
30.400000	107.713	35.1496
30.700001	107.729	34.6188
31.100000	107.746	33.9000
31.500000	107.756	33.1905
32.000000	107.762	32.3531
32.500000	107.769	31.5771
33.000000	107.781	30.8301
33.500000	107.794	30.0786
34.000000	107.805	29.3239
34.500000	107.811	28.5903
35.000000	107.815	27.8896
35.500000	107.821	27.2062
36.000000	107.826	26.5228
36.500000	107.826	25.8459
37.000000	107.823	25.1964
37.500000	107.820	24.5771
38.200001	107.820	23.7156
38.700001	107.818	23.0851
39.500000	107.801	22.1191
40.000000	107.788	21.5785
40.599998	107.778	20.9625
41.200001	107.772	20.3291
41.799999	107.762	19.6827
42.500000	107.744	18.9717
43.099998	107.730	18.4041
43.700001	107.719	17.8405
44.400002	107.702	17.1783
45.000000	107.683	16.6329
45.500000	107.667	16.1990
46.200001	107.644	15.5995
46.799999	107.624	15.0800
47.500000	107.597	14.4755
48.200001	107.569	13.8760
48.700001	107.547	13.4478
49.400002	107.512	12.8677
50.000000	107.479	12.4263
50.799999	107.443	11.9304
51.500000	107.425	11.4976
52.200001	107.409	10.9879
53.000000	107.376	10.3739
53.799999	107.333	9.8509
54.500000	107.300	9.4722
55.200001	107.270	9.1157
56.000000	107.239	8.7008
57.000000	107.200	8.1459
58.000000	107.151	7.5706
59.000000	107.094	7.0364
60.000000	107.035	6.5739
60.799999	106.993	6.2402
61.500000	106.959	5.9411
62.200001	106.926	5.6316
63.000000	106.886	5.2856
64.000000	106.835	4.8673
65.000000	106.780	4.4726
66.000000	106.723	4.1360
67.000000	106.672	3.8275
68.000000	106.622	3.5060
69.000000	106.568	3.1833
70.000000	106.514	2.9051
71.000000	106.466	2.6228
72.000000	106.413	2.3087
73.000000	106.352	2.0459
