* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -34.8 dBFS, measurement signal peak level -34.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:28:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0307 ms (11 mm, 0.41 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 35.2 ppm
* Measurement: B3Velvet R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.192	51.3706
20.299999	107.234	50.2798
20.600000	107.284	49.2815
20.900000	107.346	48.3168
21.200001	107.414	47.3302
21.400000	107.459	46.6467
21.799999	107.538	45.2373
22.000000	107.568	44.5352
22.400000	107.615	43.2021
22.700001	107.644	42.2928
23.000000	107.675	41.4540
23.299999	107.711	40.6545
23.600000	107.752	39.8597
24.000000	107.806	38.7733
24.299999	107.841	37.9416
24.700001	107.877	36.8428
25.000000	107.897	36.0482
25.400000	107.919	35.0402
25.799999	107.940	34.0788
26.200001	107.961	33.1397
26.500000	107.977	32.4386
26.900000	107.995	31.5016
27.200001	108.006	30.7977
27.600000	108.017	29.8642
28.000000	108.022	28.9486
28.500000	108.023	27.8506
29.000000	108.023	26.8108
29.500000	108.026	25.8059
30.000000	108.033	24.8034
30.400000	108.038	23.9968
30.700001	108.040	23.3947
31.100000	108.040	22.6054
31.500000	108.038	21.8364
32.000000	108.035	20.8991
32.500000	108.031	19.9782
33.000000	108.024	19.0743
33.500000	108.012	18.2010
34.000000	107.998	17.3694
34.500000	107.984	16.5736
35.000000	107.972	15.7916
35.500000	107.960	15.0024
36.000000	107.944	14.2061
36.500000	107.923	13.4253
37.000000	107.898	12.6785
37.500000	107.876	11.9584
38.200001	107.848	10.9509
38.700001	107.825	10.2309
39.500000	107.783	9.1413
40.000000	107.760	8.5006
40.599998	107.734	7.7287
41.200001	107.703	6.9503
41.799999	107.667	6.2205
42.500000	107.628	5.4600
43.099998	107.604	4.8205
43.700001	107.579	4.1393
44.400002	107.541	3.3231
45.000000	107.501	2.6554
45.500000	107.465	2.1259
46.200001	107.414	1.4045
46.799999	107.369	0.7973
47.500000	107.317	0.1050
48.200001	107.266	-0.5814
48.700001	107.231	-1.0771
49.400002	107.178	-1.7682
50.000000	107.129	-2.3273
50.799999	107.066	-2.9944
51.500000	107.018	-3.5454
52.200001	106.972	-4.1160
53.000000	106.913	-4.7586
53.799999	106.855	-5.3353
54.500000	106.809	-5.8218
55.200001	106.762	-6.3333
56.000000	106.698	-6.9143
57.000000	106.615	-7.5750
58.000000	106.535	-8.2052
59.000000	106.458	-8.8283
60.000000	106.383	-9.4592
60.799999	106.319	-9.9553
