* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -34.8 dBFS, measurement signal peak level -34.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:28:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0147 ms (-5.0 mm, -0.2 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -14.0 ppm
* Measurement: B3Velvet R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.388	49.9933
20.299999	107.428	49.0266
20.600000	107.476	48.1388
20.900000	107.534	47.2682
21.200001	107.598	46.3605
21.400000	107.639	45.7241
21.799999	107.708	44.3998
22.000000	107.734	43.7350
22.400000	107.773	42.4579
22.700001	107.796	41.5687
23.000000	107.821	40.7329
23.299999	107.849	39.9279
23.600000	107.880	39.1292
24.000000	107.924	38.0484
24.299999	107.954	37.2241
24.700001	107.989	36.1215
25.000000	108.011	35.3041
25.400000	108.035	34.2384
25.799999	108.055	33.2066
26.200001	108.070	32.2137
26.500000	108.080	31.4988
26.900000	108.091	30.5901
27.200001	108.100	29.9415
27.600000	108.115	29.1112
28.000000	108.133	28.2997
28.500000	108.160	27.2735
29.000000	108.185	26.2078
29.500000	108.200	25.1167
30.000000	108.202	24.0484
30.400000	108.197	23.2401
30.700001	108.193	22.6647
31.100000	108.189	21.9247
31.500000	108.189	21.1893
32.000000	108.190	20.2399
32.500000	108.184	19.2604
33.000000	108.167	18.3068
33.500000	108.144	17.4360
34.000000	108.129	16.6409
34.500000	108.126	15.8503
35.000000	108.126	15.0029
35.500000	108.118	14.1139
36.000000	108.097	13.2549
36.500000	108.072	12.4764
37.000000	108.051	11.7614
37.500000	108.036	11.0567
38.200001	108.014	10.0495
38.700001	107.991	9.3512
39.500000	107.954	8.3179
40.000000	107.934	7.6883
40.599998	107.908	6.9054
41.200001	107.874	6.1143
41.799999	107.832	5.3699
42.500000	107.787	4.5735
43.099998	107.753	3.9039
43.700001	107.719	3.2223
44.400002	107.678	2.4355
45.000000	107.643	1.7729
45.500000	107.613	1.2204
46.200001	107.563	0.4728
46.799999	107.520	-0.1105
47.500000	107.477	-0.7636
48.200001	107.434	-1.4463
48.700001	107.398	-1.9180
49.400002	107.347	-2.4994
50.000000	107.314	-2.9746
50.799999	107.271	-3.6851
51.500000	107.218	-4.2976
52.200001	107.165	-4.8174
53.000000	107.122	-5.4361
53.799999	107.073	-6.1723
54.500000	107.013	-6.7905
55.200001	106.947	-7.3118
56.000000	106.877	-7.8585
57.000000	106.787	-8.5271
58.000000	106.692	-9.0820
59.000000	106.613	-9.5289
60.000000	106.557	-10.0261
60.799999	106.515	-10.5201
61.500000	106.473	-10.9940
62.200001	106.426	-11.4648
63.000000	106.370	-11.9798
64.000000	106.298	-12.5938
65.000000	106.222	-13.1475
66.000000	106.145	-13.6308
67.000000	106.068	-14.0749
68.000000	105.989	-14.4898
69.000000	105.910	-14.8854
70.000000	105.834	-15.2722
71.000000	105.762	-15.6795
72.000000	105.689	-16.1070
73.000000	105.616	-16.5022
74.000000	105.547	-16.8606
75.000000	105.482	-17.2179
76.199997	105.400	-17.6281
77.500000	105.307	-18.0111
78.800003	105.216	-18.3834
80.000000	105.129	-18.7316
81.199997	105.042	-19.0589
82.500000	104.952	-19.3961
83.800003	104.863	-19.7232
85.000000	104.781	-19.9863
86.199997	104.701	-20.2352
87.500000	104.611	-20.5248
88.500000	104.536	-20.7371
90.000000	104.429	-20.9713
91.199997	104.354	-21.1748
92.500000	104.270	-21.4203
93.800003	104.187	-21.6156
95.000000	104.112	-21.7756
96.199997	104.032	-21.9300
97.500000	103.942	-22.0458
98.800003	103.859	-22.1432
100.000000	103.784	-22.2722
101.500000	103.688	-22.4404
103.000000	103.593	-22.5682
104.400002	103.508	-22.6533
106.000000	103.415	-22.7395
107.500000	103.328	-22.8302
109.000000	103.234	-22.9137
110.599998	103.136	-22.9344
112.000000	103.057	-22.9401
113.800003	102.958	-22.9786
115.000000	102.888	-22.9940
117.199997	102.762	-22.9639
118.000000	102.717	-22.9534
120.599998	102.575	-22.9015
122.000000	102.503	-22.8810
124.099998	102.391	-22.8408
125.000000	102.341	-22.7895
126.500000	102.262	-22.6697
128.000000	102.184	-22.5398
131.500000	102.000	-22.2007
132.000000	101.974	-22.1420
134.000000	101.874	-21.8656
136.000000	101.779	-21.5508
138.000000	101.681	-21.2139
140.000000	101.580	-20.8319
143.000000	101.441	-20.1030
145.000000	101.363	-19.4534
147.500000	101.294	-18.4610
150.000000	101.266	-17.5083
152.500000	101.294	-16.8764
155.000000	101.354	-16.7678
157.500000	101.402	-16.9134
160.000000	101.421	-17.1112
162.500000	101.401	-17.2972
165.000000	101.347	-17.4081
167.500000	101.268	-17.4124
170.000000	101.174	-17.3319
172.500000	101.071	-17.1776
175.000000	100.974	-16.9803
177.500000	100.892	-16.7714
180.000000	100.827	-16.5296
182.500000	100.782	-16.2615
185.000000	100.748	-15.9936
187.500000	100.717	-15.7307
190.000000	100.685	-15.4564
192.500000	100.652	-15.1686
195.000000	100.616	-14.8708
197.500000	100.577	-14.5678
200.000000	100.539	-14.2625
203.000000	100.495	-13.9038
206.000000	100.453	-13.5516
209.000000	100.417	-13.1995
212.000000	100.385	-12.8599
214.000000	100.364	-12.6299
218.000000	100.326	-12.1481
220.000000	100.308	-11.9077
224.000000	100.274	-11.4362
227.000000	100.248	-11.0929
230.000000	100.223	-10.7541
233.000000	100.201	-10.4174
236.000000	100.182	-10.1034
240.000000	100.161	-9.6941
243.000000	100.147	-9.3843
247.000000	100.132	-8.9792
250.000000	100.123	-8.6836
254.000000	100.114	-8.3025
258.000000	100.106	-7.9471
262.000000	100.099	-7.5912
265.000000	100.094	-7.3268
269.000000	100.087	-6.9844
272.000000	100.083	-6.7228
276.000000	100.080	-6.3792
280.000000	100.075	-6.0417
285.000000	100.073	-5.6335
290.000000	100.074	-5.2570
295.000000	100.074	-4.8759
300.000000	100.076	-4.4845
304.000000	100.079	-4.1665
307.000000	100.082	-3.9291
311.000000	100.087	-3.6060
315.000000	100.092	-3.2763
320.000000	100.104	-2.8501
325.000000	100.123	-2.3997
330.000000	100.152	-1.9511
335.000000	100.191	-1.5431
340.000000	100.239	-1.2105
345.000000	100.293	-0.9952
350.000000	100.344	-0.8811
355.000000	100.380	-0.8456
360.000000	100.406	-0.8090
365.000000	100.428	-0.7732
370.000000	100.444	-0.7409
375.000000	100.452	-0.6808
382.000000	100.458	-0.5463
387.000000	100.464	-0.4210
395.000000	100.474	-0.2400
400.000000	100.483	-0.1399
406.000000	100.493	0.0113
412.000000	100.502	0.1680
418.000000	100.509	0.3137
425.000000	100.519	0.4700
431.000000	100.531	0.6013
437.000000	100.543	0.7526
444.000000	100.554	0.9290
450.000000	100.564	1.0742
455.000000	100.572	1.1876
462.000000	100.584	1.3481
468.000000	100.594	1.4878
475.000000	100.605	1.6383
482.000000	100.614	1.7863
487.000000	100.621	1.8976
494.000000	100.631	2.0590
500.000000	100.640	2.1943
508.000000	100.652	2.3654
515.000000	100.662	2.5111
522.000000	100.673	2.6602
530.000000	100.686	2.8364
538.000000	100.699	3.0000
545.000000	100.709	3.1433
552.000000	100.719	3.2860
560.000000	100.731	3.4576
570.000000	100.744	3.6808
580.000000	100.758	3.9015
590.000000	100.772	4.1270
600.000000	100.787	4.3564
608.000000	100.800	4.5400
615.000000	100.810	4.7068
622.000000	100.820	4.8759
630.000000	100.831	5.0764
640.000000	100.846	5.3246
650.000000	100.862	5.5818
660.000000	100.879	5.8410
670.000000	100.895	6.1036
680.000000	100.913	6.3791
690.000000	100.930	6.6651
700.000000	100.949	6.9462
710.000000	100.969	7.2392
720.000000	100.989	7.5322
730.000000	101.010	7.8229
740.000000	101.032	8.1260
750.000000	101.056	8.4416
762.000000	101.086	8.8188
775.000000	101.121	9.2214
788.000000	101.157	9.6438
800.000000	101.192	10.0505
812.000000	101.229	10.4641
825.000000	101.273	10.9095
838.000000	101.320	11.3495
850.000000	101.368	11.7604
862.000000	101.417	12.1804
875.000000	101.472	12.6221
885.000000	101.517	12.9511
900.000000	101.588	13.4393
912.000000	101.649	13.8253
925.000000	101.719	14.2367
938.000000	101.790	14.6299
950.000000	101.845	14.9687
962.000000	101.884	15.2938
975.000000	101.934	15.6230
988.000000	102.017	15.9284
1000.000000	102.113	16.1840
1015.000000	102.238	16.4663
1030.000000	102.359	16.7172
1044.000000	102.461	16.9083
1060.000000	102.572	17.0787
1075.000000	102.672	17.2061
1090.000000	102.770	17.2861
1106.000000	102.871	17.3256
1120.000000	102.958	17.3290
1138.000000	103.067	17.2927
1150.000000	103.136	17.2427
1172.000000	103.256	17.0938
1180.000000	103.297	17.0279
1206.000000	103.424	16.7774
1220.000000	103.489	16.6293
1241.000000	103.585	16.3796
1250.000000	103.627	16.2623
1265.000000	103.695	16.0607
1280.000000	103.761	15.8606
1315.000000	103.905	15.4036
1320.000000	103.925	15.3370
1340.000000	104.003	15.0688
1360.000000	104.079	14.8100
1380.000000	104.151	14.5685
1400.000000	104.218	14.3400
1430.000000	104.314	14.0169
1450.000000	104.377	13.8117
1475.000000	104.453	13.5785
1500.000000	104.527	13.3662
1525.000000	104.599	13.1762
1550.000000	104.670	13.0125
1575.000000	104.742	12.8663
1600.000000	104.814	12.7286
1625.000000	104.885	12.6125
1650.000000	104.955	12.5095
1675.000000	105.028	12.4183
1700.000000	105.103	12.3392
1725.000000	105.179	12.2720
1750.000000	105.257	12.2144
1775.000000	105.335	12.1637
1800.000000	105.417	12.1210
1825.000000	105.501	12.0774
1850.000000	105.588	12.0384
1875.000000	105.675	12.0021
1900.000000	105.765	11.9612
1925.000000	105.857	11.9177
1950.000000	105.950	11.8707
1975.000000	106.045	11.8168
2000.000000	106.142	11.7590
2030.000000	106.259	11.6830
2060.000000	106.380	11.5924
2090.000000	106.503	11.4873
2120.000000	106.630	11.3756
2140.000000	106.716	11.2940
2180.000000	106.891	11.0988
2200.000000	106.980	10.9947
2240.000000	107.161	10.7556
2270.000000	107.300	10.5372
2300.000000	107.441	10.2984
2330.000000	107.583	10.0377
2360.000000	107.728	9.7455
2400.000000	107.923	9.3127
2430.000000	108.069	8.9592
2470.000000	108.267	8.4311
2500.000000	108.418	7.9928
2540.000000	108.622	7.3491
2580.000000	108.822	6.6417
2620.000000	109.019	5.8578
2650.000000	109.168	5.2129
2690.000000	109.363	4.2957
2720.000000	109.508	3.5669
2760.000000	109.697	2.5307
2800.000000	109.880	1.4227
2850.000000	110.099	-0.0572
2900.000000	110.307	-1.6606
2950.000000	110.503	-3.3856
3000.000000	110.683	-5.2228
3040.000000	110.810	-6.7539
3070.000000	110.898	-7.9393
3110.000000	111.005	-9.5585
3150.000000	111.104	-11.2172
3200.000000	111.218	-13.3361
3250.000000	111.317	-15.4820
3300.000000	111.399	-17.6384
3350.000000	111.453	-19.7809
3400.000000	111.472	-21.8847
3450.000000	111.457	-23.9303
3500.000000	111.408	-25.9013
3550.000000	111.335	-27.7919
3600.000000	111.249	-29.5959
3650.000000	111.157	-31.3131
3700.000000	111.065	-32.9376
3750.000000	110.973	-34.4502
3820.000000	110.852	-36.4122
3870.000000	110.765	-37.7002
3950.000000	110.611	-39.5626
4000.000000	110.495	-40.6066
4060.000000	110.321	-41.7263
4120.000000	110.122	-42.7216
4180.000000	109.911	-43.5978
4250.000000	109.663	-44.4813
4310.000000	109.464	-45.1426
4370.000000	109.280	-45.7309
4440.000000	109.082	-46.3357
4500.000000	108.926	-46.7902
4550.000000	108.805	-47.1263
4620.000000	108.645	-47.5310
4680.000000	108.517	-47.8161
4750.000000	108.379	-48.0761
4820.000000	108.252	-48.2507
4870.000000	108.167	-48.3120
4940.000000	108.063	-48.3161
5000.000000	107.990	-48.2404
5080.000000	107.911	-48.0256
5150.000000	107.855	-47.7366
5220.000000	107.808	-47.3569
5300.000000	107.772	-46.8268
5380.000000	107.760	-46.2085
5450.000000	107.784	-45.6089
5520.000000	107.852	-44.9864
5600.000000	107.997	-44.3284
5700.000000	108.297	-43.8239
5800.000000	108.718	-44.0569
5900.000000	109.210	-45.4777
6000.000000	109.662	-48.4117
6080.000000	109.894	-51.7499
6150.000000	109.952	-55.0775
6220.000000	109.860	-58.3741
6300.000000	109.593	-61.5798
6400.000000	109.116	-64.1580
6500.000000	108.629	-65.0117
6600.000000	108.256	-64.5518
6700.000000	108.058	-63.3872
6800.000000	108.047	-62.0593
6900.000000	108.212	-60.9703
7000.000000	108.533	-60.4476
7100.000000	108.990	-60.7907
7200.000000	109.560	-62.3155
7300.000000	110.207	-65.4765
7400.000000	110.825	-70.7684
7500.000000	111.251	-78.1529
7620.000000	111.314	-88.8770
7750.000000	110.717	-100.7545
7880.000000	109.536	-110.6327
8000.000000	108.174	-117.0450
8120.000000	106.764	-120.9942
8250.000000	105.313	-123.1246
8380.000000	103.998	-123.6500
8500.000000	102.911	-123.1243
8620.000000	101.939	-121.9202
8750.000000	101.009	-120.0735
8850.000000	100.372	-118.3518
9000.000000	99.536	-115.3838
9120.000000	98.963	-112.8206
9250.000000	98.425	-109.9592
9380.000000	97.962	-107.0574
9500.000000	97.603	-104.4136
9620.000000	97.304	-101.8342
9750.000000	97.047	-99.1262
9880.000000	96.861	-96.5501
10000.000000	96.750	-94.3364
10150.000000	96.684	-91.8827
10300.000000	96.693	-89.8527
10440.000000	96.755	-88.4122
10600.000000	96.865	-87.3715
10750.000000	96.984	-87.0070
10900.000000	97.095	-87.1836
11060.000000	97.181	-87.8675
11200.000000	97.220	-88.7638
11380.000000	97.225	-90.2211
11500.000000	97.195	-91.3491
11720.000000	97.066	-93.4358
11800.000000	97.005	-94.1352
12060.000000	96.789	-96.2700
12200.000000	96.668	-97.3072
12410.000000	96.517	-98.7401
12500.000000	96.465	-99.3844
12650.000000	96.379	-100.5300
12800.000000	96.279	-101.6064
13150.000000	96.107	-103.3513
13200.000000	96.097	-103.5234
13400.000000	96.112	-103.9904
13600.000000	96.259	-104.1432
13800.000000	96.619	-104.1821
14000.000000	97.341	-104.4580
14300.000000	99.304	-106.2515
14500.000000	101.076	-109.5942
14750.000000	103.634	-119.0485
15000.000000	106.024	-137.5251
15250.000000	107.141	-164.1891
15500.000000	106.387	168.3430
15750.000000	104.338	147.2139
16000.000000	102.040	132.8742
16250.000000	100.022	122.2735
16500.000000	98.588	112.7510
16750.000000	97.997	102.7073
17000.000000	97.964	91.0626
17250.000000	98.105	77.1755
17500.000000	98.185	60.9817
17750.000000	98.050	43.0374
