* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -34.7 dBFS, measurement signal peak level -34.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:29:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0281 ms (9.6 mm, 0.38 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 16.4 ppm
* Measurement: B3Velvet R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.473	49.8588
20.299999	107.493	48.8144
20.600000	107.518	47.8973
20.900000	107.555	47.0616
21.200001	107.606	46.2416
21.400000	107.645	45.6770
21.799999	107.723	44.4822
22.000000	107.758	43.8613
22.400000	107.818	42.6223
22.700001	107.855	41.7305
23.000000	107.891	40.8804
23.299999	107.928	40.0583
23.600000	107.968	39.2414
24.000000	108.020	38.1329
24.299999	108.053	37.2875
24.700001	108.088	36.1682
25.000000	108.107	35.3561
25.400000	108.127	34.3264
25.799999	108.147	33.3501
26.200001	108.168	32.4041
26.500000	108.185	31.7007
26.900000	108.206	30.7611
27.200001	108.220	30.0545
27.600000	108.236	29.1153
28.000000	108.248	28.1892
28.500000	108.257	27.0650
29.000000	108.265	25.9839
29.500000	108.273	24.9339
30.000000	108.281	23.8969
30.400000	108.287	23.0738
30.700001	108.289	22.4646
31.100000	108.288	21.6709
31.500000	108.286	20.9039
32.000000	108.283	19.9793
32.500000	108.280	19.0780
33.000000	108.276	18.1891
33.500000	108.269	17.3197
34.000000	108.259	16.4850
34.500000	108.249	15.6853
35.000000	108.243	14.8961
35.500000	108.236	14.0897
36.000000	108.225	13.2671
36.500000	108.206	12.4621
37.000000	108.182	11.7079
37.500000	108.161	11.0024
38.200001	108.141	10.0279
38.700001	108.127	9.3042
39.500000	108.094	8.1366
40.000000	108.064	7.4512
40.599998	108.027	6.6966
41.200001	107.995	5.9905
41.799999	107.968	5.2908
42.500000	107.938	4.4576
43.099998	107.909	3.7425
43.700001	107.878	3.0371
44.400002	107.839	2.2171
45.000000	107.802	1.5203
45.500000	107.767	0.9598
46.200001	107.717	0.2149
46.799999	107.676	-0.4077
47.500000	107.627	-1.1321
48.200001	107.575	-1.8311
48.700001	107.537	-2.3014
49.400002	107.486	-2.9145
50.000000	107.446	-3.3992
50.799999	107.404	-4.0334
51.500000	107.372	-4.6478
52.200001	107.330	-5.3101
53.000000	107.269	-6.0199
53.799999	107.211	-6.6559
54.500000	107.163	-7.2047
55.200001	107.111	-7.7512
56.000000	107.048	-8.3301
57.000000	106.977	-8.9931
58.000000	106.912	-9.6852
59.000000	106.840	-10.3479
60.000000	106.775	-10.9481
60.799999	106.724	-11.4680
61.500000	106.671	-11.9081
62.200001	106.619	-12.2922
63.000000	106.566	-12.7245
64.000000	106.497	-13.3194
65.000000	106.418	-13.8633
66.000000	106.346	-14.3556
67.000000	106.277	-14.8855
68.000000	106.200	-15.4119
69.000000	106.124	-15.8569
70.000000	106.060	-16.2943
71.000000	105.995	-16.7929
72.000000	105.917	-17.2595
73.000000	105.838	-17.6258
74.000000	105.767	-17.9456
75.000000	105.702	-18.2936
76.199997	105.622	-18.7360
77.500000	105.532	-19.2183
78.800003	105.439	-19.6772
80.000000	105.353	-20.0640
81.199997	105.272	-20.4122
82.500000	105.186	-20.8056
83.800003	105.097	-21.1773
85.000000	105.015	-21.5017
86.199997	104.929	-21.8027
87.500000	104.838	-22.0695
88.500000	104.772	-22.2753
90.000000	104.673	-22.5824
91.199997	104.596	-22.8128
92.500000	104.516	-23.0805
93.800003	104.434	-23.3469
95.000000	104.358	-23.5595
96.199997	104.281	-23.7354
97.500000	104.201	-23.8976
98.800003	104.124	-24.0705
100.000000	104.050	-24.2677
101.500000	103.948	-24.4908
103.000000	103.850	-24.6347
104.400002	103.768	-24.7451
106.000000	103.679	-24.8796
107.500000	103.595	-24.9965
109.000000	103.509	-25.0909
110.599998	103.418	-25.1794
112.000000	103.340	-25.2712
113.800003	103.240	-25.3911
115.000000	103.175	-25.4630
117.199997	103.058	-25.5620
118.000000	103.016	-25.5784
120.599998	102.886	-25.5966
122.000000	102.816	-25.6011
124.099998	102.711	-25.5998
125.000000	102.665	-25.5883
126.500000	102.591	-25.5617
128.000000	102.517	-25.5260
131.500000	102.348	-25.4126
132.000000	102.325	-25.3926
134.000000	102.233	-25.3131
136.000000	102.140	-25.2165
138.000000	102.048	-25.0730
140.000000	101.957	-24.9301
143.000000	101.810	-24.6625
145.000000	101.710	-24.4260
147.500000	101.586	-24.0647
150.000000	101.467	-23.5932
152.500000	101.365	-22.9643
155.000000	101.285	-22.1793
157.500000	101.257	-21.2259
160.000000	101.296	-20.3807
162.500000	101.377	-19.8974
165.000000	101.447	-19.8074
167.500000	101.471	-19.9986
170.000000	101.443	-20.2922
172.500000	101.375	-20.5096
175.000000	101.293	-20.6032
177.500000	101.215	-20.6244
180.000000	101.149	-20.5969
182.500000	101.097	-20.5218
185.000000	101.057	-20.3947
187.500000	101.024	-20.2397
190.000000	100.995	-20.0716
192.500000	100.965	-19.9015
195.000000	100.930	-19.7141
197.500000	100.890	-19.5191
200.000000	100.850	-19.3139
203.000000	100.805	-19.0593
206.000000	100.765	-18.7840
209.000000	100.728	-18.5051
212.000000	100.693	-18.2533
214.000000	100.670	-18.0891
218.000000	100.628	-17.7472
220.000000	100.609	-17.5658
224.000000	100.575	-17.2191
227.000000	100.552	-16.9682
230.000000	100.530	-16.7448
233.000000	100.509	-16.5261
236.000000	100.493	-16.2963
240.000000	100.476	-15.9907
243.000000	100.464	-15.7618
247.000000	100.450	-15.4844
250.000000	100.444	-15.2869
254.000000	100.437	-15.0470
258.000000	100.431	-14.8278
262.000000	100.423	-14.5850
265.000000	100.417	-14.4115
269.000000	100.410	-14.1883
272.000000	100.409	-14.0217
276.000000	100.406	-13.8246
280.000000	100.404	-13.6414
285.000000	100.404	-13.4272
290.000000	100.410	-13.2049
295.000000	100.414	-12.9840
300.000000	100.416	-12.7818
304.000000	100.420	-12.6297
307.000000	100.423	-12.5215
311.000000	100.427	-12.3718
315.000000	100.430	-12.2148
320.000000	100.433	-12.0546
325.000000	100.436	-11.9063
330.000000	100.440	-11.7169
335.000000	100.444	-11.4846
340.000000	100.449	-11.2541
345.000000	100.461	-11.0340
350.000000	100.480	-10.8170
355.000000	100.505	-10.5566
360.000000	100.544	-10.2913
365.000000	100.596	-10.1307
370.000000	100.654	-10.0869
375.000000	100.705	-10.1370
382.000000	100.754	-10.3107
387.000000	100.777	-10.4469
395.000000	100.796	-10.6215
400.000000	100.804	-10.7123
406.000000	100.812	-10.7925
412.000000	100.821	-10.8588
418.000000	100.830	-10.9267
425.000000	100.839	-10.9778
431.000000	100.846	-11.0035
437.000000	100.855	-11.0379
444.000000	100.868	-11.0831
450.000000	100.878	-11.1142
455.000000	100.886	-11.1351
462.000000	100.896	-11.1724
468.000000	100.906	-11.2153
475.000000	100.916	-11.2560
482.000000	100.927	-11.2872
487.000000	100.934	-11.3130
494.000000	100.943	-11.3539
500.000000	100.951	-11.3815
508.000000	100.962	-11.4189
515.000000	100.971	-11.4559
522.000000	100.980	-11.4985
530.000000	100.991	-11.5500
538.000000	101.002	-11.5894
545.000000	101.012	-11.6186
552.000000	101.022	-11.6555
560.000000	101.032	-11.6925
570.000000	101.047	-11.7289
580.000000	101.061	-11.7644
590.000000	101.075	-11.8030
600.000000	101.089	-11.8358
608.000000	101.100	-11.8454
615.000000	101.109	-11.8536
622.000000	101.118	-11.8627
630.000000	101.129	-11.8749
640.000000	101.143	-11.8858
650.000000	101.158	-11.8826
660.000000	101.171	-11.8741
670.000000	101.186	-11.8679
680.000000	101.203	-11.8562
690.000000	101.222	-11.8384
700.000000	101.241	-11.8137
710.000000	101.259	-11.7780
720.000000	101.278	-11.7334
730.000000	101.299	-11.6853
