* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.9 dBFS, measurement signal peak level -33.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:29:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1225 ms (-42 mm, -1.65 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 20.1 ppm
* Measurement: B3Velvet R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.594	52.7251
20.299999	107.641	51.7545
20.600000	107.683	50.8352
20.900000	107.724	49.9608
21.200001	107.767	49.1152
21.400000	107.796	48.5579
21.799999	107.854	47.4394
22.000000	107.882	46.8744
22.400000	107.933	45.7390
22.700001	107.965	44.8971
23.000000	107.994	44.0782
23.299999	108.020	43.2900
23.600000	108.047	42.5312
24.000000	108.087	41.5475
24.299999	108.120	40.8134
24.700001	108.164	39.8209
25.000000	108.196	39.0644
25.400000	108.233	38.0523
25.799999	108.263	37.0571
26.200001	108.289	36.0946
26.500000	108.306	35.3964
26.900000	108.326	34.4932
27.200001	108.340	33.8341
27.600000	108.355	32.9805
28.000000	108.367	32.1599
28.500000	108.380	31.1857
29.000000	108.392	30.2600
29.500000	108.406	29.3600
30.000000	108.420	28.4608
30.400000	108.431	27.7330
30.700001	108.437	27.1831
31.100000	108.441	26.4514
31.500000	108.440	25.7324
32.000000	108.436	24.8658
32.500000	108.432	24.0348
33.000000	108.430	23.2214
33.500000	108.428	22.4083
34.000000	108.423	21.5974
34.500000	108.413	20.8075
35.000000	108.401	20.0557
35.500000	108.389	19.3419
36.000000	108.378	18.6516
36.500000	108.369	17.9674
37.000000	108.358	17.2806
37.500000	108.344	16.5960
38.200001	108.317	15.6680
38.700001	108.294	15.0425
39.500000	108.258	14.0979
40.000000	108.236	13.5243
40.599998	108.208	12.8419
41.200001	108.178	12.1700
41.799999	108.149	11.5116
42.500000	108.116	10.7466
43.099998	108.085	10.0856
43.700001	108.048	9.4415
44.400002	108.002	8.7533
45.000000	107.967	8.2123
45.500000	107.939	7.7704
46.200001	107.900	7.1578
46.799999	107.865	6.6642
47.500000	107.829	6.1134
48.200001	107.796	5.5308
48.700001	107.767	5.1093
49.400002	107.719	4.5829
50.000000	107.683	4.1895
50.799999	107.642	3.6267
51.500000	107.595	3.0906
52.200001	107.535	2.6209
53.000000	107.475	2.1766
53.799999	107.428	1.7062
54.500000	107.386	1.2419
55.200001	107.337	0.7723
56.000000	107.275	0.2720
57.000000	107.201	-0.2764
