* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -33.1 dBFS, measurement signal peak level -33.1 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 14:30:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.2809 ms (-96 mm, -3.79 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -84.4 ppm
* Measurement: B3Velvet R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.606	54.0450
20.299999	107.663	53.1381
20.600000	107.720	52.2270
20.900000	107.775	51.3115
21.200001	107.826	50.4026
21.400000	107.858	49.8065
21.799999	107.919	48.6438
22.000000	107.948	48.0755
22.400000	108.008	46.9533
22.700001	108.051	46.1179
23.000000	108.091	45.2896
23.299999	108.127	44.4759
23.600000	108.160	43.6850
24.000000	108.201	42.6714
24.299999	108.231	41.9366
24.700001	108.272	40.9746
25.000000	108.302	40.2574
25.400000	108.338	39.3049
25.799999	108.370	38.3652
26.200001	108.397	37.4484
26.500000	108.416	36.7763
26.900000	108.440	35.8940
27.200001	108.457	35.2368
27.600000	108.476	34.3646
28.000000	108.490	33.5050
28.500000	108.500	32.4731
29.000000	108.508	31.5071
29.500000	108.518	30.5945
30.000000	108.533	29.6971
30.400000	108.546	28.9707
30.700001	108.553	28.4211
31.100000	108.560	27.6934
31.500000	108.562	26.9867
32.000000	108.563	26.1434
32.500000	108.565	25.3311
33.000000	108.567	24.5254
33.500000	108.565	23.7211
34.000000	108.558	22.9368
34.500000	108.548	22.1913
35.000000	108.538	21.4799
35.500000	108.530	20.7780
36.000000	108.522	20.0663
36.500000	108.510	19.3492
37.000000	108.492	18.6498
37.500000	108.472	17.9871
38.200001	108.447	17.1135
38.700001	108.432	16.5024
39.500000	108.407	15.5270
40.000000	108.388	14.9358
40.599998	108.364	14.2581
41.200001	108.341	13.6010
41.799999	108.319	12.9453
42.500000	108.289	12.1888
43.099998	108.258	11.5726
43.700001	108.226	10.9971
44.400002	108.191	10.3624
45.000000	108.163	9.8279
45.500000	108.139	9.3807
46.200001	108.102	8.7551
46.799999	108.066	8.2318
47.500000	108.021	7.6527
48.200001	107.980	7.1017
48.700001	107.952	6.7067
49.400002	107.912	6.1355
50.000000	107.873	5.6524
50.799999	107.816	5.0791
51.500000	107.772	4.6294
52.200001	107.734	4.1606
53.000000	107.688	3.5912
53.799999	107.639	3.0483
54.500000	107.595	2.6121
55.200001	107.551	2.2032
56.000000	107.502	1.7673
57.000000	107.446	1.2218
58.000000	107.384	0.6486
59.000000	107.314	0.1309
60.000000	107.247	-0.3529
60.799999	107.191	-0.7399
61.500000	107.141	-1.0589
62.200001	107.091	-1.3593
63.000000	107.037	-1.6904
64.000000	106.969	-2.0909
65.000000	106.903	-2.4789
66.000000	106.838	-2.8523
67.000000	106.773	-3.2263
