* Measurement data measured by REW V5.31
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Buds+, L Buds+
* Dated: 29-Apr-2024 11:39:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of L Buds+, L Buds+
* Measurement: Buds+ L1
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	100.358
20.144928	100.433
20.290907	100.506
20.437943	100.576
20.586044	100.644
20.735220	100.709
20.885475	100.771
21.036821	100.829
21.189262	100.884
21.342808	100.936
21.497467	100.985
21.653246	101.033
21.810154	101.080
21.968201	101.130
22.127390	101.186
22.287735	101.247
22.449242	101.318
22.611917	101.399
22.775772	101.486
22.940815	101.582
23.107054	101.680
23.274498	101.779
23.443153	101.872
23.613033	101.957
23.784142	102.031
23.956491	102.089
24.130091	102.134
24.304947	102.165
24.481071	102.185
24.658470	102.200
24.837156	102.211
25.017136	102.229
25.198421	102.253
25.381020	102.291
25.564941	102.342
25.750195	102.406
25.936790	102.480
26.124741	102.558
26.314051	102.638
26.504732	102.711
26.696796	102.778
26.890253	102.833
27.085112	102.879
27.281382	102.917
27.479073	102.950
27.678198	102.985
27.878765	103.025
28.080786	103.074
28.284271	103.132
28.489231	103.201
28.695675	103.273
28.903616	103.347
29.113064	103.416
29.324028	103.478
29.536524	103.529
29.750557	103.575
29.966141	103.616
30.183289	103.662
30.402010	103.717
30.622314	103.788
30.844217	103.873
31.067726	103.971
31.292856	104.072
31.519617	104.167
31.748020	104.246
31.978081	104.299
32.209808	104.323
32.443211	104.316
32.678310	104.286
32.915108	104.238
33.153625	104.188
33.393871	104.145
33.635857	104.119
33.879597	104.114
34.125103	104.130
34.372387	104.163
34.621464	104.206
34.872345	104.253
35.125042	104.302
35.379574	104.348
35.635948	104.392
35.894180	104.435
36.154285	104.475
36.416275	104.514
36.680161	104.552
36.945961	104.588
37.213688	104.625
37.483353	104.664
37.754974	104.707
38.028561	104.754
38.304131	104.804
38.581699	104.853
38.861279	104.900
39.142883	104.942
39.426529	104.976
39.712231	105.003
40.000000	105.025
40.289856	105.040
40.581814	105.051
40.875885	105.057
41.172089	105.057
41.470440	105.054
41.770950	105.049
42.073643	105.044
42.378525	105.043
42.685616	105.044
42.994934	105.048
43.306492	105.054
43.620308	105.058
43.936401	105.062
44.254780	105.066
44.575470	105.074
44.898483	105.089
45.223835	105.113
45.551544	105.146
45.881630	105.188
46.214108	105.235
46.548996	105.281
46.886307	105.321
47.226067	105.349
47.568283	105.362
47.912983	105.360
48.260181	105.346
48.609894	105.328
48.962143	105.312
49.316940	105.302
49.674313	105.300
50.034271	105.304
50.396843	105.311
50.762039	105.316
51.129883	105.319
51.500389	105.318
51.873581	105.315
52.249481	105.311
52.628101	105.308
53.009464	105.308
53.393593	105.310
53.780506	105.314
54.170223	105.316
54.562763	105.314
54.958145	105.308
55.356396	105.299
55.757530	105.290
56.161572	105.285
56.568542	105.282
56.978462	105.280
57.391350	105.277
57.807232	105.270
58.226128	105.260
58.648056	105.247
59.073048	105.235
59.501114	105.223
59.932281	105.215
60.366577	105.209
60.804020	105.204
61.244629	105.198
61.688435	105.189
62.135452	105.175
62.585712	105.153
63.039234	105.125
63.496040	105.096
63.956161	105.069
64.419617	105.050
64.886421	105.039
65.356621	105.035
65.830215	105.032
66.307251	105.025
66.787743	105.014
67.271713	104.998
67.759193	104.980
68.250206	104.960
68.744774	104.936
69.242928	104.907
69.744690	104.876
70.250084	104.848
70.759148	104.826
