* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -36.4 dBFS, measurement signal peak level -35.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 29-Apr-2024 11:40:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0503 ms (-17 mm, -0.68 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -27.6 ppm
* Measurement: Buds+ L3
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.462	98.0592
20.144928	100.517	97.6506
20.290907	100.574	97.2524
20.437943	100.635	96.8568
20.586044	100.700	96.4536
20.735220	100.769	96.0344
20.885475	100.841	95.5891
21.036821	100.916	95.1103
21.189262	100.990	94.5947
21.342808	101.064	94.0414
21.497467	101.134	93.4539
21.653246	101.200	92.8399
21.810154	101.261	92.2080
21.968201	101.317	91.5699
22.127390	101.368	90.9370
22.287735	101.415	90.3178
22.449242	101.459	89.7205
22.611917	101.503	89.1477
22.775772	101.548	88.5991
22.940815	101.594	88.0715
23.107054	101.644	87.5578
23.274498	101.698	87.0509
23.443153	101.755	86.5430
23.613033	101.814	86.0277
23.784142	101.875	85.5018
23.956491	101.937	84.9641
24.130091	101.999	84.4164
24.304947	102.060	83.8623
24.481071	102.120	83.3059
24.658470	102.178	82.7516
24.837156	102.236	82.2023
25.017136	102.292	81.6601
25.198421	102.348	81.1259
25.381020	102.403	80.6003
25.564941	102.457	80.0848
25.750195	102.509	79.5820
25.936790	102.559	79.0962
26.124741	102.608	78.6337
26.314051	102.656	78.2004
26.504732	102.704	77.8021
26.696796	102.754	77.4405
26.890253	102.807	77.1129
27.085112	102.867	76.8109
27.281382	102.934	76.5200
27.479073	103.008	76.2222
27.678198	103.090	75.8976
27.878765	103.177	75.5286
28.080786	103.267	75.1024
28.284271	103.356	74.6136
28.489231	103.440	74.0648
28.695675	103.518	73.4669
28.903616	103.586	72.8358
29.113064	103.644	72.1916
29.324028	103.692	71.5537
29.536524	103.733	70.9390
29.750557	103.768	70.3589
29.966141	103.801	69.8172
30.183289	103.836	69.3092
30.402010	103.874	68.8228
30.622314	103.917	68.3401
30.844217	103.964	67.8410
31.067726	104.015	67.3084
31.292856	104.066	66.7313
31.519617	104.114	66.1090
31.748020	104.158	65.4512
31.978081	104.195	64.7770
32.209808	104.225	64.1076
32.443211	104.251	63.4628
32.678310	104.277	62.8499
32.915108	104.306	62.2620
33.153625	104.343	61.6748
33.393871	104.388	61.0554
33.635857	104.437	60.3730
33.879597	104.484	59.6111
34.125103	104.521	58.7772
34.372387	104.541	57.9064
34.621464	104.539	57.0605
34.872345	104.519	56.3066
35.125042	104.487	55.7023
35.379574	104.455	55.2774
35.635948	104.439	55.0161
35.894180	104.447	54.8624
36.154285	104.484	54.7306
36.416275	104.544	54.5375
36.680161	104.618	54.2312
36.945961	104.694	53.7994
37.213688	104.761	53.2704
37.483353	104.816	52.6923
37.754974	104.860	52.1116
38.028561	104.897	51.5597
38.304131	104.931	51.0440
38.581699	104.966	50.5541
38.861279	105.002	50.0750
39.142883	105.038	49.5960
39.426529	105.073	49.1159
39.712231	105.107	48.6367
40.000000	105.143	48.1554
40.289856	105.180	47.6599
40.581814	105.219	47.1324
40.875885	105.256	46.5616
41.172089	105.288	45.9541
41.470440	105.313	45.3337
41.770950	105.330	44.7322
42.073643	105.345	44.1712
42.378525	105.364	43.6446
42.685616	105.392	43.1180
42.994934	105.428	42.5479
43.306492	105.465	41.9049
43.620308	105.495	41.1924
43.936401	105.511	40.4490
44.254780	105.514	39.7306
44.575470	105.508	39.0814
44.898483	105.501	38.5149
45.223835	105.499	38.0140
45.551544	105.503	37.5475
45.881630	105.512	37.0907
46.214108	105.522	36.6369
46.548996	105.532	36.1931
46.886307	105.543	35.7652
47.226067	105.557	35.3458
47.568283	105.575	34.9168
47.912983	105.592	34.4638
48.260181	105.607	33.9877
48.609894	105.616	33.5041
48.962143	105.621	33.0300
49.316940	105.624	32.5703
49.674313	105.627	32.1156
50.034271	105.629	31.6526
50.396843	105.630	31.1783
50.762039	105.627	30.7049
51.129883	105.621	30.2495
51.500389	105.617	29.8171
51.873581	105.618	29.3922
52.249481	105.626	28.9456
52.628101	105.638	28.4547
53.009464	105.648	27.9186
53.393593	105.655	27.3588
53.780506	105.658	26.8042
54.170223	105.659	26.2731
54.562763	105.662	25.7644
54.958145	105.667	25.2629
55.356396	105.673	24.7532
55.757530	105.677	24.2309
56.161572	105.677	23.7051
56.568542	105.672	23.1911
56.978462	105.663	22.6998
57.391350	105.652	22.2319
57.807232	105.640	21.7797
58.226128	105.626	21.3358
58.648056	105.610	20.8992
59.073048	105.592	20.4761
59.501114	105.574	20.0730
59.932281	105.560	19.6864
60.366577	105.553	19.2965
60.804020	105.554	18.8697
61.244629	105.560	18.3731
61.688435	105.567	17.7934
62.135452	105.565	17.1507
62.585712	105.553	16.4943
63.039234	105.530	15.8807
63.496040	105.502	15.3470
63.956161	105.475	14.8994
64.419617	105.452	14.5238
64.886421	105.436	14.2005
65.356621	105.426	13.9063
65.830215	105.422	13.6104
66.307251	105.418	13.2848
66.787743	105.410	12.9279
67.271713	105.394	12.5684
67.759193	105.373	12.2296
68.250206	105.355	11.8908
68.744774	105.340	11.5004
69.242928	105.323	11.0362
69.744690	105.298	10.5362
70.250084	105.269	10.0532
70.759148	105.247	9.5895
71.271896	105.235	9.1009
71.788361	105.226	8.5686
72.308571	105.211	8.0410
72.832550	105.193	7.5850
73.360321	105.179	7.2126
73.891922	105.171	6.8801
74.427376	105.162	6.5543
74.966705	105.142	6.2536
75.509949	105.113	6.0123
76.057121	105.079	5.8228
76.608261	105.044	5.6349
77.163399	105.006	5.4025
77.722557	104.965	5.1083
78.285767	104.924	4.7433
78.853058	104.887	4.2924
79.424461	104.855	3.7531
80.000000	104.828	3.1484
80.579712	104.809	2.5154
81.163628	104.797	1.9064
81.751770	104.791	1.3966
82.344177	104.794	1.0424
82.940880	104.808	0.8345
83.541901	104.822	0.7380
84.147285	104.824	0.7426
84.757050	104.806	0.8201
85.371231	104.754	0.9126
85.989868	104.654	1.0235
86.612984	104.506	1.1542
87.240616	104.314	1.1461
87.872803	104.041	1.0415
88.509560	103.669	1.6753
89.150940	103.359	3.9984
89.796967	103.376	6.9550
90.447670	103.701	7.7861
91.103088	104.010	5.7288
91.763260	104.112	2.4139
92.428215	104.069	-0.5374
93.097992	104.017	-2.6735
93.772614	104.003	-4.2333
94.452133	104.009	-5.3275
95.136566	104.029	-5.9676
95.825966	104.055	-6.2952
96.520363	104.067	-6.4408
97.219788	104.055	-6.4643
97.924286	104.019	-6.4468
98.633881	103.960	-6.4641
99.348625	103.883	-6.5485
100.068542	103.801	-6.7278
100.793686	103.721	-7.0185
101.524078	103.650	-7.3973
102.259766	103.593	-7.8218
103.000778	103.551	-8.2466
103.747162	103.518	-8.6221
104.498962	103.490	-8.9125
105.256203	103.462	-9.1114
106.018929	103.428	-9.2363
106.787186	103.385	-9.3199
107.561012	103.333	-9.4083
108.340446	103.271	-9.5404
109.125526	103.202	-9.7249
109.916290	103.133	-9.9537
110.712791	103.069	-10.2251
111.515060	103.013	-10.5305
112.323143	102.964	-10.8347
113.137085	102.921	-11.0990
113.956924	102.884	-11.3153
114.782700	102.847	-11.4945
115.614464	102.806	-11.6394
116.452255	102.760	-11.7551
117.296112	102.710	-11.8636
118.146095	102.657	-11.9953
119.002228	102.601	-12.1615
119.864563	102.539	-12.3359
120.733154	102.476	-12.4875
121.608040	102.413	-12.6063
122.489258	102.351	-12.6767
123.376869	102.292	-12.6963
124.270905	102.237	-12.7059
