* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -39.0 dBFS, measurement signal peak level -35.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 29-Apr-2024 11:36:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0506 ms (-17 mm, -0.68 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -27.3 ppm
* Measurement: Buds+ R4
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.353	93.7501
20.144928	102.423	93.1906
20.290907	102.491	92.6414
20.437943	102.559	92.1026
20.586044	102.626	91.5734
20.735220	102.694	91.0522
20.885475	102.762	90.5359
21.036821	102.830	90.0218
21.189262	102.899	89.5079
21.342808	102.966	88.9924
21.497467	103.032	88.4759
21.653246	103.097	87.9610
21.810154	103.159	87.4512
21.968201	103.219	86.9530
22.127390	103.277	86.4727
22.287735	103.334	86.0163
22.449242	103.390	85.5888
22.611917	103.449	85.1910
22.775772	103.511	84.8196
22.940815	103.579	84.4676
23.107054	103.653	84.1207
23.274498	103.735	83.7638
23.443153	103.825	83.3779
23.613033	103.919	82.9462
23.784142	104.017	82.4571
23.956491	104.114	81.9037
24.130091	104.207	81.2896
24.304947	104.292	80.6253
24.481071	104.368	79.9283
24.658470	104.433	79.2222
24.837156	104.489	78.5281
25.017136	104.537	77.8673
25.198421	104.581	77.2498
25.381020	104.624	76.6770
25.564941	104.672	76.1378
25.750195	104.726	75.6091
25.936790	104.787	75.0648
26.124741	104.853	74.4757
26.314051	104.919	73.8243
26.504732	104.980	73.1046
26.696796	105.030	72.3297
26.890253	105.065	71.5300
27.085112	105.081	70.7474
27.281382	105.081	70.0318
27.479073	105.069	69.4254
27.678198	105.055	68.9579
27.878765	105.047	68.6297
28.080786	105.058	68.4139
28.284271	105.093	68.2484
28.489231	105.156	68.0605
28.695675	105.242	67.7703
28.903616	105.341	67.3253
29.113064	105.440	66.7014
29.324028	105.527	65.9170
29.536524	105.591	65.0195
29.750557	105.628	64.0829
29.966141	105.638	63.1803
30.183289	105.627	62.3811
30.402010	105.607	61.7229
30.622314	105.589	61.2131
30.844217	105.583	60.8200
31.067726	105.593	60.4915
31.292856	105.621	60.1637
31.519617	105.661	59.7925
31.748020	105.705	59.3583
31.978081	105.746	58.8746
32.209808	105.779	58.3727
32.443211	105.807	57.8905
32.678310	105.835	57.4486
32.915108	105.868	57.0424
33.153625	105.913	56.6376
33.393871	105.969	56.1865
33.635857	106.030	55.6473
33.879597	106.086	55.0036
34.125103	106.127	54.2797
34.372387	106.146	53.5329
34.621464	106.142	52.8458
34.872345	106.123	52.2903
35.125042	106.102	51.9072
35.379574	106.096	51.6835
35.635948	106.117	51.5487
35.894180	106.172	51.3992
36.154285	106.252	51.1261
36.416275	106.345	50.6612
36.680161	106.433	49.9950
36.945961	106.501	49.1713
37.213688	106.543	48.2736
37.483353	106.559	47.3891
37.754974	106.556	46.5859
38.028561	106.546	45.8985
38.304131	106.540	45.3182
38.581699	106.544	44.8060
38.861279	106.561	44.3116
39.142883	106.586	43.7911
39.426529	106.614	43.2232
39.712231	106.639	42.6129
40.000000	106.657	41.9836
40.289856	106.667	41.3690
40.581814	106.671	40.8018
40.875885	106.674	40.3028
41.172089	106.682	39.8734
41.470440	106.699	39.4938
41.770950	106.729	39.1264
42.073643	106.771	38.7256
42.378525	106.818	38.2554
42.685616	106.864	37.7059
42.994934	106.900	37.0978
43.306492	106.921	36.4748
43.620308	106.931	35.8872
43.936401	106.933	35.3691
44.254780	106.937	34.9211
44.575470	106.949	34.5091
44.898483	106.968	34.0842
45.223835	106.990	33.6085
45.551544	107.008	33.0734
45.881630	107.016	32.5021
46.214108	107.012	31.9351
46.548996	107.001	31.4084
46.886307	106.988	30.9342
47.226067	106.980	30.4977
47.568283	106.979	30.0680
47.912983	106.984	29.6154
48.260181	106.993	29.1234
48.609894	107.002	28.5900
48.962143	107.010	28.0216
49.316940	107.016	27.4281
49.674313	107.018	26.8206
50.034271	107.017	26.2122
50.396843	107.011	25.6180
50.762039	107.003	25.0523
51.129883	106.994	24.5248
51.500389	106.985	24.0380
51.873581	106.980	23.5873
52.249481	106.979	23.1627
52.628101	106.982	22.7498
53.009464	106.990	22.3313
53.393593	107.001	21.8912
53.780506	107.010	21.4227
54.170223	107.014	20.9341
54.562763	107.010	20.4466
54.958145	107.001	19.9812
55.356396	106.990	19.5438
55.757530	106.981	19.1180
56.161572	106.975	18.6742
56.568542	106.970	18.1885
56.978462	106.963	17.6573
57.391350	106.950	17.0965
57.807232	106.933	16.5275
58.226128	106.915	15.9628
58.648056	106.897	15.4013
59.073048	106.879	14.8392
59.501114	106.861	14.2826
59.932281	106.842	13.7530
60.366577	106.825	13.2747
60.804020	106.813	12.8521
61.244629	106.812	12.4578
61.688435	106.821	12.0453
62.135452	106.831	11.5840
62.585712	106.833	11.0871
63.039234	106.823	10.6043
63.496040	106.802	10.1831
63.956161	106.778	9.8339
64.419617	106.756	9.5257
64.886421	106.736	9.2130
65.356621	106.715	8.8646
65.830215	106.688	8.4750
66.307251	106.653	8.0597
66.787743	106.612	7.6441
67.271713	106.567	7.2452
67.759193	106.526	6.8552
68.250206	106.491	6.4482
68.744774	106.460	6.0093
69.242928	106.432	5.5485
69.744690	106.405	5.0798
70.250084	106.381	4.6044
70.759148	106.355	4.1367
71.271896	106.325	3.7240
71.788361	106.300	3.3913
72.308571	106.286	3.0755
72.832550	106.276	2.6903
73.360321	106.249	2.2687
73.891922	106.207	1.9401
74.427376	106.176	1.7114
74.966705	106.165	1.3921
75.509949	106.145	0.8721
76.057121	106.089	0.3511
76.608261	106.025	0.0709
77.163399	106.003	-0.1070
77.722557	106.008	-0.5247
78.285767	105.981	-1.1164
78.853058	105.919	-1.4272
79.424461	105.892	-1.3669
80.000000	105.930	-1.4607
80.579712	105.949	-1.9997
81.163628	105.884	-2.4901
81.751770	105.795	-2.3890
82.344177	105.779	-2.0497
82.940880	105.808	-2.2776
83.541901	105.764	-3.0292
84.147285	105.633	-3.4826
84.757050	105.542	-3.3361
85.371231	105.580	-3.4277
85.989868	105.653	-4.5608
86.612984	105.629	-6.2549
87.240616	105.539	-7.4268
87.872803	105.547	-7.9374
88.509560	105.706	-8.9746
89.150940	105.828	-11.2714
89.796967	105.716	-13.8773
90.447670	105.387	-15.0503
91.103088	105.063	-13.9499
91.763260	104.957	-11.5956
92.428215	105.064	-9.6969
93.097992	105.241	-8.9929
93.772614	105.359	-9.2922
94.452133	105.348	-10.0565
95.136566	105.206	-10.6459
95.825966	105.002	-10.6107
96.520363	104.832	-9.9835
97.219788	104.762	-9.2318
97.924286	104.792	-8.9000
98.633881	104.873	-9.2723
99.348625	104.943	-10.2758
100.068542	104.960	-11.6184
100.793686	104.910	-12.9797
101.524078	104.798	-14.0967
102.259766	104.638	-14.7817
103.000778	104.459	-14.9524
103.747162	104.290	-14.6588
104.498962	104.155	-14.0620
105.256203	104.066	-13.3700
106.018929	104.020	-12.7568
106.787186	104.008	-12.3193
107.561012	104.021	-12.0900
108.340446	104.047	-12.0567
109.125526	104.073	-12.1620
109.916290	104.089	-12.3222
110.712791	104.089	-12.4652
111.515060	104.066	-12.5397
