* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -31.3 dBFS, measurement signal peak level -31.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 29-Apr-2024 11:45:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1334 ms (-46 mm, -1.8 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -27.8 ppm
* Measurement: Buds+ Dynamic L2
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.420	101.5879
20.144928	100.504	101.2064
20.290907	100.592	100.8083
20.437943	100.682	100.3867
20.586044	100.774	99.9353
20.735220	100.865	99.4526
20.885475	100.954	98.9408
21.036821	101.040	98.4042
21.189262	101.120	97.8518
21.342808	101.195	97.2947
21.497467	101.264	96.7420
21.653246	101.329	96.2045
21.810154	101.390	95.6887
21.968201	101.450	95.1971
22.127390	101.510	94.7290
22.287735	101.571	94.2779
22.449242	101.635	93.8342
22.611917	101.701	93.3884
22.775772	101.768	92.9297
22.940815	101.835	92.4528
23.107054	101.899	91.9571
23.274498	101.958	91.4471
23.443153	102.010	90.9361
23.613033	102.056	90.4401
23.784142	102.095	89.9782
23.956491	102.129	89.5685
24.130091	102.163	89.2215
24.304947	102.200	88.9408
24.481071	102.245	88.7161
24.658470	102.303	88.5251
24.837156	102.375	88.3374
25.017136	102.461	88.1135
25.198421	102.561	87.8202
25.381020	102.668	87.4274
25.564941	102.777	86.9220
25.750195	102.880	86.3045
25.936790	102.974	85.5906
26.124741	103.053	84.8098
26.314051	103.115	83.9957
26.504732	103.162	83.1876
26.696796	103.194	82.4166
26.890253	103.217	81.7086
27.085112	103.235	81.0743
27.281382	103.254	80.5136
27.479073	103.277	80.0137
27.678198	103.308	79.5547
27.878765	103.346	79.1141
28.080786	103.392	78.6727
28.284271	103.442	78.2167
28.489231	103.494	77.7410
28.695675	103.548	77.2471
28.903616	103.600	76.7414
29.113064	103.650	76.2332
29.324028	103.699	75.7315
29.536524	103.746	75.2449
