* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -31.6 dBFS, measurement signal peak level -31.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 29-Apr-2024 11:49:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0531 ms (-18 mm, -0.72 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -27.8 ppm
* Measurement: Buds+ Dynamic R2
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.199	95.9933
20.144928	102.278	95.4518
20.290907	102.353	94.8803
20.437943	102.422	94.2924
20.586044	102.484	93.7056
20.735220	102.542	93.1344
20.885475	102.595	92.5951
21.036821	102.648	92.0989
21.189262	102.704	91.6457
21.342808	102.768	91.2292
21.497467	102.841	90.8325
21.653246	102.927	90.4261
21.810154	103.025	89.9822
21.968201	103.134	89.4678
22.127390	103.248	88.8571
22.287735	103.361	88.1410
22.449242	103.467	87.3212
22.611917	103.558	86.4179
22.775772	103.628	85.4706
22.940815	103.675	84.5223
23.107054	103.699	83.6329
23.274498	103.702	82.8542
23.443153	103.692	82.2314
23.613033	103.679	81.7940
23.784142	103.675	81.5373
23.956491	103.690	81.4314
24.130091	103.734	81.4148
24.304947	103.808	81.4039
24.481071	103.909	81.3226
24.658470	104.028	81.1002
24.837156	104.153	80.7074
25.017136	104.269	80.1451
25.198421	104.365	79.4491
25.381020	104.434	78.6851
25.564941	104.473	77.9212
25.750195	104.487	77.2330
25.936790	104.484	76.6668
26.124741	104.477	76.2443
26.314051	104.477	75.9456
26.504732	104.494	75.7134
26.696796	104.529	75.4760
26.890253	104.577	75.1568
27.085112	104.628	74.7166
27.281382	104.666	74.1524
27.479073	104.680	73.5161
27.678198	104.662	72.8926
27.878765	104.616	72.3889
28.080786	104.553	72.0960
28.284271	104.497	72.0581
28.489231	104.473	72.2434
28.695675	104.503	72.5202
28.903616	104.595	72.7043
29.113064	104.740	72.5889
29.324028	104.908	72.0434
29.536524	105.065	71.0297
29.750557	105.175	69.6359
29.966141	105.211	68.0295
30.183289	105.164	66.4647
30.402010	105.041	65.1974
30.622314	104.873	64.4760
30.844217	104.714	64.4333
31.067726	104.626	65.0237
31.292856	104.667	65.9433
31.519617	104.854	66.7379
31.748020	105.158	66.9523
31.978081	105.508	66.3215
32.209808	105.834	64.8409
