* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -47.4 dBFS, measurement signal peak level -27.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 10-Apr-2024 16:27:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 12.6803 ms (4.349 m, 14 ft 3.2 in) using IR start time relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Buds2 L1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.803	-121.5710
20.299999	62.557	-120.4835
20.600000	62.566	-119.7560
20.900000	62.724	-120.2613
21.200001	62.884	-122.0710
21.400000	62.941	-123.7607
21.799999	62.902	-127.3813
22.000000	62.831	-128.9524
22.400000	62.708	-131.1720
22.700001	62.735	-132.1962
23.000000	62.901	-133.1699
23.299999	63.168	-134.5348
23.600000	63.462	-136.4510
24.000000	63.784	-139.5646
24.299999	63.943	-141.8950
24.700001	64.078	-144.4392
25.000000	64.168	-145.7766
25.400000	64.339	-146.9832
25.799999	64.582	-148.0173
26.200001	64.852	-149.3164
26.500000	65.033	-150.5359
26.900000	65.211	-152.3645
27.200001	65.290	-153.7468
27.600000	65.335	-155.4159
28.000000	65.340	-156.7736
28.500000	65.351	-158.0996
29.000000	65.412	-159.3972
29.500000	65.511	-161.1440
30.000000	65.590	-163.4867
30.400000	65.608	-165.6129
30.700001	65.594	-167.2068
31.100000	65.557	-169.1943
31.500000	65.527	-170.9733
32.000000	65.532	-172.9932
32.500000	65.591	-174.9697
33.000000	65.688	-177.0345
33.500000	65.797	-179.2063
34.000000	65.896	178.5948
34.500000	65.976	176.5081
35.000000	66.045	174.6294
35.500000	66.122	172.9077
36.000000	66.206	171.1896
36.500000	66.279	169.3835
37.000000	66.327	167.5305
37.500000	66.353	165.6926
38.200001	66.375	163.0720
38.700001	66.370	161.0957
39.500000	66.307	157.9935
40.000000	66.260	156.2634
40.599998	66.232	154.3024
41.200001	66.230	152.2651
41.799999	66.224	150.2054
42.500000	66.223	148.0370
43.099998	66.261	146.3098
43.700001	66.326	144.4532
44.400002	66.390	142.0809
45.000000	66.424	140.0381
45.500000	66.450	138.3556
46.200001	66.487	135.8911
46.799999	66.503	133.6348
47.500000	66.498	131.0024
48.200001	66.500	128.4928
48.700001	66.524	126.6902
49.400002	66.584	123.9849
50.000000	66.635	121.5166
50.799999	66.699	118.2197
51.500000	66.764	115.3093
52.200001	66.809	112.2827
53.000000	66.799	109.0000
53.799999	66.770	106.2487
54.500000	66.771	104.0364
55.200001	66.774	101.7526
56.000000	66.757	99.2168
57.000000	66.763	96.3457
58.000000	66.855	93.3075
59.000000	66.976	89.5557
60.000000	67.032	85.4468
60.799999	67.041	82.3826
61.500000	67.057	79.9385
62.200001	67.098	77.5557
63.000000	67.154	74.5249
64.000000	67.084	70.4921
65.000000	66.881	68.0973
66.000000	66.868	66.7905
67.000000	66.969	63.9294
68.000000	66.953	60.1210
69.000000	66.866	56.6619
70.000000	66.822	53.6274
71.000000	66.848	50.2742
72.000000	66.832	46.3413
73.000000	66.731	42.7244
74.000000	66.656	39.7928
75.000000	66.669	36.8472
76.199997	66.721	32.5398
77.500000	66.685	27.3716
