* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -20.9 dBFS, measurement signal peak level -21.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 10-Apr-2024 16:43:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 20.8075 ms (7.137 m, 23 ft 5 in) using IR start time relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Buds2 R2
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	69.883	-145.7980
20.299999	69.756	-147.0829
20.600000	69.699	-147.8963
20.900000	69.735	-148.7178
21.200001	69.829	-149.9262
21.400000	69.895	-150.9984
21.799999	69.983	-153.5597
22.000000	69.997	-154.8856
22.400000	69.994	-157.2977
22.700001	70.004	-158.8279
23.000000	70.054	-160.2424
23.299999	70.144	-161.7329
23.600000	70.254	-163.4288
24.000000	70.379	-165.9561
24.299999	70.440	-167.8456
24.700001	70.503	-170.0461
25.000000	70.574	-171.4344
25.400000	70.742	-173.2735
25.799999	70.960	-175.6081
26.200001	71.129	-178.5914
26.500000	71.173	179.0134
26.900000	71.119	176.2239
27.200001	71.045	174.7540
27.600000	71.013	173.5553
28.000000	71.123	172.4493
28.500000	71.354	169.8982
29.000000	71.436	166.1166
29.500000	71.269	162.7186
30.000000	71.033	161.1135
30.400000	70.986	160.8672
30.700001	71.074	160.6267
31.100000	71.289	159.5360
31.500000	71.507	157.4152
32.000000	71.671	153.9184
32.500000	71.716	150.2691
33.000000	71.695	146.7978
33.500000	71.626	143.4879
34.000000	71.501	140.4455
34.500000	71.337	137.9430
35.000000	71.188	136.0914
35.500000	71.103	134.6663
36.000000	71.088	133.3100
36.500000	71.123	131.7947
37.000000	71.183	130.0532
37.500000	71.250	128.0960
38.200001	71.337	125.0993
38.700001	71.394	122.8556
39.500000	71.495	119.0196
40.000000	71.554	116.3550
40.599998	71.595	112.8980
41.200001	71.587	109.3326
41.799999	71.538	105.8504
42.500000	71.446	102.0504
43.099998	71.359	99.0870
43.700001	71.280	96.3928
44.400002	71.218	93.5115
45.000000	71.195	91.1863
45.500000	71.202	89.2834
46.200001	71.245	86.5167
46.799999	71.298	83.9442
47.500000	71.355	80.7121
48.200001	71.397	77.2750
48.700001	71.413	74.6843
49.400002	71.398	70.9076
50.000000	71.345	67.6799
50.799999	71.238	63.6403
51.500000	71.146	60.3546
52.200001	71.070	57.1622
53.000000	71.000	53.5576
53.799999	70.951	50.0103
54.500000	70.932	46.8795
55.200001	70.926	43.6255
56.000000	70.913	39.7670
57.000000	70.871	34.9301
58.000000	70.810	30.2913
59.000000	70.759	25.8017
60.000000	70.712	21.2384
60.799999	70.663	17.5558
61.500000	70.614	14.3577
62.200001	70.561	11.2019
63.000000	70.506	7.6420
64.000000	70.450	3.1338
65.000000	70.392	-1.5091
66.000000	70.325	-6.2248
67.000000	70.241	-10.9157
68.000000	70.156	-15.4731
69.000000	70.081	-19.9893
70.000000	70.014	-24.4870
71.000000	69.959	-29.0244
72.000000	69.902	-33.6838
73.000000	69.834	-38.2892
74.000000	69.775	-42.8084
75.000000	69.726	-47.3895
76.199997	69.659	-52.9946
77.500000	69.564	-58.9926
78.800003	69.467	-64.9591
80.000000	69.338	-70.5773
81.199997	69.175	-75.6472
82.500000	69.070	-80.6400
83.800003	69.053	-85.9783
85.000000	69.065	-91.5493
86.199997	69.037	-97.5877
87.500000	68.953	-104.0715
88.500000	68.866	-108.9441
90.000000	68.709	-115.8180
91.199997	68.612	-120.9958
92.500000	68.537	-126.9238
93.800003	68.432	-133.2335
95.000000	68.296	-138.9589
96.199997	68.153	-144.3585
97.500000	68.021	-149.9360
98.800003	67.918	-155.4755
100.000000	67.835	-160.6612
101.500000	67.733	-167.3669
103.000000	67.621	-174.4071
104.400002	67.509	178.7313
106.000000	67.390	170.7074
107.500000	67.319	163.2143
109.000000	67.299	155.8121
110.599998	67.303	148.0906
112.000000	67.298	141.5848
113.800003	67.256	133.5255
115.000000	67.197	128.1387
117.199997	67.009	118.0426
118.000000	66.924	114.3692
120.599998	66.688	102.4651
122.000000	66.603	95.9236
124.099998	66.496	85.9123
125.000000	66.441	81.6107
126.500000	66.331	74.5344
128.000000	66.208	67.6046
131.500000	65.966	51.5898
132.000000	65.940	49.2654
134.000000	65.842	39.8711
136.000000	65.714	30.5533
138.000000	65.540	21.4057
140.000000	65.324	12.2386
143.000000	64.992	-1.4689
145.000000	64.860	-10.2853
147.500000	64.851	-21.0613
150.000000	64.964	-31.9981
152.500000	65.082	-43.6976
155.000000	65.147	-56.0837
157.500000	65.158	-69.1090
160.000000	65.119	-82.1091
162.500000	65.056	-94.7067
165.000000	64.973	-107.2427
167.500000	64.870	-119.7943
170.000000	64.759	-132.4045
172.500000	64.645	-144.9196
175.000000	64.540	-157.4052
177.500000	64.433	-169.9985
180.000000	64.324	177.5626
182.500000	64.248	165.2370
185.000000	64.203	152.6414
187.500000	64.159	139.7180
190.000000	64.093	126.7150
192.500000	64.008	113.9288
195.000000	63.928	101.3672
197.500000	63.867	88.8211
200.000000	63.817	76.1774
203.000000	63.756	60.9404
206.000000	63.689	45.6488
209.000000	63.626	30.2811
212.000000	63.574	14.7889
214.000000	63.543	4.4211
218.000000	63.483	-16.3058
220.000000	63.454	-26.6920
224.000000	63.395	-47.5790
227.000000	63.354	-63.3536
230.000000	63.322	-79.2199
233.000000	63.295	-95.1290
236.000000	63.267	-111.0544
240.000000	63.224	-132.3152
243.000000	63.197	-148.2839
247.000000	63.172	-169.6453
250.000000	63.152	174.2791
254.000000	63.119	152.7717
258.000000	63.092	131.1414
262.000000	63.074	109.3682
265.000000	63.061	92.9312
269.000000	63.042	70.9324
272.000000	63.024	54.4229
276.000000	63.002	32.4050
280.000000	62.988	10.3479
285.000000	62.986	-17.3201
290.000000	62.991	-45.0439
295.000000	63.010	-72.8763
300.000000	63.040	-101.0338
304.000000	63.060	-123.7997
307.000000	63.069	-140.9431
311.000000	63.076	-163.8362
315.000000	63.081	173.2416
