* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -48.4 dBFS, measurement signal peak level -49.3 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 10-Apr-2024 16:42:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 10.5934 ms (3.634 m, 11 ft 11.1 in) using IR start time relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Buds2 R5
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.047	-131.8622
20.299999	70.185	-133.1831
20.600000	70.331	-134.8782
20.900000	70.432	-136.8436
21.200001	70.469	-138.7901
21.400000	70.468	-139.9390
21.799999	70.466	-141.7413
22.000000	70.490	-142.4553
22.400000	70.606	-143.8630
22.700001	70.731	-145.1530
23.000000	70.848	-146.7082
23.299999	70.932	-148.4226
23.600000	70.976	-150.1207
24.000000	70.995	-152.1038
24.299999	71.010	-153.3190
24.700001	71.066	-154.6989
25.000000	71.143	-155.7150
25.400000	71.274	-157.2526
25.799999	71.403	-159.0753
26.200001	71.497	-161.0858
26.500000	71.537	-162.5908
26.900000	71.561	-164.4293
27.200001	71.575	-165.6326
27.600000	71.616	-167.0765
28.000000	71.695	-168.5639
28.500000	71.813	-170.8418
29.000000	71.866	-173.6020
29.500000	71.800	-176.3375
30.000000	71.651	-178.4025
30.400000	71.545	-179.4113
30.700001	71.510	-179.9158
31.100000	71.537	179.4393
31.500000	71.626	178.5170
32.000000	71.758	176.7932
32.500000	71.856	174.6196
33.000000	71.906	172.3099
33.500000	71.922	170.0522
34.000000	71.918	167.9103
34.500000	71.900	165.9286
35.000000	71.882	164.1424
35.500000	71.879	162.5136
36.000000	71.896	160.9416
36.500000	71.925	159.3563
37.000000	71.956	157.7524
37.500000	71.990	156.1267
38.200001	72.032	153.7511
38.700001	72.044	152.0105
39.500000	72.035	149.3923
40.000000	72.040	147.8486
40.599998	72.062	145.8616
41.200001	72.068	143.6547
41.799999	72.039	141.4488
42.500000	72.001	139.0834
43.099998	71.994	137.0451
43.700001	71.986	134.8389
44.400002	71.943	132.2865
45.000000	71.902	130.3679
45.500000	71.893	128.9077
46.200001	71.922	126.7654
46.799999	71.951	124.7103
47.500000	71.950	122.2088
48.200001	71.912	119.8740
48.700001	71.878	118.4043
49.400002	71.853	116.5496
50.000000	71.859	114.9348
50.799999	71.872	112.5185
51.500000	71.855	110.3224
52.200001	71.832	108.2424
53.000000	71.828	105.8314
53.799999	71.824	103.1802
54.500000	71.796	100.7924
55.200001	71.759	98.4510
56.000000	71.707	95.7983
57.000000	71.618	92.6207
58.000000	71.528	89.7620
59.000000	71.463	87.1913
60.000000	71.459	84.7332
60.799999	71.497	82.4766
61.500000	71.518	80.1997
62.200001	71.507	77.8477
63.000000	71.470	75.3099
64.000000	71.435	72.3069
65.000000	71.400	69.1648
66.000000	71.314	66.0404
67.000000	71.200	63.3176
68.000000	71.109	60.8245
69.000000	71.033	58.1929
70.000000	70.946	55.3484
71.000000	70.838	52.3792
72.000000	70.718	49.3720
73.000000	70.604	46.3480
74.000000	70.505	43.2846
75.000000	70.419	40.2257
76.199997	70.338	36.6686
77.500000	70.280	32.9921
78.800003	70.246	29.4217
80.000000	70.217	26.1255
81.199997	70.176	22.7582
82.500000	70.105	19.0345
83.800003	70.015	15.3030
85.000000	69.928	11.8798
86.199997	69.849	8.5075
87.500000	69.780	4.8673
88.500000	69.733	2.0349
90.000000	69.645	-2.3046
91.199997	69.547	-5.7126
92.500000	69.430	-9.2838
93.800003	69.314	-12.7905
95.000000	69.218	-16.0190
96.199997	69.133	-19.2956
97.500000	69.049	-22.8694
98.800003	68.970	-26.4318
100.000000	68.900	-29.7096
101.500000	68.813	-33.7979
103.000000	68.724	-37.9575
104.400002	68.629	-41.8978
106.000000	68.511	-46.3048
107.500000	68.412	-50.3361
109.000000	68.323	-54.4315
110.599998	68.216	-58.9301
112.000000	68.104	-62.8263
113.800003	67.964	-67.6573
115.000000	67.889	-70.8438
117.199997	67.788	-76.8296
118.000000	67.754	-79.0646
120.599998	67.626	-86.4037
122.000000	67.542	-90.3416
124.099998	67.411	-96.1550
125.000000	67.357	-98.6072
126.500000	67.269	-102.6183
128.000000	67.181	-106.5294
131.500000	66.928	-115.4572
132.000000	66.886	-116.7479
134.000000	66.709	-122.0294
136.000000	66.548	-127.4032
138.000000	66.429	-132.8379
140.000000	66.317	-138.1949
143.000000	66.130	-145.6989
145.000000	66.010	-150.8682
147.500000	65.843	-157.8778
150.000000	65.651	-164.4658
152.500000	65.500	-169.8013
155.000000	65.449	-174.4772
157.500000	65.508	-179.6183
160.000000	65.625	174.2291
162.500000	65.716	167.2196
165.000000	65.730	159.6554
167.500000	65.682	151.7039
170.000000	65.621	143.6004
172.500000	65.576	135.7244
175.000000	65.532	128.2787
177.500000	65.464	121.1137
180.000000	65.368	113.9773
182.500000	65.272	106.8124
185.000000	65.195	99.6542
187.500000	65.129	92.5374
190.000000	65.061	85.4574
192.500000	64.992	78.4055
195.000000	64.930	71.2997
197.500000	64.869	64.1217
200.000000	64.803	56.9639
203.000000	64.729	48.4591
206.000000	64.669	39.9716
209.000000	64.618	31.4588
212.000000	64.568	22.8589
214.000000	64.535	17.0707
218.000000	64.473	5.4144
220.000000	64.446	-0.4454
224.000000	64.391	-12.2119
227.000000	64.354	-21.0349
230.000000	64.323	-29.8419
233.000000	64.298	-38.6386
236.000000	64.275	-47.4325
240.000000	64.242	-59.2130
243.000000	64.210	-68.1561
247.000000	64.164	-80.1783
250.000000	64.135	-89.1861
254.000000	64.101	-101.1362
258.000000	64.073	-113.1000
262.000000	64.059	-125.1902
265.000000	64.054	-134.3712
269.000000	64.040	-146.6868
272.000000	64.026	-155.9102
276.000000	64.008	-168.1833
280.000000	63.991	179.5137
285.000000	63.972	164.0212
290.000000	63.953	148.4282
295.000000	63.939	132.7584
300.000000	63.928	117.0740
304.000000	63.918	104.5488
307.000000	63.910	95.1711
311.000000	63.902	82.6934
315.000000	63.904	70.2180
320.000000	63.922	54.5770
325.000000	63.958	38.8057
330.000000	64.013	22.7773
335.000000	64.070	6.4460
340.000000	64.121	-10.0199
345.000000	64.165	-26.6382
350.000000	64.188	-43.3849
355.000000	64.184	-60.0952
360.000000	64.165	-76.7169
365.000000	64.142	-93.2690
370.000000	64.124	-109.8662
375.000000	64.110	-126.5892
382.000000	64.093	-150.0721
387.000000	64.086	-166.8242
395.000000	64.093	166.3022
400.000000	64.098	149.3633
406.000000	64.092	128.9464
412.000000	64.080	108.5284
418.000000	64.070	88.1241
425.000000	64.066	64.2794
431.000000	64.067	43.7610
437.000000	64.064	23.1646
444.000000	64.054	-0.9426
450.000000	64.045	-21.6931
455.000000	64.038	-39.0433
462.000000	64.027	-63.3600
468.000000	64.017	-84.2207
475.000000	64.009	-108.6315
482.000000	64.003	-133.1614
487.000000	63.999	-150.7369
494.000000	63.997	-175.3693
500.000000	63.997	163.4911
508.000000	63.993	135.2498
515.000000	63.983	110.4261
522.000000	63.969	85.4982
530.000000	63.951	56.9614
538.000000	63.937	28.4197
545.000000	63.929	3.3918
552.000000	63.924	-21.7045
560.000000	63.921	-50.4564
570.000000	63.918	-86.5034
580.000000	63.910	-122.6721
590.000000	63.902	-158.9854
600.000000	63.888	164.6304
608.000000	63.875	135.5571
615.000000	63.864	110.0825
622.000000	63.856	84.5298
630.000000	63.849	55.2483
640.000000	63.844	18.5459
650.000000	63.841	-18.3308
660.000000	63.830	-55.3311
670.000000	63.818	-92.3352
680.000000	63.809	-129.3943
690.000000	63.804	-166.5405
700.000000	63.805	156.2043
710.000000	63.810	118.8201
720.000000	63.814	81.3301
730.000000	63.817	43.8015
740.000000	63.818	6.2522
750.000000	63.823	-31.3950
762.000000	63.836	-76.7627
775.000000	63.851	-126.0532
788.000000	63.871	-175.3994
800.000000	63.893	138.9973
812.000000	63.917	93.3286
825.000000	63.947	43.6631
838.000000	63.983	-6.2407
850.000000	64.020	-52.4111
862.000000	64.063	-98.6301
875.000000	64.115	-148.8218
885.000000	64.159	172.4587
900.000000	64.231	114.2307
912.000000	64.297	67.5239
925.000000	64.370	16.7544
938.000000	64.443	-34.2075
950.000000	64.512	-81.3940
962.000000	64.583	-128.6523
975.000000	64.666	-179.8926
988.000000	64.754	128.7717
1000.000000	64.840	81.2495
1015.000000	64.951	21.6250
1030.000000	65.066	-38.2903
1044.000000	65.177	-94.4475
1060.000000	65.304	-158.8303
1075.000000	65.420	140.5811
1090.000000	65.531	79.7383
1106.000000	65.639	14.5781
1120.000000	65.716	-42.6279
1138.000000	65.789	-116.3364
1150.000000	65.825	-165.4907
1172.000000	65.882	104.4849
1180.000000	65.905	71.7998
1206.000000	66.009	-34.2905
1220.000000	66.088	-91.5195
1241.000000	66.232	-177.7534
