* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -30.3 dBFS, measurement signal peak level -22.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 10-Apr-2024 19:27:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1673 ms (-57 mm, -2.26 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 10.8 ppm
* Measurement: L1 Chu2
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.443	-125.5098
20.144928	95.478	-125.9371
20.290907	95.511	-126.3716
20.437943	95.544	-126.8111
20.586044	95.575	-127.2514
20.735220	95.605	-127.6946
20.885475	95.633	-128.1327
21.036821	95.660	-128.5636
21.189262	95.685	-128.9868
21.342808	95.710	-129.3967
21.497467	95.735	-129.7947
21.653246	95.760	-130.1852
21.810154	95.787	-130.5654
21.968201	95.815	-130.9453
22.127390	95.845	-131.3298
22.287735	95.877	-131.7200
22.449242	95.908	-132.1257
22.611917	95.939	-132.5447
22.775772	95.968	-132.9739
22.940815	95.995	-133.4163
23.107054	96.018	-133.8548
23.274498	96.037	-134.2889
23.443153	96.054	-134.7062
23.613033	96.068	-135.0958
23.784142	96.082	-135.4610
23.956491	96.098	-135.7945
24.130091	96.116	-136.1059
24.304947	96.141	-136.4104
24.481071	96.170	-136.7119
24.658470	96.204	-137.0434
24.837156	96.242	-137.4024
25.017136	96.281	-137.8130
25.198421	96.318	-138.2712
25.381020	96.349	-138.7691
25.564941	96.373	-139.3046
25.750195	96.388	-139.8377
25.936790	96.392	-140.3680
26.124741	96.389	-140.8473
26.314051	96.380	-141.2775
26.504732	96.370	-141.6324
26.696796	96.363	-141.9205
26.890253	96.363	-142.1546
27.085112	96.373	-142.3526
27.281382	96.394	-142.5546
27.479073	96.426	-142.7809
27.678198	96.464	-143.0669
27.878765	96.506	-143.4174
28.080786	96.546	-143.8465
28.284271	96.581	-144.3276
28.489231	96.607	-144.8584
28.695675	96.622	-145.3914
28.903616	96.629	-145.9201
29.113064	96.628	-146.4052
29.324028	96.623	-146.8475
29.536524	96.617	-147.2336
29.750557	96.614	-147.5816
29.966141	96.616	-147.8953
30.183289	96.622	-148.2045
30.402010	96.633	-148.5155
30.622314	96.647	-148.8465
30.844217	96.661	-149.1963
31.067726	96.674	-149.5664
31.292856	96.685	-149.9457
31.519617	96.694	-150.3296
31.748020	96.701	-150.7095
31.978081	96.707	-151.0836
32.209808	96.713	-151.4520
32.443211	96.718	-151.8188
32.678310	96.724	-152.1875
32.915108	96.729	-152.5602
33.153625	96.732	-152.9359
33.393871	96.734	-153.3099
33.635857	96.734	-153.6781
33.879597	96.733	-154.0326
34.125103	96.732	-154.3727
34.372387	96.731	-154.6972
34.621464	96.733	-155.0124
34.872345	96.736	-155.3250
35.125042	96.742	-155.6416
35.379574	96.750	-155.9707
35.635948	96.758	-156.3136
35.894180	96.767	-156.6711
36.154285	96.774	-157.0403
36.416275	96.780	-157.4164
36.680161	96.784	-157.7959
36.945961	96.787	-158.1750
37.213688	96.788	-158.5504
37.483353	96.789	-158.9206
37.754974	96.789	-159.2839
38.028561	96.789	-159.6392
38.304131	96.789	-159.9861
38.581699	96.789	-160.3257
38.861279	96.789	-160.6600
39.142883	96.790	-160.9917
39.426529	96.791	-161.3240
39.712231	96.791	-161.6573
40.000000	96.790	-161.9909
40.289856	96.787	-162.3224
40.581814	96.782	-162.6482
40.875885	96.777	-162.9662
41.172089	96.772	-163.2770
41.470440	96.767	-163.5828
41.770950	96.763	-163.8872
42.073643	96.760	-164.1935
42.378525	96.755	-164.5032
42.685616	96.750	-164.8151
42.994934	96.744	-165.1280
43.306492	96.738	-165.4410
43.620308	96.731	-165.7547
43.936401	96.725	-166.0713
44.254780	96.719	-166.3934
44.575470	96.712	-166.7208
44.898483	96.703	-167.0510
45.223835	96.694	-167.3797
45.551544	96.683	-167.7030
45.881630	96.672	-168.0192
46.214108	96.661	-168.3301
46.548996	96.651	-168.6394
46.886307	96.640	-168.9505
47.226067	96.630	-169.2639
47.568283	96.619	-169.5764
47.912983	96.607	-169.8833
48.260181	96.596	-170.1816
48.609894	96.585	-170.4714
48.962143	96.574	-170.7567
49.316940	96.565	-171.0430
49.674313	96.556	-171.3343
50.034271	96.546	-171.6317
50.396843	96.535	-171.9324
50.762039	96.522	-172.2324
51.129883	96.508	-172.5277
51.500389	96.492	-172.8160
51.873581	96.475	-173.0971
52.249481	96.458	-173.3710
52.628101	96.441	-173.6380
53.009464	96.425	-173.8984
53.393593	96.412	-174.1541
53.780506	96.401	-174.4103
54.170223	96.393	-174.6763
54.562763	96.385	-174.9623
54.958145	96.375	-175.2732
55.356396	96.362	-175.6029
55.757530	96.344	-175.9329
56.161572	96.322	-176.2390
56.568542	96.298	-176.5052
56.978462	96.277	-176.7363
57.391350	96.259	-176.9572
57.807232	96.245	-177.1968
58.226128	96.229	-177.4663
58.648056	96.209	-177.7498
59.073048	96.185	-178.0156
59.501114	96.158	-178.2398
59.932281	96.134	-178.4259
60.366577	96.114	-178.6035
60.804020	96.098	-178.8049
61.244629	96.082	-179.0431
61.688435	96.064	-179.3069
62.135452	96.043	-179.5737
62.585712	96.021	-179.8280
63.039234	95.998	179.9302
63.496040	95.977	179.6915
63.956161	95.957	179.4464
64.419617	95.936	179.1928
64.886421	95.914	178.9372
65.356621	95.891	178.6891
65.830215	95.868	178.4551
66.307251	95.846	178.2326
66.787743	95.825	178.0119
67.271713	95.804	177.7845
67.759193	95.782	177.5518
68.250206	95.759	177.3220
68.744774	95.735	177.1002
69.242928	95.712	176.8817
69.744690	95.688	176.6589
70.250084	95.664	176.4319
70.759148	95.638	176.2079
71.271896	95.612	175.9914
71.788361	95.587	175.7780
72.308571	95.561	175.5619
72.832550	95.535	175.3449
73.360321	95.508	175.1348
73.891922	95.481	174.9347
74.427376	95.455	174.7401
74.966705	95.429	174.5462
75.509949	95.404	174.3516
76.057121	95.378	174.1551
76.608261	95.352	173.9538
77.163399	95.325	173.7495
77.722557	95.297	173.5514
78.285767	95.267	173.3646
78.853058	95.238	173.1830
79.424461	95.209	172.9990
80.000000	95.180	172.8150
80.579712	95.150	172.6361
81.163628	95.120	172.4575
81.751770	95.090	172.2727
82.344177	95.059	172.0911
82.940880	95.028	171.9264
83.541901	94.998	171.7692
84.147285	94.969	171.5978
84.757050	94.937	171.4167
85.371231	94.904	171.2519
85.989868	94.871	171.1079
86.612984	94.839	170.9581
87.240616	94.807	170.7931
87.872803	94.772	170.6330
88.509560	94.738	170.4901
89.150940	94.705	170.3484
89.796967	94.672	170.1985
90.447670	94.638	170.0532
91.103088	94.604	169.9173
91.763260	94.572	169.7719
92.428215	94.538	169.6070
93.097992	94.501	169.4464
93.772614	94.463	169.3216
94.452133	94.427	169.2257
95.136566	94.394	169.1138
95.825966	94.359	168.9642
96.520363	94.318	168.8181
97.219788	94.276	168.7283
97.924286	94.238	168.6731
98.633881	94.204	168.5793
99.348625	94.167	168.4377
100.068542	94.127	168.3053
100.793686	94.085	168.1986
101.524078	94.044	168.0953
102.259766	94.001	168.0029
103.000778	93.960	167.9205
103.747162	93.918	167.8273
104.498962	93.874	167.7469
105.256203	93.831	167.6931
106.018929	93.787	167.6362
106.787186	93.742	167.6075
107.561012	93.701	167.6275
108.340446	93.664	167.6023
109.125526	93.623	167.5216
109.916290	93.575	167.4951
110.712791	93.527	167.5132
111.515060	93.477	167.5283
112.323143	93.425	167.6224
113.137085	93.381	167.8070
113.956924	93.345	167.9784
114.782700	93.315	168.1515
115.614464	93.294	168.3748
116.452255	93.285	168.5343
117.296112	93.276	168.5698
118.146095	93.263	168.6207
119.002228	93.255	168.7406
119.864563	93.254	168.8177
120.733154	93.256	168.8320
121.608040	93.258	168.8337
122.489258	93.263	168.8106
123.376869	93.268	168.7391
124.270905	93.270	168.5972
125.171425	93.265	168.4020
126.078468	93.254	168.2243
126.992081	93.241	168.0455
127.912323	93.222	167.8129
128.839233	93.196	167.5849
129.772842	93.164	167.4070
130.713242	93.131	167.2534
131.660431	93.095	167.1237
132.614502	93.059	167.0176
133.575485	93.022	166.9185
134.543427	92.983	166.8274
135.518387	92.944	166.7551
136.500412	92.904	166.7003
137.489548	92.866	166.6382
138.485855	92.827	166.5643
139.489380	92.786	166.5004
140.500168	92.746	166.4577
141.518295	92.706	166.4261
142.543793	92.667	166.3904
143.576721	92.627	166.3474
144.617142	92.586	166.3054
145.665100	92.544	166.2800
146.720642	92.502	166.2652
147.783844	92.463	166.2518
148.854752	92.424	166.2251
149.933411	92.384	166.1931
151.019897	92.344	166.1807
152.114243	92.305	166.1834
153.216522	92.267	166.1938
154.326797	92.230	166.2134
155.445114	92.195	166.2353
156.571533	92.163	166.2576
157.706116	92.133	166.2808
158.848923	92.103	166.2979
160.000000	92.072	166.3187
161.159424	92.041	166.3484
162.327255	92.010	166.3923
163.503540	91.978	166.4400
164.688354	91.944	166.4734
165.881760	91.904	166.5031
167.083801	91.859	166.5433
168.294571	91.812	166.5870
169.514099	91.763	166.6260
170.742462	91.710	166.6750
171.979736	91.656	166.7313
173.225967	91.601	166.7822
174.481232	91.547	166.8342
175.745605	91.496	166.9031
177.019119	91.450	166.9774
178.301880	91.407	167.0475
179.593933	91.367	167.1266
180.895340	91.332	167.2018
182.206177	91.301	167.2706
183.526520	91.272	167.3409
184.856430	91.244	167.4212
186.195984	91.215	167.5039
187.545227	91.187	167.5999
188.904266	91.159	167.7073
190.273132	91.130	167.8129
191.651932	91.101	167.9186
193.040726	91.070	168.0206
194.439575	91.037	168.1257
195.848572	91.001	168.2252
197.267761	90.962	168.3328
198.697250	90.920	168.4553
200.137085	90.879	168.5880
201.587372	90.838	168.7316
203.048157	90.798	168.8798
204.519531	90.759	169.0395
206.001556	90.722	169.1997
207.494324	90.686	169.3590
208.997925	90.650	169.5458
210.512405	90.617	169.7401
212.037857	90.585	169.9112
213.574371	90.553	170.0733
215.122025	90.520	170.2401
216.680893	90.488	170.4069
218.251053	90.458	170.6014
