* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -30.4 dBFS, measurement signal peak level -28.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 10-Apr-2024 19:28:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0277 ms (-9.5 mm, -0.37 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -15.2 ppm
* Measurement: L2 Chu2
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.483	-126.1087
20.144928	95.524	-126.5617
20.290907	95.562	-127.0387
20.437943	95.599	-127.5321
20.586044	95.631	-128.0288
20.735220	95.659	-128.5347
20.885475	95.684	-129.0298
21.036821	95.705	-129.5088
21.189262	95.723	-129.9708
21.342808	95.740	-130.4035
21.497467	95.756	-130.8099
21.653246	95.773	-131.1947
21.810154	95.793	-131.5539
21.968201	95.815	-131.9018
22.127390	95.841	-132.2445
22.287735	95.869	-132.5853
22.449242	95.901	-132.9406
22.611917	95.935	-133.3073
22.775772	95.969	-133.6946
22.940815	96.003	-134.1033
23.107054	96.036	-134.5293
23.274498	96.067	-134.9750
23.443153	96.095	-135.4310
23.613033	96.119	-135.8943
23.784142	96.140	-136.3589
23.956491	96.158	-136.8151
24.130091	96.172	-137.2621
24.304947	96.185	-137.6888
24.481071	96.196	-138.0970
24.658470	96.206	-138.4812
24.837156	96.218	-138.8435
25.017136	96.232	-139.1899
25.198421	96.249	-139.5213
25.381020	96.270	-139.8552
25.564941	96.295	-140.1917
25.750195	96.323	-140.5516
25.936790	96.354	-140.9341
26.124741	96.385	-141.3508
26.314051	96.415	-141.7994
26.504732	96.441	-142.2744
26.696796	96.464	-142.7712
26.890253	96.481	-143.2707
27.085112	96.493	-143.7681
27.281382	96.502	-144.2436
27.479073	96.507	-144.6972
27.678198	96.512	-145.1195
27.878765	96.518	-145.5209
28.080786	96.526	-145.9025
28.284271	96.537	-146.2818
28.489231	96.550	-146.6622
28.695675	96.563	-147.0537
28.903616	96.575	-147.4538
29.113064	96.585	-147.8560
29.324028	96.592	-148.2500
29.536524	96.597	-148.6236
29.750557	96.601	-148.9686
29.966141	96.607	-149.2809
30.183289	96.617	-149.5717
30.402010	96.633	-149.8522
30.622314	96.655	-150.1453
30.844217	96.680	-150.4707
31.067726	96.708	-150.8399
31.292856	96.732	-151.2568
31.519617	96.752	-151.7093
31.748020	96.764	-152.1825
31.978081	96.769	-152.6432
32.209808	96.768	-153.0796
32.443211	96.765	-153.4686
32.678310	96.763	-153.8205
32.915108	96.766	-154.1397
33.153625	96.774	-154.4613
33.393871	96.788	-154.8043
33.635857	96.805	-155.1895
33.879597	96.819	-155.6238
34.125103	96.829	-156.0914
34.372387	96.831	-156.5776
34.621464	96.826	-157.0416
34.872345	96.815	-157.4670
35.125042	96.804	-157.8374
35.379574	96.797	-158.1570
35.635948	96.796	-158.4502
35.894180	96.805	-158.7384
36.154285	96.820	-159.0571
36.416275	96.838	-159.4221
36.680161	96.855	-159.8341
36.945961	96.867	-160.2869
37.213688	96.873	-160.7531
37.483353	96.873	-161.2113
37.754974	96.868	-161.6440
38.028561	96.859	-162.0363
38.304131	96.850	-162.3862
38.581699	96.842	-162.6989
38.861279	96.837	-162.9826
39.142883	96.835	-163.2498
39.426529	96.837	-163.5184
39.712231	96.842	-163.8018
40.000000	96.846	-164.1086
40.289856	96.848	-164.4410
40.581814	96.845	-164.7880
40.875885	96.838	-165.1279
41.172089	96.829	-165.4455
41.470440	96.820	-165.7375
41.770950	96.816	-166.0170
42.073643	96.818	-166.3180
42.378525	96.822	-166.6756
42.685616	96.823	-167.0948
42.994934	96.816	-167.5504
43.306492	96.800	-167.9975
43.620308	96.780	-168.3908
43.936401	96.764	-168.7161
44.254780	96.760	-169.0185
44.575470	96.768	-169.3727
44.898483	96.778	-169.8221
45.223835	96.780	-170.3429
45.551544	96.767	-170.8468
45.881630	96.747	-171.2265
46.214108	96.738	-171.4328
46.548996	96.759	-171.5453
46.886307	96.818	-171.7670
47.226067	96.895	-172.3079
47.568283	96.952	-173.2258
47.912983	96.954	-174.3659
48.260181	96.887	-175.4246
48.609894	96.769	-176.0864
48.962143	96.643	-176.1856
49.316940	96.560	-175.8202
49.674313	96.542	-175.3157
50.034271	96.577	-175.0189
50.396843	96.627	-175.0811
50.762039	96.658	-175.4111
51.129883	96.657	-175.7986
51.500389	96.635	-176.0823
51.873581	96.613	-176.2451
52.249481	96.599	-176.3852
52.628101	96.591	-176.6024
53.009464	96.577	-176.9076
53.393593	96.553	-177.2327
53.780506	96.524	-177.5113
54.170223	96.499	-177.7444
54.562763	96.481	-177.9906
54.958145	96.467	-178.2995
55.356396	96.450	-178.6633
55.757530	96.427	-179.0317
56.161572	96.403	-179.3652
56.568542	96.384	-179.6703
56.978462	96.369	-179.9802
57.391350	96.355	179.6912
57.807232	96.340	179.3653
58.226128	96.324	179.0706
58.648056	96.311	178.8061
59.073048	96.302	178.5413
59.501114	96.292	178.2494
59.932281	96.278	177.9390
60.366577	96.257	177.6450
60.804020	96.232	177.3896
61.244629	96.208	177.1587
61.688435	96.186	176.9185
62.135452	96.160	176.6544
