* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -30.2 dBFS, measurement signal peak level -28.1 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 10-Apr-2024 19:28:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0440 ms (-15 mm, -0.59 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -24.2 ppm
* Measurement: L3 Chu2
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.642	-125.0177
20.144928	95.681	-125.4805
20.290907	95.718	-125.9305
20.437943	95.754	-126.3726
20.586044	95.791	-126.8049
20.735220	95.829	-127.2263
20.885475	95.867	-127.6478
21.036821	95.907	-128.0710
21.189262	95.948	-128.4984
21.342808	95.988	-128.9387
21.497467	96.027	-129.3899
21.653246	96.065	-129.8497
21.810154	96.100	-130.3210
21.968201	96.132	-130.7944
22.127390	96.161	-131.2658
22.287735	96.187	-131.7338
22.449242	96.211	-132.1883
22.611917	96.233	-132.6319
22.775772	96.254	-133.0621
22.940815	96.273	-133.4782
23.107054	96.293	-133.8860
23.274498	96.313	-134.2855
23.443153	96.333	-134.6811
23.613033	96.352	-135.0761
23.784142	96.371	-135.4697
23.956491	96.389	-135.8637
24.130091	96.407	-136.2565
24.304947	96.423	-136.6455
24.481071	96.438	-137.0309
24.658470	96.453	-137.4104
24.837156	96.468	-137.7846
25.017136	96.483	-138.1558
25.198421	96.499	-138.5243
25.381020	96.515	-138.8956
25.564941	96.532	-139.2696
25.750195	96.549	-139.6501
25.936790	96.566	-140.0364
26.124741	96.582	-140.4277
26.314051	96.597	-140.8233
26.504732	96.612	-141.2193
26.696796	96.626	-141.6154
26.890253	96.640	-142.0085
27.085112	96.655	-142.3996
27.281382	96.669	-142.7887
27.479073	96.684	-143.1774
27.678198	96.699	-143.5673
27.878765	96.715	-143.9591
28.080786	96.731	-144.3539
28.284271	96.748	-144.7506
28.489231	96.764	-145.1491
28.695675	96.780	-145.5479
28.903616	96.796	-145.9471
29.113064	96.812	-146.3472
29.324028	96.829	-146.7496
29.536524	96.845	-147.1557
29.750557	96.861	-147.5661
29.966141	96.876	-147.9813
30.183289	96.889	-148.3978
30.402010	96.901	-148.8127
30.622314	96.911	-149.2201
30.844217	96.919	-149.6149
31.067726	96.925	-149.9940
31.292856	96.931	-150.3557
31.519617	96.938	-150.7032
31.748020	96.948	-151.0401
31.978081	96.958	-151.3762
32.209808	96.971	-151.7153
32.443211	96.984	-152.0656
32.678310	96.997	-152.4268
32.915108	97.008	-152.7993
33.153625	97.017	-153.1768
33.393871	97.025	-153.5543
33.635857	97.031	-153.9268
33.879597	97.036	-154.2902
34.125103	97.041	-154.6467
34.372387	97.046	-154.9985
34.621464	97.053	-155.3543
34.872345	97.060	-155.7187
35.125042	97.067	-156.0965
35.379574	97.072	-156.4881
35.635948	97.076	-156.8877
35.894180	97.078	-157.2902
36.154285	97.077	-157.6855
36.416275	97.075	-158.0686
36.680161	97.073	-158.4394
36.945961	97.073	-158.8001
37.213688	97.073	-159.1600
37.483353	97.075	-159.5248
37.754974	97.078	-159.8969
38.028561	97.080	-160.2751
38.304131	97.081	-160.6502
38.581699	97.081	-161.0156
38.861279	97.081	-161.3677
39.142883	97.082	-161.7078
39.426529	97.084	-162.0455
39.712231	97.087	-162.3877
40.000000	97.089	-162.7349
40.289856	97.088	-163.0814
40.581814	97.084	-163.4113
40.875885	97.080	-163.7130
41.172089	97.079	-163.9898
41.470440	97.081	-164.2574
41.770950	97.089	-164.5413
42.073643	97.098	-164.8678
42.378525	97.103	-165.2389
42.685616	97.101	-165.6297
42.994934	97.091	-166.0063
43.306492	97.076	-166.3409
43.620308	97.062	-166.6284
43.936401	97.054	-166.8962
44.254780	97.051	-167.1915
44.575470	97.049	-167.5396
44.898483	97.041	-167.9268
45.223835	97.027	-168.3134
45.551544	97.009	-168.6632
45.881630	96.994	-168.9758
46.214108	96.988	-169.2998
46.548996	96.987	-169.7071
46.886307	96.980	-170.2332
47.226067	96.952	-170.8255
47.568283	96.901	-171.3510
47.912983	96.836	-171.6722
48.260181	96.781	-171.7393
48.609894	96.758	-171.6425
48.962143	96.776	-171.5734
49.316940	96.819	-171.7059
49.674313	96.863	-172.0867
50.034271	96.886	-172.6181
50.396843	96.883	-173.1369
50.762039	96.869	-173.5262
51.129883	96.858	-173.7858
51.500389	96.859	-174.0113
51.873581	96.868	-174.3023
52.249481	96.872	-174.6783
52.628101	96.863	-175.0750
53.009464	96.845	-175.4141
53.393593	96.826	-175.6749
53.780506	96.814	-175.9060
54.170223	96.804	-176.1676
54.562763	96.789	-176.4665
54.958145	96.765	-176.7498
55.356396	96.739	-176.9622
55.757530	96.719	-177.1072
56.161572	96.713	-177.2575
56.568542	96.715	-177.4970
56.978462	96.716	-177.8520
57.391350	96.706	-178.2755
57.807232	96.684	-178.6923
58.226128	96.656	-179.0560
58.648056	96.627	-179.3686
59.073048	96.602	-179.6564
59.501114	96.578	-179.9366
59.932281	96.555	179.7950
60.366577	96.534	179.5480
60.804020	96.516	179.3184
61.244629	96.502	179.0872
61.688435	96.492	178.8350
62.135452	96.482	178.5538
62.585712	96.469	178.2493
63.039234	96.452	177.9343
63.496040	96.430	177.6240
63.956161	96.403	177.3358
64.419617	96.374	177.0851
64.886421	96.346	176.8772
65.356621	96.322	176.7018
65.830215	96.304	176.5350
66.307251	96.291	176.3503
66.787743	96.281	176.1298
67.271713	96.272	175.8682
67.759193	96.259	175.5744
68.250206	96.242	175.2689
68.744774	96.221	174.9740
69.242928	96.198	174.7017
69.744690	96.175	174.4456
70.250084	96.153	174.1896
70.759148	96.130	173.9250
71.271896	96.105	173.6565
71.788361	96.078	173.3939
72.308571	96.050	173.1423
72.832550	96.022	172.9013
73.360321	95.993	172.6700
73.891922	95.966	172.4458
74.427376	95.941	172.2229
74.966705	95.917	171.9949
75.509949	95.895	171.7594
76.057121	95.873	171.5195
76.608261	95.850	171.2817
77.163399	95.827	171.0524
77.722557	95.803	170.8362
78.285767	95.779	170.6347
78.853058	95.756	170.4465
79.424461	95.732	170.2659
80.000000	95.709	170.0840
80.579712	95.685	169.8943
81.163628	95.660	169.6939
81.751770	95.633	169.4821
82.344177	95.603	169.2595
82.940880	95.571	169.0354
83.541901	95.538	168.8248
84.147285	95.507	168.6322
84.757050	95.479	168.4387
85.371231	95.453	168.2219
85.989868	95.427	167.9853
86.612984	95.399	167.7629
87.240616	95.372	167.5788
87.872803	95.347	167.4178
88.509560	95.325	167.2406
89.150940	95.300	167.0357
89.796967	95.270	166.8309
90.447670	95.235	166.6608
91.103088	95.199	166.5336
91.763260	95.165	166.4278
