* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -42.3 dBFS, measurement signal peak level -35.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:43:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0436 ms (-15 mm, -0.59 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -28.4 ppm
* Measurement: Chu2 R1
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.510	-117.8502
20.144928	95.394	-119.3174
20.290907	95.257	-120.6378
20.437943	95.108	-121.8442
20.586044	94.961	-122.8642
20.735220	94.820	-123.6825
20.885475	94.695	-124.3591
21.036821	94.596	-124.8748
21.189262	94.523	-125.2662
21.342808	94.481	-125.6230
21.497467	94.470	-125.9154
21.653246	94.486	-126.2358
21.810154	94.529	-126.5840
21.968201	94.592	-126.9797
22.127390	94.670	-127.4502
22.287735	94.761	-127.9778
22.449242	94.857	-128.5629
22.611917	94.956	-129.2007
22.775772	95.053	-129.8506
22.940815	95.146	-130.5195
23.107054	95.236	-131.1626
23.274498	95.322	-131.7698
23.443153	95.406	-132.3394
23.613033	95.491	-132.8514
23.784142	95.580	-133.3406
23.956491	95.674	-133.8303
24.130091	95.772	-134.3403
24.304947	95.869	-134.9419
24.481071	95.961	-135.6223
24.658470	96.035	-136.4192
24.837156	96.084	-137.3147
25.017136	96.097	-138.2275
25.198421	96.068	-139.1575
25.381020	95.995	-139.9109
25.564941	95.883	-140.4919
25.750195	95.745	-140.7048
25.936790	95.597	-140.5465
26.124741	95.472	-139.9929
26.314051	95.388	-139.0759
26.504732	95.374	-138.0504
26.696796	95.430	-136.9999
26.890253	95.549	-136.2854
27.085112	95.709	-135.9246
27.281382	95.878	-136.0967
27.479073	96.032	-136.6798
27.678198	96.145	-137.6570
27.878765	96.208	-138.8181
28.080786	96.216	-140.0945
28.284271	96.179	-141.2791
28.489231	96.105	-142.3312
28.695675	96.016	-143.1509
28.903616	95.926	-143.7473
29.113064	95.851	-144.1533
29.324028	95.798	-144.4250
29.536524	95.773	-144.6282
29.750557	95.773	-144.8286
29.966141	95.798	-145.0527
30.183289	95.843	-145.3440
30.402010	95.906	-145.7178
30.622314	95.983	-146.2092
30.844217	96.066	-146.8401
31.067726	96.146	-147.6233
31.292856	96.208	-148.5195
31.519617	96.243	-149.4563
31.748020	96.244	-150.3364
31.978081	96.219	-150.9926
32.209808	96.181	-151.3726
32.443211	96.159	-151.4048
32.678310	96.176	-151.2542
32.915108	96.245	-151.0276
33.153625	96.355	-151.0596
33.393871	96.476	-151.4041
33.635857	96.572	-152.1381
33.879597	96.605	-153.0276
34.125103	96.570	-153.8357
34.372387	96.477	-154.3005
34.621464	96.378	-154.1736
34.872345	96.326	-153.6244
35.125042	96.364	-152.8542
35.379574	96.489	-152.5217
35.635948	96.643	-152.8751
35.894180	96.758	-153.9834
36.154285	96.756	-155.5906
36.416275	96.615	-156.9951
36.680161	96.367	-157.7482
36.945961	96.093	-157.2576
37.213688	95.950	-155.6423
37.483353	96.022	-153.8547
37.754974	96.296	-152.8596
38.028561	96.642	-153.5824
38.304131	96.878	-155.8296
38.581699	96.903	-158.7552
38.861279	96.681	-161.5292
39.142883	96.260	-162.8784
39.426529	95.842	-161.8333
39.712231	95.688	-158.9507
40.000000	95.928	-155.9426
40.289856	96.475	-154.9489
40.581814	97.018	-156.9336
40.875885	97.315	-160.8748
41.172089	97.256	-165.3845
41.470440	96.832	-169.0857
41.770950	96.157	-170.2491
42.073643	95.544	-167.3730
42.378525	95.446	-161.7679
42.685616	95.938	-157.3474
42.994934	96.699	-156.6489
43.306492	97.336	-159.4231
43.620308	97.614	-164.1877
43.936401	97.474	-169.2020
44.254780	96.973	-172.7043
44.575470	96.295	-173.3835
44.898483	95.745	-170.8771
45.223835	95.585	-166.6345
45.551544	95.827	-163.3115
45.881630	96.239	-162.4048
46.214108	96.573	-163.5361
46.548996	96.723	-165.5469
46.886307	96.708	-167.4006
47.226067	96.615	-168.5696
47.568283	96.528	-169.1204
47.912983	96.487	-169.4731
48.260181	96.475	-170.0120
