* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -48.4 dBFS, measurement signal peak level -42.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 16:01:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0425 ms (15 mm, 0.57 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 40.2 ppm
* Measurement: Chu2Spring L1
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.149	-128.7934
20.144928	94.970	-130.5001
20.290907	94.748	-131.9933
20.437943	94.493	-133.2884
20.586044	94.217	-134.2460
20.735220	93.923	-134.8386
20.885475	93.635	-135.1024
21.036821	93.364	-134.9701
21.189262	93.120	-134.4906
21.342808	92.921	-133.7995
21.497467	92.767	-132.8483
21.653246	92.662	-131.7988
21.810154	92.606	-130.6734
21.968201	92.598	-129.5041
22.127390	92.637	-128.3282
22.287735	92.726	-127.1758
22.449242	92.871	-126.0935
22.611917	93.073	-125.1076
22.775772	93.335	-124.4229
22.940815	93.653	-123.9978
23.107054	94.008	-124.0705
23.274498	94.388	-124.6385
23.443153	94.766	-125.7096
23.613033	95.119	-127.3533
23.784142	95.430	-129.3956
23.956491	95.675	-131.8095
24.130091	95.847	-134.4866
24.304947	95.933	-137.1855
24.481071	95.932	-139.9452
24.658470	95.845	-142.3754
24.837156	95.681	-144.5624
25.017136	95.459	-146.1527
25.198421	95.197	-147.1632
25.381020	94.938	-147.4941
25.564941	94.705	-147.1079
25.750195	94.541	-146.2892
25.936790	94.457	-145.0518
26.124741	94.454	-143.8709
26.314051	94.520	-142.7662
26.504732	94.616	-141.9829
26.696796	94.726	-141.4622
26.890253	94.820	-141.1262
27.085112	94.896	-140.9015
27.281382	94.954	-140.6106
27.479073	95.008	-140.2608
27.678198	95.073	-139.7767
27.878765	95.161	-139.3013
28.080786	95.279	-138.8765
28.284271	95.416	-138.6901
28.489231	95.561	-138.7774
28.695675	95.687	-139.1770
28.903616	95.781	-139.8427
29.113064	95.824	-140.6444
29.324028	95.818	-141.4730
29.536524	95.765	-142.1867
29.750557	95.686	-142.6924
29.966141	95.597	-142.9412
30.183289	95.526	-142.9986
30.402010	95.482	-142.9402
30.622314	95.473	-142.9318
30.844217	95.486	-143.0883
31.067726	95.510	-143.4792
31.292856	95.522	-144.0930
31.519617	95.514	-144.8598
31.748020	95.478	-145.6827
31.978081	95.422	-146.4345
32.209808	95.359	-147.0778
32.443211	95.305	-147.5780
32.678310	95.274	-148.0244
32.915108	95.270	-148.4695
33.153625	95.286	-149.0520
33.393871	95.310	-149.7762
33.635857	95.327	-150.6627
33.879597	95.323	-151.5985
34.125103	95.298	-152.4919
34.372387	95.254	-153.2407
34.621464	95.209	-153.7491
34.872345	95.177	-154.0411
35.125042	95.174	-154.1418
35.379574	95.204	-154.1905
35.635948	95.264	-154.2807
35.894180	95.342	-154.4769
36.154285	95.422	-154.8141
36.416275	95.493	-155.2375
36.680161	95.548	-155.6998
36.945961	95.589	-156.1398
37.213688	95.620	-156.5119
37.483353	95.648	-156.8240
37.754974	95.676	-157.0933
38.028561	95.706	-157.3595
38.304131	95.735	-157.6654
38.581699	95.758	-158.0243
38.861279	95.770	-158.4381
39.142883	95.769	-158.8909
39.426529	95.752	-159.3454
39.712231	95.721	-159.7702
40.000000	95.680	-160.1420
40.289856	95.634	-160.4471
40.581814	95.591	-160.6945
40.875885	95.555	-160.9188
41.172089	95.529	-161.1563
41.470440	95.510	-161.4359
41.770950	95.494	-161.7705
42.073643	95.479	-162.1456
42.378525	95.462	-162.5237
42.685616	95.448	-162.8769
42.994934	95.440	-163.1992
43.306492	95.443	-163.5091
43.620308	95.458	-163.8438
43.936401	95.481	-164.2390
44.254780	95.504	-164.7008
44.575470	95.520	-165.1965
44.898483	95.527	-165.6769
45.223835	95.527	-166.0989
45.551544	95.525	-166.4424
45.881630	95.526	-166.7164
46.214108	95.531	-166.9509
46.548996	95.540	-167.1794
46.886307	95.551	-167.4244
47.226067	95.561	-167.6953
47.568283	95.566	-167.9932
47.912983	95.566	-168.3151
48.260181	95.559	-168.6516
48.609894	95.545	-168.9859
48.962143	95.525	-169.3004
49.316940	95.505	-169.5894
49.674313	95.487	-169.8681
50.034271	95.474	-170.1683
50.396843	95.463	-170.5187
50.762039	95.452	-170.9257
51.129883	95.437	-171.3697
51.500389	95.418	-171.8220
51.873581	95.397	-172.2664
52.249481	95.376	-172.7050
52.628101	95.354	-173.1402
53.009464	95.330	-173.5525
53.393593	95.305	-173.8994
53.780506	95.283	-174.1478
54.170223	95.274	-174.3145
54.562763	95.280	-174.4741
54.958145	95.296	-174.7136
55.356396	95.309	-175.0659
55.757530	95.309	-175.4806
56.161572	95.291	-175.8594
56.568542	95.266	-176.1361
56.978462	95.244	-176.3332
57.391350	95.230	-176.5388
57.807232	95.216	-176.8187
58.226128	95.192	-177.1478
58.648056	95.158	-177.4369
59.073048	95.126	-177.6266
59.501114	95.107	-177.7616
59.932281	95.106	-177.9662
60.366577	95.110	-178.3264
60.804020	95.104	-178.8066
61.244629	95.085	-179.2928
61.688435	95.060	-179.7030
62.135452	95.040	179.9463
62.585712	95.024	179.5865
63.039234	95.006	179.2090
63.496040	94.981	178.8895
63.956161	94.958	178.7027
64.419617	94.951	178.6064
64.886421	94.962	178.4517
65.356621	94.974	178.1304
65.830215	94.968	177.6891
66.307251	94.939	177.3001
66.787743	94.899	177.0858
67.271713	94.870	176.9959
67.759193	94.855	176.8485
68.250206	94.840	176.5330
68.744774	94.805	176.1247
69.242928	94.753	175.8028
69.744690	94.702	175.6444
70.250084	94.668	175.5469
70.759148	94.648	175.3525
71.271896	94.627	175.0332
71.788361	94.597	174.6985
72.308571	94.565	174.4530
72.832550	94.542	174.2926
73.360321	94.531	174.1360
73.891922	94.528	173.9297
74.427376	94.525	173.6942
74.966705	94.522	173.4849
75.509949	94.522	173.3163
76.057121	94.528	173.1362
76.608261	94.533	172.8903
77.163399	94.531	172.5849
77.722557	94.516	172.2437
78.285767	94.484	171.8790
78.853058	94.434	171.5998
79.424461	94.380	171.5728
80.000000	94.357	171.7073
80.579712	94.365	171.5843
81.163628	94.359	171.0358
81.751770	94.312	170.5331
82.344177	94.268	170.4324
82.940880	94.263	170.2713
83.541901	94.254	169.6069
84.147285	94.190	168.9461
84.757050	94.124	168.9894
85.371231	94.127	169.2471
85.989868	94.161	168.7911
86.612984	94.133	167.9747
87.240616	94.063	167.7476
87.872803	94.038	168.0616
88.509560	94.061	167.9546
89.150940	94.055	167.2756
89.796967	93.992	166.7144
90.447670	93.919	166.7218
91.103088	93.890	166.9644
91.763260	93.897	166.8679
92.428215	93.891	166.3508
93.097992	93.847	165.8769
93.772614	93.799	165.7966
94.452133	93.781	165.8184
95.136566	93.775	165.5698
95.825966	93.750	165.2091
96.520363	93.711	164.9861
97.219788	93.671	164.8570
97.924286	93.631	164.7869
98.633881	93.601	164.8250
99.348625	93.589	164.8099
100.068542	93.579	164.5872
100.793686	93.558	164.2923
101.524078	93.530	163.9977
102.259766	93.494	163.6361
103.000778	93.447	163.3606
103.747162	93.408	163.2478
104.498962	93.381	163.0358
105.256203	93.345	162.7228
106.018929	93.305	162.5470
106.787186	93.272	162.4283
107.561012	93.243	162.2880
108.340446	93.221	162.1506
109.125526	93.199	161.8459
109.916290	93.157	161.4795
110.712791	93.108	161.3274
111.515060	93.071	161.2309
112.323143	93.038	161.0789
113.137085	93.012	160.9897
113.956924	92.994	160.8393
114.782700	92.971	160.5748
115.614464	92.939	160.3488
116.452255	92.907	160.1876
117.296112	92.874	159.9883
118.146095	92.832	159.6902
119.002228	92.778	159.5135
119.864563	92.737	159.6148
120.733154	92.721	159.6160
121.608040	92.703	159.3532
122.489258	92.673	159.2045
123.376869	92.651	159.1879
124.270905	92.633	159.0091
125.171425	92.603	158.7540
126.078468	92.562	158.5681
126.992081	92.515	158.3763
127.912323	92.463	158.2293
128.839233	92.417	158.1765
129.772842	92.382	158.0753
130.713242	92.350	157.8673
131.660431	92.313	157.6500
132.614502	92.276	157.5412
133.575485	92.247	157.5167
134.543427	92.224	157.4338
135.518387	92.198	157.3085
136.500412	92.171	157.2561
137.489548	92.149	157.1964
138.485855	92.127	156.9653
139.489380	92.091	156.6193
140.500168	92.043	156.3350
141.518295	91.993	156.1709
142.543793	91.949	156.0432
143.576721	91.908	155.8977
144.617142	91.865	155.7805
145.665100	91.820	155.6754
146.720642	91.772	155.5623
147.783844	91.724	155.4793
148.854752	91.685	155.4523
149.933411	91.662	155.3994
151.019897	91.649	155.2340
152.114243	91.640	155.0921
153.216522	91.636	155.0582
154.326797	91.632	155.0174
155.445114	91.612	154.8821
156.571533	91.561	154.7852
157.706116	91.493	154.9677
158.848923	91.437	155.2190
160.000000	91.396	155.2157
161.159424	91.363	155.0809
162.327255	91.348	154.9929
163.503540	91.354	154.9048
164.688354	91.367	154.7866
165.881760	91.370	154.7432
167.083801	91.357	154.7302
168.294571	91.318	154.5721
169.514099	91.250	154.2604
170.742462	91.162	153.9610
171.979736	91.081	153.8079
173.225967	91.024	153.7922
174.481232	90.983	153.8572
175.745605	90.938	154.1076
177.019119	90.879	154.5881
178.301880	90.803	154.9566
179.593933	90.711	154.9908
180.895340	90.617	154.6946
182.206177	90.548	154.1682
183.526520	90.519	153.6232
184.856430	90.530	153.2664
186.195984	90.558	153.1679
187.545227	90.574	153.3118
188.904266	90.564	153.6052
190.273132	90.527	153.8265
191.651932	90.473	153.8531
193.040726	90.421	153.8096
194.439575	90.386	153.8000
195.848572	90.373	153.8795
197.267761	90.371	154.0451
198.697250	90.372	154.1621
200.137085	90.362	154.1317
201.587372	90.345	154.0583
203.048157	90.331	153.9687
204.519531	90.322	153.8760
206.001556	90.313	153.8177
207.494324	90.296	153.7896
