* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -48.2 dBFS, measurement signal peak level -46.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 16:02:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1406 ms (-48 mm, -1.9 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -86.8 ppm
* Measurement: Chu2Spring L2
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.301	-124.9161
20.144928	95.304	-125.5790
20.290907	95.294	-126.1417
20.437943	95.276	-126.6201
20.586044	95.260	-126.9831
20.735220	95.247	-127.2241
20.885475	95.245	-127.4008
21.036821	95.258	-127.5083
21.189262	95.286	-127.5858
21.342808	95.329	-127.7139
21.497467	95.387	-127.8724
21.653246	95.451	-128.1257
21.810154	95.519	-128.4849
21.968201	95.585	-128.9270
22.127390	95.642	-129.4635
22.287735	95.687	-130.0638
22.449242	95.718	-130.6694
22.611917	95.735	-131.2920
22.775772	95.741	-131.8507
22.940815	95.738	-132.3492
23.107054	95.733	-132.7681
23.274498	95.731	-133.0854
23.443153	95.737	-133.3457
23.613033	95.757	-133.5535
23.784142	95.793	-133.7516
23.956491	95.844	-133.9996
24.130091	95.907	-134.3013
24.304947	95.977	-134.7211
24.481071	96.050	-135.2424
24.658470	96.116	-135.8743
24.837156	96.173	-136.6063
25.017136	96.216	-137.3844
25.198421	96.242	-138.2101
25.381020	96.253	-139.0042
25.564941	96.249	-139.7727
25.750195	96.234	-140.4565
25.936790	96.212	-141.0604
26.124741	96.189	-141.5693
26.314051	96.168	-141.9872
26.504732	96.152	-142.3357
26.696796	96.144	-142.6186
26.890253	96.143	-142.8675
27.085112	96.151	-143.0849
27.281382	96.166	-143.2912
27.479073	96.188	-143.4902
27.678198	96.217	-143.6902
27.878765	96.253	-143.9036
28.080786	96.294	-144.1356
28.284271	96.341	-144.4083
28.489231	96.391	-144.7265
28.695675	96.441	-145.1061
28.903616	96.487	-145.5435
29.113064	96.525	-146.0312
29.324028	96.552	-146.5454
29.536524	96.567	-147.0647
29.750557	96.570	-147.5473
29.966141	96.564	-147.9789
30.183289	96.554	-148.3339
30.402010	96.545	-148.6217
30.622314	96.541	-148.8524
30.844217	96.544	-149.0676
31.067726	96.554	-149.2869
31.292856	96.567	-149.5546
31.519617	96.581	-149.8692
31.748020	96.590	-150.2385
31.978081	96.590	-150.6270
32.209808	96.582	-151.0200
32.443211	96.566	-151.3756
32.678310	96.548	-151.6885
32.915108	96.531	-151.9515
33.153625	96.520	-152.1899
33.393871	96.515	-152.4293
33.635857	96.517	-152.6952
33.879597	96.521	-153.0117
34.125103	96.523	-153.3712
34.372387	96.521	-153.7671
34.621464	96.512	-154.1644
34.872345	96.500	-154.5463
35.125042	96.487	-154.8966
35.379574	96.476	-155.2156
35.635948	96.470	-155.5209
35.894180	96.470	-155.8264
36.154285	96.473	-156.1537
36.416275	96.478	-156.5032
36.680161	96.481	-156.8681
36.945961	96.483	-157.2352
37.213688	96.483	-157.5853
37.483353	96.485	-157.9160
37.754974	96.490	-158.2304
38.028561	96.499	-158.5410
38.304131	96.511	-158.8658
38.581699	96.522	-159.2083
38.861279	96.532	-159.5657
39.142883	96.537	-159.9244
39.426529	96.539	-160.2620
39.712231	96.538	-160.5674
40.000000	96.538	-160.8393
40.289856	96.540	-161.0867
40.581814	96.547	-161.3326
40.875885	96.557	-161.6012
41.172089	96.568	-161.9061
41.470440	96.577	-162.2515
41.770950	96.582	-162.6320
42.073643	96.580	-163.0327
42.378525	96.570	-163.4356
42.685616	96.555	-163.8282
42.994934	96.534	-164.2024
43.306492	96.510	-164.5540
43.620308	96.483	-164.8811
43.936401	96.456	-165.1824
44.254780	96.429	-165.4556
44.575470	96.405	-165.6995
44.898483	96.385	-165.9174
45.223835	96.372	-166.1199
45.551544	96.367	-166.3246
45.881630	96.370	-166.5549
46.214108	96.380	-166.8349
46.548996	96.394	-167.1842
46.886307	96.408	-167.6127
47.226067	96.417	-168.1167
47.568283	96.416	-168.6770
47.912983	96.402	-169.2585
48.260181	96.372	-169.8125
48.609894	96.331	-170.2845
48.962143	96.282	-170.6287
49.316940	96.237	-170.8267
49.674313	96.204	-170.9007
50.034271	96.190	-170.9130
50.396843	96.196	-170.9448
50.762039	96.214	-171.0642
51.129883	96.235	-171.2992
51.500389	96.250	-171.6315
51.873581	96.252	-172.0113
52.249481	96.241	-172.3822
52.628101	96.221	-172.7037
53.009464	96.199	-172.9620
53.393593	96.180	-173.1676
53.780506	96.166	-173.3469
54.170223	96.158	-173.5316
54.562763	96.155	-173.7512
54.958145	96.151	-174.0258
55.356396	96.143	-174.3581
55.757530	96.126	-174.7266
56.161572	96.098	-175.0860
56.568542	96.063	-175.3821
56.978462	96.028	-175.5817
57.391350	96.003	-175.7020
57.807232	95.992	-175.8139
58.226128	95.992	-176.0027
58.648056	95.993	-176.3080
59.073048	95.983	-176.6923
59.501114	95.959	-177.0621
59.932281	95.927	-177.3365
60.366577	95.899	-177.5106
60.804020	95.882	-177.6545
61.244629	95.874	-177.8448
61.688435	95.866	-178.1033
62.135452	95.853	-178.3909
62.585712	95.836	-178.6612
63.039234	95.819	-178.9094
63.496040	95.803	-179.1644
63.956161	95.786	-179.4496
64.419617	95.765	-179.7580
64.886421	95.738	179.9337
65.356621	95.706	179.6425
65.830215	95.670	179.3837
66.307251	95.631	179.1767
