* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -47.7 dBFS, measurement signal peak level -41.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:57:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0019 ms (0.64 mm, 0.03 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -19.1 ppm
* Measurement: Chu2Spring R1
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.068	-158.1538
20.144928	97.455	-160.7090
20.290907	96.774	-162.3750
20.437943	96.050	-163.1404
20.586044	95.330	-163.0148
20.735220	94.626	-161.5911
20.885475	94.008	-159.2550
21.036821	93.520	-156.0638
21.189262	93.170	-152.1810
21.342808	92.981	-148.2908
21.497467	92.940	-144.4657
21.653246	92.998	-141.0146
21.810154	93.138	-138.0696
21.968201	93.329	-135.5738
22.127390	93.545	-133.4884
22.287735	93.782	-131.8029
22.449242	94.028	-130.4311
22.611917	94.281	-129.3726
22.775772	94.531	-128.5984
22.940815	94.776	-128.0947
23.107054	95.009	-127.8136
23.274498	95.224	-127.7470
23.443153	95.423	-127.8359
23.613033	95.603	-128.0428
23.784142	95.770	-128.3651
23.956491	95.927	-128.7687
24.130091	96.079	-129.2839
24.304947	96.228	-129.9531
24.481071	96.371	-130.7810
24.658470	96.503	-131.8519
24.837156	96.616	-133.1462
25.017136	96.694	-134.6632
25.198421	96.731	-136.3992
25.381020	96.711	-138.1922
25.564941	96.632	-140.0668
25.750195	96.492	-141.7415
25.936790	96.296	-143.2365
26.124741	96.066	-144.2874
26.314051	95.819	-144.8943
26.504732	95.599	-145.0036
26.696796	95.427	-144.6636
26.890253	95.341	-144.1498
27.085112	95.339	-143.5907
27.281382	95.415	-143.3734
27.479073	95.538	-143.5291
27.678198	95.673	-144.2341
27.878765	95.788	-145.3024
28.080786	95.859	-146.7293
28.284271	95.878	-148.1895
28.489231	95.844	-149.6408
28.695675	95.775	-150.7933
28.903616	95.689	-151.6457
29.113064	95.621	-152.1103
29.324028	95.590	-152.3181
29.536524	95.615	-152.3655
29.750557	95.690	-152.5049
29.966141	95.805	-152.8194
30.183289	95.930	-153.4418
30.402010	96.043	-154.3112
30.622314	96.122	-155.3748
30.844217	96.158	-156.4407
31.067726	96.151	-157.4296
31.292856	96.114	-158.1330
31.519617	96.066	-158.5435
31.748020	96.032	-158.5968
31.978081	96.031	-158.4437
32.209808	96.075	-158.1623
32.443211	96.163	-157.9882
32.678310	96.277	-158.0268
32.915108	96.399	-158.3568
33.153625	96.503	-158.9761
33.393871	96.572	-159.7830
33.635857	96.596	-160.7004
33.879597	96.576	-161.5301
34.125103	96.521	-162.1950
34.372387	96.446	-162.5960
34.621464	96.376	-162.7184
34.872345	96.330	-162.6413
35.125042	96.319	-162.4497
35.379574	96.347	-162.3402
35.635948	96.402	-162.4156
35.894180	96.470	-162.7431
36.154285	96.530	-163.3436
36.416275	96.567	-164.1316
36.680161	96.575	-165.0314
36.945961	96.552	-165.9448
37.213688	96.506	-166.7629
37.483353	96.448	-167.4500
37.754974	96.388	-167.9898
38.028561	96.337	-168.4021
38.304131	96.303	-168.7573
38.581699	96.282	-169.1080
38.861279	96.272	-169.4925
39.142883	96.265	-169.9261
39.426529	96.254	-170.3689
39.712231	96.240	-170.7695
40.000000	96.228	-171.0949
40.289856	96.226	-171.3365
40.581814	96.244	-171.5510
40.875885	96.279	-171.8429
41.172089	96.322	-172.2786
41.470440	96.357	-172.8658
41.770950	96.368	-173.5413
42.073643	96.352	-174.1580
42.378525	96.320	-174.5725
42.685616	96.297	-174.7711
42.994934	96.304	-174.8694
43.306492	96.344	-175.0652
43.620308	96.397	-175.5435
43.936401	96.426	-176.3447
44.254780	96.401	-177.2664
44.575470	96.320	-177.9779
44.898483	96.216	-178.2240
45.223835	96.145	-177.9906
45.551544	96.148	-177.5741
45.881630	96.226	-177.4531
46.214108	96.328	-177.9823
46.548996	96.379	-179.1411
46.886307	96.329	179.4793
47.226067	96.180	178.4828
47.568283	95.997	178.3405
47.912983	95.880	179.0588
48.260181	95.899	-179.9382
48.609894	96.046	-179.4784
48.962143	96.233	179.9394
49.316940	96.359	178.4097
49.674313	96.359	176.4617
50.034271	96.226	174.7750
50.396843	96.016	173.9261
50.762039	95.819	174.1504
51.129883	95.729	175.1729
51.500389	95.789	176.3029
51.873581	95.965	176.8410
52.249481	96.180	176.4559
52.628101	96.357	175.2334
53.009464	96.442	173.5088
53.393593	96.415	171.6969
53.780506	96.283	170.1914
54.170223	96.074	169.3063
54.562763	95.836	169.2296
54.958145	95.623	169.9823
55.356396	95.489	171.3936
55.757530	95.475	173.1036
56.161572	95.592	174.6232
56.568542	95.814	175.4644
56.978462	96.086	175.2975
57.391350	96.340	174.0512
57.807232	96.516	171.9013
58.226128	96.577	169.1823
58.648056	96.510	166.2776
59.073048	96.322	163.5415
59.501114	96.037	161.2746
59.932281	95.686	159.6992
60.366577	95.309	158.9584
60.804020	94.944	159.1106
61.244629	94.633	160.1219
61.688435	94.410	161.8591
62.135452	94.299	164.0896
62.585712	94.304	166.4945
63.039234	94.408	168.7128
63.496040	94.570	170.4688
63.956161	94.739	171.6854
64.419617	94.877	172.4845
64.886421	94.970	173.0119
65.356621	95.017	173.2853
65.830215	95.013	173.2294
66.307251	94.947	172.8391
66.787743	94.816	172.2264
67.271713	94.643	171.4797
67.759193	94.458	170.5328
68.250206	94.280	169.2606
68.744774	94.122	167.6577
69.242928	94.009	165.8046
69.744690	93.965	163.6989
70.250084	93.986	161.3313
70.759148	94.051	158.9557
71.271896	94.159	156.9880
71.788361	94.332	155.5750
72.308571	94.558	154.4575
72.832550	94.779	153.5445
73.360321	94.962	153.2225
73.891922	95.137	153.6870
74.427376	95.325	154.3568
74.966705	95.465	154.6740
75.509949	95.492	155.0729
76.057121	95.453	156.2558
76.608261	95.445	157.6856
77.163399	95.439	158.1154
77.722557	95.315	157.6965
78.285767	95.081	157.8165
78.853058	94.912	158.6961
79.424461	94.869	158.5375
80.000000	94.789	156.6815
80.579712	94.580	154.9178
81.163628	94.414	154.9124
81.751770	94.473	155.2091
82.344177	94.628	153.7543
82.940880	94.642	151.5418
83.541901	94.542	150.9053
84.147285	94.544	152.1864
84.757050	94.702	153.0178
85.371231	94.832	152.2784
85.989868	94.794	151.1774
86.612984	94.648	151.1572
87.240616	94.537	152.1389
87.872803	94.526	152.9074
88.509560	94.555	152.5475
89.150940	94.527	151.2459
89.796967	94.403	149.8495
90.447670	94.234	149.2388
91.103088	94.132	149.6002
91.763260	94.161	150.1536
92.428215	94.274	149.9974
93.097992	94.364	149.0240
93.772614	94.358	147.8621
94.452133	94.263	147.2224
95.136566	94.140	147.3622
95.825966	94.051	148.0087
96.520363	94.023	148.6586
97.219788	94.042	148.9083
97.924286	94.077	148.6005
98.633881	94.092	147.8264
99.348625	94.070	146.8068
100.068542	94.003	145.7696
100.793686	93.898	144.9786
101.524078	93.778	144.6899
102.259766	93.680	144.8949
103.000778	93.624	145.3071
103.747162	93.602	145.7142
104.498962	93.606	146.0721
105.256203	93.633	146.2793
106.018929	93.667	146.1746
106.787186	93.689	145.7737
