* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -44.5 dBFS, measurement signal peak level -33.0 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:58:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.8239 ms (-283 mm, -11.13 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 55.2 ppm
* Measurement: Chu2Spring R2
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.843	-119.9557
20.144928	95.984	-120.7617
20.290907	96.093	-121.6253
20.437943	96.169	-122.5313
20.586044	96.215	-123.4065
20.735220	96.229	-124.2840
20.885475	96.216	-125.1033
21.036821	96.179	-125.8467
21.189262	96.120	-126.5212
21.342808	96.046	-127.0952
21.497467	95.957	-127.5755
21.653246	95.859	-127.9681
21.810154	95.755	-128.2652
21.968201	95.646	-128.4768
22.127390	95.535	-128.6060
22.287735	95.425	-128.6484
22.449242	95.319	-128.6074
22.611917	95.218	-128.4776
22.775772	95.131	-128.2763
22.940815	95.058	-127.9928
23.107054	95.007	-127.6821
23.274498	94.981	-127.3439
23.443153	94.980	-127.0393
23.613033	95.006	-126.8071
23.784142	95.055	-126.6649
23.956491	95.121	-126.6617
24.130091	95.202	-126.7817
24.304947	95.291	-127.0294
24.481071	95.386	-127.3932
24.658470	95.484	-127.8370
24.837156	95.586	-128.3621
25.017136	95.694	-128.9463
25.198421	95.807	-129.5928
25.381020	95.928	-130.3241
25.564941	96.053	-131.1382
25.750195	96.178	-132.0703
25.936790	96.298	-133.1124
26.124741	96.404	-134.2533
26.314051	96.491	-135.4809
26.504732	96.551	-136.7122
26.696796	96.582	-137.9330
26.890253	96.584	-139.0190
27.085112	96.563	-139.9610
27.281382	96.527	-140.6562
27.479073	96.488	-141.1285
27.678198	96.460	-141.3440
27.878765	96.452	-141.4017
28.080786	96.473	-141.3291
28.284271	96.523	-141.2860
28.489231	96.597	-141.3076
28.695675	96.681	-141.5145
28.903616	96.765	-141.9014
29.113064	96.831	-142.4852
29.324028	96.870	-143.1995
29.536524	96.873	-144.0045
29.750557	96.836	-144.7672
29.966141	96.762	-145.4473
30.183289	96.661	-145.9044
30.402010	96.545	-146.1292
30.622314	96.433	-146.0636
30.844217	96.344	-145.8090
31.067726	96.290	-145.4061
31.292856	96.278	-145.0821
31.519617	96.297	-144.9105
31.748020	96.334	-145.0329
31.978081	96.361	-145.4130
32.209808	96.364	-146.0149
32.443211	96.330	-146.6601
32.678310	96.268	-147.2045
32.915108	96.193	-147.5382
33.153625	96.139	-147.6132
33.393871	96.129	-147.5851
33.635857	96.180	-147.5907
33.879597	96.275	-147.9722
34.125103	96.381	-148.7656
34.372387	96.460	-150.0311
34.621464	96.471	-151.4806
34.872345	96.407	-152.8174
35.125042	96.282	-153.7439
35.379574	96.157	-153.9043
35.635948	96.101	-153.4674
35.894180	96.168	-152.6834
36.154285	96.370	-152.2607
36.416275	96.635	-152.7236
36.680161	96.878	-154.0943
36.945961	97.010	-156.2796
37.213688	96.971	-158.5518
37.483353	96.771	-160.2451
37.754974	96.466	-160.7776
38.028561	96.186	-159.5514
38.304131	96.109	-157.0894
38.581699	96.299	-154.6413
38.861279	96.697	-153.4088
39.142883	97.130	-154.1853
39.426529	97.410	-156.6107
39.712231	97.442	-159.7618
40.000000	97.192	-162.7741
40.289856	96.690	-164.5563
40.581814	96.075	-163.8551
40.875885	95.619	-160.4379
41.172089	95.555	-155.5951
41.470440	95.921	-151.6799
41.770950	96.521	-150.4779
42.073643	97.073	-152.1304
42.378525	97.412	-155.6242
42.685616	97.483	-159.9245
42.994934	97.282	-164.2063
43.306492	96.850	-167.7325
43.620308	96.259	-169.8201
43.936401	95.623	-169.9691
44.254780	95.092	-168.1499
44.575470	94.806	-164.9409
44.898483	94.827	-161.3898
45.223835	95.118	-158.5481
45.551544	95.577	-157.0017
45.881630	96.096	-156.8147
46.214108	96.592	-157.7481
46.548996	97.013	-159.4653
46.886307	97.339	-161.6424
47.226067	97.560	-164.0110
47.568283	97.680	-166.3709
47.912983	97.702	-168.5783
48.260181	97.634	-170.5236
48.609894	97.484	-172.1230
48.962143	97.267	-173.3263
49.316940	96.996	-174.1366
49.674313	96.686	-174.6186
50.034271	96.344	-174.8764
50.396843	95.970	-175.0026
50.762039	95.562	-175.0354
51.129883	95.125	-174.9644
51.500389	94.678	-174.7887
51.873581	94.245	-174.5834
52.249481	93.854	-174.5101
52.628101	93.522	-174.7473
53.009464	93.259	-175.3960
53.393593	93.078	-176.4437
53.780506	92.993	-177.8054
54.170223	93.019	-179.3826
54.562763	93.160	178.9212
54.958145	93.401	177.2278
55.356396	93.720	175.6959
55.757530	94.093	174.4863
56.161572	94.499	173.7014
56.568542	94.918	173.3582
56.978462	95.330	173.4225
57.391350	95.712	173.8687
57.807232	96.050	174.7021
58.226128	96.343	175.9218
58.648056	96.591	177.4653
59.073048	96.796	179.2010
59.501114	96.949	-179.0225
59.932281	97.036	-177.2918
60.366577	97.048	-175.5961
60.804020	96.986	-173.8795
61.244629	96.865	-172.1371
61.688435	96.705	-170.4813
62.135452	96.518	-169.1275
62.585712	96.303	-168.2845
63.039234	96.054	-168.0462
63.496040	95.771	-168.3835
63.956161	95.470	-169.1993
64.419617	95.177	-170.3935
64.886421	94.928	-171.8763
65.356621	94.747	-173.5391
65.830215	94.655	-175.2341
66.307251	94.657	-176.8167
66.787743	94.743	-178.1787
67.271713	94.887	-179.2249
67.759193	95.064	-179.8602
68.250206	95.253	179.9423
68.744774	95.440	-179.9236
69.242928	95.597	-179.6303
69.744690	95.697	-179.2310
