* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -46.2 dBFS, measurement signal peak level -43.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:58:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0065 ms (-2.2 mm, -0.09 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -2.5 ppm
* Measurement: Chu2Spring R3
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.924	-116.1835
20.144928	95.124	-117.1985
20.290907	95.271	-118.4437
20.437943	95.369	-119.8447
20.586044	95.421	-121.1157
20.735220	95.427	-122.3501
20.885475	95.408	-123.3939
21.036821	95.371	-124.1549
21.189262	95.331	-124.7060
21.342808	95.309	-125.0442
21.497467	95.306	-125.1623
21.653246	95.333	-125.2535
21.810154	95.391	-125.3065
21.968201	95.470	-125.4162
22.127390	95.560	-125.6766
22.287735	95.655	-126.0327
22.449242	95.736	-126.4822
22.611917	95.804	-127.0172
22.775772	95.854	-127.4967
22.940815	95.886	-127.9352
23.107054	95.912	-128.2498
23.274498	95.937	-128.3950
23.443153	95.976	-128.4420
23.613033	96.040	-128.3815
23.784142	96.131	-128.3170
23.956491	96.251	-128.3727
24.130091	96.391	-128.5610
24.304947	96.537	-129.0263
24.481071	96.678	-129.7210
24.658470	96.793	-130.6481
24.837156	96.876	-131.7812
25.017136	96.914	-132.9622
25.198421	96.907	-134.2048
25.381020	96.858	-135.2964
25.564941	96.772	-136.2570
25.750195	96.669	-136.9592
25.936790	96.559	-137.4139
26.124741	96.463	-137.6719
26.314051	96.389	-137.7514
26.504732	96.346	-137.8460
26.696796	96.330	-137.9706
26.890253	96.328	-138.2967
27.085112	96.328	-138.7893
27.281382	96.311	-139.4772
27.479073	96.268	-140.2618
27.678198	96.192	-141.0650
27.878765	96.090	-141.7666
28.080786	95.968	-142.2764
28.284271	95.849	-142.5642
28.489231	95.750	-142.6008
28.695675	95.691	-142.4951
28.903616	95.677	-142.4436
29.113064	95.706	-142.5540
29.324028	95.759	-142.8308
29.536524	95.817	-143.4419
29.750557	95.858	-144.2310
29.966141	95.868	-145.1715
30.183289	95.847	-146.0042
30.402010	95.805	-146.6800
30.622314	95.765	-147.0207
30.844217	95.758	-147.1229
31.067726	95.806	-147.0104
31.292856	95.922	-147.0226
31.519617	96.090	-147.2918
31.748020	96.285	-148.0540
31.978081	96.459	-149.2891
32.209808	96.581	-150.9455
32.443211	96.617	-152.7850
32.678310	96.562	-154.5101
32.915108	96.420	-155.9194
33.153625	96.224	-156.6178
33.393871	96.025	-156.5782
33.635857	95.877	-155.7179
33.879597	95.836	-154.4476
34.125103	95.911	-153.1483
34.372387	96.084	-152.2291
34.621464	96.292	-152.0063
34.872345	96.485	-152.3743
35.125042	96.622	-153.2379
35.379574	96.684	-154.2390
35.635948	96.680	-155.1540
