* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -39.7 dBFS, measurement signal peak level -34.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:51:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0042 ms (-1.5 mm, -0.06 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -4.6 ppm
* Measurement: Chu2Velvet L1
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.138	-136.8543
20.144928	94.832	-138.5786
20.290907	94.475	-139.9662
20.437943	94.074	-140.9792
20.586044	93.639	-141.3917
20.735220	93.174	-141.1187
20.885475	92.729	-140.0523
21.036821	92.326	-137.9789
21.189262	92.021	-134.9968
21.342808	91.898	-131.4089
21.497467	91.967	-127.3375
21.653246	92.231	-123.7418
21.810154	92.690	-120.7619
21.968201	93.255	-118.8464
22.127390	93.861	-118.1694
22.287735	94.473	-118.4456
22.449242	95.024	-119.6485
22.611917	95.506	-121.5950
22.775772	95.894	-123.9129
22.940815	96.183	-126.7089
23.107054	96.370	-129.4989
23.274498	96.453	-132.3574
23.443153	96.445	-135.0052
23.613033	96.351	-137.2464
23.784142	96.196	-139.0820
23.956491	96.007	-140.2000
24.130091	95.815	-140.7042
24.304947	95.675	-140.5829
24.481071	95.604	-139.9186
24.658470	95.642	-139.2117
24.837156	95.780	-138.4951
25.017136	95.988	-138.3639
25.198421	96.241	-138.7449
25.381020	96.474	-139.8054
25.564941	96.666	-141.4629
25.750195	96.772	-143.4395
25.936790	96.782	-145.7422
26.124741	96.681	-147.8543
26.314051	96.474	-149.8151
26.504732	96.179	-151.0607
26.696796	95.826	-151.5813
26.890253	95.482	-151.0168
27.085112	95.205	-149.4660
27.281382	95.085	-147.1705
27.479073	95.142	-144.6675
27.678198	95.388	-142.6178
27.878765	95.746	-141.4778
28.080786	96.155	-141.4881
28.284271	96.529	-142.4794
28.489231	96.827	-144.3864
28.695675	97.008	-146.7122
