* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -47.3 dBFS, measurement signal peak level -45.1 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:52:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0617 ms (21 mm, 0.83 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 42.1 ppm
* Measurement: Chu2Velvet L2
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.920	-127.2173
20.144928	93.737	-126.6193
20.290907	93.662	-125.6923
20.437943	93.685	-124.5742
20.586044	93.799	-123.8093
20.735220	93.998	-123.3087
20.885475	94.232	-123.2485
21.036821	94.475	-123.7359
21.189262	94.711	-124.5951
21.342808	94.908	-125.7249
21.497467	95.067	-127.1442
21.653246	95.183	-128.5570
21.810154	95.255	-129.9996
21.968201	95.295	-131.3476
22.127390	95.311	-132.4829
22.287735	95.312	-133.4614
22.449242	95.317	-134.2299
22.611917	95.327	-134.8032
22.775772	95.353	-135.2840
22.940815	95.398	-135.6536
23.107054	95.457	-136.0153
23.274498	95.530	-136.3923
23.443153	95.609	-136.7950
23.613033	95.689	-137.2519
23.784142	95.768	-137.7403
23.956491	95.843	-138.2496
24.130091	95.913	-138.7791
24.304947	95.979	-139.3142
24.481071	96.041	-139.8625
24.658470	96.099	-140.4384
24.837156	96.150	-141.0411
25.017136	96.190	-141.6811
25.198421	96.215	-142.3539
25.381020	96.220	-143.0133
25.564941	96.202	-143.6573
25.750195	96.160	-144.1807
25.936790	96.097	-144.5818
26.124741	96.023	-144.7579
26.314051	95.946	-144.7122
26.504732	95.884	-144.4310
26.696796	95.847	-143.9453
26.890253	95.849	-143.3681
27.085112	95.892	-142.7632
27.281382	95.974	-142.2946
27.479073	96.086	-142.0081
27.678198	96.212	-142.0016
27.878765	96.338	-142.2462
28.080786	96.450	-142.7582
28.284271	96.538	-143.4287
28.489231	96.597	-144.2434
28.695675	96.626	-145.0663
28.903616	96.628	-145.8848
29.113064	96.611	-146.6023
29.324028	96.583	-147.2246
29.536524	96.552	-147.7208
29.750557	96.527	-148.1372
29.966141	96.513	-148.4837
30.183289	96.511	-148.8384
30.402010	96.521	-149.2187
