* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -46.7 dBFS, measurement signal peak level -45.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:53:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0547 ms (-19 mm, -0.74 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 24.7 ppm
* Measurement: Chu2Velvet L4
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.630	-120.4810
20.144928	95.679	-120.9794
20.290907	95.732	-121.5438
20.437943	95.785	-122.1580
20.586044	95.831	-122.8349
20.735220	95.869	-123.5824
20.885475	95.895	-124.3437
21.036821	95.906	-125.1197
21.189262	95.903	-125.8856
21.342808	95.888	-126.5770
21.497467	95.862	-127.2118
21.653246	95.833	-127.7549
21.810154	95.802	-128.1913
21.968201	95.775	-128.5526
22.127390	95.758	-128.8394
22.287735	95.751	-129.0719
22.449242	95.756	-129.3074
22.611917	95.771	-129.5348
22.775772	95.793	-129.8014
22.940815	95.820	-130.1085
23.107054	95.847	-130.4460
23.274498	95.872	-130.8218
23.443153	95.893	-131.2060
23.613033	95.911	-131.5832
23.784142	95.926	-131.9480
23.956491	95.942	-132.2773
24.130091	95.959	-132.5827
24.304947	95.982	-132.8701
24.481071	96.011	-133.1456
24.658470	96.045	-133.4415
24.837156	96.084	-133.7553
25.017136	96.125	-134.1096
25.198421	96.166	-134.5003
25.381020	96.204	-134.9174
25.564941	96.237	-135.3593
25.750195	96.266	-135.7958
25.936790	96.290	-136.2280
26.124741	96.313	-136.6357
26.314051	96.334	-137.0226
26.504732	96.359	-137.3947
26.696796	96.385	-137.7578
26.890253	96.415	-138.1342
27.085112	96.446	-138.5259
27.281382	96.476	-138.9494
27.479073	96.504	-139.3967
27.678198	96.527	-139.8687
27.878765	96.544	-140.3466
28.080786	96.554	-140.8236
28.284271	96.559	-141.2786
28.489231	96.558	-141.7068
28.695675	96.555	-142.0963
28.903616	96.551	-142.4472
29.113064	96.547	-142.7590
29.324028	96.545	-143.0385
29.536524	96.547	-143.2901
29.750557	96.553	-143.5321
29.966141	96.566	-143.7707
30.183289	96.583	-144.0327
30.402010	96.604	-144.3240
30.622314	96.625	-144.6626
30.844217	96.644	-145.0392
31.067726	96.656	-145.4523
31.292856	96.660	-145.8644
31.519617	96.657	-146.2571
31.748020	96.650	-146.5959
31.978081	96.645	-146.8755
32.209808	96.647	-147.1012
32.443211	96.661	-147.3138
32.678310	96.688	-147.5685
32.915108	96.723	-147.9027
33.153625	96.759	-148.3615
33.393871	96.784	-148.9141
33.635857	96.792	-149.5404
33.879597	96.780	-150.1319
34.125103	96.752	-150.6356
34.372387	96.717	-150.9883
34.621464	96.692	-151.1907
34.872345	96.687	-151.3149
35.125042	96.707	-151.4333
35.379574	96.745	-151.6866
35.635948	96.786	-152.0972
35.894180	96.814	-152.6622
36.154285	96.814	-153.2895
36.416275	96.787	-153.8229
36.680161	96.744	-154.1793
36.945961	96.705	-154.2779
37.213688	96.697	-154.1961
37.483353	96.729	-154.1077
37.754974	96.798	-154.1718
38.028561	96.882	-154.5618
38.304131	96.945	-155.2800
38.581699	96.963	-156.1814
38.861279	96.925	-157.0887
39.142883	96.836	-157.7511
39.426529	96.728	-157.9723
39.712231	96.642	-157.7716
40.000000	96.609	-157.2915
40.289856	96.644	-156.7956
40.581814	96.731	-156.6057
40.875885	96.834	-156.8534
41.172089	96.918	-157.4830
41.470440	96.961	-158.3513
41.770950	96.957	-159.2670
42.073643	96.918	-160.0595
42.378525	96.863	-160.6829
42.685616	96.806	-161.1903
42.994934	96.749	-161.6475
43.306492	96.684	-162.0816
43.620308	96.603	-162.4398
43.936401	96.508	-162.5858
44.254780	96.421	-162.3849
44.575470	96.375	-161.8474
44.898483	96.399	-161.1634
45.223835	96.495	-160.6312
45.551544	96.643	-160.5153
45.881630	96.800	-160.9244
46.214108	96.929	-161.7800
46.548996	97.007	-162.8801
46.886307	97.033	-164.0047
47.226067	97.022	-165.0066
47.568283	96.989	-165.8466
47.912983	96.945	-166.5557
48.260181	96.893	-167.1712
48.609894	96.833	-167.6965
48.962143	96.768	-168.1088
49.316940	96.703	-168.3985
49.674313	96.647	-168.5992
50.034271	96.601	-168.7752
50.396843	96.560	-168.9747
50.762039	96.519	-169.1926
51.129883	96.476	-169.3827
51.500389	96.436	-169.5098
51.873581	96.409	-169.5933
52.249481	96.396	-169.6973
52.628101	96.395	-169.8737
53.009464	96.398	-170.1131
53.393593	96.402	-170.3556
53.780506	96.413	-170.5511
54.170223	96.439	-170.7135
54.562763	96.483	-170.9122
54.958145	96.536	-171.2112
55.356396	96.588	-171.6151
55.757530	96.630	-172.0722
56.161572	96.659	-172.5185
56.568542	96.676	-172.9154
56.978462	96.682	-173.2458
57.391350	96.678	-173.4875
57.807232	96.666	-173.6094
58.226128	96.652	-173.6071
58.648056	96.644	-173.5322
59.073048	96.639	-173.4695
59.501114	96.631	-173.4753
59.932281	96.608	-173.5289
60.366577	96.571	-173.5603
60.804020	96.526	-173.5271
61.244629	96.483	-173.4615
61.688435	96.447	-173.4420
62.135452	96.412	-173.5271
62.585712	96.374	-173.7128
63.039234	96.329	-173.9575
63.496040	96.281	-174.2294
63.956161	96.233	-174.5160
64.419617	96.186	-174.8045
64.886421	96.143	-175.0716
65.356621	96.108	-175.3060
65.830215	96.086	-175.5287
66.307251	96.072	-175.7739
66.787743	96.063	-176.0443
67.271713	96.053	-176.3062
67.759193	96.044	-176.5345
68.250206	96.036	-176.7479
68.744774	96.025	-176.9708
69.242928	96.006	-177.1682
69.744690	95.981	-177.2639
70.250084	95.964	-177.2483
70.759148	95.963	-177.2498
71.271896	95.969	-177.4243
71.788361	95.960	-177.7815
72.308571	95.924	-178.1514
72.832550	95.874	-178.3626
73.360321	95.831	-178.4225
73.891922	95.804	-178.4839
74.427376	95.783	-178.6468
74.966705	95.758	-178.8498
75.509949	95.732	-178.9907
76.057121	95.716	-179.0833
76.608261	95.710	-179.2402
77.163399	95.704	-179.5290
77.722557	95.683	-179.9113
78.285767	95.643	179.7090
78.853058	95.589	179.4377
79.424461	95.532	179.3297
80.000000	95.488	179.3450
80.579712	95.463	179.3641
81.163628	95.451	179.2852
81.751770	95.441	179.1038
82.344177	95.427	178.8596
82.940880	95.404	178.5885
83.541901	95.372	178.3429
84.147285	95.333	178.1984
84.757050	95.298	178.1771
85.371231	95.273	178.2149
85.989868	95.257	178.2409
86.612984	95.245	178.2572
87.240616	95.239	178.2893
87.872803	95.241	178.2911
88.509560	95.247	178.1315
89.150940	95.236	177.7588
89.796967	95.191	177.3414
90.447670	95.122	177.1619
91.103088	95.063	177.2807
91.763260	95.033	177.4101
92.428215	95.015	177.2946
93.097992	94.985	177.0184
93.772614	94.940	176.8241
94.452133	94.896	176.7598
95.136566	94.862	176.7061
95.825966	94.834	176.6135
96.520363	94.809	176.4885
97.219788	94.782	176.3273
97.924286	94.751	176.2127
98.633881	94.724	176.2390
99.348625	94.711	176.2914
100.068542	94.701	176.2325
100.793686	94.681	176.1760
101.524078	94.657	176.2135
102.259766	94.632	176.2280
103.000778	94.597	176.2253
103.747162	94.559	176.3335
104.498962	94.528	176.4487
105.256203	94.497	176.4107
106.018929	94.458	176.3091
106.787186	94.415	176.2321
107.561012	94.371	176.1051
108.340446	94.323	175.9594
109.125526	94.277	175.9196
109.916290	94.242	175.9218
110.712791	94.213	175.8463
111.515060	94.182	175.7693
112.323143	94.152	175.7798
113.137085	94.127	175.8014
113.956924	94.102	175.7610
114.782700	94.070	175.6926
115.614464	94.032	175.6653
116.452255	93.993	175.6971
117.296112	93.957	175.7238
118.146095	93.922	175.7100
119.002228	93.885	175.7156
119.864563	93.852	175.7406
120.733154	93.820	175.7219
121.608040	93.788	175.7211
122.489258	93.761	175.7547
123.376869	93.734	175.6774
124.270905	93.695	175.5731
125.171425	93.651	175.6351
126.078468	93.616	175.7502
126.992081	93.584	175.8236
127.912323	93.555	175.9005
128.839233	93.525	175.9233
129.772842	93.489	175.9324
130.713242	93.453	176.0172
131.660431	93.423	176.0915
132.614502	93.393	176.1009
133.575485	93.363	176.1221
134.543427	93.334	176.1735
135.518387	93.307	176.1642
136.500412	93.272	176.1152
137.489548	93.233	176.1627
138.485855	93.199	176.2761
139.489380	93.168	176.3419
140.500168	93.135	176.3812
141.518295	93.098	176.4462
142.543793	93.063	176.5779
143.576721	93.033	176.7106
144.617142	93.001	176.7314
145.665100	92.961	176.7752
146.720642	92.921	176.8911
147.783844	92.883	177.0046
148.854752	92.850	177.0977
149.933411	92.814	177.0920
151.019897	92.771	177.0771
152.114243	92.726	177.1729
153.216522	92.687	177.3243
154.326797	92.659	177.4644
155.445114	92.636	177.5544
156.571533	92.615	177.6219
157.706116	92.593	177.6946
158.848923	92.567	177.7664
160.000000	92.537	177.8887
161.159424	92.507	178.0465
162.327255	92.475	178.1954
163.503540	92.442	178.3640
164.688354	92.410	178.5434
165.881760	92.376	178.6978
167.083801	92.339	178.8098
168.294571	92.297	178.9018
169.514099	92.248	178.9810
170.742462	92.192	179.0800
171.979736	92.133	179.2003
173.225967	92.073	179.3035
174.481232	92.016	179.4089
175.745605	91.965	179.5464
177.019119	91.922	179.7243
178.301880	91.889	179.9363
179.593933	91.863	-179.8729
180.895340	91.840	-179.7119
182.206177	91.815	-179.5699
183.526520	91.788	-179.4046
184.856430	91.763	-179.1759
186.195984	91.743	-178.9554
187.545227	91.722	-178.8211
188.904266	91.696	-178.6824
190.273132	91.666	-178.5344
191.651932	91.634	-178.3796
193.040726	91.599	-178.2239
194.439575	91.565	-178.0189
195.848572	91.532	-177.7966
197.267761	91.499	-177.6115
198.697250	91.461	-177.4385
200.137085	91.421	-177.2480
201.587372	91.384	-177.0381
203.048157	91.349	-176.8514
