* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -47.8 dBFS, measurement signal peak level -45.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:53:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1335 ms (-46 mm, -1.8 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -50.0 ppm
* Measurement: Chu2Velvet L5
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.285	-122.9030
20.144928	95.312	-123.2634
20.290907	95.339	-123.5993
20.437943	95.367	-123.9165
20.586044	95.398	-124.2248
20.735220	95.432	-124.5198
20.885475	95.469	-124.8189
21.036821	95.509	-125.1247
21.189262	95.552	-125.4420
21.342808	95.596	-125.7856
21.497467	95.642	-126.1518
21.653246	95.688	-126.5485
21.810154	95.732	-126.9792
21.968201	95.774	-127.4357
22.127390	95.811	-127.9195
22.287735	95.844	-128.4223
22.449242	95.871	-128.9259
22.611917	95.892	-129.4338
22.775772	95.907	-129.9164
22.940815	95.918	-130.3759
23.107054	95.928	-130.7991
23.274498	95.937	-131.1775
23.443153	95.949	-131.5246
23.613033	95.966	-131.8376
23.784142	95.989	-132.1368
23.956491	96.020	-132.4457
24.130091	96.058	-132.7703
24.304947	96.101	-133.1473
24.481071	96.147	-133.5700
24.658470	96.191	-134.0533
24.837156	96.230	-134.5903
25.017136	96.262	-135.1541
25.198421	96.284	-135.7437
25.381020	96.297	-136.3050
25.564941	96.301	-136.8401
25.750195	96.300	-137.3044
25.936790	96.297	-137.7017
26.124741	96.299	-138.0297
26.314051	96.308	-138.2957
26.504732	96.329	-138.5443
26.696796	96.361	-138.7851
26.890253	96.402	-139.0784
27.085112	96.450	-139.4249
27.281382	96.498	-139.8596
27.479073	96.541	-140.3599
27.678198	96.573	-140.9243
27.878765	96.592	-141.5014
28.080786	96.597	-142.0724
28.284271	96.589	-142.5769
28.489231	96.573	-143.0005
28.695675	96.556	-143.3152
28.903616	96.542	-143.5288
29.113064	96.541	-143.6678
29.324028	96.555	-143.7759
29.536524	96.585	-143.8991
29.750557	96.628	-144.1009
29.966141	96.677	-144.4042
30.183289	96.725	-144.8343
30.402010	96.762	-145.3704
30.622314	96.783	-145.9875
30.844217	96.782	-146.6133
31.067726	96.760	-147.2151
31.292856	96.723	-147.7034
31.519617	96.677	-148.0664
31.748020	96.633	-148.2659
31.978081	96.602	-148.3467
32.209808	96.591	-148.3343
32.443211	96.604	-148.3234
32.678310	96.637	-148.3811
32.915108	96.686	-148.5577
33.153625	96.738	-148.8950
33.393871	96.783	-149.3646
33.635857	96.813	-149.9477
33.879597	96.824	-150.5560
34.125103	96.817	-151.1394
34.372387	96.796	-151.6414
34.621464	96.770	-152.0195
34.872345	96.749	-152.2878
35.125042	96.740	-152.4603
35.379574	96.748	-152.6067
35.635948	96.772	-152.7813
35.894180	96.808	-153.0253
36.154285	96.848	-153.3758
36.416275	96.884	-153.8177
36.680161	96.910	-154.3253
36.945961	96.923	-154.8596
37.213688	96.924	-155.3610
37.483353	96.918	-155.8021
37.754974	96.911	-156.1684
38.028561	96.908	-156.4645
38.304131	96.914	-156.7341
38.581699	96.929	-157.0187
38.861279	96.950	-157.3533
39.142883	96.971	-157.7641
39.426529	96.984	-158.2381
39.712231	96.985	-158.7367
40.000000	96.973	-159.2167
40.289856	96.950	-159.6327
40.581814	96.924	-159.9527
40.875885	96.901	-160.1842
41.172089	96.889	-160.3575
41.470440	96.888	-160.5124
41.770950	96.897	-160.6900
42.073643	96.912	-160.9192
42.378525	96.929	-161.2043
42.685616	96.943	-161.5345
42.994934	96.952	-161.8942
43.306492	96.955	-162.2661
43.620308	96.953	-162.6336
43.936401	96.946	-162.9812
44.254780	96.936	-163.2958
44.575470	96.925	-163.5723
44.898483	96.917	-163.8191
45.223835	96.912	-164.0577
45.551544	96.910	-164.3164
45.881630	96.910	-164.6194
46.214108	96.905	-164.9749
46.548996	96.892	-165.3697
46.886307	96.868	-165.7722
47.226067	96.834	-166.1437
47.568283	96.794	-166.4513
47.912983	96.754	-166.6782
48.260181	96.721	-166.8319
48.609894	96.702	-166.9509
48.962143	96.700	-167.1023
49.316940	96.710	-167.3623
49.674313	96.722	-167.7790
50.034271	96.723	-168.3367
50.396843	96.701	-168.9461
50.762039	96.659	-169.4777
51.129883	96.610	-169.8309
51.500389	96.573	-170.0029
51.873581	96.562	-170.1047
52.249481	96.576	-170.2907
52.628101	96.597	-170.6453
53.009464	96.607	-171.1190
53.393593	96.600	-171.5696
53.780506	96.586	-171.8760
54.170223	96.583	-172.0396
54.562763	96.599	-172.1854
54.958145	96.628	-172.4516
55.356396	96.648	-172.8665
55.757530	96.646	-173.3261
56.161572	96.626	-173.6846
56.568542	96.603	-173.8811
56.978462	96.592	-173.9894
57.391350	96.594	-174.1419
57.807232	96.595	-174.4032
58.226128	96.585	-174.7244
58.648056	96.564	-175.0153
59.073048	96.540	-175.2419
59.501114	96.521	-175.4521
59.932281	96.503	-175.7080
60.366577	96.480	-176.0045
60.804020	96.449	-176.2747
61.244629	96.419	-176.4728
61.688435	96.399	-176.6324
62.135452	96.388	-176.8367
62.585712	96.379	-177.1266
63.039234	96.361	-177.4549
63.496040	96.336	-177.7399
63.956161	96.313	-177.9421
64.419617	96.299	-178.1000
64.886421	96.295	-178.2878
65.356621	96.295	-178.5524
65.830215	96.289	-178.8938
66.307251	96.274	-179.2708
66.787743	96.246	-179.6237
67.271713	96.211	-179.8948
67.759193	96.177	179.9336
68.250206	96.152	179.8144
68.744774	96.136	179.6689
69.242928	96.122	179.4586
69.744690	96.103	179.2227
70.250084	96.080	179.0248
70.759148	96.061	178.8714
71.271896	96.048	178.7045
71.788361	96.036	178.4761
72.308571	96.017	178.2124
72.832550	95.992	177.9791
73.360321	95.967	177.7986
73.891922	95.946	177.6266
74.427376	95.926	177.4141
74.966705	95.902	177.1712
75.509949	95.874	176.9485
76.057121	95.845	176.7707
76.608261	95.821	176.6177
77.163399	95.800	176.4625
77.722557	95.783	176.2932
78.285767	95.768	176.0976
78.853058	95.753	175.8525
79.424461	95.732	175.5607
80.000000	95.703	175.2704
80.579712	95.670	175.0256
81.163628	95.636	174.8202
81.751770	95.603	174.6203
82.344177	95.572	174.4217
82.940880	95.542	174.2401
83.541901	95.516	174.0601
84.147285	95.493	173.8524
84.757050	95.469	173.6339
85.371231	95.446	173.4434
85.989868	95.426	173.2717
86.612984	95.408	173.0771
87.240616	95.385	172.8948
87.872803	95.361	172.8185
88.509560	95.350	172.8395
89.150940	95.350	172.7936
89.796967	95.348	172.5696
90.447670	95.325	172.2619
91.103088	95.283	172.0424
91.763260	95.237	171.9260
92.428215	95.192	171.8179
93.097992	95.146	171.6880
93.772614	95.101	171.5726
94.452133	95.061	171.4646
95.136566	95.025	171.3495
95.825966	94.995	171.2469
96.520363	94.975	171.1218
97.219788	94.956	170.9183
97.924286	94.932	170.6995
98.633881	94.906	170.5576
99.348625	94.883	170.4496
100.068542	94.860	170.2980
100.793686	94.830	170.1069
101.524078	94.790	169.9287
102.259766	94.746	169.8540
103.000778	94.711	169.8743
103.747162	94.689	169.7861
104.498962	94.663	169.5418
105.256203	94.627	169.3553
106.018929	94.597	169.2406
106.787186	94.568	169.0226
107.561012	94.529	168.7930
108.340446	94.489	168.7435
109.125526	94.461	168.7258
109.916290	94.433	168.5231
110.712791	94.390	168.3841
111.515060	94.357	168.5211
112.323143	94.345	168.4413
113.137085	94.312	168.0577
113.956924	94.264	168.0818
114.782700	94.249	168.2693
115.614464	94.235	167.8814
116.452255	94.176	167.5322
117.296112	94.122	167.8618
118.146095	94.120	168.2566
119.002228	94.134	168.0533
119.864563	94.107	167.5104
120.733154	94.038	167.3174
121.608040	93.980	167.5020
122.489258	93.949	167.6520
123.376869	93.940	167.7197
124.270905	93.931	167.3878
125.171425	93.876	166.7644
126.078468	93.792	166.8017
126.992081	93.755	167.3531
127.912323	93.765	167.4565
128.839233	93.767	167.1664
129.772842	93.742	166.8345
130.713242	93.689	166.5176
131.660431	93.622	166.5358
132.614502	93.582	166.8497
133.575485	93.566	166.8548
134.543427	93.538	166.6080
135.518387	93.496	166.5037
136.500412	93.453	166.4431
137.489548	93.409	166.3718
138.485855	93.371	166.4670
139.489380	93.352	166.5707
140.500168	93.337	166.4415
141.518295	93.307	166.2398
142.543793	93.263	166.0727
143.576721	93.206	165.9572
144.617142	93.143	165.8901
145.665100	93.075	165.9103
146.720642	93.011	165.9692
147.783844	92.950	166.0220
148.854752	92.894	166.0718
149.933411	92.841	166.0513
151.019897	92.795	166.0702
152.114243	92.760	166.0501
153.216522	92.738	166.0450
154.326797	92.731	166.0087
155.445114	92.736	166.0179
156.571533	92.745	165.9445
157.706116	92.741	165.9285
158.848923	92.729	166.1398
160.000000	92.711	166.3123
161.159424	92.687	166.6024
162.327255	92.670	166.7960
163.503540	92.647	166.7226
164.688354	92.611	166.5400
165.881760	92.560	166.3622
167.083801	92.506	166.3584
168.294571	92.460	166.4623
169.514099	92.419	166.6021
170.742462	92.373	166.6793
171.979736	92.314	166.7101
173.225967	92.248	166.8139
174.481232	92.192	166.9974
175.745605	92.147	166.9507
177.019119	92.098	166.9093
178.301880	92.060	167.0636
179.593933	92.033	167.1338
180.895340	92.012	167.0999
182.206177	91.983	167.0217
183.526520	91.956	167.0764
184.856430	91.935	167.1156
186.195984	91.923	167.3177
187.545227	91.919	167.3973
188.904266	91.903	167.4250
190.273132	91.874	167.4820
191.651932	91.835	167.5784
193.040726	91.799	167.7064
194.439575	91.766	167.7243
195.848572	91.732	167.7201
197.267761	91.688	167.6683
198.697250	91.646	167.9441
200.137085	91.618	168.1357
201.587372	91.584	168.0664
203.048157	91.542	168.2130
204.519531	91.500	168.2302
206.001556	91.453	168.3689
207.494324	91.435	169.0715
208.997925	91.447	169.2006
210.512405	91.416	168.6850
212.037857	91.344	168.7958
213.574371	91.305	169.8015
215.122025	91.309	170.1350
216.680893	91.285	169.9752
218.251053	91.241	170.0117
219.832581	91.195	169.6682
221.425583	91.138	168.9735
223.030121	91.091	169.0529
224.646286	91.131	170.2580
226.274170	91.239	171.1383
227.913849	91.274	170.5428
229.565399	91.125	169.6781
231.228928	90.898	170.3106
232.904510	90.745	170.9550
234.592224	90.655	170.4423
236.292191	90.562	169.9301
238.004456	90.468	170.4372
239.729126	90.389	171.2269
241.466309	90.320	171.9281
243.216080	90.299	172.4149
244.978516	90.325	171.4494
246.753738	90.321	169.3836
248.541809	90.237	167.5266
250.342850	90.091	166.8360
252.156937	89.961	167.5381
253.984161	89.922	168.7715
255.824646	89.961	169.6252
257.678467	90.003	170.0931
259.545685	90.027	171.0928
261.426483	90.088	172.2505
263.320862	90.212	172.7155
265.229004	90.365	172.8667
267.150970	90.526	174.4937
269.086853	90.698	177.3239
271.036774	90.778	178.2981
273.000824	90.653	177.1789
274.979095	90.391	175.7823
276.971710	90.171	175.2087
278.978760	90.094	175.5385
281.000336	90.112	176.0421
283.036591	90.138	176.3890
285.087585	90.148	176.8528
287.153442	90.153	177.3033
289.234283	90.149	177.3692
291.330200	90.133	177.1668
293.441284	90.130	177.0446
295.567688	90.146	177.2045
297.709503	90.156	177.5610
299.866821	90.138	177.8545
302.039795	90.097	177.9755
304.228485	90.051	178.0967
306.433044	89.998	178.3636
308.653595	89.932	178.5710
310.890228	89.870	178.5852
313.143066	89.836	178.5680
315.412231	89.824	178.8242
317.697845	89.806	179.2825
320.000000	89.769	179.6254
322.318848	89.730	179.7250
324.654510	89.704	179.7623
327.007080	89.688	179.9717
329.376709	89.672	-179.7122
331.763519	89.651	-179.4737
334.167603	89.622	-179.2635
336.589142	89.593	-179.0060
339.028198	89.567	-178.7467
341.484924	89.546	-178.3972
343.959473	89.523	-178.1716
346.451935	89.489	-177.9120
348.962463	89.455	-177.7257
351.491211	89.428	-177.4586
354.038239	89.415	-177.0255
356.603760	89.400	-176.8345
359.187866	89.370	-176.6699
361.790680	89.345	-176.2930
364.412354	89.332	-176.0477
367.053040	89.314	-175.9563
369.712860	89.293	-175.7123
372.391968	89.285	-175.3585
375.090454	89.280	-175.1151
377.808533	89.256	-174.9366
380.546265	89.211	-174.6794
383.303864	89.161	-174.2305
386.081451	89.120	-173.6948
388.879150	89.091	-173.2345
391.697144	89.073	-172.9041
394.535522	89.062	-172.6390
397.394501	89.051	-172.3545
