* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -25.1 dBFS, measurement signal peak level -30.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:48:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0035 ms (1.2 mm, 0.05 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 7.7 ppm
* Measurement: Chu2Velvet R1
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.768	-147.9590
20.144928	93.861	-148.4918
20.290907	92.923	-147.0181
20.437943	92.075	-143.3756
20.586044	91.555	-138.2884
20.735220	91.404	-131.7274
20.885475	91.586	-125.8614
21.036821	92.095	-121.7416
21.189262	92.771	-119.3146
21.342808	93.403	-118.6855
21.497467	93.980	-119.4492
21.653246	94.448	-120.7965
21.810154	94.786	-122.8130
21.968201	95.016	-124.9253
22.127390	95.145	-126.8465
22.287735	95.196	-128.6485
22.449242	95.206	-129.9133
22.611917	95.190	-130.7610
22.775772	95.194	-131.2189
22.940815	95.233	-131.2500
23.107054	95.320	-131.1966
23.274498	95.463	-131.1064
23.443153	95.638	-131.1579
23.613033	95.828	-131.5177
23.784142	96.013	-132.0893
23.956491	96.167	-132.9012
24.130091	96.285	-133.8633
24.304947	96.359	-134.8051
24.481071	96.391	-135.7386
24.658470	96.395	-136.4822
24.837156	96.377	-137.0718
25.017136	96.356	-137.4879
25.198421	96.337	-137.7435
25.381020	96.327	-137.9606
25.564941	96.326	-138.1358
25.750195	96.325	-138.3703
25.936790	96.320	-138.6532
26.124741	96.303	-138.9682
26.314051	96.271	-139.3064
26.504732	96.228	-139.5952
26.696796	96.179	-139.8445
26.890253	96.133	-140.0391
27.085112	96.095	-140.2135
27.281382	96.069	-140.4320
27.479073	96.050	-140.7147
27.678198	96.033	-141.1195
27.878765	96.008	-141.5931
28.080786	95.972	-142.1329
28.284271	95.925	-142.6335
28.489231	95.874	-143.0712
28.695675	95.835	-143.4171
28.903616	95.816	-143.6990
29.113064	95.828	-144.0273
29.324028	95.864	-144.4609
29.536524	95.914	-145.1078
29.750557	95.954	-145.8963
29.966141	95.971	-146.8164
30.183289	95.955	-147.6037
30.402010	95.919	-148.1932
30.622314	95.889	-148.3645
30.844217	95.904	-148.2615
31.067726	95.993	-147.9316
31.292856	96.162	-147.8708
31.519617	96.384	-148.2151
31.748020	96.608	-149.2498
