* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -47.9 dBFS, measurement signal peak level -46.6 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:50:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0393 ms (13 mm, 0.53 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 40.8 ppm
* Measurement: Chu2Velvet R4
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.165	-122.0151
20.144928	95.169	-122.5798
20.290907	95.163	-123.0895
20.437943	95.152	-123.5524
20.586044	95.140	-123.9505
20.735220	95.129	-124.2817
20.885475	95.121	-124.5716
21.036821	95.120	-124.8165
21.189262	95.126	-125.0352
21.342808	95.140	-125.2652
21.497467	95.161	-125.4965
21.653246	95.189	-125.7681
21.810154	95.222	-126.0822
21.968201	95.256	-126.4418
22.127390	95.290	-126.8588
22.287735	95.323	-127.3215
22.449242	95.350	-127.8183
22.611917	95.372	-128.3509
22.775772	95.389	-128.8844
22.940815	95.398	-129.4245
23.107054	95.402	-129.9406
23.274498	95.402	-130.4265
23.443153	95.400	-130.8742
23.613033	95.399	-131.2701
23.784142	95.401	-131.6241
23.956491	95.408	-131.9367
24.130091	95.424	-132.2182
24.304947	95.448	-132.4944
24.481071	95.482	-132.7677
24.658470	95.524	-133.0763
24.837156	95.574	-133.4167
25.017136	95.627	-133.8145
25.198421	95.682	-134.2655
25.381020	95.736	-134.7666
25.564941	95.785	-135.3156
25.750195	95.829	-135.8855
25.936790	95.867	-136.4762
26.124741	95.898	-137.0564
26.314051	95.925	-137.6279
26.504732	95.948	-138.1738
26.696796	95.969	-138.6985
26.890253	95.989	-139.2048
27.085112	96.009	-139.6978
27.281382	96.029	-140.1890
27.479073	96.047	-140.6784
27.678198	96.062	-141.1725
27.878765	96.072	-141.6595
28.080786	96.077	-142.1375
28.284271	96.077	-142.5855
28.489231	96.073	-142.9988
28.695675	96.065	-143.3611
28.903616	96.058	-143.6726
29.113064	96.052	-143.9329
29.324028	96.050	-144.1532
29.536524	96.055	-144.3423
29.750557	96.065	-144.5219
29.966141	96.082	-144.6992
30.183289	96.105	-144.8951
30.402010	96.132	-145.1140
30.622314	96.162	-145.3671
30.844217	96.193	-145.6581
31.067726	96.224	-145.9899
31.292856	96.252	-146.3601
31.519617	96.276	-146.7611
31.748020	96.294	-147.1837
31.978081	96.306	-147.6020
32.209808	96.313	-148.0058
32.443211	96.317	-148.3686
32.678310	96.322	-148.6929
32.915108	96.331	-148.9778
33.153625	96.349	-149.2566
33.393871	96.376	-149.5615
33.635857	96.410	-149.9243
33.879597	96.445	-150.3804
34.125103	96.474	-150.9184
34.372387	96.491	-151.5299
34.621464	96.490	-152.1476
34.872345	96.473	-152.7211
35.125042	96.444	-153.2005
35.379574	96.413	-153.5405
35.635948	96.390	-153.7639
35.894180	96.384	-153.8985
36.154285	96.398	-154.0232
36.416275	96.430	-154.2174
36.680161	96.471	-154.5182
36.945961	96.512	-154.9539
37.213688	96.544	-155.4939
37.483353	96.561	-156.0878
37.754974	96.563	-156.6905
38.028561	96.554	-157.2510
38.304131	96.538	-157.7475
38.581699	96.521	-158.1865
38.861279	96.506	-158.5805
39.142883	96.492	-158.9517
39.426529	96.481	-159.3163
39.712231	96.469	-159.6759
40.000000	96.457	-160.0285
40.289856	96.443	-160.3683
40.581814	96.430	-160.6900
40.875885	96.416	-160.9903
41.172089	96.405	-161.2665
41.470440	96.398	-161.5175
41.770950	96.395	-161.7471
42.073643	96.400	-161.9702
42.378525	96.413	-162.2193
42.685616	96.432	-162.5284
42.994934	96.449	-162.9164
43.306492	96.459	-163.3770
43.620308	96.456	-163.8718
43.936401	96.438	-164.3349
44.254780	96.411	-164.7006
44.575470	96.385	-164.9485
44.898483	96.371	-165.1127
45.223835	96.371	-165.2645
45.551544	96.382	-165.4769
45.881630	96.396	-165.7853
46.214108	96.402	-166.1665
46.548996	96.398	-166.5515
46.886307	96.388	-166.8703
47.226067	96.383	-167.1052
47.568283	96.394	-167.3134
47.912983	96.421	-167.5943
48.260181	96.456	-168.0276
48.609894	96.482	-168.6218
48.962143	96.488	-169.3073
49.316940	96.473	-169.9732
49.674313	96.444	-170.5272
50.034271	96.416	-170.9444
50.396843	96.398	-171.2754
50.762039	96.393	-171.6080
51.129883	96.395	-172.0050
51.500389	96.393	-172.4650
51.873581	96.380	-172.9324
52.249481	96.360	-173.3428
52.628101	96.338	-173.6711
53.009464	96.322	-173.9444
53.393593	96.311	-174.2123
53.780506	96.299	-174.4991
54.170223	96.281	-174.7801
54.562763	96.257	-175.0021
54.958145	96.232	-175.1342
55.356396	96.217	-175.2066
55.757530	96.214	-175.3059
56.161572	96.216	-175.5222
56.568542	96.211	-175.8828
56.978462	96.185	-176.3246
57.391350	96.138	-176.7279
57.807232	96.079	-176.9925
58.226128	96.026	-177.1094
58.648056	95.992	-177.1721
59.073048	95.978	-177.3094
59.501114	95.971	-177.5915
59.932281	95.958	-177.9855
60.366577	95.937	-178.3984
60.804020	95.914	-178.7774
61.244629	95.894	-179.1487
61.688435	95.874	-179.5603
62.135452	95.847	-179.9865
62.585712	95.812	179.6866
63.039234	95.783	179.5402
63.496040	95.779	179.4960
63.956161	95.800	179.3347
64.419617	95.821	178.9029
64.886421	95.811	178.2997
65.356621	95.764	177.7986
65.830215	95.706	177.6164
66.307251	95.671	177.6711
66.787743	95.671	177.6519
67.271713	95.681	177.3239
67.759193	95.665	176.7671
68.250206	95.616	176.2829
68.744774	95.558	176.0956
69.242928	95.529	176.1307
69.744690	95.540	176.0946
70.250084	95.568	175.7693
70.759148	95.581	175.2178
71.271896	95.568	174.6619
71.788361	95.542	174.2513
72.308571	95.516	173.9480
72.832550	95.488	173.6686
73.360321	95.452	173.4474
73.891922	95.413	173.3807
74.427376	95.387	173.4428
74.966705	95.379	173.4675
75.509949	95.374	173.3373
76.057121	95.361	173.1128
76.608261	95.342	172.8944
77.163399	95.328	172.6446
77.722557	95.315	172.2446
78.285767	95.289	171.6865
78.853058	95.244	171.1094
79.424461	95.187	170.6523
80.000000	95.136	170.3681
80.579712	95.104	170.2151
81.163628	95.095	170.0901
81.751770	95.102	169.8765
82.344177	95.106	169.5360
82.940880	95.090	169.1706
83.541901	95.053	168.9449
84.147285	95.012	168.9419
84.757050	94.980	169.0353
85.371231	94.953	169.0123
85.989868	94.913	168.8314
86.612984	94.854	168.6933
87.240616	94.796	168.6548
87.872803	94.749	168.4678
88.509560	94.691	168.0393
89.150940	94.616	167.7623
89.796967	94.569	167.8518
90.447670	94.579	167.8546
91.103088	94.607	167.3873
91.763260	94.613	166.8570
92.428215	94.622	166.6445
