* Measurement data measured by REW V5.31
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, L, volume: 0.250. Timing signal peak level -47.6 dBFS, measurement signal peak level -46.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 11-Apr-2024 15:50:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.2356 ms (-81 mm, -3.18 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 6.4 ppm
* Measurement: Chu2Velvet R5
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.853	-118.9652
20.144928	94.898	-119.4989
20.290907	94.943	-120.0114
20.437943	94.987	-120.5088
20.586044	95.032	-120.9985
20.735220	95.077	-121.4776
20.885475	95.122	-121.9588
21.036821	95.167	-122.4468
21.189262	95.212	-122.9400
21.342808	95.253	-123.4436
21.497467	95.292	-123.9570
21.653246	95.326	-124.4669
21.810154	95.356	-124.9773
21.968201	95.381	-125.4734
22.127390	95.402	-125.9454
22.287735	95.421	-126.3952
22.449242	95.438	-126.8124
22.611917	95.455	-127.1997
22.775772	95.475	-127.5694
22.940815	95.496	-127.9178
23.107054	95.520	-128.2682
23.274498	95.547	-128.6247
23.443153	95.574	-128.9941
23.613033	95.601	-129.3880
23.784142	95.625	-129.7953
23.956491	95.645	-130.2124
24.130091	95.660	-130.6305
24.304947	95.671	-131.0242
24.481071	95.678	-131.3953
24.658470	95.685	-131.7224
24.837156	95.694	-132.0108
25.017136	95.708	-132.2730
25.198421	95.730	-132.5116
25.381020	95.760	-132.7717
25.564941	95.797	-133.0525
25.750195	95.839	-133.3961
25.936790	95.882	-133.7982
26.124741	95.921	-134.2610
26.314051	95.953	-134.7766
26.504732	95.975	-135.3024
26.696796	95.987	-135.8306
26.890253	95.990	-136.3048
27.085112	95.990	-136.7274
27.281382	95.992	-137.0687
27.479073	95.997	-137.3553
27.678198	96.014	-137.5966
27.878765	96.042	-137.8437
28.080786	96.082	-138.1213
28.284271	96.128	-138.4691
28.489231	96.175	-138.8974
28.695675	96.215	-139.3933
28.903616	96.245	-139.9430
29.113064	96.262	-140.4911
29.324028	96.267	-141.0099
29.536524	96.264	-141.4541
29.750557	96.259	-141.8140
29.966141	96.258	-142.0817
30.183289	96.268	-142.2996
30.402010	96.290	-142.4935
30.622314	96.324	-142.7205
30.844217	96.365	-143.0110
31.067726	96.407	-143.3846
31.292856	96.443	-143.8333
31.519617	96.469	-144.3332
31.748020	96.482	-144.8522
31.978081	96.484	-145.3431
32.209808	96.477	-145.7902
32.443211	96.467	-146.1687
32.678310	96.457	-146.4929
32.915108	96.451	-146.7690
33.153625	96.451	-147.0300
33.393871	96.454	-147.2886
33.635857	96.461	-147.5597
33.879597	96.469	-147.8459
34.125103	96.478	-148.1430
34.372387	96.487	-148.4467
34.621464	96.497	-148.7546
34.872345	96.509	-149.0725
35.125042	96.523	-149.4064
35.379574	96.538	-149.7689
35.635948	96.553	-150.1620
35.894180	96.566	-150.5851
36.154285	96.574	-151.0290
36.416275	96.578	-151.4776
36.680161	96.577	-151.9204
36.945961	96.573	-152.3468
37.213688	96.567	-152.7527
37.483353	96.560	-153.1396
37.754974	96.554	-153.5082
38.028561	96.546	-153.8587
38.304131	96.538	-154.1854
38.581699	96.531	-154.4826
38.861279	96.525	-154.7472
39.142883	96.523	-154.9807
39.426529	96.526	-155.1990
