* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -18.6 dBFS, measurement signal peak level -18.5 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27-Nov-2023 14:25:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0225 ms (-7.7 mm, -0.3 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -15.6 ppm
* Measurement: Freebuds3i L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	120.951	76.0724
20.299999	121.056	75.0728
20.600000	121.158	74.0939
20.900000	121.258	73.1320
21.200001	121.356	72.1816
21.400000	121.420	71.5519
21.799999	121.542	70.3016
22.000000	121.600	69.6825
22.400000	121.711	68.4633
22.700001	121.790	67.5720
23.000000	121.866	66.7047
23.299999	121.940	65.8594
23.600000	122.012	65.0312
24.000000	122.107	63.9433
24.299999	122.177	63.1328
24.700001	122.266	62.0555
25.000000	122.330	61.2516
25.400000	122.411	60.1891
25.799999	122.488	59.1414
26.200001	122.560	58.1094
26.500000	122.611	57.3460
26.900000	122.677	56.3433
27.200001	122.724	55.6042
27.600000	122.784	54.6374
28.000000	122.842	53.6906
28.500000	122.913	52.5278
29.000000	122.982	51.3797
29.500000	123.047	50.2470
30.000000	123.108	49.1386
30.400000	123.155	48.2733
30.700001	123.189	47.6355
31.100000	123.234	46.7944
31.500000	123.278	45.9583
32.000000	123.329	44.9173
32.500000	123.373	43.8893
33.000000	123.412	42.8922
33.500000	123.445	41.9389
34.000000	123.478	41.0289
34.500000	123.510	40.1480
35.000000	123.542	39.2792
35.500000	123.574	38.4116
36.000000	123.602	37.5445
36.500000	123.628	36.6828
37.000000	123.650	35.8313
37.500000	123.670	34.9930
38.200001	123.694	33.8472
38.700001	123.710	33.0527
39.500000	123.735	31.8174
40.000000	123.750	31.0580
40.599998	123.765	30.1533
41.200001	123.778	29.2623
41.799999	123.787	28.3959
42.500000	123.796	27.4225
43.099998	123.801	26.6167
43.700001	123.807	25.8302
44.400002	123.812	24.9254
45.000000	123.814	24.1516
45.500000	123.814	23.5083
46.200001	123.807	22.6233
46.799999	123.798	21.8918
47.500000	123.786	21.0708
48.200001	123.775	20.2719
48.700001	123.767	19.7098
49.400002	123.756	18.9374
50.000000	123.746	18.2931
50.799999	123.733	17.4563
51.500000	123.722	16.7302
52.200001	123.708	16.0024
53.000000	123.687	15.1876
53.799999	123.662	14.4156
54.500000	123.641	13.7697
55.200001	123.619	13.1312
56.000000	123.591	12.4036
57.000000	123.549	11.5309
58.000000	123.503	10.7346
59.000000	123.461	9.9888
60.000000	123.421	9.2616
60.799999	123.388	8.6986
61.500000	123.361	8.2192
62.200001	123.335	7.7416
63.000000	123.305	7.1877
64.000000	123.265	6.4901
65.000000	123.220	5.8063
66.000000	123.172	5.1516
67.000000	123.123	4.5313
68.000000	123.075	3.9418
69.000000	123.029	3.3737
70.000000	122.983	2.8146
71.000000	122.935	2.2723
72.000000	122.885	1.7693
73.000000	122.838	1.2952
74.000000	122.791	0.8212
75.000000	122.741	0.3542
76.199997	122.676	-0.1516
77.500000	122.610	-0.6363
78.800003	122.550	-1.1253
80.000000	122.490	-1.5877
81.199997	122.426	-2.0070
82.500000	122.359	-2.3969
83.800003	122.300	-2.7614
85.000000	122.249	-3.1024
86.199997	122.198	-3.4448
87.500000	122.141	-3.8019
88.500000	122.097	-4.0637
90.000000	122.032	-4.4409
91.199997	121.979	-4.7299
92.500000	121.922	-5.0192
93.800003	121.864	-5.2759
95.000000	121.814	-5.4971
96.199997	121.763	-5.7150
97.500000	121.707	-5.9476
98.800003	121.651	-6.1760
100.000000	121.602	-6.3801
101.500000	121.544	-6.6184
103.000000	121.492	-6.8326
104.400002	121.448	-7.0059
106.000000	121.400	-7.1708
107.500000	121.358	-7.3111
109.000000	121.318	-7.4650
110.599998	121.276	-7.6547
112.000000	121.239	-7.8307
113.800003	121.191	-8.0464
115.000000	121.158	-8.1712
117.199997	121.099	-8.3614
118.000000	121.078	-8.4288
120.599998	121.013	-8.6542
122.000000	120.980	-8.7640
124.099998	120.933	-8.9072
125.000000	120.914	-8.9653
126.500000	120.885	-9.0746
128.000000	120.860	-9.2228
131.500000	120.815	-9.7222
132.000000	120.810	-9.7966
134.000000	120.785	-10.0561
136.000000	120.757	-10.2417
138.000000	120.725	-10.4034
140.000000	120.690	-10.6052
