* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -18.5 dBFS, measurement signal peak level -18.2 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27-Nov-2023 14:27:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1572 ms (-54 mm, -2.12 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -15.2 ppm
* Measurement: Nov 27
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	121.233	77.8304
20.299999	121.342	76.8437
20.600000	121.449	75.8596
20.900000	121.552	74.8744
21.200001	121.651	73.8890
21.400000	121.714	73.2365
21.799999	121.832	71.9550
22.000000	121.888	71.3315
22.400000	121.997	70.1259
22.700001	122.078	69.2524
23.000000	122.159	68.3931
23.299999	122.239	67.5358
23.600000	122.318	66.6753
24.000000	122.416	65.5265
24.299999	122.484	64.6766
24.700001	122.567	63.5797
25.000000	122.627	62.7932
25.400000	122.706	61.7889
25.799999	122.787	60.8134
26.200001	122.870	59.8390
26.500000	122.931	59.0979
26.900000	123.009	58.0936
27.200001	123.064	57.3336
27.600000	123.130	56.3223
28.000000	123.190	55.3260
28.500000	123.257	54.1149
29.000000	123.318	52.9478
29.500000	123.375	51.8212
30.000000	123.430	50.7254
30.400000	123.472	49.8646
30.700001	123.503	49.2271
31.100000	123.541	48.3893
31.500000	123.577	47.5686
32.000000	123.620	46.5703
32.500000	123.662	45.6007
33.000000	123.703	44.6516
33.500000	123.742	43.7148
34.000000	123.780	42.7869
34.500000	123.815	41.8702
35.000000	123.846	40.9699
35.500000	123.874	40.0894
36.000000	123.899	39.2285
36.500000	123.923	38.3850
37.000000	123.945	37.5573
37.500000	123.966	36.7456
38.200001	123.993	35.6337
38.700001	124.012	34.8508
39.500000	124.037	33.6093
40.000000	124.049	32.8484
40.599998	124.059	31.9643
41.200001	124.068	31.1138
41.799999	124.077	30.2845
42.500000	124.088	29.3288
43.099998	124.094	28.5198
43.700001	124.098	27.7247
44.400002	124.101	26.8158
45.000000	124.100	26.0542
45.500000	124.098	25.4340
46.200001	124.094	24.5872
46.799999	124.089	23.8773
47.500000	124.081	23.0663
48.200001	124.072	22.2755
48.700001	124.064	21.7203
49.400002	124.051	20.9539
50.000000	124.036	20.3151
50.799999	124.011	19.5067
51.500000	123.988	18.8339
52.200001	123.965	18.1754
53.000000	123.936	17.4359
53.799999	123.906	16.7172
54.500000	123.880	16.1008
55.200001	123.856	15.4893
56.000000	123.827	14.7964
57.000000	123.791	13.9461
58.000000	123.756	13.1194
59.000000	123.718	12.3244
60.000000	123.679	11.5699
60.799999	123.645	10.9944
61.500000	123.615	10.5068
62.200001	123.583	10.0341
63.000000	123.545	9.5151
64.000000	123.497	8.8969
65.000000	123.450	8.2974
66.000000	123.402	7.7100
67.000000	123.353	7.1465
68.000000	123.304	6.6115
69.000000	123.253	6.0932
70.000000	123.198	5.6022
71.000000	123.140	5.1666
72.000000	123.086	4.7743
73.000000	123.035	4.3925
74.000000	122.988	4.0126
75.000000	122.944	3.6339
76.199997	122.893	3.1814
77.500000	122.839	2.7053
78.800003	122.781	2.2592
80.000000	122.723	1.8939
81.199997	122.665	1.5652
82.500000	122.603	1.2115
83.800003	122.538	0.8391
85.000000	122.474	0.4922
86.199997	122.409	0.1658
87.500000	122.341	-0.1483
88.500000	122.292	-0.3621
90.000000	122.224	-0.6455
91.199997	122.173	-0.8441
92.500000	122.123	-1.0410
93.800003	122.076	-1.2498
95.000000	122.029	-1.4648
96.199997	121.977	-1.6725
97.500000	121.916	-1.8516
98.800003	121.859	-1.9896
100.000000	121.813	-2.1136
101.500000	121.760	-2.2826
103.000000	121.707	-2.4382
104.400002	121.658	-2.5454
106.000000	121.608	-2.6387
107.500000	121.564	-2.7295
109.000000	121.520	-2.8271
110.599998	121.471	-2.9222
112.000000	121.430	-2.9916
113.800003	121.383	-3.0745
115.000000	121.354	-3.1322
117.199997	121.305	-3.2542
118.000000	121.288	-3.3083
120.599998	121.230	-3.5067
122.000000	121.197	-3.6150
124.099998	121.147	-3.7670
125.000000	121.126	-3.8206
126.500000	121.092	-3.8893
128.000000	121.061	-3.9413
131.500000	120.990	-4.0366
132.000000	120.980	-4.0494
134.000000	120.943	-4.1110
136.000000	120.909	-4.1986
138.000000	120.877	-4.3219
140.000000	120.842	-4.4676
143.000000	120.780	-4.6473
145.000000	120.739	-4.7338
147.500000	120.688	-4.8617
150.000000	120.627	-5.0101
152.500000	120.560	-5.1713
155.000000	120.496	-5.3651
157.500000	120.446	-5.5688
160.000000	120.402	-5.7310
162.500000	120.356	-5.8051
165.000000	120.301	-5.8404
167.500000	120.232	-5.8928
170.000000	120.150	-5.9285
172.500000	120.061	-5.9126
175.000000	119.971	-5.8561
177.500000	119.886	-5.7816
180.000000	119.812	-5.7009
182.500000	119.751	-5.6104
185.000000	119.702	-5.4938
187.500000	119.663	-5.3535
190.000000	119.630	-5.2332
192.500000	119.595	-5.1593
195.000000	119.555	-5.1095
197.500000	119.511	-5.0471
200.000000	119.463	-4.9533
203.000000	119.404	-4.8047
206.000000	119.344	-4.6423
209.000000	119.284	-4.4755
212.000000	119.224	-4.2843
214.000000	119.186	-4.1437
218.000000	119.116	-3.8779
220.000000	119.080	-3.7670
224.000000	119.008	-3.5703
227.000000	118.955	-3.4030
230.000000	118.904	-3.2100
233.000000	118.855	-3.0162
236.000000	118.807	-2.8259
240.000000	118.745	-2.5603
243.000000	118.697	-2.3538
247.000000	118.637	-2.0689
250.000000	118.597	-1.8414
254.000000	118.546	-1.5173
258.000000	118.493	-1.1762
262.000000	118.441	-0.8447
265.000000	118.403	-0.6153
269.000000	118.352	-0.3318
272.000000	118.313	-0.1254
276.000000	118.264	0.1640
280.000000	118.217	0.4821
285.000000	118.159	0.9054
290.000000	118.100	1.3430
295.000000	118.040	1.7751
300.000000	117.981	2.1785
304.000000	117.938	2.4940
307.000000	117.910	2.7372
311.000000	117.873	3.0701
