* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the dB magnitudes of FreebudsPro2 L1, FreebudsPro2 L2
* Dated: 27-Nov-2023 13:57:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the dB magnitudes of FreebudsPro2 L1, FreebudsPro2 L2
* Measurement: FreebudsPro2 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	115.225
20.299999	115.315
20.600000	115.399
20.900000	115.477
21.200001	115.550
21.400000	115.596
21.799999	115.684
22.000000	115.727
22.400000	115.812
22.700001	115.873
23.000000	115.932
23.299999	115.989
23.600000	116.041
24.000000	116.105
24.299999	116.148
24.700001	116.199
25.000000	116.234
25.400000	116.276
25.799999	116.315
26.200001	116.351
26.500000	116.376
26.900000	116.407
27.200001	116.429
27.600000	116.455
28.000000	116.477
28.500000	116.498
29.000000	116.512
29.500000	116.522
30.000000	116.528
30.400000	116.531
30.700001	116.532
31.100000	116.534
31.500000	116.534
32.000000	116.531
32.500000	116.525
33.000000	116.515
33.500000	116.502
34.000000	116.488
34.500000	116.473
35.000000	116.458
35.500000	116.444
36.000000	116.430
36.500000	116.415
37.000000	116.398
37.500000	116.379
38.200001	116.347
38.700001	116.323
39.500000	116.282
40.000000	116.254
40.599998	116.216
41.200001	116.170
41.799999	116.118
42.500000	116.056
43.099998	116.004
43.700001	115.957
44.400002	115.906
45.000000	115.866
45.500000	115.833
46.200001	115.787
46.799999	115.747
47.500000	115.699
48.200001	115.648
48.700001	115.610
49.400002	115.554
50.000000	115.505
50.799999	115.436
51.500000	115.374
52.200001	115.309
53.000000	115.233
53.799999	115.155
54.500000	115.086
55.200001	115.016
56.000000	114.933
57.000000	114.826
58.000000	114.715
59.000000	114.601
60.000000	114.487
60.799999	114.396
61.500000	114.318
62.200001	114.240
63.000000	114.152
64.000000	114.042
65.000000	113.929
66.000000	113.813
67.000000	113.696
68.000000	113.577
69.000000	113.458
70.000000	113.339
71.000000	113.220
72.000000	113.101
73.000000	112.982
74.000000	112.863
75.000000	112.742
76.199997	112.595
77.500000	112.433
78.800003	112.271
80.000000	112.121
81.199997	111.978
82.500000	111.833
83.800003	111.695
85.000000	111.566
86.199997	111.428
87.500000	111.269
88.500000	111.143
90.000000	110.956
91.199997	110.814
92.500000	110.669
93.800003	110.530
95.000000	110.405
96.199997	110.280
97.500000	110.143
98.800003	110.006
100.000000	109.880
101.500000	109.726
103.000000	109.577
104.400002	109.443
106.000000	109.294
107.500000	109.157
109.000000	109.023
110.599998	108.884
112.000000	108.766
113.800003	108.620
115.000000	108.527
117.199997	108.362
118.000000	108.305
120.599998	108.127
122.000000	108.038
124.099998	107.912
125.000000	107.860
126.500000	107.778
128.000000	107.700
131.500000	107.534
132.000000	107.512
134.000000	107.429
136.000000	107.353
138.000000	107.284
140.000000	107.222
143.000000	107.139
145.000000	107.092
147.500000	107.048
150.000000	107.021
152.500000	107.007
155.000000	106.997
157.500000	106.989
160.000000	106.988
162.500000	106.995
165.000000	107.006
167.500000	107.017
170.000000	107.025
172.500000	107.034
175.000000	107.046
177.500000	107.067
180.000000	107.097
182.500000	107.136
185.000000	107.182
187.500000	107.233
190.000000	107.286
192.500000	107.337
195.000000	107.385
197.500000	107.431
200.000000	107.473
203.000000	107.522
206.000000	107.569
209.000000	107.614
212.000000	107.657
214.000000	107.685
218.000000	107.739
220.000000	107.764
224.000000	107.813
227.000000	107.847
230.000000	107.879
233.000000	107.910
236.000000	107.939
240.000000	107.974
243.000000	107.998
247.000000	108.027
250.000000	108.047
254.000000	108.070
258.000000	108.089
262.000000	108.105
265.000000	108.114
269.000000	108.124
272.000000	108.130
276.000000	108.136
280.000000	108.139
285.000000	108.141
290.000000	108.138
295.000000	108.132
300.000000	108.122
304.000000	108.111
307.000000	108.102
311.000000	108.089
315.000000	108.074
320.000000	108.055
325.000000	108.035
330.000000	108.009
335.000000	107.976
340.000000	107.935
345.000000	107.891
350.000000	107.845
355.000000	107.801
360.000000	107.757
365.000000	107.713
370.000000	107.669
375.000000	107.624
382.000000	107.566
387.000000	107.527
395.000000	107.472
400.000000	107.438
406.000000	107.396
412.000000	107.350
418.000000	107.299
425.000000	107.239
431.000000	107.189
437.000000	107.143
444.000000	107.097
450.000000	107.063
455.000000	107.038
462.000000	107.008
468.000000	106.986
475.000000	106.965
482.000000	106.949
487.000000	106.941
494.000000	106.933
500.000000	106.931
508.000000	106.933
515.000000	106.938
522.000000	106.948
530.000000	106.963
538.000000	106.981
545.000000	107.000
552.000000	107.021
560.000000	107.046
570.000000	107.082
580.000000	107.120
590.000000	107.161
600.000000	107.202
608.000000	107.236
615.000000	107.265
622.000000	107.294
630.000000	107.328
640.000000	107.371
650.000000	107.417
660.000000	107.464
670.000000	107.514
680.000000	107.564
690.000000	107.616
700.000000	107.668
710.000000	107.720
720.000000	107.773
730.000000	107.827
740.000000	107.882
750.000000	107.937
762.000000	108.006
775.000000	108.081
788.000000	108.158
800.000000	108.228
812.000000	108.300
825.000000	108.378
838.000000	108.457
850.000000	108.531
862.000000	108.606
875.000000	108.689
885.000000	108.753
900.000000	108.850
912.000000	108.928
925.000000	109.010
938.000000	109.091
950.000000	109.164
962.000000	109.237
975.000000	109.320
988.000000	109.409
1000.000000	109.495
1015.000000	109.606
1030.000000	109.717
1044.000000	109.817
1060.000000	109.925
1075.000000	110.019
1090.000000	110.107
1106.000000	110.195
1120.000000	110.266
1138.000000	110.352
1150.000000	110.404
1172.000000	110.490
1180.000000	110.518
1206.000000	110.599
1220.000000	110.636
1241.000000	110.687
1250.000000	110.707
1265.000000	110.741
1280.000000	110.775
1315.000000	110.866
1320.000000	110.881
1340.000000	110.946
1360.000000	111.019
1380.000000	111.097
1400.000000	111.178
1430.000000	111.298
1450.000000	111.372
1475.000000	111.453
1500.000000	111.516
1525.000000	111.562
1550.000000	111.596
1575.000000	111.625
1600.000000	111.651
1625.000000	111.679
1650.000000	111.707
1675.000000	111.736
1700.000000	111.765
1725.000000	111.796
1750.000000	111.831
1775.000000	111.871
1800.000000	111.921
1825.000000	111.982
1850.000000	112.057
1875.000000	112.146
1900.000000	112.248
1925.000000	112.358
1950.000000	112.473
1975.000000	112.593
2000.000000	112.719
2030.000000	112.884
2060.000000	113.069
2090.000000	113.278
2120.000000	113.513
2140.000000	113.683
2180.000000	114.047
2200.000000	114.238
2240.000000	114.622
2270.000000	114.904
2300.000000	115.174
2330.000000	115.428
2360.000000	115.666
2400.000000	115.960
2430.000000	116.165
2470.000000	116.423
2500.000000	116.606
2540.000000	116.836
2580.000000	117.046
2620.000000	117.231
2650.000000	117.351
2690.000000	117.486
2720.000000	117.573
2760.000000	117.676
2800.000000	117.767
2850.000000	117.856
2900.000000	117.914
2950.000000	117.950
3000.000000	117.976
3040.000000	117.987
3070.000000	117.989
3110.000000	117.980
3150.000000	117.959
3200.000000	117.921
3250.000000	117.872
3300.000000	117.813
3350.000000	117.740
3400.000000	117.653
3450.000000	117.549
3500.000000	117.432
3550.000000	117.305
3600.000000	117.174
3650.000000	117.045
3700.000000	116.923
3750.000000	116.808
3820.000000	116.657
3870.000000	116.553
3950.000000	116.377
4000.000000	116.255
4060.000000	116.094
4120.000000	115.916
4180.000000	115.725
4250.000000	115.496
4310.000000	115.301
4370.000000	115.112
4440.000000	114.903
4500.000000	114.739
4550.000000	114.614
4620.000000	114.460
4680.000000	114.350
4750.000000	114.250
4820.000000	114.181
4870.000000	114.150
4940.000000	114.129
5000.000000	114.127
5080.000000	114.139
5150.000000	114.152
5220.000000	114.159
5300.000000	114.152
5380.000000	114.125
5450.000000	114.082
5520.000000	114.025
5600.000000	113.945
5700.000000	113.829
5800.000000	113.703
5900.000000	113.569
6000.000000	113.428
6080.000000	113.309
6150.000000	113.202
6220.000000	113.093
6300.000000	112.969
6400.000000	112.820
6500.000000	112.685
6600.000000	112.577
6700.000000	112.506
6800.000000	112.480
6900.000000	112.507
7000.000000	112.592
7100.000000	112.739
7200.000000	112.948
7300.000000	113.214
7400.000000	113.521
7500.000000	113.843
7620.000000	114.194
7750.000000	114.452
7880.000000	114.509
8000.000000	114.343
8120.000000	113.958
8250.000000	113.318
8380.000000	112.509
8500.000000	111.684
8620.000000	110.852
8750.000000	109.986
8850.000000	109.354
9000.000000	108.443
9120.000000	107.729
9250.000000	106.953
9380.000000	106.176
9500.000000	105.463
9620.000000	104.766
9750.000000	104.042
9880.000000	103.362
10000.000000	102.782
10150.000000	102.129
10300.000000	101.558
10440.000000	101.099
10600.000000	100.657
10750.000000	100.313
10900.000000	100.030
11060.000000	99.784
11200.000000	99.607
11380.000000	99.424
11500.000000	99.324
11720.000000	99.180
11800.000000	99.138
12060.000000	99.037
12200.000000	99.004
12410.000000	98.982
12500.000000	98.982
12650.000000	98.994
12800.000000	99.017
13150.000000	99.099
13200.000000	99.113
13400.000000	99.183
13600.000000	99.313
13800.000000	99.593
14000.000000	100.151
14300.000000	101.670
14500.000000	103.050
14750.000000	104.873
15000.000000	106.465
15250.000000	107.567
15500.000000	108.056
15750.000000	107.924
16000.000000	107.245
16250.000000	106.147
16500.000000	104.779
16750.000000	103.285
17000.000000	101.779
17250.000000	100.330
17500.000000	98.968
17750.000000	97.710
18000.000000	96.571
18250.000000	95.567
18500.000000	94.704
18750.000000	93.971
19000.000000	93.338
19250.000000	92.780
19500.000000	92.292
19750.000000	91.906
