* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, L, volume: no control. Timing signal peak level -26.0 dBFS, measurement signal peak level -21.7 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27-Nov-2023 13:56:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0293 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -16.1 ppm
* Measurement: FreebudsPro2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	114.813	-111.3992
20.299999	114.901	-112.6752
20.600000	114.986	-113.9030
20.900000	115.069	-115.0877
21.200001	115.154	-116.2462
21.400000	115.211	-117.0164
21.799999	115.323	-118.5661
22.000000	115.377	-119.3489
22.400000	115.477	-120.9237
22.700001	115.543	-122.0954
23.000000	115.604	-123.2419
23.299999	115.661	-124.3555
23.600000	115.715	-125.4380
24.000000	115.787	-126.8453
24.299999	115.839	-127.8881
24.700001	115.907	-129.2756
25.000000	115.954	-130.3163
25.400000	116.011	-131.6968
25.799999	116.060	-133.0534
26.200001	116.103	-134.3717
26.500000	116.132	-135.3318
26.900000	116.169	-136.5771
27.200001	116.196	-137.4915
27.600000	116.231	-138.6950
28.000000	116.265	-139.8902
28.500000	116.301	-141.3751
29.000000	116.330	-142.8363
29.500000	116.352	-144.2568
30.000000	116.370	-145.6321
30.400000	116.383	-146.7079
30.700001	116.392	-147.5056
31.100000	116.402	-148.5592
31.500000	116.409	-149.5974
32.000000	116.413	-150.8610
32.500000	116.416	-152.0781
33.000000	116.421	-153.2591
33.500000	116.427	-154.4280
34.000000	116.434	-155.6046
34.500000	116.436	-156.7875
35.000000	116.431	-157.9589
35.500000	116.420	-159.0994
36.000000	116.406	-160.2010
36.500000	116.388	-161.2643
37.000000	116.369	-162.2909
37.500000	116.350	-163.2848
38.200001	116.326	-164.6497
38.700001	116.309	-165.6331
39.500000	116.272	-167.2253
40.000000	116.240	-168.1926
40.599998	116.197	-169.2898
41.200001	116.156	-170.3324
41.799999	116.119	-171.3604
42.500000	116.075	-172.5576
43.099998	116.034	-173.5560
43.700001	115.991	-174.5120
44.400002	115.943	-175.5924
45.000000	115.902	-176.5143
45.500000	115.864	-177.2831
46.200001	115.802	-178.3355
46.799999	115.741	-179.1819
47.500000	115.668	179.9129
48.200001	115.603	179.0577
48.700001	115.562	178.4400
49.400002	115.507	177.5305
50.000000	115.458	176.7062
50.799999	115.381	175.5747
51.500000	115.301	174.6158
52.200001	115.215	173.7493
53.000000	115.124	172.8667
53.799999	115.049	171.9931
54.500000	114.982	171.1900
55.200001	114.904	170.4150
56.000000	114.807	169.6714
57.000000	114.705	168.9395
58.000000	114.637	168.1730
59.000000	114.572	167.2028
60.000000	114.479	166.1360
60.799999	114.381	165.3456
61.500000	114.288	164.7492
62.200001	114.198	164.2302
63.000000	114.105	163.6620
64.000000	113.996	162.8796
65.000000	113.877	162.0309
66.000000	113.744	161.2231
67.000000	113.607	160.4902
68.000000	113.467	159.8466
69.000000	113.332	159.3191
70.000000	113.210	158.8406
71.000000	113.094	158.3205
72.000000	112.967	157.7716
73.000000	112.827	157.2607
74.000000	112.680	156.8350
75.000000	112.539	156.4789
76.199997	112.382	156.0716
77.500000	112.226	155.6750
78.800003	112.092	155.2699
80.000000	111.966	154.7873
81.199997	111.810	154.3489
82.500000	111.628	154.0982
83.800003	111.469	153.9667
85.000000	111.345	153.7859
86.199997	111.230	153.5208
87.500000	111.104	153.1982
88.500000	110.998	152.9861
90.000000	110.821	152.8276
91.199997	110.674	152.8308
92.500000	110.513	152.8703
93.800003	110.349	152.8944
95.000000	110.199	152.9065
96.199997	110.057	152.9092
97.500000	109.915	152.8972
98.800003	109.783	152.8838
100.000000	109.665	152.8964
101.500000	109.521	152.9765
103.000000	109.379	153.1367
104.400002	109.249	153.3518
106.000000	109.106	153.6457
