* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -40.5 dBFS, measurement signal peak level -40.1 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 16-Apr-2024 00:48:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0516 ms (-18 mm, -0.7 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 32.9 ppm
* Measurement: Hola L2
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	113.946	-125.1822
20.144928	113.938	-125.6352
20.290907	113.931	-126.0334
20.437943	113.926	-126.3921
20.586044	113.927	-126.7283
20.735220	113.935	-127.0314
20.885475	113.952	-127.3477
21.036821	113.977	-127.6866
21.189262	114.008	-128.0556
21.342808	114.043	-128.4895
21.497467	114.079	-128.9796
21.653246	114.112	-129.5219
21.810154	114.141	-130.1272
21.968201	114.163	-130.7607
22.127390	114.176	-131.4109
22.287735	114.181	-132.0673
22.449242	114.178	-132.6851
22.611917	114.168	-133.2736
22.775772	114.156	-133.8009
22.940815	114.142	-134.2646
23.107054	114.132	-134.6722
23.274498	114.127	-135.0148
23.443153	114.130	-135.3189
23.613033	114.142	-135.5930
23.784142	114.164	-135.8541
23.956491	114.196	-136.1301
24.130091	114.237	-136.4226
24.304947	114.284	-136.7606
24.481071	114.335	-137.1396
24.658470	114.388	-137.5738
24.837156	114.441	-138.0593
25.017136	114.489	-138.5900
25.198421	114.532	-139.1644
25.381020	114.566	-139.7567
25.564941	114.592	-140.3669
25.750195	114.606	-140.9544
25.936790	114.610	-141.5197
26.124741	114.606	-142.0191
26.314051	114.594	-142.4532
26.504732	114.580	-142.7941
26.696796	114.566	-143.0469
26.890253	114.559	-143.2146
27.085112	114.560	-143.3137
27.281382	114.574	-143.3766
27.479073	114.601	-143.4317
27.678198	114.640	-143.5171
27.878765	114.687	-143.6588
28.080786	114.740	-143.8787
28.284271	114.791	-144.1771
28.489231	114.839	-144.5565
28.695675	114.877	-144.9859
28.903616	114.905	-145.4564
29.113064	114.922	-145.9276
29.324028	114.931	-146.3887
29.536524	114.932	-146.8167
29.750557	114.930	-147.2102
29.966141	114.927	-147.5664
30.183289	114.926	-147.9013
30.402010	114.927	-148.2223
30.622314	114.931	-148.5472
30.844217	114.936	-148.8837
31.067726	114.942	-149.2376
31.292856	114.947	-149.6080
31.519617	114.951	-149.9912
31.748020	114.953	-150.3816
31.978081	114.955	-150.7735
32.209808	114.956	-151.1652
32.443211	114.957	-151.5553
32.678310	114.958	-151.9459
32.915108	114.960	-152.3377
33.153625	114.961	-152.7313
33.393871	114.962	-153.1241
33.635857	114.962	-153.5134
33.879597	114.961	-153.8928
34.125103	114.960	-154.2600
34.372387	114.960	-154.6124
34.621464	114.960	-154.9524
34.872345	114.961	-155.2838
35.125042	114.964	-155.6104
35.379574	114.966	-155.9368
35.635948	114.967	-156.2599
35.894180	114.968	-156.5761
36.154285	114.966	-156.8751
36.416275	114.963	-157.1475
36.680161	114.961	-157.3925
36.945961	114.962	-157.6123
37.213688	114.968	-157.8298
37.483353	114.979	-158.0712
37.754974	114.992	-158.3580
38.028561	115.003	-158.7104
38.304131	115.005	-159.1160
38.581699	114.994	-159.5365
38.861279	114.969	-159.9257
39.142883	114.933	-160.2224
39.426529	114.895	-160.3838
39.712231	114.869	-160.4267
40.000000	114.862	-160.4037
40.289856	114.880	-160.4018
40.581814	114.917	-160.5333
40.875885	114.960	-160.8571
41.172089	114.994	-161.3604
41.470440	115.008	-161.9834
41.770950	114.996	-162.6303
42.073643	114.964	-163.1920
42.378525	114.923	-163.6100
42.685616	114.888	-163.9001
42.994934	114.865	-164.1219
43.306492	114.857	-164.3514
43.620308	114.856	-164.6461
43.936401	114.854	-165.0125
44.254780	114.843	-165.4003
44.575470	114.826	-165.7489
44.898483	114.806	-166.0285
45.223835	114.793	-166.2530
45.551544	114.788	-166.4692
45.881630	114.789	-166.7264
46.214108	114.788	-167.0436
46.548996	114.779	-167.3934
46.886307	114.759	-167.7192
47.226067	114.735	-167.9740
47.568283	114.714	-168.1557
47.912983	114.702	-168.3064
48.260181	114.697	-168.4816
48.609894	114.694	-168.7118
48.962143	114.688	-168.9850
49.316940	114.676	-169.2613
49.674313	114.660	-169.5079
50.034271	114.647	-169.7283
50.396843	114.639	-169.9613
50.762039	114.632	-170.2473
51.129883	114.619	-170.5880
51.500389	114.595	-170.9342
51.873581	114.562	-171.2156
52.249481	114.531	-171.3954
52.628101	114.512	-171.5101
53.009464	114.509	-171.6558
53.393593	114.514	-171.9230
53.780506	114.511	-172.3243
54.170223	114.487	-172.7747
54.562763	114.443	-173.1385
54.958145	114.390	-173.3145
55.356396	114.348	-173.3036
55.757530	114.331	-173.2147
56.161572	114.338	-173.1993
56.568542	114.356	-173.3554
56.978462	114.365	-173.6772
57.391350	114.356	-174.0753
57.807232	114.327	-174.4395
58.226128	114.288	-174.6980
58.648056	114.249	-174.8409
59.073048	114.218	-174.9069
59.501114	114.199	-174.9561
59.932281	114.191	-175.0430
60.366577	114.188	-175.2018
60.804020	114.184	-175.4412
61.244629	114.174	-175.7450
61.688435	114.155	-176.0759
62.135452	114.126	-176.3862
62.585712	114.091	-176.6371
63.039234	114.055	-176.8167
63.496040	114.024	-176.9421
63.956161	113.999	-177.0489
64.419617	113.979	-177.1694
64.886421	113.961	-177.3133
65.356621	113.942	-177.4668
65.830215	113.923	-177.6087
66.307251	113.905	-177.7350
66.787743	113.889	-177.8668
67.271713	113.875	-178.0293
67.759193	113.857	-178.2209
68.250206	113.835	-178.4116
68.744774	113.812	-178.5779
69.242928	113.790	-178.7343
69.744690	113.770	-178.9146
70.250084	113.746	-179.1234
70.759148	113.717	-179.3209
71.271896	113.686	-179.4706
71.788361	113.658	-179.5827
72.308571	113.635	-179.6994
72.832550	113.612	-179.8415
73.360321	113.587	-179.9920
73.891922	113.560	179.8717
74.427376	113.532	179.7520
74.966705	113.505	179.6405
75.509949	113.478	179.5328
76.057121	113.452	179.4244
76.608261	113.426	179.3070
77.163399	113.399	179.1828
77.722557	113.370	179.0688
78.285767	113.341	178.9737
78.853058	113.314	178.8853
79.424461	113.288	178.7894
80.000000	113.263	178.6855
80.579712	113.238	178.5788
81.163628	113.212	178.4695
81.751770	113.184	178.3607
82.344177	113.156	178.2618
82.940880	113.127	178.1759
83.541901	113.099	178.0955
84.147285	113.071	178.0149
84.757050	113.042	177.9358
85.371231	113.013	177.8577
85.989868	112.983	177.7785
86.612984	112.953	177.7030
87.240616	112.923	177.6373
87.872803	112.894	177.5787
88.509560	112.867	177.5194
89.150940	112.839	177.4566
89.796967	112.812	177.3907
90.447670	112.783	177.3247
91.103088	112.752	177.2673
91.763260	112.721	177.2268
92.428215	112.691	177.2017
93.097992	112.661	177.1823
93.772614	112.633	177.1596
94.452133	112.604	177.1281
95.136566	112.575	177.0865
95.825966	112.544	177.0407
96.520363	112.511	177.0009
97.219788	112.478	176.9740
97.924286	112.445	176.9561
