* Measurement data measured by REW V5.31
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L, L
* Dated: 16-Apr-2024 00:53:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of L, L
* Measurement: Hola L3
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	114.426
20.144928	114.461
20.290907	114.483
20.437943	114.494
20.586044	114.493
20.735220	114.478
20.885475	114.456
21.036821	114.425
21.189262	114.390
21.342808	114.358
21.497467	114.329
21.653246	114.314
21.810154	114.311
21.968201	114.326
22.127390	114.363
22.287735	114.420
22.449242	114.497
22.611917	114.595
22.775772	114.704
22.940815	114.828
23.107054	114.955
23.274498	115.084
23.443153	115.205
23.613033	115.314
23.784142	115.406
23.956491	115.472
24.130091	115.514
24.304947	115.525
24.481071	115.507
24.658470	115.464
24.837156	115.398
25.017136	115.323
25.198421	115.241
25.381020	115.171
25.564941	115.114
25.750195	115.082
25.936790	115.074
26.124741	115.083
26.314051	115.108
26.504732	115.130
26.696796	115.147
26.890253	115.143
27.085112	115.120
27.281382	115.075
27.479073	115.017
27.678198	114.954
27.878765	114.903
28.080786	114.871
28.284271	114.869
28.489231	114.899
28.695675	114.952
28.903616	115.022
29.113064	115.086
29.324028	115.138
29.536524	115.162
29.750557	115.158
29.966141	115.124
30.183289	115.074
30.402010	115.016
30.622314	114.967
30.844217	114.940
31.067726	114.940
31.292856	114.965
31.519617	115.006
31.748020	115.050
31.978081	115.077
32.209808	115.081
32.443211	115.052
32.678310	114.999
32.915108	114.929
33.153625	114.864
33.393871	114.818
33.635857	114.804
33.879597	114.823
34.125103	114.863
34.372387	114.912
34.621464	114.943
34.872345	114.947
35.125042	114.917
35.379574	114.862
35.635948	114.804
35.894180	114.760
36.154285	114.757
36.416275	114.800
36.680161	114.882
36.945961	114.989
37.213688	115.090
37.483353	115.167
37.754974	115.211
38.028561	115.217
38.304131	115.198
38.581699	115.166
38.861279	115.132
39.142883	115.104
39.426529	115.081
39.712231	115.059
40.000000	115.035
40.289856	115.007
40.581814	114.979
40.875885	114.958
41.172089	114.948
41.470440	114.948
41.770950	114.951
42.073643	114.951
42.378525	114.940
42.685616	114.917
42.994934	114.887
43.306492	114.854
43.620308	114.823
43.936401	114.799
44.254780	114.780
44.575470	114.770
44.898483	114.768
45.223835	114.775
45.551544	114.789
45.881630	114.802
46.214108	114.806
46.548996	114.794
46.886307	114.766
47.226067	114.729
47.568283	114.695
47.912983	114.673
48.260181	114.664
48.609894	114.666
48.962143	114.675
49.316940	114.690
49.674313	114.716
50.034271	114.751
50.396843	114.786
50.762039	114.803
51.129883	114.784
51.500389	114.729
51.873581	114.656
52.249481	114.595
52.628101	114.572
53.009464	114.582
53.393593	114.597
53.780506	114.587
54.170223	114.544
54.562763	114.497
54.958145	114.486
55.356396	114.531
55.757530	114.607
56.161572	114.665
56.568542	114.664
56.978462	114.612
57.391350	114.553
57.807232	114.527
58.226128	114.532
58.648056	114.525
59.073048	114.470
59.501114	114.381
59.932281	114.317
