* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -42.8 dBFS, measurement signal peak level -39.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 16-Apr-2024 00:29:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0486 ms (-17 mm, -0.66 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -30.5 ppm
* Measurement: Hola R3
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	113.751	-127.4293
20.144928	113.772	-127.5451
20.290907	113.808	-127.6398
20.437943	113.857	-127.7335
20.586044	113.919	-127.8970
20.735220	113.992	-128.1126
20.885475	114.071	-128.4205
21.036821	114.150	-128.8458
21.189262	114.227	-129.3624
21.342808	114.292	-129.9646
21.497467	114.344	-130.6555
21.653246	114.378	-131.3516
21.810154	114.394	-132.0701
21.968201	114.393	-132.7421
22.127390	114.377	-133.3189
22.287735	114.350	-133.8071
22.449242	114.322	-134.1498
22.611917	114.295	-134.3579
22.775772	114.282	-134.4673
22.940815	114.286	-134.4599
23.107054	114.310	-134.4442
23.274498	114.359	-134.4272
23.443153	114.427	-134.4839
23.613033	114.509	-134.6712
23.784142	114.599	-134.9837
23.956491	114.687	-135.4643
24.130091	114.766	-136.0784
24.304947	114.829	-136.7942
24.481071	114.872	-137.5977
24.658470	114.893	-138.3950
24.837156	114.893	-139.1935
25.017136	114.876	-139.8978
25.198421	114.846	-140.5177
25.381020	114.812	-141.0131
25.564941	114.778	-141.3886
25.750195	114.754	-141.6781
25.936790	114.742	-141.8852
26.124741	114.744	-142.0893
26.314051	114.760	-142.2928
26.504732	114.786	-142.5662
26.696796	114.819	-142.9033
26.890253	114.851	-143.3273
27.085112	114.878	-143.8195
27.281382	114.897	-144.3587
27.479073	114.905	-144.9172
27.678198	114.904	-145.4606
27.878765	114.895	-145.9653
28.080786	114.882	-146.4090
28.284271	114.871	-146.7958
28.489231	114.864	-147.1225
28.695675	114.867	-147.4281
28.903616	114.879	-147.7222
29.113064	114.899	-148.0513
29.324028	114.924	-148.4209
29.536524	114.950	-148.8525
29.750557	114.974	-149.3279
29.966141	114.992	-149.8441
30.183289	115.002	-150.3596
30.402010	115.006	-150.8636
30.622314	115.004	-151.3250
30.844217	115.001	-151.7436
31.067726	114.999	-152.1150
31.292856	115.001	-152.4604
31.519617	115.006	-152.7892
31.748020	115.015	-153.1198
31.978081	115.023	-153.4527
32.209808	115.030	-153.7861
32.443211	115.035	-154.1039
32.678310	115.038	-154.3954
32.915108	115.041	-154.6530
33.153625	115.047	-154.8819
33.393871	115.057	-155.0974
33.635857	115.072	-155.3139
33.879597	115.089	-155.5529
34.125103	115.107	-155.8144
34.372387	115.124	-156.0993
34.621464	115.138	-156.3955
34.872345	115.152	-156.7066
35.125042	115.167	-157.0370
35.379574	115.184	-157.4167
35.635948	115.199	-157.8673
35.894180	115.207	-158.3994
36.154285	115.203	-159.0062
36.416275	115.182	-159.6307
36.680161	115.145	-160.2299
36.945961	115.097	-160.7503
37.213688	115.050	-161.1810
37.483353	115.015	-161.5815
37.754974	114.993	-162.0169
38.028561	114.979	-162.5835
38.304131	114.954	-163.3090
38.581699	114.905	-164.1159
38.861279	114.823	-164.8917
39.142883	114.712	-165.4577
39.426529	114.598	-165.6677
39.712231	114.515	-165.5569
40.000000	114.488	-165.2695
40.289856	114.523	-165.0475
40.581814	114.600	-165.1629
40.875885	114.677	-165.6684
41.172089	114.722	-166.4253
41.470440	114.720	-167.2130
41.770950	114.681	-167.7754
42.073643	114.637	-167.9316
42.378525	114.631	-167.7525
42.685616	114.681	-167.4921
42.994934	114.779	-167.4269
43.306492	114.895	-167.7365
43.620308	114.986	-168.4276
43.936401	115.024	-169.3273
44.254780	115.001	-170.1613
44.575470	114.932	-170.7023
44.898483	114.847	-170.8313
45.223835	114.777	-170.5589
45.551544	114.752	-170.0268
45.881630	114.782	-169.4727
46.214108	114.861	-169.1562
46.548996	114.961	-169.2704
46.886307	115.044	-169.8659
47.226067	115.074	-170.8105
47.568283	115.032	-171.8186
47.912983	114.928	-172.5640
48.260181	114.802	-172.8357
48.609894	114.705	-172.6828
48.962143	114.668	-172.4236
49.316940	114.678	-172.4319
49.674313	114.686	-172.8426
50.034271	114.650	-173.4357
50.396843	114.568	-173.7845
50.762039	114.489	-173.5724
51.129883	114.482	-172.9053
51.500389	114.582	-172.3397
51.873581	114.747	-172.4762
52.249481	114.890	-173.4845
52.628101	114.940	-175.0170
53.009464	114.875	-176.4666
53.393593	114.735	-177.3037
53.780506	114.596	-177.3523
54.170223	114.522	-176.8785
54.562763	114.531	-176.3844
54.958145	114.596	-176.2649
55.356396	114.672	-176.6486
55.757530	114.722	-177.4689
56.161572	114.720	-178.5633
56.568542	114.653	-179.6951
56.978462	114.525	179.4370
57.391350	114.370	179.0901
57.807232	114.243	179.2891
58.226128	114.182	179.7567
58.648056	114.188	-179.8637
59.073048	114.233	-179.7135
59.501114	114.300	-179.7152
59.932281	114.393	-179.8534
60.366577	114.505	179.6500
60.804020	114.593	178.5864
61.244629	114.590	177.1406
61.688435	114.470	175.9177
62.135452	114.278	175.5618
62.585712	114.108	176.1561
63.039234	114.016	177.1138
63.496040	113.975	177.9022
63.956161	113.940	178.6339
64.419617	113.929	179.7177
64.886421	114.007	-179.0555
65.356621	114.171	-178.5406
65.830215	114.317	-179.2490
66.307251	114.340	179.3808
66.787743	114.245	178.3669
67.271713	114.136	178.1865
67.759193	114.102	178.2304
68.250206	114.115	177.6165
68.744774	114.078	176.3375
69.242928	113.952	175.2263
69.744690	113.805	174.9385
70.250084	113.729	175.2540
70.759148	113.737	175.3840
71.271896	113.768	174.9840
71.788361	113.764	174.3686
72.308571	113.726	173.9710
72.832550	113.685	173.9018
73.360321	113.658	174.0099
73.891922	113.646	174.1499
74.427376	113.642	174.2491
74.966705	113.640	174.2591
75.509949	113.628	174.1512
76.057121	113.598	173.9687
76.608261	113.552	173.8038
77.163399	113.499	173.7006
77.722557	113.451	173.6169
78.285767	113.410	173.4808
78.853058	113.373	173.2639
79.424461	113.336	173.0072
80.000000	113.301	172.7680
80.579712	113.275	172.5476
81.163628	113.256	172.3016
81.751770	113.237	172.0139
82.344177	113.212	171.7375
82.940880	113.181	171.5637
83.541901	113.153	171.5299
84.147285	113.136	171.5675
84.757050	113.127	171.5376
85.371231	113.111	171.3996
85.989868	113.078	171.2676
86.612984	113.039	171.2299
87.240616	113.000	171.1913
87.872803	112.955	171.0997
88.509560	112.907	171.1735
89.150940	112.891	171.4916
89.796967	112.924	171.6112
90.447670	112.960	171.0998
91.103088	112.942	170.2750
91.763260	112.877	169.7634
92.428215	112.814	169.6561
93.097992	112.771	169.6147
93.772614	112.735	169.5133
94.452133	112.700	169.4695
95.136566	112.670	169.4751
95.825966	112.641	169.4562
96.520363	112.611	169.4114
97.219788	112.578	169.3279
97.924286	112.537	169.1791
98.633881	112.488	169.0070
99.348625	112.434	168.8623
100.068542	112.382	168.7238
100.793686	112.331	168.5735
101.524078	112.285	168.4611
102.259766	112.248	168.4037
