* Measurement data measured by REW V5.31
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -42.9 dBFS, measurement signal peak level -41.1 dBFS
* Format: 4M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 16-Apr-2024 00:36:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.6327 ms (-217 mm, -8.54 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 10.3 ppm
* Measurement: Hola R4
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	113.972	-128.1627
20.144928	114.003	-128.6100
20.290907	114.033	-129.0553
20.437943	114.064	-129.4994
20.586044	114.095	-129.9432
20.735220	114.126	-130.3864
20.885475	114.157	-130.8312
21.036821	114.188	-131.2784
21.189262	114.219	-131.7281
21.342808	114.249	-132.1816
21.497467	114.279	-132.6389
21.653246	114.307	-133.0972
21.810154	114.334	-133.5580
21.968201	114.359	-134.0168
22.127390	114.383	-134.4717
22.287735	114.406	-134.9219
22.449242	114.428	-135.3627
22.611917	114.449	-135.7953
22.775772	114.470	-136.2188
22.940815	114.492	-136.6324
23.107054	114.514	-137.0416
23.274498	114.537	-137.4457
23.443153	114.561	-137.8507
23.613033	114.586	-138.2604
23.784142	114.611	-138.6761
23.956491	114.637	-139.1033
24.130091	114.662	-139.5402
24.304947	114.686	-139.9877
24.481071	114.709	-140.4443
24.658470	114.729	-140.9047
24.837156	114.747	-141.3686
25.017136	114.763	-141.8279
25.198421	114.778	-142.2832
25.381020	114.791	-142.7293
25.564941	114.803	-143.1667
25.750195	114.815	-143.5962
25.936790	114.827	-144.0178
26.124741	114.839	-144.4366
26.314051	114.852	-144.8527
26.504732	114.866	-145.2708
26.696796	114.879	-145.6904
26.890253	114.892	-146.1133
27.085112	114.905	-146.5381
27.281382	114.918	-146.9635
27.479073	114.930	-147.3883
27.678198	114.941	-147.8106
27.878765	114.952	-148.2304
28.080786	114.963	-148.6472
28.284271	114.975	-149.0627
28.489231	114.987	-149.4775
28.695675	114.999	-149.8939
28.903616	115.011	-150.3119
29.113064	115.023	-150.7329
29.324028	115.034	-151.1558
29.536524	115.045	-151.5803
29.750557	115.055	-152.0050
29.966141	115.065	-152.4294
30.183289	115.075	-152.8524
30.402010	115.085	-153.2740
30.622314	115.094	-153.6938
30.844217	115.102	-154.1116
31.067726	115.109	-154.5267
31.292856	115.116	-154.9382
31.519617	115.122	-155.3458
31.748020	115.128	-155.7488
31.978081	115.135	-156.1486
32.209808	115.141	-156.5459
32.443211	115.148	-156.9435
32.678310	115.154	-157.3423
32.915108	115.160	-157.7438
33.153625	115.165	-158.1464
33.393871	115.169	-158.5474
33.635857	115.171	-158.9445
33.879597	115.173	-159.3337
34.125103	115.175	-159.7150
34.372387	115.176	-160.0887
34.621464	115.179	-160.4598
34.872345	115.182	-160.8322
35.125042	115.185	-161.2092
35.379574	115.187	-161.5930
35.635948	115.189	-161.9806
35.894180	115.189	-162.3695
36.154285	115.188	-162.7547
36.416275	115.187	-163.1349
36.680161	115.185	-163.5119
36.945961	115.184	-163.8888
37.213688	115.183	-164.2712
37.483353	115.181	-164.6606
37.754974	115.179	-165.0563
38.028561	115.175	-165.4549
38.304131	115.171	-165.8514
38.581699	115.165	-166.2461
38.861279	115.160	-166.6414
39.142883	115.153	-167.0430
39.426529	115.145	-167.4553
39.712231	115.134	-167.8715
40.000000	115.117	-168.2787
40.289856	115.096	-168.6572
40.581814	115.073	-168.9841
40.875885	115.053	-169.2548
41.172089	115.041	-169.4852
41.470440	115.039	-169.7058
41.770950	115.048	-169.9553
42.073643	115.062	-170.2687
42.378525	115.076	-170.6534
42.685616	115.083	-171.0887
42.994934	115.083	-171.5418
43.306492	115.076	-171.9798
43.620308	115.065	-172.3815
43.936401	115.056	-172.7473
44.254780	115.049	-173.0967
44.575470	115.044	-173.4505
44.898483	115.040	-173.8168
45.223835	115.033	-174.1899
45.551544	115.023	-174.5560
45.881630	115.012	-174.9029
46.214108	115.002	-175.2294
46.548996	114.994	-175.5468
46.886307	114.987	-175.8711
47.226067	114.981	-176.2130
47.568283	114.973	-176.5703
47.912983	114.962	-176.9318
48.260181	114.949	-177.2852
48.609894	114.934	-177.6232
48.962143	114.918	-177.9464
49.316940	114.904	-178.2600
49.674313	114.889	-178.5695
50.034271	114.875	-178.8784
50.396843	114.862	-179.1877
50.762039	114.847	-179.4990
51.129883	114.833	-179.8138
51.500389	114.818	179.8667
51.873581	114.801	179.5436
52.249481	114.782	179.2210
52.628101	114.763	178.9051
53.009464	114.744	178.6006
53.393593	114.726	178.3089
53.780506	114.710	178.0261
54.170223	114.696	177.7444
54.562763	114.684	177.4539
54.958145	114.671	177.1473
55.356396	114.657	176.8239
