* Measurement data measured by REW V5.31.1
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -21.4 dBFS, measurement signal peak level -21.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 14, 2024 4:41:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0867 ms (-30 mm, -1.17 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: IE600 Sil S3 L1
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	117.016	-139.4353
20.144928	117.025	-139.7612
20.290907	117.042	-140.0933
20.437943	117.066	-140.4470
20.586044	117.097	-140.8389
20.735220	117.131	-141.2773
20.885475	117.165	-141.7670
21.036821	117.198	-142.3079
21.189262	117.225	-142.8910
21.342808	117.245	-143.5031
21.497467	117.257	-144.1289
21.653246	117.260	-144.7471
21.810154	117.254	-145.3403
21.968201	117.243	-145.8909
22.127390	117.227	-146.3851
22.287735	117.212	-146.8181
22.449242	117.200	-147.1903
22.611917	117.194	-147.5106
22.775772	117.197	-147.7966
22.940815	117.211	-148.0677
23.107054	117.236	-148.3491
23.274498	117.270	-148.6627
23.443153	117.310	-149.0269
23.613033	117.354	-149.4543
23.784142	117.398	-149.9475
23.956491	117.438	-150.5026
24.130091	117.471	-151.1076
24.304947	117.494	-151.7449
24.481071	117.508	-152.3956
24.658470	117.512	-153.0381
24.837156	117.507	-153.6558
25.017136	117.496	-154.2341
25.198421	117.482	-154.7664
25.381020	117.466	-155.2521
25.564941	117.452	-155.6970
25.750195	117.442	-156.1136
25.936790	117.435	-156.5157
26.124741	117.433	-156.9197
26.314051	117.434	-157.3381
26.504732	117.435	-157.7807
26.696796	117.436	-158.2504
26.890253	117.433	-158.7446
27.085112	117.425	-159.2561
27.281382	117.412	-159.7727
27.479073	117.392	-160.2818
27.678198	117.366	-160.7704
27.878765	117.337	-161.2291
28.080786	117.305	-161.6514
28.284271	117.274	-162.0374
28.489231	117.244	-162.3908
28.695675	117.218	-162.7202
28.903616	117.197	-163.0359
29.113064	117.180	-163.3488
29.324028	117.166	-163.6674
29.536524	117.156	-163.9974
29.750557	117.148	-164.3408
29.966141	117.142	-164.6968
30.183289	117.136	-165.0630
30.402010	117.132	-165.4377
30.622314	117.130	-165.8204
30.844217	117.130	-166.2140
31.067726	117.131	-166.6229
31.292856	117.134	-167.0535
31.519617	117.137	-167.5096
31.748020	117.139	-167.9916
31.978081	117.138	-168.4932
32.209808	117.131	-169.0028
32.443211	117.119	-169.5029
32.678310	117.101	-169.9750
32.915108	117.079	-170.4039
33.153625	117.057	-170.7809
33.393871	117.038	-171.1086
33.635857	117.025	-171.4001
33.879597	117.019	-171.6771
34.125103	117.020	-171.9620
34.372387	117.023	-172.2719
34.621464	117.026	-172.6128
34.872345	117.026	-172.9765
35.125042	117.018	-173.3456
35.379574	117.005	-173.6968
35.635948	116.987	-174.0136
35.894180	116.969	-174.2924
36.154285	116.955	-174.5445
36.416275	116.945	-174.7953
36.680161	116.937	-175.0698
36.945961	116.930	-175.3847
37.213688	116.916	-175.7366
37.483353	116.894	-176.1025
37.754974	116.862	-176.4498
38.028561	116.824	-176.7502
38.304131	116.789	-176.9985
38.581699	116.761	-177.2217
38.861279	116.745	-177.4714
39.142883	116.737	-177.8048
39.426529	116.726	-178.2549
39.712231	116.700	-178.8051
40.000000	116.649	-179.3900
40.289856	116.573	-179.9124
40.581814	116.479	179.7259
40.875885	116.386	179.5727
41.172089	116.315	179.5956
41.470440	116.281	179.6877
41.770950	116.284	179.7049
42.073643	116.310	179.5303
42.378525	116.335	179.1349
42.685616	116.338	178.5859
42.994934	116.313	178.0071
43.306492	116.264	177.5220
43.620308	116.209	177.1994
43.936401	116.168	177.0154
44.254780	116.152	176.8755
44.575470	116.156	176.6689
44.898483	116.165	176.3318
45.223835	116.160	175.8868
45.551544	116.133	175.4216
45.881630	116.087	175.0368
46.214108	116.035	174.7863
46.548996	115.993	174.6450
46.886307	115.969	174.5343
47.226067	115.957	174.3683
47.568283	115.944	174.1144
47.912983	115.919	173.8079
48.260181	115.881	173.5197
48.609894	115.836	173.3026
48.962143	115.796	173.1562
49.316940	115.768	173.0317
49.674313	115.750	172.8696
50.034271	115.734	172.6407
50.396843	115.713	172.3563
50.762039	115.688	172.0448
51.129883	115.658	171.7211
51.500389	115.628	171.3773
51.873581	115.592	171.0045
52.249481	115.546	170.6226
52.628101	115.489	170.2844
53.009464	115.426	170.0455
53.393593	115.371	169.9175
53.780506	115.333	169.8488
54.170223	115.313	169.7529
54.562763	115.303	169.5664
54.958145	115.289	169.2858
55.356396	115.264	168.9561
55.757530	115.228	168.6284
56.161572	115.185	168.3293
56.568542	115.137	168.0620
56.978462	115.084	167.8318
57.391350	115.025	167.6558
57.807232	114.966	167.5471
58.226128	114.911	167.4912
58.648056	114.862	167.4537
59.073048	114.814	167.4185
59.501114	114.762	167.4136
59.932281	114.711	167.4880
60.366577	114.671	167.6479
60.804020	114.655	167.8156
61.244629	114.658	167.8729
61.688435	114.663	167.7602
62.135452	114.650	167.5421
62.585712	114.616	167.3659
63.039234	114.578	167.3394
63.496040	114.560	167.4287
63.956161	114.572	167.4756
64.419617	114.601	167.3317
64.886421	114.620	166.9818
65.356621	114.613	166.5381
65.830215	114.586	166.1306
66.307251	114.552	165.8056
66.787743	114.519	165.5261
67.271713	114.486	165.2512
67.759193	114.448	164.9924
68.250206	114.407	164.7878
68.744774	114.373	164.6399
69.242928	114.349	164.4982
69.744690	114.335	164.2983
70.250084	114.320	164.0064
70.759148	114.296	163.6376
71.271896	114.255	163.2524
71.788361	114.198	162.9337
72.308571	114.136	162.7347
72.832550	114.082	162.6271
73.360321	114.040	162.5241
73.891922	114.000	162.3757
74.427376	113.954	162.2210
74.966705	113.904	162.1227
75.509949	113.862	162.0719
76.057121	113.830	161.9936
76.608261	113.799	161.8444
77.163399	113.760	161.6594
77.722557	113.714	161.4910
78.285767	113.667	161.3438
78.853058	113.619	161.1982
79.424461	113.566	161.0654
80.000000	113.512	160.9758
80.579712	113.462	160.9241
81.163628	113.419	160.8686
81.751770	113.378	160.7847
82.344177	113.335	160.6889
82.940880	113.293	160.6011
83.541901	113.253	160.5082
84.147285	113.212	160.3892
84.757050	113.167	160.2558
85.371231	113.117	160.1464
85.989868	113.068	160.0778
86.612984	113.022	160.0233
87.240616	112.980	159.9468
87.872803	112.934	159.8469
88.509560	112.885	159.7538
89.150940	112.835	159.6885
89.796967	112.786	159.6370
90.447670	112.738	159.5715
91.103088	112.687	159.4911
91.763260	112.632	159.4265
92.428215	112.574	159.4044
93.097992	112.519	159.4169
93.772614	112.469	159.4341
94.452133	112.420	159.4405
95.136566	112.370	159.4451
95.825966	112.321	159.4548
96.520363	112.274	159.4534
97.219788	112.226	159.4193
97.924286	112.173	159.3602
98.633881	112.111	159.3167
99.348625	112.044	159.3279
100.068542	111.978	159.3986
100.793686	111.914	159.5072
101.524078	111.852	159.6428
102.259766	111.792	159.8210
103.000778	111.737	160.0555
103.747162	111.692	160.3190
104.498962	111.658	160.5486
105.256203	111.628	160.7001
106.018929	111.590	160.7933
106.787186	111.543	160.8934
107.561012	111.489	161.0527
108.340446	111.436	161.2754
109.125526	111.383	161.5383
109.916290	111.331	161.8367
110.712791	111.277	162.2013
111.515060	111.228	162.6702
112.323143	111.191	163.2389
113.137085	111.176	163.8344
113.956924	111.181	164.3494
114.782700	111.194	164.7262
115.614464	111.203	165.0040
116.452255	111.205	165.2820
117.296112	111.212	165.6307
118.146095	111.236	166.0322
119.002228	111.282	166.3999
119.864563	111.344	166.6534
120.733154	111.412	166.7782
121.608040	111.477	166.8134
122.489258	111.540	166.7938
123.376869	111.602	166.7124
124.270905	111.662	166.5327
125.171425	111.713	166.2339
126.078468	111.750	165.8380
126.992081	111.770	165.3975
127.912323	111.774	164.9608
128.839233	111.768	164.5494
129.772842	111.754	164.1609
130.713242	111.734	163.7868
131.660431	111.706	163.4241
132.614502	111.668	163.0797
133.575485	111.621	162.7675
134.543427	111.567	162.5028
135.518387	111.507	162.2935
136.500412	111.446	162.1338
137.489548	111.387	162.0109
138.485855	111.331	161.9067
139.489380	111.279	161.8073
140.500168	111.229	161.7062
141.518295	111.180	161.6071
142.543793	111.131	161.5221
143.576721	111.082	161.4605
144.617142	111.033	161.4307
145.665100	110.985	161.4302
146.720642	110.938	161.4517
147.783844	110.893	161.4843
148.854752	110.848	161.5159
149.933411	110.803	161.5423
151.019897	110.759	161.5610
152.114243	110.715	161.5782
153.216522	110.672	161.6005
154.326797	110.631	161.6337
155.445114	110.592	161.6837
156.571533	110.557	161.7489
157.706116	110.524	161.8287
158.848923	110.492	161.9174
160.000000	110.461	162.0096
161.159424	110.431	162.1008
162.327255	110.400	162.1862
163.503540	110.367	162.2695
164.688354	110.331	162.3525
165.881760	110.292	162.4367
167.083801	110.249	162.5227
168.294571	110.203	162.6100
169.514099	110.155	162.6990
170.742462	110.104	162.7891
171.979736	110.053	162.8822
173.225967	110.001	162.9808
174.481232	109.951	163.0850
175.745605	109.903	163.1941
177.019119	109.859	163.3055
178.301880	109.818	163.4179
179.593933	109.781	163.5310
180.895340	109.749	163.6450
182.206177	109.720	163.7606
183.526520	109.696	163.8796
184.856430	109.673	164.0031
186.195984	109.651	164.1309
187.545227	109.630	164.2619
188.904266	109.609	164.3948
190.273132	109.586	164.5280
191.651932	109.562	164.6616
193.040726	109.536	164.7938
194.439575	109.508	164.9254
195.848572	109.477	165.0583
197.267761	109.446	165.1928
198.697250	109.413	165.3307
200.137085	109.381	165.4731
201.587372	109.350	165.6182
203.048157	109.320	165.7675
204.519531	109.290	165.9208
206.001556	109.261	166.0760
207.494324	109.232	166.2350
208.997925	109.203	166.3959
210.512405	109.173	166.5551
212.037857	109.142	166.7126
213.574371	109.112	166.8665
215.122025	109.082	167.0156
216.680893	109.053	167.1680
218.251053	109.025	167.3281
219.832581	108.996	167.4933
221.425583	108.966	167.6628
223.030121	108.936	167.8345
224.646286	108.906	168.0035
226.274170	108.876	168.1711
227.913849	108.847	168.3439
229.565399	108.819	168.5224
