* Measurement data measured by REW V5.31.1
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -21.9 dBFS, measurement signal peak level -21.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 14, 2024 4:38:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0905 ms (-31 mm, -1.22 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: IE600 Sil S3 R1
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	116.425	-134.9935
20.144928	116.450	-134.6503
20.290907	116.517	-134.3868
20.437943	116.618	-134.2780
20.586044	116.742	-134.3897
20.735220	116.876	-134.7462
20.885475	117.007	-135.3451
21.036821	117.123	-136.1669
21.189262	117.215	-137.1619
21.342808	117.276	-138.2688
21.497467	117.303	-139.4305
21.653246	117.297	-140.5720
21.810154	117.261	-141.6357
21.968201	117.202	-142.5659
22.127390	117.127	-143.3174
22.287735	117.048	-143.8734
22.449242	116.977	-144.2336
22.611917	116.922	-144.4226
22.775772	116.894	-144.4948
22.940815	116.896	-144.5095
23.107054	116.929	-144.5454
23.274498	116.990	-144.6683
23.443153	117.069	-144.9320
23.613033	117.159	-145.3715
23.784142	117.247	-145.9929
23.956491	117.325	-146.7856
24.130091	117.385	-147.7182
24.304947	117.419	-148.7450
24.481071	117.424	-149.8153
24.658470	117.398	-150.8666
24.837156	117.343	-151.8423
25.017136	117.263	-152.6799
25.198421	117.163	-153.3304
25.381020	117.054	-153.7512
25.564941	116.947	-153.9214
25.750195	116.856	-153.8456
25.936790	116.792	-153.5565
26.124741	116.768	-153.1236
26.314051	116.791	-152.6355
26.504732	116.861	-152.2020
26.696796	116.973	-151.9196
26.890253	117.116	-151.8733
27.085112	117.276	-152.1099
27.281382	117.439	-152.6478
27.479073	117.591	-153.4709
27.678198	117.719	-154.5432
27.878765	117.817	-155.8093
28.080786	117.877	-157.2101
28.284271	117.898	-158.6784
28.489231	117.878	-160.1537
28.695675	117.820	-161.5719
28.903616	117.727	-162.8804
29.113064	117.605	-164.0267
29.324028	117.459	-164.9688
29.536524	117.298	-165.6716
29.750557	117.132	-166.1147
29.966141	116.972	-166.2949
30.183289	116.832	-166.2357
30.402010	116.720	-165.9861
30.622314	116.645	-165.6219
30.844217	116.609	-165.2343
31.067726	116.608	-164.9090
31.292856	116.632	-164.7168
31.519617	116.671	-164.6892
31.748020	116.710	-164.8228
31.978081	116.740	-165.0775
32.209808	116.757	-165.3973
32.443211	116.760	-165.7197
32.678310	116.754	-165.9993
32.915108	116.749	-166.2184
33.153625	116.751	-166.3925
33.393871	116.767	-166.5638
33.635857	116.794	-166.7842
33.879597	116.828	-167.0986
34.125103	116.859	-167.5206
34.372387	116.878	-168.0323
34.621464	116.880	-168.5833
34.872345	116.862	-169.1134
35.125042	116.832	-169.5694
35.379574	116.799	-169.9237
35.635948	116.773	-170.1893
35.894180	116.763	-170.4130
