* Measurement data measured by REW V5.31.1
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -22.7 dBFS, measurement signal peak level -22.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 14, 2024 4:39:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0913 ms (-31 mm, -1.23 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.2 ppm
* Measurement: IE600 Sil S3 R2
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	116.983	-134.9605
20.144928	117.006	-135.3752
20.290907	117.030	-135.7962
20.437943	117.055	-136.2217
20.586044	117.080	-136.6498
20.735220	117.106	-137.0800
20.885475	117.134	-137.5135
21.036821	117.164	-137.9526
21.189262	117.195	-138.4023
21.342808	117.229	-138.8689
21.497467	117.264	-139.3578
21.653246	117.300	-139.8750
21.810154	117.336	-140.4238
21.968201	117.369	-141.0043
22.127390	117.398	-141.6141
22.287735	117.421	-142.2462
22.449242	117.439	-142.8906
22.611917	117.449	-143.5366
22.775772	117.452	-144.1702
22.940815	117.449	-144.7804
23.107054	117.440	-145.3566
23.274498	117.429	-145.8915
23.443153	117.415	-146.3827
23.613033	117.403	-146.8305
23.784142	117.393	-147.2402
23.956491	117.386	-147.6195
24.130091	117.384	-147.9770
24.304947	117.386	-148.3226
24.481071	117.392	-148.6635
24.658470	117.401	-149.0063
24.837156	117.412	-149.3549
25.017136	117.426	-149.7115
25.198421	117.441	-150.0777
25.381020	117.458	-150.4545
25.564941	117.476	-150.8437
25.750195	117.495	-151.2478
25.936790	117.514	-151.6699
26.124741	117.533	-152.1132
26.314051	117.551	-152.5800
26.504732	117.568	-153.0707
26.696796	117.580	-153.5832
26.890253	117.589	-154.1126
27.085112	117.592	-154.6518
27.281382	117.590	-155.1918
27.479073	117.583	-155.7239
27.678198	117.571	-156.2401
27.878765	117.556	-156.7350
28.080786	117.539	-157.2062
28.284271	117.522	-157.6552
28.489231	117.505	-158.0859
28.695675	117.489	-158.5048
28.903616	117.474	-158.9183
29.113064	117.461	-159.3324
29.324028	117.448	-159.7507
29.536524	117.435	-160.1740
29.750557	117.421	-160.6006
29.966141	117.405	-161.0268
30.183289	117.389	-161.4475
30.402010	117.372	-161.8587
30.622314	117.355	-162.2576
30.844217	117.338	-162.6442
31.067726	117.324	-163.0211
31.292856	117.312	-163.3935
31.519617	117.302	-163.7675
31.748020	117.296	-164.1495
31.978081	117.290	-164.5440
32.209808	117.286	-164.9528
32.443211	117.281	-165.3748
32.678310	117.275	-165.8061
32.915108	117.267	-166.2415
33.153625	117.258	-166.6753
33.393871	117.247	-167.1033
33.635857	117.236	-167.5232
33.879597	117.225	-167.9351
34.125103	117.213	-168.3401
34.372387	117.202	-168.7394
34.621464	117.190	-169.1335
34.872345	117.177	-169.5216
35.125042	117.164	-169.9017
35.379574	117.151	-170.2719
35.635948	117.138	-170.6322
35.894180	117.126	-170.9852
36.154285	117.117	-171.3365
36.416275	117.108	-171.6941
36.680161	117.101	-172.0657
36.945961	117.093	-172.4567
37.213688	117.082	-172.8680
37.483353	117.068	-173.2939
37.754974	117.049	-173.7235
38.028561	117.024	-174.1413
38.304131	116.994	-174.5306
38.581699	116.962	-174.8788
38.861279	116.929	-175.1808
39.142883	116.901	-175.4417
39.426529	116.878	-175.6781
39.712231	116.863	-175.9131
40.000000	116.854	-176.1700
40.289856	116.848	-176.4658
40.581814	116.841	-176.8050
40.875885	116.830	-177.1778
41.172089	116.813	-177.5652
41.470440	116.791	-177.9463
41.770950	116.765	-178.3058
42.073643	116.739	-178.6393
42.378525	116.713	-178.9530
42.685616	116.688	-179.2583
42.994934	116.665	-179.5646
43.306492	116.641	-179.8746
43.620308	116.616	179.8146
43.936401	116.590	179.5077
44.254780	116.564	179.2053
44.575470	116.538	178.9019
44.898483	116.514	178.5898
45.223835	116.487	178.2655
45.551544	116.458	177.9330
45.881630	116.426	177.6035
46.214108	116.392	177.2878
46.548996	116.358	176.9891
46.886307	116.327	176.6989
47.226067	116.298	176.4013
47.568283	116.271	176.0837
47.912983	116.243	175.7457
48.260181	116.211	175.3998
48.609894	116.176	175.0646
48.962143	116.140	174.7547
49.316940	116.104	174.4741
49.674313	116.071	174.2180
50.034271	116.040	173.9783
50.396843	116.013	173.7494
50.762039	115.988	173.5273
51.129883	115.967	173.3057
51.500389	115.948	173.0727
51.873581	115.931	172.8159
52.249481	115.911	172.5309
52.628101	115.887	172.2286
53.009464	115.857	171.9317
53.393593	115.822	171.6622
53.780506	115.786	171.4268
54.170223	115.752	171.2126
54.562763	115.721	170.9968
54.958145	115.688	170.7637
55.356396	115.652	170.5166
55.757530	115.612	170.2737
56.161572	115.568	170.0531
56.568542	115.525	169.8582
56.978462	115.485	169.6749
57.391350	115.449	169.4832
57.807232	115.414	169.2710
58.226128	115.378	169.0403
58.648056	115.341	168.8022
59.073048	115.302	168.5677
59.501114	115.262	168.3428
59.932281	115.222	168.1295
60.366577	115.183	167.9277
60.804020	115.144	167.7354
61.244629	115.107	167.5470
61.688435	115.071	167.3555
62.135452	115.034	167.1594
62.585712	114.994	166.9681
63.039234	114.951	166.7978
63.496040	114.907	166.6602
63.956161	114.864	166.5541
64.419617	114.825	166.4666
64.886421	114.789	166.3836
65.356621	114.754	166.2984
65.830215	114.722	166.2113
66.307251	114.691	166.1233
66.787743	114.662	166.0319
67.271713	114.636	165.9323
67.759193	114.613	165.8191
68.250206	114.592	165.6863
68.744774	114.573	165.5254
69.242928	114.555	165.3291
69.744690	114.535	165.0982
70.250084	114.510	164.8448
70.759148	114.480	164.5880
71.271896	114.446	164.3435
71.788361	114.409	164.1186
72.308571	114.371	163.9124
72.832550	114.331	163.7206
73.360321	114.292	163.5387
73.891922	114.251	163.3647
74.427376	114.208	163.1982
74.966705	114.165	163.0395
75.509949	114.121	162.8882
76.057121	114.076	162.7441
76.608261	114.030	162.6085
77.163399	113.983	162.4833
77.722557	113.937	162.3684
78.285767	113.891	162.2609
78.853058	113.847	162.1576
79.424461	113.802	162.0585
80.000000	113.759	161.9661
80.579712	113.716	161.8813
81.163628	113.675	161.8018
81.751770	113.636	161.7238
82.344177	113.598	161.6438
82.940880	113.561	161.5590
83.541901	113.523	161.4692
84.147285	113.484	161.3792
84.757050	113.444	161.2975
85.371231	113.404	161.2296
85.989868	113.364	161.1741
86.612984	113.326	161.1237
87.240616	113.290	161.0702
87.872803	113.255	161.0084
88.509560	113.221	160.9370
89.150940	113.186	160.8559
89.796967	113.152	160.7627
90.447670	113.116	160.6545
91.103088	113.079	160.5319
